[00:00] 歡迎收聽古哀為生夢公文本集節目由如意堂贊助
[00:03] 這已經是我跟如意堂的第二年合作
[00:05] 我很愛吃他們家太陽餅自從老婆準備太陽餅給我吃的故事
[00:09] 被如意堂的經理聽到之後就一路合作到現在
[00:12] 也很感謝聽眾們的商廳每次上檔都買得爆
[00:15] 那今年三個推薦的口味第一個雙茶太陽餅鐵觀音家濃抹茶
[00:20] 有點年紀吃不了太甜
[00:21] 如意堂的茶味太陽餅就是那一吃的口味
[00:23] 尤其是鐵觀音茶湯味認真直衝鼻腔
[00:26] QQ軟軟的麥芽那一線也很犯規
[00:29] 記得一定要回烤再吃得到靈魂
[00:31] 第二個米其林主廚將證成聯名的法式國王太陽餅
[00:36] 包裝高級自帶氣場
[00:37] 這一款很多建商上市貴公司都喜歡
[00:40] 鬆鬆千層的蘇皮狗感經典的信人奶油餡
[00:44] 那第三個如果你想要來一點特別的
[00:45] 他們還有限定的松露太陽餅
[00:47] 老實講我對松露這種東西有點懷疑
[00:49] 我自己本身是喜歡把他跑到面上面直接的
[00:52] 可是配著湯餅吃只有第一次嘗試
[00:55] 吃起來甜甜鹹鹹非常驚豔
[00:57] 是你會默默地吃第二塊第三塊的那種危險太陽餅
[01:00] 如一堂雖然已經拿了一堆獎
[01:02] 但沒有開始混
[01:03] 每年都在認真的創新新口味新聯名
[01:06] 看到這麼認真的品牌
[01:07] 真的要支持下去
[01:08] 春節限定優惠產品的資訊放在資訊欄
[01:11] 自己去看一下
[01:12] 提醒一下熱門的口味通常很快就沒了
[01:14] 偷到最後一刻一定後悔
[01:16] 有效盤給他們資訊
[01:17] 找到更多說明與連結
[01:18] 好那是禮拜跟我們投資的團隊
[01:20] 一起去看了一家在台灣的M2公司
[01:22] 那其實台灣真的有蠻多
[01:23] 這種我們把它稱為是以前包含雜誌
[01:25] 會寫的引擎冠軍
[01:27] 就是它並沒有上市
[01:28] 它沒有太大的一個知名度
[01:29] 可是呢
[01:29] 因為它在技術方面的一些
[01:32] 著悅跟前言性
[01:33] 所以導致自己就有很多國際大場
[01:35] 或是一些知名的IP又找他們合作
[01:37] 那因為我們投資的其中一個IP
[01:39] 就是有被他們邀請說
[01:40] 看我們一些合作的機會
[01:41] 那IP方就想說
[01:42] 照明一起去看一下
[01:44] 那非常感謝他們又想到我們
[01:46] 那就套了一句這個
[01:47] MR團隊的老闆他講的
[01:49] 他說當這個IP方說
[01:50] 要找他們的投資人來的時候
[01:52] 我們心中想的是
[01:53] 投資人應該有很多的指教吧
[01:54] 會有很多的意見
[01:55] 更很多有的沒有的想法
[01:57] 然後沒有想到的
[01:57] 我們派去的這兩位合夥人
[01:59] 幫我自己
[02:00] 就是屬於那一種
[02:01] 我們就不會有什麼意見
[02:02] 反正我們就替你們講樂觀旗層
[02:03] 那我們發現你們可能在安排的過程中
[02:06] 有哪些東西有機會出問題
[02:07] 我們就幫你解決
[02:09] 所以其實我們做的事情怎麼樣
[02:10] 就是我們並沒有要去
[02:11] 教這些團隊
[02:12] 常常開發遊戲
[02:13] 我們這麼會開發遊戲
[02:14] 我們就自己開發
[02:14] 我們不會
[02:15] 所以我們會做了什麼
[02:16] 會幫你去做禁止調查
[02:18] 你就合作的這些團隊
[02:19] 或是你想要去嘗試的
[02:21] 某種不知道公家單位
[02:22] 或者是說哪一個民間公司
[02:24] 我們可以去幫你了解一下
[02:25] 他們過往的credits是怎麼樣
[02:26] 會不會放鳥
[02:27] 會不會做一些奇怪的事情
[02:28] 會不會演高手低嗎
[02:30] 那調查完之後
[02:31] 可以去幫你做一些
[02:32] 牽線跟順利的推行它
[02:34] 這個就是我們
[02:35] 身為投資方可以做好的事情
[02:36] 所以我覺得這位MR老闆總結
[02:38] 非常難受我們自己的好卡
[02:40] 那他的公司是非常的厲害
[02:42] 我就是看到他使用的MR的宅體
[02:45] 是用在HoloLens上面
[02:46] 那這是一個快要十年的一個硬體
[02:48] 特別是在後面已經算是
[02:50] 就沒有在持續的是怕我的
[02:52] 那這樣的一個產品
[02:53] 老東西我們本來以為說
[02:55] 那乘線出來的效果
[02:56] 應該就還好
[02:57] 就沒有想到他們的畫質非常高
[02:59] 流暢度也非常好
[03:01] 然後在空間的定位上面
[03:02] 也是非常的精準
[03:04] 以及像VL很常會出現的
[03:06] 我可能快速地擺脫我怎麼樣
[03:08] 那有些東西就會延遲
[03:09] 有些東西就會脫離
[03:10] 他就會定位失敗我什麼的
[03:12] 但是在他們的技術
[03:14] 他們說是用軟體去達成的
[03:16] 上面看起來是沒有任何的問題
[03:18] 我覺得做得非常的驚喜
[03:20] 所以非常期待這種
[03:21] 新科技跟我們投資的一些IP做結合
[03:23] 會產生什麼樣一個新的變化
[03:25] 那其實像這種VRA
[03:27] 或者是MR的東西
[03:28] 當然對於大家來講
[03:30] 他都不是一個非常陌生的東西
[03:31] 他只是說他可能還有一些路線之真
[03:33] 或者說可能在
[03:35] 滲透率方面
[03:35] 就會像過去大概講的是什麼
[03:36] VR原點
[03:37] AR原點
