[00:00] 歡迎收聽古哀為聖蒙公本集節目由Backbone贊助
[00:03] 在台灣能夠做到十年的品牌其實不多
[00:06] Backbone今年十週年
[00:07] 他們在這十年做的事情很單純
[00:09] 就是要讓你做的久做的穩
[00:11] 不管是上班開會還是真的在幹大事
[00:13] 老聽說應該都知道我自己用了他們家的東西很久
[00:16] Backbone專門作符合台灣人身形的人體工學家具
[00:19] 九年來服務了五千多間辦公室
[00:21] 二十五個國家
[00:22] 很多的上市貴公司科技大樓付委會
[00:25] 其實他們早就在使用了
[00:26] 像是原太衛鋼跟麥當勞的辦公室
[00:29] 用了都是他們的辦公家具
[00:30] 他的客職化服務也能夠滿足內容創作者
[00:33] 電影人跟音樂人的需求
[00:35] 從金馬大師金曲天王天候到瓜吉阿滴
[00:38] 甚至老一輩的孔槍老師
[00:39] 不同世代不同圈子的人
[00:41] 一直以來都是Backbone的愛用客戶
[00:43] 如果說你是老闆採購人資付委會
[00:45] 公司要換辦公家具
[00:47] Backbone不只是賣椅子
[00:48] 生將做工學以辦公配件
[00:50] 甚至連隔音艙都有
[00:52] 而且北中南都有實體的門市
[00:54] 受候跟保固都很實在
[00:56] 如果你有需要企業方案
[00:57] 可以直接點我們的連結來洽詢
[00:59] 24小時內就會有專人來幫你估價
[01:02] 那如果說你只是一般的上班族
[01:03] 自由工作者
[01:04] 正在聽節目也沒關係
[01:06] Backbone又給古埃聽眾一個專屬的優惠
[01:08] 在我們在官網結上的時候
[01:09] 輸入GOOAO2026
[01:12] 桌椅配件圈管92折
[01:14] 十週年限定
[01:15] 只有到1月31號
[01:16] 三個禮拜而已
[01:17] 要把握這次的機會
[01:18] 他們家的各種工具
[01:20] 其實非常好用
[01:21] 包含像是我自己的家裡
[01:22] 跟我投資這些小生意
[01:23] 我們都有在使用追蹤工學Backbone的家具
[01:26] 現在有朋友告訴我們
[01:26] 資訊欄這邊找到更多的說明連結
[01:28] 開年至今的台股真的是非常恐怖
[01:31] 跟吃春瑤
[01:32] 其實是沒有什麼兩樣的
[01:33] 不知道大家的新年一年是怎麼樣展開的
[01:35] 這一次我的新年一年是透過打手遊展開的
[01:39] 就是跟幾個快樂好朋友一樣
[01:40] 在玩泥雞的
[01:41] 因為告在跨年那一天的晚上11點
[01:45] 白雪公主上線
[01:46] 所以我們全部在那邊抽白雪公主
[01:48] 然後後來抽一抽就發現說
[01:49] 時間到了已經過了新年一年了
[01:51] 然後跟大家說一聲新年快樂
[01:53] 其實心中那時候就有點白感交集了
[01:55] 一來就是發現說
[01:55] 其實打手遊跟抽卡真的是很快樂的事情
[01:58] 然後二來就覺得說
[01:59] 自己他們有夠可悲的
[02:00] 就是你不是應該至少要
[02:01] 不知道坐在電視前面
[02:03] 數個什麼跨年到數嗎
[02:04] 還是應該要跟朋友去哪去參數
[02:06] 你怎麼會在家裡打手遊
[02:07] 可是最後面想想的覺得說
[02:09] 好算了
[02:09] 這就是一個人生的進展
[02:11] 以前我們也會跑去101那邊看煙火
[02:12] 然後現在發現說
[02:13] 你知道就跑進去就已經很辛苦了
[02:15] 你還要出來
[02:16] 重點是你還要出來
[02:17] 你還要擅長
[02:18] 你光想到那個人就覺得說
[02:19] 超累完全非常出門
[02:21] 那之前可能又在家裡玩一些有疑似感的東西
[02:23] 像我跟大家分享說
[02:24] 我老婆那邊西班牙的習俗
[02:25] 就是你在最後面到處的階段要狂吃葡萄
[02:28] 只要有跟大家下景語說
[02:29] 你要小心你不要疑惑到
[02:31] 然後快發現說在台灣
[02:32] 最近也在流行這個東西吃葡萄
[02:33] 但我們只有前幾年也有玩吃葡萄
[02:35] 那後來也沒有在玩
[02:37] 特別是有小孩之後也不敢亂講
[02:38] 我小朋友跟著這樣吃葡萄
[02:40] 真的怕人會梗到大還是要小心
[02:42] 那所以呢
[02:42] 就是用一個相對平淡的方式開啟
[02:45] 新的一年也沒有什麼特別的感受
[02:47] 那新的一年這個股市的表現是非常好了
[02:50] 那相較於個人的機效
[02:51] 當然我們知道那種機效比很短
[02:53] 是沒有什麼太大意義
[02:54] 當然就是目前就調速大盤
[02:56] 然後這個大盤太恐怖
[02:57] 大盤噴成這樣子
[02:58] 幹你要怎麼贏啊
[02:59] 太厲害了
[02:59] 就除非說你這陣子
[03:00] 剛剛手上全部都是買到
[03:01] 不知道群創吧
[03:03] 那不然就是滿手機一體之類的
[03:04] 不然像自己手上是有很多的設備
[03:07] 那設備其實也是波段走的
[03:08] 還蠻不錯的
[03:09] 可是問題就是說
[03:09] 你要英國大盤其實還是非常困難
[03:11] 那外加
[03:12] 其實最近的盤面開始有一些
[03:14] 我覺得那種蠻大的轉折性出現
[03:16] 這可能後面再來跟大家分享
[03:17] 所以呢
[03:18] 就是至今就覺得說
[03:19] 表現得還好而已
[03:21] 但其實身邊的盤有蠻多
[03:22] 特別是他們在做量化或是所漲停的
[03:24] 他們就講說
[03:24] 最近的這個盤面
[03:25] 真的有開始有變化
[03:27] 很多的散戶都重新加入了
[03:29] 之前他們一直在抱怨說
[03:30] 什麼散戶都不見
[03:31] 當然這個並不是我很熟悉的一種言語
[03:33] 因為他們所漲停的有一個說法
[03:35] 就是說看那個買盤的強弱
[03:36] 就知道說下有多少的散戶在裡面追
[03:39] 那他們有一段時間
[03:40] 差不多是一兩個月前就在講說
[03:41] 散戶都不見了
[03:42] 然後下說散戶都回來了
[03:43] 所以這邊給大家參考一下
[03:44] 接下來市場真的是非常的熱
[03:46] 當然開一年很熱的話呢
[03:48] 對我們來講
[03:49] 我們就是怎麼說
[03:50] 我們剛剛的市場分析是一樣
[03:51] 就是我們可能是僅次於你老媽
[03:52] 最擔心你的人
[03:53] 心中會想一下說
[03:55] 提招漲的話會不會後面就漲完的
[03:58] 那如果不漲你的那邊靠北說
[03:59] 都沒有漲的話
[04:00] 那會不會今天台國市場輸起來
[04:02] 所以不管好壞
[04:03] 都會有很多的想法在背後了
[04:05] 但確實我們這邊開啟有一些說法是說
[04:07] 麻了第一季就要這樣子噴的話
[04:09] 那會不會後面就死於一整年
[04:10] 不知道我反而到時候再來跟大家做
[04:12] 分析跟討論
[04:13] 當然目前還是覺得說
[04:14] 就是目前開年的氣氛是很好了
[04:16] 那整個市場上也有很多新的資訊出來
[04:19] 當然像在CES上面
[04:20] 不管是老黃或是蘇媽都丟出很多新的東西
[04:23] 所以呢
[04:23] 還在祝福大家在新的一年都會很順利
[04:25] 因為新的故事有持續出現
[04:27] 我覺得就不是什麼太大的問題
[04:29] 那市場的瘋狂的時候
[04:30] 如果說你發現你賺書別人的話
[04:32] 也不用擔心
[04:32] 因為我這邊直接跟大家承認說
[04:34] 開年至今我就連大盤都沒有打贏
[04:36] 那很多那種蠻手機一體
[04:38] 蠻手面板的
[04:39] 他們應該都已經是包贏了幾條機了
[04:41] 所以非常恭喜他們
[04:42] 但對我們來說
[04:43] 這就是一個短期的狀態
[04:45] 那希望後面也可以持續的追上
[04:47] 那最近在市場上面
[04:48] 有蠻多新的話題的產生
[04:51] 那我們現在講盤面
[04:52] 我最近的盤面像今天
[04:53] 我覺得是一個蠻關鍵的時間點
[04:56] 為什麼
[04:56] 因為今天的家圈指數
[04:57] 其實根本就沒有什麼動
[04:58] 它其實就是一個0.46%的敵服
[05:01] 那貴買這邊甚至創了新高
[05:03] 可是今天的股票有很多有趣的現象
[05:05] 就是過往我們認為是市場toppick
[05:07] 也就是說反正你知道
[05:09] 法人公司超高
[05:10] 然後你隨便去問一個市場宅
[05:11] 或是說產業宅
[05:12] 他們都會跟人家說
[05:12] 這些公司沒有問題長多的
[05:14] 當然像什麼建策啊貿聯啊
[05:17] 或是說二三四文
[05:18] 四十八啊
[05:19] 然後再來
[05:20] 臺廣電等等
[05:21] 就在今天都出現重說
[05:23] 那前幾天七七六九
[05:24] 就是很多人手上的制服股
[05:26] 紅鏡
[05:26] 它也是出現了一個敵服
[05:27] 雖然那個是蠻奇怪的事情
[05:29] 就是上上傳一些小座文
[05:31] 然後後來被證實是假的
[05:32] 但這些就是所謂的
[05:33] 很多法人跟市場大戶們的共識的股票
[05:36] 那在這幾天
[05:37] 我們都看到有這個敵服的出現
[05:39] 所以這其實蠻神奇的
[05:40] 因為這些東西在過往
[05:42] 被視為是一種
[05:43] 那種不敗的象徵
[05:44] 就它只會一直往上
[05:45] 那當然有可能說
[05:46] 在他們這是疊疊之後
[05:47] 之後又繼續往上
[05:48] 只是說他們同時在那邊摔的話
[05:49] 就會覺得說
[05:51] 是不是市場又在一次的進入
[05:52] 某種又要去做轉換的階段
[05:55] 過去的一些主流股
[05:56] 會不會開始有些人要提款
[05:57] 要去做新的布局
[05:58] 有什麼這次我們在接下來
[06:00] 會想要觀察的
[06:01] 那一樣
[06:01] 如果說人今天是用各種
[06:02] 基本面的角度去看的話
[06:03] 現在很多時候
[06:04] 我覺得在短線上
[06:05] 去拿基本面去講故事會很奇怪
[06:07] 像那今天貿聯在疊
[06:09] 然後現在就在講說
[06:10] 那是因為會打到
[06:11] 去使用Keyball list的抵載
[06:13] 那如果有聽我們節目的知道說
[06:14] 這個我們可能至少在半年前
[06:15] 或是更早以前就跟你講過這件事情
[06:17] 所以它根本就不是什麼新鮮事
[06:19] 那再來就是退一萬步而言
[06:20] 就算是Keyball list的 design
[06:22] 可是它其實跟貿聯是沒有關係的
[06:24] 為什麼因為貿聯做的東西
[06:25] 從來到來都不是
[06:26] InRack的Keyball
[06:27] 它做的是要伸出去的那一種Keyball
[06:30] 那InRack的Keyball的話
[06:31] 是像是Avenon這樣
[06:32] 跟Avenon你說它有大疊
[06:34] 好像也沒有看到
[06:35] 所以就是變成說市場
[06:36] 會去為一些東西搶找理由
[06:39] 這個是我們很常看到的
[06:40] 那當然有可能是
[06:41] 傳的大概一兩年以上的
[06:43] 就是說有可能有一個
[06:44] Second Supply會進來
[06:46] 那這個當然我們不排除它有可能是真的
[06:47] 反正就是在下跌的時候
[06:49] 就像我跟大家長期講的
[06:51] 每次下跌就會很多人
[06:52] 拿骨骷髏出來嚇你
[06:53] 所以其實長期持有一些標底
[06:55] 根本就不容易
[06:56] 很多人都覺得說
[06:56] 長期持有可能是很簡單的
[06:58] 很無腦沒有
[06:59] 因為其實每次的壞消息
[07:00] 你就要做出你當下的判斷
[07:01] 那你到底要去持有還是鳥蠻
[07:03] 所以它其實本身就是一個
[07:04] 不容易的事情
[07:06] 那再來在臺廣電這邊
[07:07] 當然也是跟灰達是有管
[07:09] 因為大家最近在傳說
[07:10] 就是本來會用得到M9材料
[07:11] 就沒有要用了
[07:12] M9可能用M8
[07:13] 那有些想說用M8的
[07:14] 可能用M7之類的
[07:15] 反正就是在規格提升方面
[07:17] 可能是有一點不如市場的預期
[07:18] 可是這一點就有點奇怪
[07:20] 因為舉例來說
[07:21] 你說沒有要用M9的話
[07:22] 可是M9有些是要去搭配
[07:23] 那個實驗沙做使用的
[07:24] 但實驗沙的那一股又沒有跌
[07:26] 那反而只有臺廣電在跌
[07:28] 所以就變成邏輯上
[07:29] 還是有一點奇怪
[07:30] 因為理論上如果要殺的話
[07:31] 應該是兩個都會一起殺自己的
[07:33] 那所以在我自己的認知
[07:34] 會認為說有可能就是
[07:36] 像我所提到的
[07:37] 因為它這些股票
[07:38] 基本上它像前陣子
[07:40] 就是我的一個集中的持股了
[07:41] 就是說我本身就是會去
[07:43] 同時拿這些東西
[07:44] 那其實很多人跟我一樣
[07:45] 很多法人圈的人
[07:46] 或是一些市場更大互的人
[07:48] 他們也會做類似的事情
[07:49] 因為這些東西的成長性太明顯
[07:50] 白那邊
[07:51] 所以他們也會去持有這樣的股票
[07:53] 那瞬間突然一起轉向的話
[07:54] 有可能就是一個
[07:55] 這個資金偏好的變化了
[07:57] 那或許有部分是因為基本面所致
[08:00] 可是我覺得可能不完全是因為基本面
[08:02] 所以稍微跟大家講一下想法
[08:03] 那最近有類似這樣的東西產生
[08:05] 結果它一天之後
[08:06] 就我馬上洗一點
[08:06] 就是Google的OCS在前陣子有傳出一個
[08:10] 然後就市場的鬼故事
[08:12] 那我們知道說其實市場
[08:13] 它有一個很明顯的節奏
[08:14] 就是汽筒轉光
[08:16] 就是說通相關的股票
[08:17] 其實都表現得不太好
[08:19] 那在光的方面
[08:20] 就是像是論文成果的時候
[08:21] 可否有人在過去是非常的強勢
[08:23] 那可是在前陣子
[08:25] 也出現一個重殺
[08:26] 那這個重殺
[08:26] 後就是市場上就有馬上
[08:28] 去傳出一些
[08:29] 兩小座文跟小故事
[08:31] 提到說因為在Google的V9
[08:32] 他們可能會去使用Switch
[08:34] 所以因為這樣有機會
[08:35] 就會去降低OCS的一個使用
[08:37] 但當然這個很快
[08:38] 就被一些產業人士給打臉
[08:40] 說反而可能會不減反針
[08:42] 因為在更多的Switch的一個使用之下
[08:46] 它其實是要把本來一些
[08:47] 比較小的帕子
[08:48] 那從同線也變成是要往光的方向去走
[08:52] 那所以就認為說
[08:53] Google在未來光的用途上
[08:55] 只會越來越多
[08:56] 用量也會越來越大
[08:58] 所以反而OCS的交換器
[08:59] 是越用越多
