[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 幸福感都是多多益善
[00:32] 要麼來了解一下財經現況
[00:34] 或者先來笑兩句
[00:36] 再去上班
[00:36] 當然了
[00:37] 更多人可能是一種習慣
[00:39] 也許是開啟一天的生活
[00:41] 也許是入眠的最佳工具
[00:43] 但儀式感
[00:44] 真的是一個真實存在
[00:46] 千真萬確的有效東西
[00:48] 它的具體原理就是
[00:49] 做一種情境連線的操作
[00:51] 當你點開播放的時候
[00:53] 你就知道自己該做什麼事情了
[00:55] 當然了
[00:56] 其實更多人是無法找到
[00:58] 堅持下去的一些技巧
[01:00] 我還記得
[01:02] 陳生有一年跨年演唱會
[01:04] 演唱會的名字叫做
[01:05] 明年你還愛我嗎
[01:07] 然後他會向情侶來預售
[01:09] 第二年的門票
[01:11] 結果發現第二年
[01:12] 很多情侶都分手了
[01:14] 所以空了很多座位
[01:15] 所以我們講說
[01:16] 約定一個未來
[01:18] 其實比我們想象中
[01:19] 還要來得難
[01:20] 大多數人其實都無法堅持
[01:22] 只有你們
[01:23] 都要跨年了
[01:24] 居然還來聽這麼震驚的財經節目
[01:27] 全臺的精英都在這了
[01:28] 希望新的一年
[01:30] 不管股市漲跌
[01:31] 財富波動
[01:31] 我們還能夠持續在直播當中
[01:33] 跟大家相見
[01:34] 也希望大家不要跟我分手
[01:36] 繼續聽我們的直播
[01:37] 當然也可以歡迎
[01:38] 大家可以購買我們
[01:39] 下禮拜六
[01:40] 1月10號財經號角
[01:42] 一季度的新友會
[01:43] 或者來參與我們的會員系統
[01:45] 一起邁向財富自由
[01:46] 那今天我們觀察的重點
[01:48] 一方面回顧整個2025年
[01:51] 各大亞洲股市的表現
[01:53] 美國股市其實
[01:54] 總體平均漲幅17%
[01:56] 相對於美國以外的全球股市
[01:59] 29%的漲幅
[02:00] 的確這幾年已經很少出現
[02:03] 這種大幅落後給亞太市場的表現了
[02:06] 其實從2017、18年開始
[02:09] 美國股市就已經開始大幅的跑贏
[02:12] 中國、日本、德國、英國等非美市場
[02:15] 但是在今年卻受惠於美國美元貶值的效果
[02:19] 亞洲新市場的表現是非常強勁的
[02:21] 加上在本輪的AI帶動潮底下
[02:24] 亞洲的高科技產品的出口暢望
[02:27] 直接帶動了實體基本面的顯著推升
[02:30] 你像臺灣在這一波AI的供應浪潮當中
[02:33] 它的出口額
