[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 有一點偏弱
[00:31] 不過服務業至少還在擴張
[00:32] 利率還算是站穩
[00:34] 沒有太大波動
[00:35] 整體宏觀經濟
[00:36] 照理來講
[00:37] 沒有什麼太大變數
[00:38] 可是呢
[00:39] 真正大家留意的
[00:40] 這幾周反而是政治尋好
[00:42] 不管是俄羅斯的郵輪事件
[00:44] 委內瑞拉的問題
[00:46] 到伊朗的抗疫升溫
[00:47] 單一事件
[00:48] 都不至於改變全球的經濟方向
[00:51] 不過合成在一起
[00:52] 照理來講
[00:53] 它形成一股風險的背景
[00:55] 可是呢
[00:56] 這幾件事情串在一起以後
[00:58] 如果我們細看
[00:59] 當前市場上的真實波動率
[01:01] 並沒有想象中還要來得大
[01:03] 如果我們仔細觀察
[01:04] 甚至全球的資產管理機構
[01:07] 在過去幾個月都在大舉的做空fix
[01:10] 也就是集體壓住波動率會持續很低
[01:13] 我們講的不是說看多或者看空
[01:16] 而是市場就壓住
[01:17] 這些風險不會進一步的放大到影響到股市
[01:20] 進步位基本上已經超過了過去的極端水位區間
[01:25] 代表大量資金靠著去賣波動
[01:27] 收取時間價值在賺錢
[01:29] 前提只有一個
[01:30] 就大家相信
[01:31] 即便世界動盪如此之大
[01:33] 市場也不會出現任何意外
[01:35] 一旦遇到地緣政治升溫
[01:37] 政策的急轉彎
[01:38] 川普又說了什麼話
[01:40] 都不會影響到市場的整體波動
[01:42] 因為大家自從經歷到2025年的市場
[01:45] 行情變化以後
[01:46] 大家的心性已經變得越來越堅強
[01:49] 要不是事情有比關稅戰還要來得嚴重
[01:52] 我那麼緊張幹什麼呢
[01:54] 如果看起來很嚴重
[01:55] 那如果從2025年的經驗來看
[01:58] 是不是都是一個好買點呢
[02:00] 所以1月份的事件形勢率
[02:02] 應該講說形勢率非常湧起
[02:04] 但市場的波動到目前為止
[02:06] 其實已經過了三分之一的1月份
[02:09] 還是被壓在低檔
[02:10] 不管是這幾周的CES
[02:13] 還是就業資料公佈
[02:15] CPI本作要公佈
[02:16] FOMC重量級的科技股和金融股財報
[02:19] 都急在這個月
[02:20] 不過隱含波動率現在接近一年以來的低點
[02:24] 這也就代表著市場上看起來就是不太緊張
[02:28] 大家更會關注的是長遠的AI敘事
[02:31] 這也使得市場上有兩股效果
[02:33] 一個就是美國仍然是AI獲利的重心
[02:36] 但是按照目前的假設
[02:38] 川普對於美元貶值以及降息的計劃
