[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 在這方面AI的熱度不減
[00:31] 記憶體的全面缺貨
[00:33] 臺積電還是在政治以及投資壓力交錯下
[00:36] 股價持續創下歷史高點
[00:38] 那麼這一次國安基金的退場
[00:40] 加上投報率高達52%
[00:43] 這種訊息的持續產生
[00:45] 紐約時報又傳出臺美的談判即將敲頂
[00:48] 是否持續的利多進入到臺灣市場當中
[00:52] 對於臺積電有進一步提振效果
[00:54] 來跟投資朋友做一些分享
[00:55] 其實你會發現
[00:56] 這一次不管是從央行獨立線
[00:58] 還是到產業供應鏈
[01:00] 或者當前的類金屬
[01:03] 工業金屬和貴金屬的通膨
[01:05] 基本上都主導了
[01:06] 在本週行情市場的預期變化
[01:09] 這一次美歐股市
[01:10] 基本上也沒有太多受到
[01:12] 這一次鮑爾被指控的影響
[01:14] 股價在昨天仍然創下歷史新高
[01:16] 不過收高幅度也不是特別大
[01:18] 大家更為關注的是
[01:20] 黃金也再度突破了
[01:22] 這一次市場上進一步聚焦的是
[01:24] 10年期的損益平均通膨率來到2.3%
[01:27] 創下了去年11月份以來的最高
[01:30] 黃金過去
[01:31] 本身還是要跟美國的實質利率
[01:34] 來做一個顯著聯動
[01:35] 但這一波避險買盤的湧入
[01:38] 還是非常強烈
[01:38] 那甚至不只是黃金
[01:40] 我們看到在最近
[01:41] 銅價即將創下歷史新高
[01:43] 銀價也創下了歷史新高
[01:45] 在種種效果底下
[01:47] 我們要如何塑造成一種
[01:49] AI行情持續大好
[01:51] 但是在避險層面
[01:52] 市場並不是反映在VIC指數
[01:54] 而是反映在這種金屬資產的購買呢
[01:57] 今天來跟投資朋友多做一些觀察
[01:59] 但至少我們可以承認
[02:01] 均無戲言
[02:02] 川普所有的政策都不是說說的
[02:04] 他所有的指控
[02:05] 也不是說說的
[02:07] 真的都會去做
[02:08] 這一次美國檢方正式針對聯總會主席鮑爾
[02:11] 啟動調查的原因
[02:12] 就是在去年我們看到的聯總會總部
[02:15] 高達25億美元的整修費用
[02:18] 那鮑爾馬上就要錄影片來做回集
[02:20] 而且這一次看起來比較強硬
[02:22] 過去感覺雙方都還稍微有一點剋制
[02:25] 這一次鮑威爾表情就比較嚴肅
[02:27] 雖然有點憔悴
[02:28] 也不戴眼鏡
[02:29] 過去他在FED FONC記者會上
[02:33] 都會戴眼鏡
[02:33] 這一次很倉促
[02:34] 眼鏡忘了拿
[02:35] 刑事調查他認為
[02:37] 根本不是單純的工程
[02:39] 或者證實的問題
[02:40] 而是衝著聯總會不願意配合白宮
[02:43] 更大的降息幅度而來
[02:45] 他也直言
[02:47] 這是試圖削弱聯總會貨幣政策
[02:49] 獨立性的政治手段
[02:50] 自己打死也不會辭職
[02:52] 不過他再過四個月就要辭職了
[02:55] 應該講說過四個月就要卸任了
[02:56] 所以其實就這四個月的問題
[02:58] 那你就知道這件事情了
[03:00] 因為金價一度衝高到
[03:03] 每盎司四千六百塊以上
[03:04] 川普否認介入調查
[03:06] 但是還是在這件事情之後
[03:08] 不忘公開嘲諷鮑爾不會降息
[03:11] 他也不會蓋房子
[03:12] 現在的問題就在於
[03:13] 那川普到底在趕什麼呢
[03:15] 因為五月份以後
[03:17] 用屁股想都知道
[03:18] 聯總會主席一定是對於
[03:20] 川普的要求
[03:21] 有一定程度的呼應
[03:23] 也不可能一次降到
[03:24] 剩下一趴了
[03:25] 但是五月以後再降不行嗎
[03:27] 當然不行
[03:28] 因為年底就要中期選舉了
[03:31] 我們知道利率市場的傳導
[03:33] 它具有時間滯後效果
[03:34] 也就是說
[03:35] 就好像前兩年我們看到的升息
[03:38] 從它剛開始升息
[03:40] 一路到你的業務員
[03:43] 打電話給你
[03:44] 叫你來買美元保單
[03:45] 它有隔很長一段時間
[03:47] 就是從一開始升息
[03:49] 到最後利率跟著一起調升
[03:52] 商業銀行開始
[03:54] 設計相關產品
[03:55] 一直到你的業務員
[03:56] 打電話給你來
[03:57] 趕快來買美雲保單
[03:58] 搞不好隔了一年到一年半
[04:01] 所以降息所產生的滯後效果
[04:04] 它是需要一定時間醞釀的
[04:06] 我不能等到年終再開始降
[04:08] 我必須現在就開始降
[04:09] 所以保爾你趕快聽話
[04:11] 這一次的幕後推手
[04:12] 如果我們細看
[04:13] 大多數的知情人士
[04:14] 不管是彭博
[04:15] 還是金融時報的報保
[04:17] 都已經傳出
[04:18] 促成川普政府
[04:20] 針對聯總會發出傳票的關鍵人物
[04:22] 是聯邦住房金融署長
[04:25] 叫做普爾特
[04:26] 普爾特一直在白宮內部
[04:29] 推動相關的動作
[04:30] 讓鮑爾的壓力進一步升溫
[04:33] 但這一次的決定
[04:34] 也讓川普的部分盟友感受到不安
[04:37] 因為擔心一方面
[04:39] 法律戰雖然現在看起來
[04:41] 沒有影響到股市
[04:42] 但會影響到債市
[04:43] 另外一方面
[04:44] 反而有可能會讓鮑爾
[04:46] 發起戰鬥心
[04:48] 在任期屆滿以後
[04:50] 繼續選擇留任聯總會的理事
[04:52] 你要知道
[04:53] 他現在是主席的位置要讓出來
[04:55] 可是鮑爾還是理事
[04:57] 到時候
[04:58] 因為按照以往慣性
