[00:00] 投資評論歡迎收聽早晨財經速解讀
[00:03] 現在是臺北時間2026年1月14號禮拜三
[00:06] 早上8點32分
[00:07] 大家早上好我是林浩
[00:08] 每天早上開完前半小時
[00:09] 我們在這邊陪伴著各位一起解讀國際財經新聞時事變化
[00:13] 那今天一早我們來觀察
[00:15] 整個財報季逐步的拉開序幕之後
[00:17] 美國股市道窮收黑了接近有400點
[00:20] 不過廢辦到目前為止仍然非常強勁
[00:23] 我們看其實整體美國股市
[00:25] 目前仍然在創新高上方持續的震盪
[00:28] 這一次的財報季公佈以後
[00:30] 我們就可以具體瞭解
[00:31] 包括去年一整年的市場
[00:33] 針對今年的整體展望
[00:35] 以及接下來美國股市
[00:37] 在面對宏觀格局底下
[00:39] 市場的發債情況為何
[00:41] 畢竟按照目前鮑爾的態度
[00:43] 似乎今年整體利率下滑幅度是有限的
[00:47] 可是真是如此嗎
[00:48] 那麼接下來市場會不會在2026年
[00:51] 迎來第一個最大難關
[00:53] 那就是缺錢的問題
[00:54] 由於今年有這麼多的AI新創藥IPO
[00:58] 市場的舉債量又非常高
[00:59] 會如何形成資產輪動呢
[01:02] 畢竟從今年年初以來
[01:03] 雖然美國股市還在一個斤斤漲格局
[01:06] 可是亞洲股市是跑更快的
[01:08] 市場開始壓住
[01:09] 這股動能不只是短線上的反彈
[01:11] 而是結構性輪動
[01:13] 我們看花旗高盛在內的投行
[01:15] 都點名看好了亞洲科技股
[01:17] 一來是AI相關的需求持續升溫
[01:20] 二來呢是估值相對便宜非常多
[01:23] 其實我們看亞洲股市從去年年底一路漲下來
[01:27] 平均而言在亞太市場
[01:29] 漲幅大概是40%
[01:30] 而整體美國納斯達克指數
[01:32] 漲幅也不過11%到12%左右
[01:35] 那更關鍵的是獲利空間
[01:37] 因為南韓和臺灣股市
[01:39] 一方面從基期而言
[01:41] 不像是美國股市常年來這麼高
[01:44] 那第二方面
[01:44] 獲利成長空間非常快
[01:46] 整體EPS的成長幅度
[01:48] 南韓在過去一整年成長了八成
[01:51] 臺灣是成長了三成
[01:53] 這個很明顯比納斯達克企業的成長預期來得高
[01:56] 我們過往都覺得那種獲利的暴升
[01:59] 在AI龍井當中應該是軟體股
[02:01] 但很抱歉
[02:02] AI終端產品營收還沒有推出來
[02:05] 目前對這些納斯達克指數來說
[02:08] 大部分的軟體股都還在燒錢的階段
[02:11] 而真正在獲利大舉賺錢的
[02:13] 其實都是臺灣或者韓國這些硬體商
[02:16] 那這個時候就要往外擴了
[02:18] 就軟體商還在燒錢
[02:20] 可是呢
[02:20] 由AI所引起的火苗
[02:22] 已經開始擴散到其他產業
[02:25] 像是21年到24年
[02:26] 我們看七巨頭的EPS成長是很明顯領先的
[02:30] 可是到2025年之後
[02:31] 成長率就開始有所趨緩了
[02:33] 進入到十幾趴的區間
[02:36] 那到26年27年
[02:37] 看起來就有機會
[02:39] 剩下的七巨頭以外
[02:41] 或者呢
[02:42] 我們看整體中型股小型股
[02:44] 會不會在今年有匹極太來的空間
[02:47] 這就說明著該花錢的
[02:49] 他們還是在花
[02:50] 但是呢
[02:51] AI的製造擴產的效果
[02:53] 已經影響到全球的這些半導體股了
[02:56] 當然AI讓潮浪市場
[02:58] 現在更偏好高風險高槓杆
[03:00] 低獲利的股票
[03:01] 反而忽略了品質好的公司
[03:04] 因為現在市場上很多ROE高
[03:06] 獲利穩定負債低的企業
[03:08] 很久沒有被人家注意到了
[03:10] 一開始跟AI沒有這麼高強度的聯動
[03:13] 可是後來發現
[03:14] 所有的電子零元件
[03:15] 只要你是做電子廠的
[03:18] 其實都是跟AI有關
[03:19] 如何進行產業升級
[03:21] 只要有了方向之後
[03:22] 你的低估值反而現在就形成了優點
[03:25] 所以有國家層面的低估值
[03:27] 像亞洲新興市場
[03:28] 也有從個股層面的低估值
[03:30] 那如果呢
[03:31] 我們現在看GDP的水準
[03:32] 也是如此
[03:33] GDP這兩年之所以能夠撐在不錯的水準
[03:36] AI投資功不可沒
[03:38] 這更彰顯了
[03:39] 川普是不允許AI泡沫
[03:41] 在他本屆任期泡沫破滅的
[03:44] 因為他的GDP幾乎就是AI
[03:46] 我們來做比較
[03:47] 你把含AI投資
[03:49] 跟扣掉AI投資的GDP成長率
[03:51] 拿來一筆就知道了
[03:52] 從22年下半年開始
[03:54] 兩者的差距就逐步的拉開
[03:56] 從24年到25年上半年
[03:59] 特別明顯
[04:00] 沒有AI相關的資本支出
[04:02] 經濟成長几乎就是塌了一截
[04:04] 尤其在去年上半年就已經開始了
[04:07] 換句話說
[04:08] 美國現在的景氣結構其實非常集中
[04:11] 傳統部門並沒有全面復甦
[04:13] 靠的是資料中心算力
[04:14] 和軟硬體相關投資
[04:16] 好那現在
[04:17] 因為傳產部門
[04:19] 現在都已經開始有點上漲
[04:21] 我們講的不是那種純服務業
[04:23] 我們講的是那種傳統製造業
[04:26] 現在已經開始有痞疾態了的感覺
[04:28] 是否就意味著
[04:29] AI已經有開始外溢的效果了
[04:32] 所以第一個迎來的就是缺錢的問題
[04:34] 缺錢他就必須要以更寬鬆的貨幣環境來做支撐
[04:38] 這也是上半年最大挑戰
[04:40] 因為上半年還是鮑爾擔任聯準會主席
[04:42] 市場會不會造成一系列的鷹派政策
[04:46] 或者鷹派態度很難說
[04:47] 我們隨著OpenAI
[04:49] Entropic等公司
[04:50] 現在估值動輒
[04:51] 都是數千億美元
[04:52] 開始討論
[04:53] 2026年
[04:54] 很有可能下半年
[04:55] 就要上市了
[04:56] 那科技產業
[04:57] 每一次的大規模IPO潮
[04:59] 往往都伴隨著
[05:00] 對於未來的過渡想象
[05:01] 那這一次的AI的IPO
[05:03] 關鍵就不僅僅是估值了
[05:05] 而是財務結構
[05:07] 第一
[05:07] 能否承受公開市場的檢驗
[05:09] 第二
[05:10] 錢沒這麼多
[05:11] 到底要優先給誰
[05:13] 更高的估值
[05:13] 就形成極大挑戰
[05:15] 你像Corev
[05:15] 去年作為AI概念股
[05:18] 早期因為熱潮的暴衝
[05:20] 隨著債務資本支出和獲利模式
[05:22] 被攤在陽光下
[05:23] 股價就迅速回吐
[05:24] 所以去年下半年
[05:26] 那個十月份的AI永動級
[05:27] 已經提醒投資人了
[05:29] 那個AI的故事
[05:30] 一旦從願景進入到季報
[05:33] 那個敘事難度就會瞬間拉高
[05:35] 所以可能真的要等
[05:36] 本季度財報陸續公佈以後
[05:39] 才可以有下一次的做夢行情
[05:40] 我們就看看
[05:41] 是否在這個時間點
[05:43] 大家有進一步檢視的機會
[05:45] 畢竟現在AI從生存式內容來看
[05:47] 還在大亂鬥
[05:48] 我們從過去12個月
[05:50] 6個月
[05:50] 3個月
[05:50] 一個月
[05:51] 看得出來
[05:52] 確認GBT已經連續5個季度
[05:54] 在AI市佔率持續下滑
[05:57] 從本來接近有80%多的市佔
[06:00] 現在大概只剩下64%
[06:02] 那Gymnite則是上升到21%
[06:04] 不過我前陣子用Gymnite比較多
[06:06] 我後來又發現
[06:07] 是算力不夠的問題
[06:09] 那回答又變得怪怪的
[06:10] 那生成圖也生成的越來越慢
[06:12] 所以最近又回來用確認GBT
[06:13] 也許確認GBT
[06:15] 也可以迎來第一次的反彈
[06:17] 但是我們也知道
[06:18] 市場的估值肯定不是希望你推出
[06:21] 7GBT678或者GMINI345
[06:24] 就能夠讓估值一度的攀升
[06:26] 今年市場的期望已經很高
[06:28] 也就是硬體的AI必須要逐步出爐
[06:31] 我們過去所談到的未來工廠
[06:33] 多半都是機器取代能力
[06:35] 關燈就能夠運轉的自動化的幻想
[06:37] 但現實卡在成本高
[06:39] 彈性差失敗率又高
[06:41] 可現在不一樣了
[06:42] 生存式AI成熟以後
[06:44] 現在的工業軟體和機器人技術也開始成熟
[06:47] 製造業目前已經迎來真正的轉折點了
[06:49] 如果我們統計在去年年底
[06:51] 像西門子在德國的工廠
[06:53] 現在的產量靠工業化機器人
[06:55] 已經比30年前增高了20倍
[06:58] 能力卻是差不多
[06:59] 生產力的暴升就是如此
[07:01] 有時候生產力的暴升
[07:02] 不是因為人口突然變很多
[07:04] 而是在同樣的人力底下
[07:07] 技術快速進步
[07:08] 產出變得極高
[07:09] 機械手臂現在能夠焊接
[07:11] 切割組裝檢測
[07:13] 所以雖然我們看現在手機組裝
[07:15] 可能還是要有人工的培養
