[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 有進一步的揚升
[00:31] ADR這一次漲幅高達4%
[00:33] 廢辦指數也大漲了
[00:34] 有接近2%
[00:35] 在這樣的一個效果底下
[00:37] 這一次的資本支出的調升
[00:38] 是否也能夠呼應
[00:40] 本輪臺灣對美投資的持續拉昇呢
[00:43] 今天來跟投資朋友做一些觀察
[00:45] 首先我們觀察的效果
[00:46] 是這一次臺美關稅談定之後
[00:49] 對等關稅的15%
[00:50] 是明確不疊加原本的MFM稅率的
[00:54] 這就代表著
[00:55] 待遇已經跟日本韓國歐盟
[00:57] 和美國主要盟友完全拉起了
[00:59] 而且呢如果不疊加其實等同於準最惠國待遇
[01:03] 代表的事情是這項稅率啊
[01:05] 已經是臺灣過去十幾年來首次在美國市場中
[01:09] 和日韓有相同基礎的競爭
[01:12] 以前還有部分產品跟日韓關稅稅率還不一樣
[01:15] 那現在已經幾乎完全一樣了
[01:17] 長期以來WTO去規範臺灣比日韓的稅率其實都還要來得高
[01:22] 所以呢代表的是臺灣傳統產業在這一次的談判競爭
[01:26] 由於拿到最惠國待遇的情況底下
[01:29] 開始重新奪回優勢
[01:30] 那在交換條件層面
[01:32] 臺灣是承諾兩類性質不同的
[01:34] 5000億美元的投資規模
[01:37] 第一類是企業自主的投資
[01:39] 2500億
[01:40] 涵蓋AI EMS能源和相關產業
[01:43] 那第二類呢
[01:44] 則是政府以信用擔保的方式
[01:47] 支援金融機構
[01:48] 提供2500億美元的融資額度
[01:51] 那並不是政府直接出資
[01:53] 不過就有點跟韓國過去的
[01:55] 這種融資管道類似
[01:56] 那搭配232條款的設計
[01:58] 這是最重要的
[01:59] 因為其他國家
[02:00] 像日韓的部分
[02:01] 還並沒有把二三賀條款當中的關稅額
[02:05] 記錄在國家與國家的對等關稅談判當中
[02:08] 那現在根據二三賀條款的設計
[02:10] 臺灣半導體業者在美國建廠期間
[02:13] 可以有免稅進口相當於規劃產能2.5倍的產品
[02:17] 完工之後還有1.5倍免稅額的進口額度
[02:21] 額外配比也適用相對低的稅率
[02:23] 所以在這樣的一個效果底下
[02:25] 等同於這次的關稅
[02:26] 從縱觀來看
[02:28] 關稅談判結果算是不錯
[02:30] 那當然如果我們硬要從
[02:32] 投資規模佔GDP比值
[02:34] 那的確不算是談得特別好
[02:36] 我們要必須公允來做觀察
[02:38] 因為不同角度會有不同思維
[02:40] 如果從最惠國待遇來看的話
[02:42] 那反而和日韓層面開始逐步拉開
[02:45] 反而是日韓想要奪回來
[02:47] 是否也能夠拿到半導體關稅的最惠國待遇
[02:50] 但是如果我們細看
[02:52] 因為日本總體規模投資是5500億美元
[02:56] 南韓是3500億
[02:57] 那臺灣呢以前傳出是3000億
[03:00] 這一次是2500億
[03:01] 所以其實算是低於預期的
[03:03] 但是呢日本的GDP大概是4兆美元
[03:05] 5500億大概是佔比有14%左右
[03:08] 南韓的GDP是1.9兆
[03:10] 那他投資3500億大概就是20%
[03:13] 臺灣啊從原本預估的3000億下滑到只有2500億
[03:17] 不過呢2500億
[03:19] 因為臺灣的GDP不高啊
[03:21] 臺灣GDP大概8000億左右啊
[03:23] 還是有接近三成
[03:24] 所以從比例上來看的話
[03:26] 的確如果是以國家層面
[03:28] 還是會形成適度負擔
[03:29] 那唯一好處是什麼
[03:31] 唯一好處是
[03:31] 可是日韓就算經濟大
[03:33] 他們並不像臺灣有這樣
[03:35] 獨一無二的巨人
[03:37] 我們這個巨人手上錢很多
[03:39] 是什麼意思呢
[03:40] 總體而言
[03:42] 日韓主要是靠人口的多寡
[03:45] 來促成他的GDP的膨脹
[03:47] 所以看起來投資多
[03:48] 而且人口也多
[03:49] 可以能夠負擔
[03:50] 比例並沒有全面失控
[03:52] 可是臺灣的部分
[03:53] 看起來比例是稍微高了一點
[03:55] 不過臺灣有一個每年有數百億美元資本支出的臺積電
[04:00] 可以幫忙進行carbon
[04:01] 這是稍微好一點的事情
[04:03] 當然了
[04:04] 盧特尼克也在這一次關稅談判確定以後
[04:08] 立即在幾分鐘之前就收到CNBC的訪問
[04:11] 講話一樣很難聽
[04:13] 他認為川普任期之內
[04:14] 預估要把臺灣整體半導體供應鏈和產能的40%轉移到美國本土
[04:19] 這個才是他們在這一次談判過程當中的最終目標
[04:23] 希望可以獲得40%的臺積電產能
[04:27] 而且希望在川普任期之內
[04:29] 這個時間線會非常非常趕
[04:30] 因為即便投資數百億美元到美國市場
[04:33] 一直到現在1650億
[04:35] 我們預估那美國產能來不來得及
[04:38] 在川普卸任前來到一成
[04:40] 都有點挑戰
[04:41] 他想要拿到四成
[04:42] 他也表示臺灣為此做出兩項關鍵承諾
[04:45] 一個就是剛才聊到的
[04:47] 企業直接投資2500億
[04:48] 另外一個是政府的擔保條款
[04:50] 擔保的融資餘額
[04:52] 那協助中小型企業供應商
[04:54] 也要一路赴到美國來進行設廠
[04:56] 因為如果只有臺積電過去
[04:58] 裝置廠材料廠沒有完整過去的話
[05:00] 那美國的科學園區一樣做不起來
[05:02] 所以在實物設計上
