[00:00] 投資朋友歡迎收聽早晨財經速解讀
[00:02] 現在是臺北時間2026年1月19號禮拜一
[00:05] 早上8點30分
[00:06] 大家好早上我是鄧浩
[00:07] 每天早上開拍前半小時
[00:09] 我們在這邊陪伴著各位一起解讀國際財經新聞時事變化
[00:12] 上禮拜沒有股市三大指數收黑
[00:14] 不過臺積電和博通超微等晶片股的大漲
[00:18] 對於廢辦股市有顯著的拉抬
[00:20] 主要是軟體股的走皮搭配著硬體股的買盤
[00:23] 不過市場持續消化一連串來自於華府的訊息
[00:27] 今天我們直播呢
[00:28] 把三個訊息來做重疊
[00:31] 一方面來觀察
[00:32] 格林蘭這一次不只是
[00:34] 北極八國聯軍的遠征政治秀
[00:36] 而是歐洲已經在被迫選邊站
[00:38] 美歐關稅戰是否已經正式開打了
[00:41] 另外一方面
[00:42] 在本週末金價的創高
[00:45] 尤其是金銀筆的極端
[00:46] 是否在提醒市場
[00:48] 當前在貴金屬資產當中
[00:50] 避險需求工業迴圈
[00:52] 以及資金槓桿正在同時打架
[00:54] 那價格漲跌就不是重點了
[00:56] 因為大家都在漲嘛
[00:57] 真正的殺傷力是否在於波動率呢
[01:00] 第三呢
[01:01] 你把這兩件事情放入到同一個框架
[01:03] 就更容易看懂川普的真實意圖
[01:06] 這個時候他要求的
[01:07] 肯定不是一個可以被制度化的解方
[01:10] 而是在用關稅
[01:11] 軍事姿態
[01:12] 以及話術
[01:13] 把戰場拉到最自己
[01:15] 最擅長的一個賽道
[01:17] 先創造一些不確定性
[01:19] 逼你加碼成本
[01:20] 再把對手的讓步變成自己的收割
[01:22] 那今天就來觀察
[01:24] 格林蘭是不是隻是籌碼
[01:25] 貴金屬只是一個情緒的溫度計
[01:28] 而他真正想要的是把世界變成一張可以反覆加價的談判桌
[01:32] 我們首先觀察在本週末最新新聞
[01:35] 八國聯軍已經正式出動
[01:37] 在北極緊張局勢持續升溫之際
[01:40] 現在歐洲部隊已經陸續抵達格陵蘭
[01:42] 我們根據德國圖片報的披露
[01:45] 在週末丹麥的軍用運輸機已經先行降落
[01:48] 那上面有丹麥士兵和法國軍人
[01:50] 另外一架丹麥的C130大令神運輸機也陸續抵達
[01:55] 雖然人數並不是特別多
[01:57] 但兩架飛機都關閉了應答器飛行
[02:00] 這個細節在高度敏感的北極對峙當中
[02:03] 就格外引人注目
[02:05] 畢竟這一次德國本來是小規模兵力也抵達了
[02:09] 不過好像只待了四四個小時就回家了
[02:11] 但這些國家都是北約國的成員
[02:14] 但是這次行動卻並非由北約體系來主導
[02:18] 而是由哥本哈哥進行協調
[02:20] 刻意要避開北約的指揮鏈
[02:22] 要凸顯他的政治敏感度
[02:24] 這一次佈局的時間點
[02:26] 同樣耐人尋味
[02:27] 我們本來以為丹麥以及格陵蘭官員
[02:30] 在美國白宮正在進行會談
[02:32] 結果會談到一半
[02:33] 歐洲陸續軍隊都已經抵達格陵蘭了
[02:36] 格陵蘭雖然是丹麥的自治領土
[02:38] 要知道長期還是美國的戰略規劃核心
[02:41] 所以上面也有美國空軍和太空軍設施
[02:44] 所以美軍一定也知道
