[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 則是回落0.3%
[00:31] 那這樣的一個衝突
[00:32] 我們看美國股市本輪的回撥
[00:34] 到底情緒能夠放得多大
[00:36] 畢竟市場上
[00:37] 其實更類似於估值上的修正
[00:39] 我們重點觀察的幾大方向
[00:42] 一方面來觀察
[00:43] 當全球進入到高警戒模式
[00:45] 真正決定輸贏的
[00:47] 就不會再是誰喊得更大聲
[00:49] 而是大家的資本
[00:51] 誰的資本
[00:51] 誰的人才和誰的市場出口
[00:53] 能夠在現在
[00:54] 2026年的不確定性當中撐得夠久
[00:57] 因為美國七巨頭
[00:59] 其實已經盤頭盤很久了
[01:01] 應該講六巨頭
[01:02] 因為只有Google在充
[01:03] 財報紀現在已經開跑了
[01:05] 市場要看的就不單純是
[01:08] 有沒有賺錢
[01:09] 而是你的臺積電資本支出
[01:11] 未來要繼續提高
[01:12] AI的資本支出也要繼續擴張
[01:14] 這一次關鍵就從過去的GPU
[01:18] 伺服器還有另外一個投資專案
[01:20] 就是電力投資以及長約的部分
[01:23] 科技公司現在已經親自下場去卡能源
[01:26] 會不會變成下一輪資本支出的上漲週期
[01:30] 那第二個角度
[01:31] 是臺商在AI浪潮當中所賺到的錢
[01:34] 但是呢
[01:35] 與此同時
[01:36] 今年臺灣的燒紙化
[01:37] 出生人口會低於10萬人
[01:39] 那會大於
[01:40] 應該講說退休人口11萬人
[01:42] 退休人口對於出生人口的衝擊
[01:45] 會導致企業想要繼續膨脹
[01:47] 也只能夠走出去
[01:48] 在這樣的效果底下
[01:49] 臺商所面臨的挑戰在哪裡呢
[01:51] 來跟投資朋友多做一些細微和觀察
[01:54] 當然從財報季這一次
[01:56] 我們看到的多空擁擠交易
[01:58] 市場上正在壓住什麼呢
[02:00] 你發現市場的分歧
[02:02] 其實還是相對來的大的
[02:03] 早先我們看到摩根大通
[02:05] 美國銀行和富國銀行
[02:07] 之前曾經受到行政和監管層面的
[02:10] 訊息干擾股價下跌
[02:11] 不過呢
[02:12] 整體而言
[02:13] 這些金融股
[02:14] 其實整體財報表現都不算太差
[02:16] 幾乎就彰顯著
[02:18] 如果以優質客戶來看
[02:19] 大家的消費
[02:21] 其實並沒有因此而受損
[02:22] 市場對於25年第四季的財報的門檻其實並不高
[02:26] 預期有機會連續10個季度達標
[02:28] 目前市場的共識是年增幅EPS有7%
[02:32] 以全年來看
[02:33] 高盛預估整個標普的EPS會年增幅12%
[02:37] 來到305美元
[02:38] 主要動能來自於7%的營收成長
[02:41] 還有加上約70個基點的利潤擴張
[02:44] 那今年的重要轉折點就是來自於產業的復甦
[02:47] 我們知道這一段時間
[02:49] 其實美國很多傳單股已經開始做輪動了
[02:52] 早些幾個禮拜道瓊不斷的創下歷史新高
[02:55] 所以今年呢
[02:56] 從七巨頭外溢到其他巨頭的角色就特別重要了
[03:00] 去年第四季
[03:02] 七巨頭的EPS征服還有20%
[03:05] 而剩下493家公司只有3%
[03:08] 可是在今年大家都會拉到雙位數字
[03:11] 到第四季預估七巨頭的EPS征服
[03:14] 很有可能就會跟剩下的巨頭差不多了
[03:17] 那你要知道在24年25年
[03:19] 這是很極端的
[03:20] 24年七巨頭的年增幅都是五成三成起跳
[03:24] 那麼剩下493家公司要麼就負值
[03:28] 要麼就是個位數值
[03:29] 所以在這樣的一個效果
[03:30] 我們要讓整個中下游有更進一步的擴張
[03:34] 你說那是不是就靠剩下493家
[03:36] 也不能
[03:37] 因為剩下的493家有很多的訂單來自於七巨頭
[03:41] 所以大型雲端業者的資本支出的年增幅就特別重要了
[03:46] 我們根據高盛的預估
[03:47] 現在24年到25年
