[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 財報公佈在即
[00:31] 市場上開始進行適度的估值回撥
[00:34] 或者獲利了結賣壓
[00:35] 道瓊指數狂瀉超過870點
[00:37] 標普跌幅也超過2%
[00:39] 如果細看
[00:40] 標普今年的漲幅已經完全被吞噬掉了
[00:43] 不過與此同時
[00:45] 黃金和白銀在昨天再度創下歷史新高
[00:48] 事實上大家更為關注的
[00:50] 是股市的波動和黃金貴金屬的波動
[00:53] 這幾個禮拜大家已經習慣了
[00:56] 稍微跌一下也沒那麼恐怖
[00:57] 重點在於債券市場
[00:59] 最近日債的拋售潮
[01:01] 也引發全球債券跟著拋售
[01:03] 美國生前期供債資利率
[01:05] 並沒有隨著市場的降息預期放大
[01:08] 而跟著走跌
[01:09] 然而持續走高
[01:10] 那是否隱含著
[01:11] 全球正迎來新一輪的流動性收縮呢
[01:14] 今天來跟投資朋友做一些觀察
[01:16] 首先我們看四大指數變化
[01:18] 道瓊指數是大跌870點
[01:20] 1.76%
[01:21] 說在48,488點
[01:23] 稍微跌破月線
[01:24] 其實就正常回檔
[01:26] 標普白指數下跌
[01:27] 103.1.26%
[01:30] 收在6796點
[01:32] 這一次就跌到季線左右了
[01:34] 納指大跌561點
[01:36] 2.39%
[01:37] 收在22954點
[01:39] 一樣看半年線是否有支撐
[01:41] 那Fibon
[01:42] 這就很明顯了
[01:43] 它只是從高位稍微休息一下
[01:45] 甚至四條均線都還在穩定向上
[01:48] 下跌133點
[01:49] 1.68%
[01:50] 收在7794點
[01:52] 這一波會感受到痛的
[01:54] 基本就是個股投資
[01:56] 或者硬體股半導體
[01:58] 記憶體相關族群的輪動
[02:00] 會稍微感覺到市場心理情緒放大
[02:03] 不過其實從整個大盤來看
[02:04] 就是一個正常的怪力回擋而已
[02:07] 那市場上其實正在對賭的是什麼呢
[02:09] 我們看到這兩天
[02:11] 不管是臺股美股成交量開始陸續的放大
[02:14] 一個根本原因就來自於
[02:16] Taco交易會不會再上演呢
[02:18] 我們清楚知道
[02:20] 2025年的川普市場
[02:21] 幾乎每一次的恐慌都被當成市場的進場點
[02:25] 那這次格林蘭的事件
[02:26] 或者美國股市的估值回撥
[02:28] 會充滿著意外嗎
[02:30] 會大家不願意買了嗎
[02:31] 我們過去看到新聞標題
[02:33] 不管看起來再怎麼混亂
[02:35] 但川普並沒有意圖
[02:36] 真的把股市或者經濟推向崩盤
[02:39] 至少從過往經驗來看是如此
[02:41] 他更在乎的是市場是否還能夠撐得住
[02:44] 這就變成了在2026年
[02:46] 很多投資策略的底層假設
[02:48] 就股市只要出現壓力
[02:50] 政策立場往往就會轉彎
[02:52] 所謂的Taco交易
[02:54] 指的就是川普習慣先丟出極端的威脅當作籌碼
[02:58] 市場反應過於激烈
[02:59] 風險開始擴散的時候
[03:01] 他就選擇退一步
[03:02] 那問題就在於
[03:03] 如果股市的回跌是由於格林蘭問題所造成的估值回撥
[03:07] 那當然可以藉由川普的Taco達成進一步反彈
[03:10] 那如果股市的回跌已經默默在反映科技股財報所公佈的資本支出不如預期
[03:16] 這就很挑戰了
[03:17] 那就是AI的問題
[03:19] 需要從兩個方向來持續做推演
[03:21] 才能夠了解本輪估值回撥
[03:24] 到底更類似於地緣政治的避險情緒
[03:26] 還是AI股
[03:28] 目前美國股市七巨頭
[03:30] 陸續開始破底了
[03:32] 我們舉例來說
[03:33] 像輝達的部分
[03:34] 現在大跌了4.38%
[03:36] 已經站在季線月線半年線之下了
[03:40] 這個就要趕快回談了
[03:42] 要不然下一次回撤到年線
[03:43] 它就跌到去年6月7月的水準了
[03:46] 所以這一次要看一下
[03:48] 全球最大的市值圈子股
[03:50] 是否能夠守住這一波
[03:52] 我們講說橫盤區間的下緣
[03:55] 那另外一方面
[03:56] 我們看到在軟體股的部分
[03:58] 像Meta股價
[03:59] 這一次也是大跌了2.6%
[04:02] 已經快要打回到去年11月份的水位了
[04:04] 那這樣子一看
[04:05] 其實跟去年3月4月
[04:08] 那一波關稅戰的股災的位階
[04:10] 也沒有差多遠了
[04:11] 蘋果股價的部分也是大跌了3.46%
[04:14] 這個消費性電子產品的龍頭股
[04:17] 過去一直依循著
[04:18] 我們講的上升迴圈
[04:20] 它的股價不是最亮麗的
[04:21] 可是從四月份的關稅戰
[04:24] 一路往上延伸
[04:25] 它基本上就是標準的基底高
[04:27] 可是這一波已經跌破了
[04:29] 當時的上升趨勢線
[04:30] 是否新的轉捩點已經逐步到來
[04:33] 不過這也是為什麼
[04:34] 我們說做投資
[04:36] 最好還是不要單押個股
[04:39] 尤其你沒有那個心力的話
[04:41] 因為我們講說量變引起持變
[04:43] 你跟一個男生聊天
[04:44] 你可能會栽在他的手裡
[04:46] 但你跟一群男生聊天
[04:48] 機會就往往掌握在你手裡
[04:50] 投資個股
[04:51] 在估值回撥的時候
[04:52] 那個幅度的確
[04:53] 心性承受壓力比較大
[04:55] 但是你投資ETF的
[04:56] 整個大盤還好啦
[04:58] 稍微休息一下
[04:59] 都還不值得我下手
[05:00] 左側交易才剛剛冒出頭而已
[05:03] 那臺積電股價的部分
[05:05] 最近也是明顯的反轉
[05:07] 不過呢
[05:08] 也一樣距離多數均線
[05:10] 還有一段距離
[05:11] 所以大家看起來也不會多緊張
[05:12] 我們反而真正要關注的是
[05:14] 臺積電這一波外資的
[05:16] 賣壓和走跌
[05:17] 它會如何影響到內資情緒
[05:19] 因為我們過去提過
[05:20] 其實這段時間
[05:21] 三大法人基本都沒有回補
[05:23] 投信已經連續18個交易日都賣超了
[05:26] 我們細細數來
[05:27] 當時臺股在12月中旬
[05:30] 大概在27000點左右
[05:32] 結果就一路漲到
[05:33] 3萬接近2000點
[05:35] 結果呢
[05:36] 從12月24號開始
[05:38] 它就賣第一天
[05:39] 第二天
[05:40] 第三天
[05:40] 第四天
[05:41] 這樣子一路數過來
[05:43] 連ETF買盤
[05:44] 都已經連續賣了18天了
[05:46] 那當然不代表說
[05:48] 被動型ETF正在大幅贖回
[05:50] 也有可能是共同基金
[05:51] 或者主動型ETF
[05:52] 適度做調節
[05:53] 但是這幾個交易日
[05:55] 也是賣壓越來越大
[05:56] 那你要這樣想
[05:57] 外資也沒有回補
[05:58] 然後投信的ETF買盤
[06:01] 也在退卻
[06:02] 自營商也沒有回補多少
[06:04] 但是呢
[06:05] 臺股就好像有一隻神奇的手
[06:07] 他就是給他撐在這個位階
[06:09] 那這時候大家就心想
[06:11] 這個三大法人都在撤離
[06:12] 到底是誰撐住這一隻
[06:14] 臺股呢
[06:15] 到底這隻神奇的手來自於哪裡呢
[06:18] 到底是受險的左手
[06:19] 還是主力的右手
[06:21] 還是加騰因之手
[06:23] 我們不確定
[06:24] 但是至少可以承認的事情是
[06:26] 這一波的賣壓
[06:27] 這一波我們看到
[06:28] 撐住手的這股內資
[06:30] 它到底壓不壓得住
[06:32] 撐不撐得住本輪的賣壓
[06:34] 這就很重要了
[06:35] 因為臺股好像得了不會跌的病
[06:37] 那這一次就看
[06:38] 土羊對坐真正的賣壓要來了
[06:40] 那當然了
[06:41] 股票市場
[06:41] 其實從指數來看
[06:43] 它只是休息而已
[06:44] 從債券市場來看才比較緊張
[06:46] 我們看這次川普丟擲格林蘭相關關稅威脅以後
[06:49] 市場針對美國資產的信心開始降溫
[06:52] 美國公債現在已經加入了日本國債
[06:54] 進入到下跌行列
[06:56] 長天期首當其衝
[06:58] 30年期之利率
[06:59] 現在交易上升接近有五個幾點來到4.89%
[07:04] 那我們要知道美國債券市場
[07:07] 這一波的確已經開始陸續跟降息格局脫鉤
[07:10] 那過去也曾經發生
[07:11] 只不過呢這一波針對美債的拋售啊
[07:14] 它的引發點一開始是來自於日債
[07:17] 日本公債的賣壓很好理解
[07:19] 因為現在高市早描提出十平減稅的選舉政見
[07:22] 投下反對票
[07:23] 然後加上長期國債值利率啊
[07:25] 預估接下來中英院解散以後啊
[07:27] 會採取更為激進的財政寬鬆那就代表著日本會發行很多債那日債又不值錢那40年級公債殖利率就一度觸及到接近4%這個就是2007年以來的最高了
[07:39] 也是日本超過30年來首次有任何年級占上這個水準
[07:44] 20年級公債殖利率也大漲了13.5個基點
[07:47] 所以日本的債市已經出現了結構性的轉折
[07:50] 過去多年的超低利率
[07:52] 現在讓日本公債殖利率已經陸續超越其他國家
[07:57] 成為現在配息回報非常高的一個債券資產
[08:01] 當然就代表著
[08:02] 它的公債價格跌幅非常重
[08:04] 那外資目前也佔有日本公債現貨交易的65%
[08:08] 所以看得出來
[08:09] 外商也正在針對日本公債來進行重新定價
[08:13] 那這一波的傳導鏈
[08:14] 它就慢慢的傳到歐洲
[08:15] 現在傳到美國了
[08:17] 全球的長天級國債全部都在飆升
[08:20] 所以這是否代表著
[08:22] 不管是川普還是高市早苗
[08:24] 接下來會採取一定程度的喊話
[08:27] 來穩定接下來的財政資訊
[08:29] 就值得特別關注了
[08:30] 那現在就是標準的
[08:31] 股債齊殺貴金屬的大好
[08:34] 因為呢
[08:34] 目前貴金屬表現還是非常亮麗
[08:36] 我們仔細觀察
[08:37] 在地緣政治的緊張底下
[08:39] 黃金價格在昨天突破了
[08:41] 每盎司4700塊
[08:43] 這一次已經來到4773了
[08:45] 這看起來距離4800
[08:47] 咫尺之遙
[08:48] 白銀的部分
[08:49] 也重新整理了歷史新高
[08:51] 黃金昨天是漲2%
[08:53] 白銀的部分在昨天
[08:54] 現貨價格大概漲0.4%
[08:56] 每英兩是94.72塊
[08:59] 也創下歷史新高
[09:00] 週一大盤
[09:01] 這樣子白銀價格已經漲了4.7%了
[09:05] 現貨是黃金是漲1.6%
[09:07] 大家都是創下歷史新高
[09:09] 這種經營的輪流創高
[09:12] 就會導致投資股市的報酬
[09:14] 因為標普今年已經歸零了
[09:15] 重新從頭算
[09:17] 21個交易日
[09:20] 兩個禮拜的交易日
[09:21] 發現一場空
[09:22] 現在回到年初的點位了
[09:24] 但是經營卻
[09:25] 如同去年的漲勢一樣
[09:27] 不斷的往上推
[09:28] 那這年頭就是這樣子
[09:29] 你買債券的
[09:31] 你羨慕買高股息的
[09:32] 你買高股息的
[09:33] 你羨慕買大盤的
[09:34] 你買大盤的
[09:35] 想說幹嘛不去買臺積電
[09:36] 你買臺積電的
[09:37] 想一想
[09:38] 不如去買個黃金
[09:40] 那買黃金的
[09:41] 還寧願持有白銀長更多
[09:42] 願做一身小銀蟲
[09:45] 那唐伯虎頂秋香裡頭
[09:47] 那周星馳有講
[09:48] 小弟我就是玉樹臨風盛攀安
[09:53] 一朵梨花壓海棠的
[09:56] 小銀蟲周伯通
[09:57] 你看
[09:58] 唐伯虎對銀有多痴迷
[10:01] 他還稱自己小銀蟲
[10:03] 不過你也要抱得住
[10:04] 每晚你都要守銀
[10:06] 忍著不賣銀
[10:08] 那也是很辛苦的
[10:09] 好 但可以看得出來
[10:10] 市場的風險情緒
[10:11] 以及避險情緒
[10:12] 分別反映在不同的指標身上
[10:14] 當然
[10:15] 你說格林蘭這場鬧劇結束以後
[10:17] 會不會有Taco交易
[10:18] 我們是非常相信有的
[10:20] 所以到底股市是反映AI
[10:21] 還是反映格林蘭就很重要
[10:23] 我個人認為
[10:24] 其實反映更多的是
[10:25] 大家針對軟體股的資本支出增長
[10:27] 可能不如預期所造成的效果
[10:29] 但是如果科技股最後公佈的財報
[10:31] 基本上還是能夠把股市給拉回來
[10:33] 那格林蘭所引發的Targo交易
[10:35] 如果真的是如此
[10:37] 那就更要抓住
[10:38] 這一次是否有左側交易的空間了
[10:40] 雖然跌幅也不是特別大
[10:41] 我們細看
[10:42] 這場貿易戰
[10:43] 已經變成前所未見
[10:45] 因為關稅
[10:46] 已經並不是改變貿易順利差的手段
[10:49] 關稅變成了
[10:50] 想要獲得領土的工具
[10:51] 我們知道川普在過去一年
[10:53] 一直頻繁使用關稅
[10:54] 大家都已經有一點疲憊了
[10:57] 大家都已經不把它當一回事了
[10:58] 可是這一次
[10:59] 他不是為了貿易談判
[11:01] 投資條件
[11:01] 移民或者毒品問題
[11:03] 這一次是為了要獲得格林蘭的主權
[11:05] 他就針對盟友
[11:06] 克徵10到25%的關稅
[11:08] 就讓大家會想象
[11:10] 這一次的Taco
[11:11] 好像跟過去的Taco不太一樣
[11:13] 這一次是一個軍事手段的武器
[11:16] 那川普在昨天也發了一條新帖文
[11:18] 裡頭就是他跟盧比歐
[11:20] 還有範斯在格陵蘭揮舞著新條旗
[11:24] 上面的標語寫著
[11:25] 格陵蘭的美國領地成立於2026年
[11:27] 所以他現在還有接近11個月的時間
[11:30] 可以達到他的目標
[11:31] 這個都是他本人發的文
[11:33] 那格陵蘭也成為了北極大國博弈的第一線
[11:36] 現在我們知道美方的態度非常清晰
[11:38] 對於美國國防這麼關鍵的原因
[11:40] 就在於地圖投影
[11:42] 我們把比例調過來看
[11:43] 格陵蘭其實就在北美的旁邊
[11:46] 正好卡在北大西洋公約組織的核心地帶
[11:49] 那位置上呢
[11:50] 它夾在北美和歐洲之間
[11:51] 一邊面向北大西洋
[11:53] 一邊接著北極
[11:54] 剛好就是整個北約防線的轉折點
[11:56] 那現在由於是導彈戰爭
[11:58] 所以呢
[11:59] 距離這件事情就非常重要
[12:01] 我們把格陵蘭
[12:02] 看在北極海的交匯點當中
[12:05] 你會發現俄羅斯的艦艇和潛艇
[12:07] 只要從北極基地一路南下
[12:09] 幾乎就一定要穿過格陵蘭
[12:11] 所以在格陵蘭設定一定程度的防線
[12:14] 就特別重要了
[12:15] 如果我們再細看
[12:16] 從莫斯科一路沿線到華盛頓特區的最短的距離
[12:20] 我們叫做大遠航線
[12:22] 格陵蘭剛好就位於這個中段
[12:24] 等於卡住了跨北極飛行的必經之路
[12:27] 無論是戰略轟炸機
[12:28] 飛彈的預警
[12:29] 還是巡弋飛彈
[12:31] 這條路線是最省時的
[12:33] 所以我們才瞭解說
[12:34] 對於川普而言
[12:35] 為什麼這麼重要
[12:36] 那距離莫斯科到格陵蘭
[12:38] 跟華盛頓到格陵蘭
[12:40] 兩個的距離其實都差不多
[12:42] 在這樣的一個效果底下
[12:43] 等同於我們看川普
[12:45] 已經把它視為一個必拿的戰略要點
[12:48] 那最後的效果
[12:49] 就是看是否能夠有折中的條件
[12:51] 藉由美國適度的擴大美軍決定
[12:54] 以及歐洲或者北約派軍到格陵蘭
[12:57] 來達成相關的軍事部署
[12:59] 也許川普不一定反對
[13:01] 歐洲各國派軍隊到格陵蘭
[13:04] 目的就是你要幫忙分擔軍事義務
[13:07] 你主權你要完全給我是有點困難
[13:10] 可是要讓我有擴大美國軍事基地
[13:12] 以及擴大在整個北約防線
[13:14] 在格陵蘭的重要戰略地位
[13:16] 這是很重要的
[13:17] 當然了
[13:18] 最近歐洲稍微表態
[13:20] 可能採取相對的報復手段
[13:22] 那川普在昨天也揚言
[13:23] 可能會針對法國葡萄酒和香檳
[13:26] 克徵200%的懲罰性關稅
[13:28] 那目標很明確
[13:30] 就是逼法國總統馬克宏點頭
[13:32] 加入美國主導的和平理事會
[13:35] 那馬克宏拒絕嘛
[13:36] 為什麼要退出聯合國
[13:38] 或者說聯合國不管了
[13:39] 重新加入和平理事會呢
[13:41] 那川普說那你不加入
[13:43] 那我克你關稅
[13:44] 所以不管怎麼講
[13:45] 我們看雙方的持續衝突仍然在發酵
[13:49] 雖然名字叫和平理事會
[13:50] 但他乾的事好像不太和平
[13:53] 有點像老鼠會
[13:55] 因為進來要先收會費
[13:56] 所以其實有點類似關稅理事會
[13:59] 但歐洲的新威脅
[14:00] 不再來自於外部
[14:02] 而來自於美國本身以後
[14:03] 我們看這一次反協破工具
[14:05] 是否成為歐盟最後一道防線
[14:07] 市場上都在聚焦
[14:09] 最近歐洲能夠採取的報復手段
[14:12] 到底為何呢
[14:13] 畢竟上一次的美歐關稅戰
[14:14] 並沒有因此爆發
[14:16] 全球陸續跟美方陸續達成協議
[14:18] 那歐洲現在第一層角度
[14:20] 是說是否能夠藉由美國資產的拋售
[14:22] 來引起市場的恐慌
[14:24] 舉例來說
[14:25] 你看最近美債的下跌
[14:26] 如果歐洲也跟著拋售
[14:28] 是否能夠拿來當成一個金融反制呢
[14:31] 我們如果細看
[14:32] 如果以美國公債海外持有的結構
[14:34] 其實現在有稍微比較歐洲化一點
[14:37] 如果表面上來看
[14:39] 那當然是亞洲
[14:39] 現在日本和中國是美國公債的主要持有者
[14:43] 但反過來
[14:44] 歐洲雖然國別比較分散
[14:46] 但合計歐洲也持有了
[14:48] 接近有四成左右的美債
[14:50] 像是英國比利時
[14:51] 盧森堡
[14:52] 愛爾蘭
[14:52] 瑞士這些非典型的實體經濟大國
[14:55] 它的佔比就異常高
[14:56] 很多都是全球資金
[14:58] 幣簡資金
[14:59] 跨國銀行的中繼站
[15:00] 這代表著美債真正的海外需求越來越不是來自於貿易順差國的被動退支或者說它更來自於全球體系對於美元無風險資產的
[15:11] 結構性依賴
[15:12] 所以這些國家
[15:12] 雖然手上有蠻多的美債
[15:16] 但是否能夠拿來當成一個反制作用
[15:18] 大家就拭目以待
[15:19] 高盛的判斷是這樣子
[15:21] 川普的格林南關稅
[15:22] 應該在最後一刻就會轉彎
[15:24] 現在只剩下2月1號
[15:26] 只剩下接近9到10個交易日
[15:29] 9到10天而已
[15:30] 那現在川普的格林蘭關稅
[15:32] 在過往的條件
[15:33] 通常在前兩天
[15:35] 川普就會改口了
[15:36] 我們根據路透社的民調
[15:38] 其實已經發現
[15:39] 美國內部針對霸權型擴張的矛盾心態
[15:43] 已經講得很清楚了
[15:44] 真正支援美國收購格林蘭的
[15:46] 現在同意只有17%
[15:48] 反對高達47%
[15:50] 對於動用軍事力量來取得新領土的反對
[15:54] 更是呈現壓倒性
[15:55] 有69%是反對的
[15:56] 這就說明美國民意
[15:58] 對於直接領土的擴張
[15:59] 仍然排斥非常非常高度排斥
[16:02] 所以歐洲只要堅持下去
[16:03] 那美國人民
[16:05] 也許在中期選舉
[16:06] 就會教訓川普了
[16:07] 那川普可能就被迫
[16:09] 往下一個議題來做延伸
[16:10] 這是最好的一個方向
[16:12] 可是我們至少可以發現
[16:13] 在格林蘭問題上
[16:14] 川普的行為以及形勢
[16:16] 那很多人說
[16:17] 好像越來越像普丁了
[16:19] 強強的語言
[16:21] 交易邏輯
[16:22] 直接挑戰主權
[16:24] 或者既有秩序
[16:24] 那歐洲之所以反應大
[16:26] 也關鍵不在於他做了什麼
[16:28] 是說本來應該是屬於誰的
[16:30] 俄羅斯長期就被視為那種體制外的修正主義者
[16:35] 那個歐洲對於他的越界行為已經有心理準備了
[16:38] 所以反應沒那麼大
[16:39] 那烏克蘭戰士打了那麼多都看不到歐洲這麼團結
[16:42] 那反而格林蘭問題
[16:43] 那歐洲就急忙就派幾支兵就到格林蘭去了
[16:47] 相反的美國被放在制度內的位置
[16:50] 是北約安全的保證者
[16:51] 自由秩序的背書人
[16:53] 那這個秩序維持者
[16:54] 開始以掠奪式的手段向盟友施壓的時候
[16:58] 歐洲就會緊張了
[16:59] 它不只是一個
[17:01] 我們講出地緣政治摩擦問題
[17:03] 它是那種權力結構的
[17:04] 責任分工的背叛
[17:06] 權力結構和責任預期的不同
[17:09] 就會導致
[17:10] 歐洲人在對烏爾戰士的態度
[17:12] 和對格林蘭態度
[17:13] 預期當中態度的轉彎
[17:16] 好像打電話
[17:18] 如果老婆關機了
[17:20] 然後開機之後
[17:21] 發現老公有二十幾個未接來電
[17:24] 瞬間覺得好幸福
[17:26] 但如果老公關機了
[17:28] 開機之後
[17:29] 發現老婆有二十幾個未接來電
[17:33] 他瞬間完蛋
[17:34] 覺得自己死定了
[17:35] 權力結構和預期責任的不同
[17:38] 它就會導致歐洲情緒真正失衡的核心
[17:41] 明明兩個人做的事情沒有差太多
[17:44] 但是歐洲人是沒法接受美國人這樣做的
[17:46] 但可以接受俄國人這樣做
[17:47] 這就是我們看到
[17:48] 為什麼有這種情緒反轉的效果
[17:50] 但不管怎麼說
[17:51] 川普的關稅談判
[17:53] 在針對各國當中
[17:54] 都採取了一定的成效
[17:56] 我們要看的是
[17:57] 歐洲人所提出的折衷方案為何
[17:59] 因為如果我們回過頭看
[18:01] 在過去一年所談證的協議
[18:02] 大部分國家都有遵守諾言
[18:05] 像臺日韓的部分
[18:06] 針對農產品
[18:07] 或者針對美國的投資
[18:09] 都在陸續布建
[18:10] 中國也是如此
[18:11] 我們看在過去三個月以內
[18:13] 中國已經買進了
[18:14] 1200萬噸的美國大豆
[18:16] 美中真的和解了
[18:18] 正式達標
[18:19] 當時的合約當中提到的
[18:22] 美方希望中國能夠採購的盾數
[18:25] 就是1200萬盾
[18:26] 三個月內中方已經達標了
[18:29] 白宮這方面也表達一定的肯定
[18:31] 這一波買盤主要由國有企業
[18:33] 持續下單完成
[18:34] 多數的貨船都會在第一季進行裝運
[18:37] 外界普遍認為
[18:38] 北京的關鍵時間點選擇交差
[18:41] 也有助於穩定市場
[18:43] 對於中美農產品貿易的信心
[18:44] 當然這不代表
[18:46] 中國的採購策略出現根本轉向
[18:48] 從第一輪的美中貿易戰以後
[18:50] 中國就到處到南美洲
[18:52] 來進行新一輪的農產品採購
[18:55] 目前也沒有大幅轉變
[18:56] 主要為的是要虛硬故事
[18:59] 就是要應付美方所提出的要求
[19:02] 不要讓你抓到小辮子
[19:03] 引發下一輪的貿易戰
[19:05] 那我現在已經完全買到1200萬噸了
[19:07] 你應該也不能說我食言了
[19:09] 所以他還是有一定進度達成的
[19:11] 好那我們回過頭來看
[19:13] 今天剛好1月21號
[19:15] 也是川普執政的一週年
[19:17] 他的上任一週年
[19:19] 到底川普哪一些承諾已經兌現了
[19:21] 哪些沒有
[19:22] 我們可以從這些承諾當中
[19:24] 獲取什麼樣的方向
[19:25] 事實上華爾街日報
[19:26] 他就去統計
[19:27] 川普在過去一年當中
[19:29] 發了6000條貼文
[19:31] 我以為我發的貼文已經算多了
[19:33] 他發的貼文
[19:35] 大概是我的10倍左右
[19:37] 除了轉貼新聞和影片之外
[19:39] 有數百則都是明確的政策宣誓
[19:41] 結果並不全然是黑白分明
[19:44] 但有些事情發生了
[19:45] 就是他的確做到了
[19:46] 比如說向美國停止
[19:48] 鑄造成本高於面額的一分硬幣
[19:51] 現在真的沒有在印了
[19:53] 可口可樂的浙塘版的可樂
[19:56] 真的推出了
[19:58] 川普要求可口可樂推出浙塘版
[20:00] 再來是邊境非法入境人數
[20:03] 在他第二任的任期
[20:05] 已經出現大幅下滑
[20:06] NASA也提前讓兩名太空人最近返航了
[20:10] 關稅方面
[20:11] 聯邦關稅收入真的暴增了
[20:13] 但是外國付錢
[20:14] 其實大部分是政治說法
[20:16] 很主要還是由進口商來做承擔
[20:18] 那部分轉嫁給消費者
[20:19] 另外一邊
[20:20] 他沒做到或者卡關的承諾也一樣不少
[20:23] 第一個就是iPhone
[20:25] 到目前為止
[20:25] 還沒有回到美國本土
[20:27] 做任何一支iPhone的組裝
[20:29] 第二個呢
[20:30] 發放2000美元的支票還沒有成真
[20:32] 那可能在4月份就會成真了
[20:35] 第三呢
[20:35] 是要求馬斯克企業政府合約
[20:37] 只做到部分補貼的退場
[20:39] 那再來呢
[20:40] 比如說
[20:41] 對於廢除參議院冗長辯論的呼籲
[20:44] 或者在文化戰線上
[20:46] 他也要重塑甘迺迪中心的治理
[20:48] 和節目方向等等
[20:50] 有很多他都遭受到的困難
[20:51] 大概有60%最後都沒有達成
[20:55] 可是光是40%在第一年任期達成
