[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 那我們今天呢就從川普在最近
[00:32] 尤其是最新的貼文談話當中
[00:34] 在三條戰線上的釋放訊號
[00:36] 一方面美歐的關稅衝突已經正式翻頁
[00:39] 以格林蘭的框架協議來換取暫停加徵關稅
[00:43] 所以2月1號的關稅已經取消了
[00:45] 那對內的部分呢
[00:47] 他在貼文裡頭也提到
[00:48] 他刻意對聯總會主席啊
[00:50] 持續賣關子
[00:51] 一邊強調我們會尊重專業
[00:53] 一邊呢持續對於貨幣政策採取施壓
[00:55] 讓市場在獨立性和政治介入當中
[00:59] 反覆的解讀
[01:00] 反正只要十年期公債殖利率不失控
[01:02] 市場預期利率往下調就沒問題了
[01:05] 那最後呢
[01:06] 在經濟現實層面
[01:07] 在昨天的論壇當中
[01:09] 川普也首次正面碰觸到電力和能源的瓶頸
[01:12] 他也承認說
[01:13] AI和資料中心揮流
[01:15] 正在造成電價的副作用
[01:17] 以及電網的壓力
[01:18] 所以呢
[01:19] 暗示未來的政策中心呢
[01:21] 會從原本的關稅和口號
[01:23] 轉向更為棘手的基礎建設問題
[01:26] 也就是股利和能股
[01:28] 以及核電廠的自我建立
[01:30] 來確保供應鏈
[01:32] 不要從電價一路傳導到
[01:34] 中期選舉形成的壓力
[01:35] 今天跟投資朋友做一些觀察
[01:37] 首先我們先看貼文
[01:38] 在幾個小時之前
[01:39] 川普釋出貼文
[01:41] 暫停不對美國取得格林蘭控制權
[01:45] 這些反對的國家來加徵關稅
[01:47] 理由是因為已經跟格林蘭的問題
[01:49] 達成了未來的協議
[01:50] 他主要這一次是跟
[01:52] 北約秘書長呂特會面之後宣佈
[01:55] 那川普當然也沒有明確說
[01:57] 這個框架到底實際包含多少內容
[01:59] 不過呢
[02:00] 由於丹麥的外交部長
[02:02] 這一次也表示情勢已經降溫
[02:04] 至少今天的結局比開頭好
[02:06] 也就是說丹麥釋放和緩訊息
[02:09] 美國也釋放和緩訊息以後啊
[02:11] 大概就是以類似擴建軍事基地的方式啊
[02:14] 來完成川普的意圖啊
