[00:01] 投資平緩修訂早晨財經速解讀
[00:03] 現在是臺北時間2026年1月26號禮拜一
[00:05] 早上8點31分
[00:07] 大家早上好我是修訂號
[00:08] 每天早上開拍前半小時
[00:09] 我們在這邊陪伴著各位一起解讀國際財經新聞時事變化
[00:13] 那這一次不管是受到格林蘭風波所導致白宮政策的不可確定性
[00:18] 資金也快速的湧向避險資產
[00:20] 在過去一週三大資產值得我們留意
[00:23] 一方面是貴金屬資產
[00:24] 另外一方面是市場上
[00:26] 美國股市在軟鐵股和硬鐵股的輪動
[00:29] 以及最後日債風暴是否會引發美債的波動
[00:33] 來跟投資朋友做一些觀察
[00:34] 因為在過去一週
[00:36] 如果是以持續創新高的資產
[00:38] 大家主要聚焦在貴金屬
[00:40] 黃金在過去一週是大漲了接近有8%
[00:43] 這是20年來最佳的單週表現
[00:45] 也是08年以來最佳的單週表現
[00:47] 價格已經要接近每盎司5000美元
[00:51] 白銀的部分
[00:52] 這一次也首次站上了100美元大關
[00:54] 那相對之下
[00:55] 美元指數就稍微有一點疲憊了
[00:58] 單週已經下跌了2%
[01:00] B0相對低點其實已經不遠了
[01:03] 這說明美元隨時都有可能破底
[01:05] 一旦破底以後
[01:06] 兩大層面
[01:08] 一就是金屬資產有沒有機會持續的走高
[01:11] 另外一方面
[01:12] 那新興市場的貨幣升值
[01:14] 就即將成為主升段的趨勢
[01:16] 那是否也意含著
[01:17] 全球非美市場即將陷入
[01:20] 新一輪的牛市呢
[01:21] 給投資朋友做一些參考
[01:22] 當然了我們也要知道
[01:24] 金屬資產價格的波動的放大
[01:26] 它基本上已經奠定的
[01:28] 市場上的樂觀情緒
[01:29] 也並不是全方面的看好AI
[01:32] 這個買越多AI
[01:33] 反而順應著越多的黃金部位的增長
[01:36] 已經成為了市場新一輪的投資趨勢
[01:39] 可是如果回到股市
[01:40] 的確標普白指數
[01:42] 道瓊和費半還在一個創新高格局
[01:45] 可是納斯達克指數
[01:47] 已經盤整了接近有四個月左右了
[01:49] 如果我們以納斯達克指數來做觀察
[01:51] 會發現幾乎每一次的波段低點
[01:54] 都搭配著比較顯著的成交量來做攻堅
[01:57] 那這一次呢
[01:58] 短期量能是有放出來
[02:00] 可是價格並沒有一路的攀高
[02:02] 那是否代表著
[02:03] 短期波段的低點也已經到了
[02:06] 硬體股漲了這麼久
[02:07] 是不是差不多要回到軟體股了呢
[02:10] 尤其現在科技股的財報又在逐步的發酵
[02:13] 所以呢
[02:13] 算是金屬價格衝高
[02:15] 股市看有沒有後來追高的可能性
[02:18] 那最後就是看債市
[02:19] 債市有沒有可能匹極太來
[02:21] 原因在於最近債券市場
[02:23] 尤其是長天期國債的利空持續發酵
[02:26] 日本國債最近是出現了罕見的崩跌
[02:29] 殖利率在單一交易日大幅跳升
[02:31] 連市場老手都被速度嚇到
[02:33] 過去十幾年
[02:34] 我們知道日本公債長期就是
[02:36] 又慢又穩又低利率來聞名
[02:39] 長期被全球投資人當成一個
[02:41] 低成本資金的來源
[02:43] 和動盪時的避風港
[02:44] 巴菲特就特別喜歡日債
[02:46] 因為你幾乎不用還太多利息
[02:48] 在日本發行相關的投資等級債
[02:51] 其實壓力也沒這麼大
[02:53] 可是通膨正式在日本站穩腳步以後
[02:55] 加上這次高市早苗
[02:57] 採取高強度的擴張性政策
[02:59] 這一次又準備在2月8號重選眾議院席次
[03:03] 其實也就意味著
[03:04] 很有可能只要高市狹帶著高民意
[03:08] 採取高強度財政刺激以後
[03:10] 日債的發行量一定會非常高
[03:12] 這也導致市場一系列
[03:13] 針對日本債券的持續拋售
[03:15] 直接影響到的全球債券市場
[03:18] 也跟著被拋售
[03:19] 那最快的方式
[03:20] 當然按照過往的經驗
[03:23] 一旦日元隨著日債拋售而被貶值
[03:26] 日本央行肯定會出售
[03:28] 最快就是用外匯存底直接賣出美債
[03:30] 最近我們看到日元在短期內日債暴跌以後
[03:34] 突然急升
[03:35] 是否代表美元的買家已經嘗試進場來進行互盤
[03:39] 美日之間的聯動
[03:41] 我們要後續如何做觀察
[03:42] 來跟投資朋友做些留意
[03:43] 所以我們今天就聊三個主題
[03:45] 一個就從最新不管是高盛或者美銀的觀點來切入
[03:48] 看看華爾街第一線的機構
[03:50] 是如何校準現在的景氣利率和風險資產判斷
[03:54] 第二次回到美國本身
[03:55] 美債的賣壓升溫的背後的結構性因素
[03:58] 除了日債以外
[03:59] 聯準會最近黑馬的產生
[04:02] 還是最近美國政府好像又要關門了
[04:06] 那如果這一次受到新一輪政治不確定性的影響
[04:10] 是否市場上形成美債的持續性賣壓
[04:13] 最後就從高市早苗的政治動向來調起
[04:16] 連線日債的殖利率和日元走勢
[04:18] 那我們先回過頭看
[04:19] 這一波的確在過去兩年
[04:22] 股票市場基本上已經陷入到那種快殺快談的交易節奏
[04:27] 這一波市場變遷來得又快又狠
[04:29] 我們從過去一年
[04:31] 不管是關稅戰
[04:32] 讓股票市場債券市場信用市場加密貨幣資產
[04:36] 都開始呈現高度聯動
[04:38] 那過去六四股債配置
[04:40] 一直都是一個重要的市場的配件方向
[04:44] 那過去被視為穩定器
[04:45] 60%的股票
[04:46] 大約這時的債券
[04:47] 反而在25年下半年出現了10月份以來
[04:51] 最差的單日表現
[04:52] 甚至接近-1%
[04:54] 那重點也不是跌多少
[04:55] 而是這段時間
[04:56] 股債的避險效果開始明顯失靈
[05:00] 所以大家就會開始重新擔心
[05:01] 我們現在看到的全球的資產價格
[05:04] 似乎更類似於流動性的收縮
[05:07] 而並不是單一股市漲或者股市跌
[05:10] 為什麼呢
[05:11] 因為在最近
[05:11] 白銀總體市值已經正式超越了
[05:14] 揮打股票市值
[05:15] 貴金屬的市值超越股票市值
[05:18] 它代表什麼呢
[05:19] 你有時候仔細一想還蠻恐怖的
[05:21] 假設現在是清朝
