[00:00] 投資變化的收聽早晨財經速解讀
[00:03] 現在是臺北時間
[00:04] 2026年1月27號禮拜二
[00:05] 早上8點31分
[00:07] 大家早上好我是林浩
[00:08] 每天早上開盤前半小時
[00:09] 我們在這邊陪伴著各位一起解讀國際財經新聞時事變化
[00:12] 那一早我們先來觀察
[00:14] 關稅戰在起了嗎
[00:15] 川普這一次威脅針對南韓課徵25%的關稅
[00:19] 從原本進口關稅稅率跟臺灣一樣是15%
[00:22] 上調到25%以後
[00:24] 到底受到的產品衝擊為何呢
[00:26] 這一次不管是汽車
[00:28] 木材
[00:29] 藥品等多項輸美產品關稅
[00:32] 基本上就除了半導體關稅以外
[00:34] 全部都開始進行調生
[00:36] 那這項調整
[00:37] 是川普在稍早指控南韓國會
[00:39] 未如將去年
[00:41] 美國與韓國達成的貿易協議
[00:43] 整體如約
[00:45] 所以如果呢
[00:46] 在國會層面
[00:47] 沒有納入到本國法規
[00:49] 那美方呢
[00:50] 會迅速的採取顯著動作
[00:52] 他也認為雙方應該要對等履約
[00:54] 因此呢
[00:55] 決定恢復更高的關稅
[00:56] 該協議原本是作為雙邊投資和貿易框架的一部分
[01:00] 現在大幅降低了關稅
[01:02] 結果韓國立法院因為程序遲緩
[01:05] 美國呢此舉等於暫時逆轉了先前的降稅安排
[01:09] 在你沒有透過具體法規調降全面關稅之前
[01:12] 我們就會繼續剋制你25%的關稅
[01:15] 那其實這個最新的關稅威脅也顯示著川普政府
[01:19] 在過去一段時間在貿易政策上的強硬立場
[01:22] 那不僅是針對南韓
[01:24] 之前他也是對加拿大和歐洲
[01:26] 做同樣的事情
[01:27] 這種關稅策略
[01:29] 一方面被視為一種談判籌碼
[01:31] 我們都知道遲早會tackle的
[01:33] 也迫使競爭夥伴來重新履約
[01:36] 或者重新協商條款
[01:38] 但是另外一方面
[01:39] 市場針對全球的供應鏈成本
[01:41] 記憶體現在在漲價潮
[01:43] 出口競爭力
[01:45] 以及對於通膨預期的衝擊
[01:47] 是否會因此而發酵呢
[01:49] 還是各國政府反而
[01:50] 現在開始有點期待最高法院的判決
[01:52] 能不能先判決一下你失效
[01:54] 讓我稍微緩一緩呢
[01:56] 過年快到了
[01:57] 川普先祝大家睡睡平安
[02:00] 再多一點關稅
[02:01] 當關稅豁免
[02:02] 其實你會發現在亞洲市場
[02:05] 其實主要都是集中在少數電子
[02:07] 或者半導體的專案
[02:09] 其他產品
[02:09] 全面課程的時候
[02:11] 產業結構的差異就會被放大
[02:13] 你像臺灣的部分
[02:14] 41%是集中在電子零元件
[02:17] 13%是在資通訊產品
[02:19] 兩個加起來
[02:20] 豁免名單一記錄以後
[02:22] 實質上算是為臺灣的出口撐起了防火牆
[02:25] 因為臺灣的船產
[02:26] 其實出口到美國也不是很多
[02:28] 如果硬要比的話
[02:30] 但是南韓的部分就不一樣了
[02:31] 它是非常均衡的分散在汽車
[02:34] 化學品
[02:35] 金屬機械
[02:36] 所以即便半導體關稅
[02:38] 它現在也是豁免的
[02:39] 但是各國產業由於結構性的不同
[02:42] 韓國本身所受到的衝擊就更大了
[02:45] 因為它是全產業鏈的
[02:46] 我們講說亞洲的景氣金絲雀
[02:49] 所以在這樣的效果底下
[02:50] 就導致市場即便清楚知道
[02:53] 李在明在過去一段時間
[02:54] 已經跟美方達成了某種默契
[02:57] 一方面是以開放國內市場為由
[03:00] 來進一步達成關稅協議的談判
[03:02] 另外一方面
[03:03] 南韓本身本國就已經承諾
[03:06] 大量的傳承到美國進行傳遞的一個設立
[03:10] 或者說進行美國傳業
[03:13] 不管是建造核動力潛艇
[03:14] 南韓也希望能夠擁有核動力潛艇
[03:17] 雙方技術的一個合作
[03:19] 之前是受限於核動力的推進技術
[03:21] 和濃縮燃料的獲取
[03:23] 首爾好不容易達成軍事目標的達成
[03:26] 也不太可能這個時候食鹽
[03:28] 所以川普卻在這個時機點
[03:30] 採取了進一步的關稅上揚
[03:32] 其實也就意味著
[03:33] 川普要的就是要全拿
[03:35] 每一個條約
[03:37] 每一個細節
[03:38] 你都必須要遵守
[03:39] 否則呢
[03:39] 即便雙方有進一步的軍事合作
[03:42] 或者貿易地位上的合作
[03:44] 很有可能還是會打翻重做
[03:46] 我們知道川普的供應鏈計劃
[03:48] 本身這一次造船業能否起來
[03:51] 就是靠南韓了
[03:52] 因為全球的主要船廠
[03:54] 應該講船廠
[03:56] 船廠
[03:57] 中國的部分
[03:59] 64.7%
[04:00] 這麼高的市佔率
[04:01] 你要麼就跟韓國合作
[04:03] 要麼就跟日本
[04:04] 南韓市佔率是19.6%
[04:06] 日本是11.2%
[04:07] 基本上美國已經跟南韓
[04:09] 做好了合作案以後
[04:10] 基本上也很難推翻重談了
