[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 概況要進一步瞭解科技股財報在週四陸續公佈之後的表現
[00:35] 能不能拖住目前美股的漲勢
[00:37] 與此同時市場上三個同時發生彼此牽動的結構
[00:42] 正在本週持續發酵
[00:44] 第一個是川普本週因為對韓國又開啟了關稅戰
[00:48] 那投資和安全被綁成同一套施壓工具以後
[00:51] 這一次看起來在本週各國反應不再是單點退讓
[00:55] 或是開始用這種分散另類規則的方式來降低單一
[01:00] 針對美國單一市場的依賴
[01:02] 不管是美中之間的新一輪貿易協議陸續在談判當中
[01:06] 或者我們看到歐洲和印度的協議已經正式啟用
[01:10] 似乎想要打造新一輪的非美市場
[01:12] 第二是美國表面上當然是全球最強的成長引擎
[01:16] 但這臺引擎的確也越來越靠AI的資本支出
[01:20] 政府支出和資產價格的財富效果持續推升
[01:23] 那民眾的信心轉冷
[01:25] 尤其是川普的民調
[01:26] 以及消費者的意願
[01:28] 似乎沒有伴隨著AI持續攀升
[01:31] 那麼川普政府肯定已經瞭解到一些警訊
[01:34] 隨時在本年度4月份
[01:36] 繳稅季一過以後
[01:38] 財政刺激計劃應該隨時都會出爐
[01:40] 那第三呢
[01:41] 是臺灣景氣看起來的確很亮麗
[01:43] 但是呢也被新一波的漲價潮重新定價
[01:46] 我們從昨天看到的AI供應鏈的漲價潮
[01:49] 開始外溢到人力到電力成本
[01:52] 到現在終端價格
[01:53] 不管是PC手機以外
[01:55] 甚至連機票價格
[01:57] Buffet價格
[01:58] 高爾夫球球球證
[01:59] 全部都在上漲
[02:00] 換句話說
[02:01] 單一美股的創高
[02:02] 已經迎來一個全新的全球秩序
[02:05] 引擎成長
[02:06] 以及價格的結構
[02:07] 那今天就來跟投資朋友做一些觀察
[02:09] 那首先我們看
[02:10] 因為從今年元月份以來
[02:12] 我們看國際政治和經濟
[02:14] 現在已經成為市場上持續關注焦點
[02:17] 川普最先放話
[02:18] 後面收回的格林蘭事件
[02:20] 對於歐洲加拿大和印度這些國家來看
[02:23] 變成一輪警訊
[02:25] 就過去我們還能夠靠談判
[02:27] 靠忍耐來應對美國
[02:29] 但現在風向變了
[02:30] 我們必須把美國這種常態化的
[02:33] 美元霸權
[02:34] 美國霸權
[02:35] 視為一個常態化象徵
[02:36] 那就意味著
[02:37] 我們始終要打造一個非美市場
[02:39] 先互相降低對方的關稅壁壘
[02:43] 加拿大總理卡尼在達沃斯的講話
[02:45] 也為這股情緒下了總結
[02:47] 如果舊有的國際規則已經無法保護你
[02:50] 那我們只好自己找出路了
[02:52] 歐盟呢
[02:52] 最近呢
[02:53] 加速跟南美進行談判簽訂協議
[02:55] 也跟印度談判
[02:57] 加速簽訂了協議
[02:58] 現在也在跟亞洲多國簽訂談判協議
[03:01] 目的就是要歐洲跟美國以外
[03:04] 其他市場
[03:05] 要全部進行關稅的大規模介面
[03:07] 那川普呢
[03:08] 的確在本週才剛剛
[03:10] 針對韓國商品稅率拉高到25%
[03:12] 市場上其實也不是很相信
[03:14] 因為如果我們細看
[03:15] 的確現在跟美國主要貿易物件國當中
[03:19] 韓國仍然是一個主要方向
[03:21] 可是呢
[03:22] 昨天韓國股市啊
[03:23] 還是暴漲了接近有2%左右
[03:25] 韓國COSPI指數啊
[03:27] 其實從今年以來
[03:28] 這個直線上行的推升力度就在加強
[03:31] 去年韓國股市已經是全球最亮麗的股市了
[03:34] 漲幅是85%
[03:36] 如果是以美元計價的話
[03:37] 今年即便在年初受到這種關稅戰的侵擾
[03:41] 韓國股市啊
[03:42] 只是越漲越快
[03:44] 這就代表著一方面市場的Taco心理情緒仍然在發酵
[03:47] 另外一方面
[03:48] 其實所有的關稅稅率
[03:50] 大多數還是針對傳產
[03:52] 而韓國股市的權重
[03:53] 其實最終還是被這些科技股
[03:57] 三星SK海力士
[03:58] 目前的漲價潮來做更顯著的推升
[04:00] 所以的確COSPI指數在昨天新聞爆發
[04:04] 早盤的時候
[04:05] 是受到比較明顯走落的市場賣壓
[04:07] 不過後續的反彈也非常顯著
[04:09] 而且衝上新高
[04:10] 動能非常驚人
[04:12] 現在已經幾乎進入了拋物線的加速階段
[04:15] 那從AI供應鏈來看
[04:17] 目前記憶體龍頭SK海內市
[04:19] 也是強勢突破了整理區間
[04:21] 動能重新點火
[04:22] 韓國的AI行情已經完全概括了
[04:25] 任何關稅可能引發的隱憂
[04:27] 韓國COSPI指數
[04:28] 我們從整個去年年初到現在
[04:30] 漲幅是剛好100%
[04:32] 而標普牌指數
[04:33] 其實漲幅也不過11%左右
[04:36] 其實可以看得出來
[04:38] 市場上在行情的推升過程當中
[04:41] 還是有非常明顯這種
[04:42] 亞洲新興市場貨幣
[04:44] 受到升值所造成的影響
[04:46] SK海力士連續三次的糾結以後
[04:49] 都順勢進行突破
[04:50] 那這一次又重新糾結了
[04:52] 是否有進一步的拉伸效果呢
[04:54] 但是市場上從股價層面
[04:56] 已經很明顯給出了態度
[04:58] 一方面覺得川普只是講講
[05:00] 也沒有具體的公文
[05:01] 另外一方面
[05:02] 大家其實已經意識到
[05:03] 整個AI的主流趨勢
[05:05] 已經蓋過關稅戰的陰霾
[05:06] 反而各國政府在做的
[05:08] 是能不能儘量降低美國市場的比重
[05:11] 一方跟美國相關的衝突
[05:14] 可能進一步引發國內的經濟動盪
[05:16] 比如說加拿大的部分
[05:17] 加拿大這一次跟中國即將達成貿易協議
[05:21] 那川普當時放話嘛
[05:23] 如果兩國達成貿易協議
[05:25] 美國會針對加拿大輸美商品
[05:27] 課徵百分之百的關稅
[05:28] 美加關係也急速升溫
[05:30] 川普還特別點名卡尼
[05:32] 說他誤判形勢
[05:33] 替中國開大門
[05:35] 而且嘲諷加拿大應該成為美國的第51州
[05:38] 不過講了好幾次了
[05:39] 雖然沃泰華後來澄清說
[05:41] 其實並沒有談到自由貿易協定
[05:43] 主要是中國和加拿大
[05:46] 中加協議當中的部分農產品
[05:48] 和電動車有限專案的互相開放
[05:51] 不算是一個全面性的自由貿易協定
[05:53] 但是讓雙方的產品
[05:54] 更容易能夠流通對方
[05:56] 那川普已經指責
[05:57] 我管你那麼多
[05:58] 你跟中國敲定協議
[05:59] 我就克你關稅
[06:00] 在這樣效果底下
[06:01] 等同於中國的外交大門
[06:03] 在短短幾個月以內陸續開啟
[06:05] 如果我們細看
[06:06] 現在歐洲 拉丁 美洲
[06:08] 不少國家意識到
[06:09] 如果把經貿安全
[06:11] 完全都綁在美國身上
[06:12] 現在風險越來越高了
[06:14] 說不定一不小心就會得罪川普
[06:16] 這個選項最後讓北京開始有了失利點
[06:19] 短短幾個月
[06:20] 我們看到像是西班牙
[06:22] 法國
[06:23] 愛爾蘭
[06:23] 芬蘭
[06:24] 南韓
[06:25] 加拿大
[06:26] 烏拉圭
[06:26] 多位國家領袖密集的訪問中國
[06:29] 後續都帶走了一些
[06:30] 雙邊的貿易的備忘錄或者協議
[06:34] 大多數都是啟動
[06:36] 部分電動車產品的一個退讓
[06:38] 我讓你的電動車
[06:39] 能夠順勢的賣到中南美洲
[06:41] 那你是否有像過去跟美國一樣
[06:43] 有類似的農業採購協議
[06:45] 那這一波外交節奏當中
[06:47] 習近平就很順勢打出元首外交
[06:49] 就把中國包裝成強調要合作
[06:51] 要穩定要規則的一方
[06:53] 然後把川普規劃成
[06:55] 以關稅領土施壓的強硬姿態
[06:57] 那很多像芬蘭法國這類的歐洲國家
[07:00] 一方面他已經很難跟俄羅斯的關係修復了
[07:03] 另外一方面又受到美國政策的不確定性
[07:05] 那隻好選擇某種方式重新調整戰略
[07:09] 看看能不能讓已經疲憊許久的傳統產業
[07:12] 尤其像是德國
[07:13] 能夠有復甦的空間
[07:15] 那當然川普過去的Taco交易
[07:18] 半成品交易數喊得大聲
[07:20] 風險看起來越來越大
[07:21] 可是市場上的確對於資本市場的影響
[07:24] 是越來越小的
[07:25] 大家反而在關注
[07:26] 這一次最大貿易協議的推程
[07:29] 因為是歐盟和印度的拍板
[07:31] 是否意味著
[07:32] 部分產品的流通速度可以加快
[07:34] 因為大家都在降關稅
[07:35] 印度之前
[07:37] 應該講歐盟之前是跟拉美
[07:39] 已經談成了農業採購協議
[07:40] 最近終於敲定了自由貿易協議
[07:43] 這個協議其實已經談了20年了
[07:45] 一直談不好
[07:46] 因為雙方有太多產品需要規劃
[07:48] 這一次在短短幾個月以內
[07:50] 談判快速加速
[07:51] 形成20億人口的自由貿易區
[07:54] 雙方也承諾會大幅降低
[07:56] 或者取消多數的關稅
[07:57] 依照規劃
[07:58] 印度會把接近97%的歐盟進口商品
[08:02] 進行降稅或者進行全面免稅
[08:04] 那歐盟會在七年內對所有印度商品開放市場
[08:08] 那歐洲預估到20302年
[08:10] 對於歐洲的商品出口應該可以翻倍
[08:13] 印度也希望可以依此來引進新一輪的製造業
[08:17] 和服務業來提升投資信心
[08:19] 當然我們其實已經很長期就知道
[08:21] 歐盟早就已經是印度的最大貿易伙伴
[08:24] 所以雙方如果能夠互相降低關稅
[08:27] 那就代表著全球經濟就開始有多核心並存的空間存在了
[08:31] 如果細看
[08:32] 現在對於歐盟商品部分
[08:34] 印度的貿易政策
[08:35] 它是有一個比較明顯的轉向
[08:37] 特別是汽車
[08:38] 酒類
[08:39] 食品
[08:40] 航太和機械器具
[08:41] 過去都是百分之百關稅
[08:43] 印度是高關稅大國因為它算是一個內需型國家現在動不動百分之0%以上的關稅直接降到40%以下這個就直接減半了
[08:54] 甚至像航太機械電機裝置上
[08:56] 目前宣佈全面免除關稅
[08:59] 表面上是浪利
[09:00] 但本質上就是
[09:01] 它會用一些配額控管來控制重啟
[09:04] 但是重點是關稅換投資
[09:07] 換歐洲的技術
[09:08] 換供應鏈的整合
[09:09] 這個是雙方在幾個月以內談判的進度
[09:12] 非常快速的原因
[09:13] 那就是歐盟願意試出一點技術
[09:16] 來換取更多的出口市場
[09:17] 那歐盟對於印度的出口商品
[09:19] 其實還比較直觀
[09:21] 珠寶 紡織 皮革 化學品
[09:24] 很多都是高階商品
[09:25] 原本是4到17%的關稅
[09:27] 預估接下來全部降到0
[09:29] 也就是說接下來歐洲的LV
[09:32] 估計一系列的品牌
[09:35] 到印度市場
[09:36] 應該就可以享有全面的零關稅
[09:38] 所以在降效果底下
[09:39] 等同於全球非美市場
[09:41] 嘗試做新一輪的結合
[09:43] 當然你說川普會很在乎
[09:44] 川普去年他的關稅戰的目的
[09:47] 某種程度已經算達成了
[09:49] 投資額已經暴增了
[09:50] 今年只有一個目的
[09:52] 就是如何讓美國貨
[09:53] 更好地銷售到海外市場
[09:54] 所以你說如果歐洲的貨
[09:57] 更容易銷售到印度
[09:58] 中國的貨更容易銷售到加拿大
[10:00] 它是一個問題
[10:01] 可是重點在於
[10:02] 如何改善各國針對美國的貿易的逆差
[10:05] 那美國的貿易逆差如何解決呢
[10:08] 川普對外當然會採取適度的壓力
[10:11] 可是對內
[10:12] 那當然就是要讓美元持續下跌
[10:14] 我們看
[10:15] 其實美元最近已經連跌奪入
[10:17] 已經跌到22年以來的新低
[10:20] 這個應該算是破底了
[10:22] 整個超級大頭已經逐步形成了
[10:24] 那川普本人自己也講說
[10:26] 我覺得美元貶值比較好
[10:28] 而且還強調說
[10:29] 不擔心美元走弱
[10:30] 強調美國生意還是會照樣做得不錯
[10:32] 等於向市場釋放明確訊號
[10:35] 美元貶值
[10:36] 川普政府是期許的
[10:37] 而且不會採取更進一步的干預
[10:39] 這樣的一個效果
[10:40] 就在於信心
[10:41] 導致美元值數
[10:43] 在近期的破底速度開始加快
[10:44] 從關稅到次次擴大
[10:46] 到施壓聯準會
[10:47] 市場上其實對於
[10:48] 美國資產的風險評價
[10:50] 也在改變
[10:50] 如果你對於美國評級
[10:51] 沒有這麼高
[10:52] 當然持有的美元
[10:53] 就不會這麼多
[10:54] 美元的直系向下落
[10:56] 恰好就印證了
[10:57] 美元的貶值
[10:59] 順勢讓美國的出口
[11:00] 接下來是否有開始
[11:02] 回覆的空間
[11:03] 或者脾氣太來的空間
[11:04] 在種種效果底下
[11:06] 最後雙方
[11:06] 其實還是很明顯
[11:08] 在各國有失利點
[11:09] 所以川普這次
[11:10] 對於加拿大的施壓
[11:11] 對於南韓的施壓
[11:13] 你說真的完全就是
[11:14] 貿易順利差的問題嗎
[11:16] 它是可以藉由貨幣手段解決的
[11:18] 而且你也不太相信
[11:19] 李在民作為絕對執政
[11:20] 還故意想要卡住你
[11:22] 國會速度還刻意放慢
[11:24] 就為了要給川普難看
[11:25] 也不太可能
[11:26] 真正的根本核心
[11:28] 可能背後
[11:29] 我們看到在小國之間
[11:30] 與美國的貿易紛爭
[11:32] 其實背後反映的
[11:33] 還是美中之間的爭霸戰
[11:35] 其實上禮拜
[11:36] 當時美國最新所公佈的
[11:38] 全球最新國防戰略
[11:39] 就明確把重心放在印太地區
[11:42] 目標就是要讓中國無法封鎖
[11:44] 美國在全球經濟已經劃定的重要通道
[11:47] 也就是第一島鏈要完全防住
[11:49] 五角大廈也同時呼籲盟友
[11:52] 要提高集體的防衛投入
[11:54] 而且並且提出在第一島鏈
[11:56] 要強化拒止防禦
[11:58] 從日本一路延續到菲律賓和東南亞
[12:00] 這個就是2026年的一個主策
[12:02] 等同於淡化歐洲色彩
[12:04] 加強在第一島鏈的一個生化
[12:07] 其實美中各自鞏固後花園之後
[12:09] 兩強也正式進入了資源帝國之爭
[12:12] 我們都很清楚知道
[12:13] 中國的路線其實在過去一段時間
[12:15] 更偏向能源和原材料的導向外圍整合
[12:19] 一方面是向北來打通北極航線
