[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 不管是臺美股市成交量都在陸續放大
[00:33] 在昨天蘋果公佈財報以後
[00:34] 股價盤後上漲超過1%
[00:37] 這一次iPhone的銷售量
[00:38] 的確去年看起來是遠遠超過預期
[00:41] 那今年的i18還會賣這麼好嗎
[00:43] 尤其當前蘋果宣佈收購人工智慧公司QAI之後
[00:48] 後續對於AI的佈局
[00:50] 它會加大資本支出嗎
[00:51] 還是說現在市場上給它的高評價
[00:54] 就是由於它沒有太多資本支出呢
[00:56] 所以它不會正式落入到AI資本競賽的迴圈裡頭
[01:00] 某種程度而言
[01:01] 它可能喪失了某些領域的獨佔權
[01:04] 但另外一方面
[01:05] 做好消費性電子產品的龍頭也是一大方向
[01:08] 微軟昨天我們分析完財報以後
[01:11] 在昨天盤中崩跌了接近有一成
[01:14] 每股收在433塊
[01:16] 這是2020年3月份新冠疫情以來最差的單日表現
[01:20] 那這一次第二季的雲端業務的成長放緩
[01:22] 是否代表CSP業者的資本支出產生下修呢
[01:27] Meta的部分飆升股價接近有10%
[01:30] 每股衝高到738塊
[01:32] 資本支出沒減少啊
[01:34] 反而持續上調到1350億在今年
[01:37] 強化AI競賽的佈局
[01:39] 在種種效果底下
[01:40] 怎麼來做理解美國股市該修正了嗎
[01:43] 還是說現在的買盤強硬到修正不下去呢
[01:47] 只是轉了一次手
[01:48] 我們從Q1蘋果在2060年的法說會逐字稿整理
[01:52] 會發現市場上還是有非常多那種細節上的資料值得留意
[01:58] 因為如果我們從法說會的訊息
[02:00] 你稍微丟給AI理解的話
[02:02] 你會發現好像最大亮點就是iPhone的需求超乎預期
[02:06] 可是我們也知道這不可長期持續性
[02:08] 因為全球手機市場其實早就已經逐步飽和了
[02:11] 這一次iPhone的營收853億
[02:13] 年增幅23%
[02:15] 的確大多數地區都在創高
[02:17] 可是其中一個地區是帶動蘋果創高預期的重要原因
[02:20] 我們看得很清楚
[02:22] 其實就是中國市場
[02:23] 這一次中國市場的換機潮
[02:25] 基本上把蘋果的預期值顯著的拉高
[02:29] 那當然有其他效果
[02:30] 一個是去庫存政策
[02:32] 另外一個是蘋果在去年的促銷效果非常明顯
[02:35] 種種效果底下等同於靠iPhone手機
[02:38] 硬是把營收給拉上去
[02:40] 可是長期以來我們也清楚知道
[02:42] 在全球市場手機飽和的情況底下
[02:44] 蘋果只有最佳化強化其他的營收領域
[02:48] 才能夠有更高的估值空間
[02:50] 要不然靠手機一臺能夠漲多少錢
[02:52] 你的營收大概就好預估了
[02:54] 所以這個時候大家又更為聚焦的是服務營收
[02:57] 服務營收這次還在創高
[02:58] 年征服雖然沒有這麼亮麗
[03:00] 但是還是有14%
[03:02] 營收300億美元
[03:03] 我們過去提到像是Apple TV的觀看數的成長
[03:06] 內容和轉播
[03:07] 現在有MLS還有F1
[03:10] 那這次F1的電影推出在去年也是非常成功
[03:14] 其他像是Apple Pay的降低詐欺的金額
[03:16] App Store每週初期大概有8.5億使用者等等
[03:20] 這些資料基本上都導致
[03:22] 唯一有可能在未來十年超越蘋果手機營收的
[03:26] 只有蘋果的軟體營收
[03:28] 當然了消費性電子產品的硬體跟軟體要互相搭配
[03:31] 可是服務營收的持續增長
[03:34] 反而是蘋果持續轉型的助力
[03:36] 總體而言蘋果這一次在第四季的營收
[03:39] 仍然持續創下歷史新高
[03:41] 現在iPhone的手機營收突破了當時
[03:45] 22年23年24年
[03:47] 每個季度一季度的慣性高點之後
[03:50] 我們就要觀察
[03:51] i18能否做進一步的突破
[03:53] 因為其實從這張圖表就看得很清楚
[03:56] i16 i15 i14賣的不算好
[04:00] 因為他們都沒有比i13賣的好
[04:02] 這件事情其實也就意味著
[04:04] 2022年當時所推出的機款
[04:06] 受到疫情的帶貨炒
[04:08] 已經立下了一個門檻
[04:09] 那好不容易在26年
[04:11] 我們看蘋果首度進行突破以後
[04:13] 整條消費性電子的產品迴圈
[04:16] 能不能順勢的進行突破
[04:17] 我們也不會給它過高期段
[04:19] 因為全球的人數是有限的
