[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 股市突破了三萬點的大關
[00:31] 那在這樣的一個情況底下
[00:33] AI的泡沫也沒有完全引誘上全部消失
[00:37] 市場上會持續關注當前的獲利狀態
[00:40] 尤其是針對整個2025年的年報
[00:42] 一路展望到2026年資本支出的財策影響
[00:46] 但與此同時
[00:47] 臺積電在昨天收盤大漲了85塊
[00:50] 大漲了5.36%的情況底下
[00:52] 基本上已經創下臺股史上第六大的漲點
[00:55] 那非常值得注意的是
[00:57] 因為臺積電上漲85塊
[00:58] 獨家貢獻大盤有642點
[01:01] 這個權重的拉抬
[01:04] 其實已經影響著
[01:05] 幾乎整個臺股
[01:07] 它就是反映臺積電獨大的企業
[01:09] 成交量在昨天也爆出
[01:11] 6.6萬張的巨量
[01:12] 昨天整體臺股成交
[01:14] 只有接近8000億
[01:15] 這樣的一個規模
[01:17] 第一創天量
[01:18] 第二市場上會觀察
[01:20] 這一波的成交量能的買盤
[01:22] 到底源自於哪裡
[01:24] 因為如果我們細節來看
[01:25] 外資似乎不太買單
[01:27] 如果我們看臺積電股價
[01:29] 它是直線的往上升
[01:30] ADR也在往上升
[01:32] 直接導致了臺積電的總市值
[01:34] 在全球已經排行到第六
[01:36] 總美元計價來看的話是1.69兆
[01:40] 前面幾名
[01:42] 輝達是4.6兆
[01:43] 再來蘋果3.9兆
[01:45] Alphabet 3.8兆
[01:46] 微軟3.5兆
[01:47] Amazon 2.4兆
[01:49] 那至於其他像是
[01:50] Meta 博通 特斯拉 沙烏地阿美
[01:53] 甚至波克夏都已經被臺積電拋在腦後
[01:56] 那問題就在於
[01:57] ADR價格也在上漲
[01:58] 不過外資針對臺股現貨市場
[02:01] 似乎不太買單
[02:02] 我們看昨天外匯市場
[02:04] 新臺幣對美元是重貶了1.19角
[02:07] 成交金額14億
[02:09] 其實也不少
[02:09] 直接收在31.53塊
[02:12] 就代表著外資已經連續兩天賣出臺積電
[02:16] 單日賣超臺積電5543張
[02:19] 這就很有趣了
[02:20] 如果我們以三大法輪來做觀察
[02:22] 在昨天自營商的自行買賣部分
[02:24] 只買了42億
[02:25] 投信買不到1億
[02:27] 外資是賣了76億
[02:29] 所以昨天其實三大法人
[02:31] 基本上加起來
[02:33] 買的量並沒有想象中還來得多
[02:35] 外資又中扁
[02:37] 代表他在匯出
[02:38] 那就代表外資沒有買
[02:39] 投信ETF也沒有買
[02:41] 自營商小買
[02:43] 難道是網友們大買了嗎
[02:45] 還是說受險
[02:46] 還是說有其他因子
[02:48] 正在參與臺股市場呢
[02:50] 畢竟你要說靠散戶
[02:51] 完全推起當前行情有點難度
[02:54] 那當然恆頓的想法是
[02:55] 外資只要調節中小
[02:57] 買進全持
[02:58] 那一漲一跌
[02:59] 或者說一個大幅買進
[03:01] 一個大幅賣出
[03:02] 剛好就抵消了
[03:03] 可是剛才跟投資朋友提到
[03:04] 第一就算是一買一進
[03:07] 一進一出
[03:08] 臺積電在昨天他也沒有進
[03:10] 臺積電昨天外資的賣超幅度
[03:12] 是5543張
[03:14] 0050他賣了5.6萬張
[03:17] 其他像群創利基電華邦電
[03:19] 那股價表現好的他都在賣
[03:21] 那轉進的是什麼呢
[03:22] 都是高股息
[03:23] 像00919
[03:24] 群語臺灣精選高息
[03:26] 00878
[03:27] 買了5.4萬張
[03:28] 主要是買折價了
[03:30] 但是很明顯有那種
[03:31] 內資撐盤嘎外資的感覺
[03:34] 土羊對坐再度的展開
[03:36] 那過去其實長年以來
[03:38] 的確外資就在針對臺北股市
[03:39] 進行顯著調節
[03:41] 但很少發生這種
[03:43] 臺積電單日股價大漲
[03:44] 但是外資仍然系統性的進行調節
[03:47] 這也足以彰顯到
[03:48] 昨天我們看到業內
[03:50] 內資的主力買盤效果
[03:53] 其實比想象中還要來得堅強非常多
[03:55] 那當然有沒有其他因子
[03:57] 一個最直觀的
[03:58] 那就是推給受險了
[03:59] 也許受險在昨天採取了一個比較大的動作
[04:02] 不過呢
[04:03] 對於我來看
[04:04] 有可能有另外一層
[04:06] 我們看國內主力的聯合效果
[04:08] 因為受險業過去買盤
[04:10] 它也是類似那種純股性的買盤
[04:12] 一次把股價推那麼高
[04:14] 還把外資的貨全部接走
[04:16] 有點難度
[04:17] 那當然臺北股市當前沒有看空的理由
[04:20] 還是有根本原因
[04:21] 因為臺股一直有一個官方的手
[04:24] 在內部進行調節
[04:25] 我們知道國安基金到目前為止
[04:27] 其實都還在互盤
[04:28] 臺股都上三萬點了
[04:30] 原因在於國安基金當時
[04:32] 阮清華財政次長的承諾
