[00:00] 投資變換收聽早晨財經速解讀
[00:02] 現在是臺北時間2026年1月7號禮拜三早上8點31分
[00:06] 大家早上好我是學廷浩
[00:07] 今天我們觀察的幾大重點
[00:09] 一方面標普白指數在昨天創下歷史新高
[00:12] 道瓊也首度站上了49000點的大關
[00:15] 所以沒有股市仍然氣勢如虹
[00:18] 反而是這一波的軟體股
[00:19] 納指的部分拉抬幅度就沒有特別顯著
[00:22] 那在最近的CES展當中
[00:24] 最近輝達也充斥全新的Rubin平臺
[00:27] 和機器人的佈局之際
[00:29] 這一次甚至推出了AI自駕車平臺
[00:33] Apamayo開源模型
[00:34] 這也讓輝達的AI
[00:36] 能夠讓駕駛放手開車的等級
[00:39] 跟各大車廠來進行合作
[00:41] 這一次跟賓士CLA
[00:43] 也成為全球首個批載該模型的車款
[00:46] 那在本季度應該就會上落
[00:48] 那我們到時候就來做一些觀察
[00:51] 到底這一波會引得2026年
[00:53] 是否會形成自駕車無人車大戰
[00:56] 那輝達的生態系持續擴充套件底下
[00:59] 對於全球終端AI產品的推出
[01:01] 又會形成怎麼樣的衝擊
[01:03] 來跟投資朋友做一些回顧
[01:05] 事實上整體來看
[01:06] 三年的大牛是23 24 25
[01:09] 投資人已經開始更重視
[01:12] 分散配置和區域比較
[01:13] 我們看到很多過去並非市場亮點的
[01:16] 最近是記憶體了
[01:18] 過去我們看到市場上的資金輪動
[01:21] 已經從那些超級大型科技巨頭
[01:23] 向外進行延伸
[01:24] 而且甚至並不是單注去壓AI主線
[01:28] 往中間啊
[01:29] 往基礎建設啊
[01:30] 來進行輪動
[01:31] 都是市場上可以看到的實質現況
[01:33] 那當然
[01:34] 2026年一開年
[01:35] 全球股票市場氣勢如虹
[01:37] AI的熱潮
[01:38] 通膨降溫
[01:39] 還有相對寬鬆的貨幣環境
[01:41] 的確造成市場上幾乎什麼都漲
[01:44] 其實過去一年也是如此啦
[01:45] 過去一年
[01:46] 我們細看
[01:47] 像股票
[01:48] 債券
