[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 請判斷做檢討
[00:31] 直播主要是分享市場動態
[00:33] 但大多數的個人實際觀點
[00:35] 都會在我們的會員系統當中
[00:36] 來做更進一步的分享
[00:38] 短期波動永遠都會變來變去
[00:39] 長期一定會依循著某些規律
[00:41] 我們在聽友會當中
[00:43] 會去尋找這樣的規律
[00:44] 如果大家對我們的直播
[00:46] 有更多興趣的話
[00:47] 歡迎也可以來我們的網站
[00:48] 來下局訂單
[00:49] 那基本上就可以來做收聽
[00:51] 或者有更多興趣
[00:52] 也可以加入我們的會員系統
[00:53] 裡頭除了有未來一整年的
[00:55] 聽友會收聽權
[00:56] 還有個人資產
[00:57] 不為周志的一些分享
[00:59] 以及專題影片宏觀報告
[01:01] 給投資朋友做一些參考
[01:02] 這幾天我才跟幾個網友分享
[01:04] 發現好像蠻多大學生
[01:07] 在聽我們節目的
[01:08] 而且很多都是
[01:09] 可能父母平時在聽
[01:11] 不知不覺自己也變成收聽習慣了
[01:14] 我們節目
[01:15] 我們節目不適合小孩子看
[01:16] 因為我們節目比較嚴肅正經
[01:18] 可是你會發現
[01:19] 其實臺灣最缺的
[01:22] 其實就是財商教育
[01:23] 有時候我們孩子出生的時候
[01:24] 父母會在孩子身上
[01:26] 看到無數可能性
[01:28] 然後給孩子無限的想象和期望
[01:31] 這也是為什麼
[01:32] 其實很多臺灣父母
[01:33] 會給孩子報不同的才藝班
[01:35] 我小時候也上很多才藝班
[01:36] 期待孩子能夠成大事
[01:38] 不過這種過高的想象和期待
[01:41] 有時候對孩子不太公平
[01:43] 因為我們本身缺點就一堆
[01:44] 憑什麼要求孩子事事完美
[01:47] 什麼都做得好
[01:48] 我們也沒有出國留學
[01:50] 為什麼孩子一定要頂校光環
[01:52] 我們身無所長的平凡人
[01:55] 憑什麼要孩子將來就成就卓越呢
[01:57] 所以事實上是
[01:59] 這個世界99%的人都是普通人
[02:02] 絕大多數的人都不會富甲天下
[02:04] 也不會成為社會名人
[02:06] 就算他做了一個網紅
[02:08] 穿著西裝
[02:09] 戴個黑框眼鏡裝斯文
[02:11] 他也不會被寫進史書啊
[02:13] 所以我們這一代人如此
[02:15] 下一代人也不會變
[02:16] 你現在最煩惱的是
[02:18] 有很高的機率
[02:19] 也是你孩子長大之後最煩惱的事
[02:22] 那你現在最煩惱什麼呢
[02:24] 我們這種人還會煩惱什麼
[02:26] 就缺錢
[02:27] 所以缺錢以外的煩惱
[02:29] 通常用錢也可以解決一大半
[02:31] 幾十年以後
[02:32] 你的孩子有很高的機率
[02:35] 大概也跟你一樣
[02:36] 每天也是籌錢
[02:37] 所以最好拋開那些空想
[02:39] 把孩子當成一個平凡人
[02:41] 他有興趣就去
[02:41] 他沒興趣
[02:42] 最重要的不是他學會多少樂器
[02:45] 考上多好的學校
[02:46] 而是財商教育
[02:48] 這就是學校教育空白的一塊
[02:50] 也給投資朋友
[02:51] 讓我們有一起努力進步的空間
