[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 我們後續要觀察的幾個方向
[00:32] 一方面是軟體股作為這一次的重災區
[00:35] 是否成為接下來反彈的主力
[00:37] 另外一方面我們最近也看到
[00:39] 像甲骨文的部分
[00:40] 股價回到2025年4月份關稅站的低點之後
[00:44] 開始反彈了接近有10%
[00:46] 在昨天標普派指數和納斯達克指數雙雙收高
[00:50] 科技股在上禮拜因為AI引發的拋售潮
[00:54] 現在已經逐步站穩腳跟
[00:56] 那麼投資人現在也在等待
[00:58] 聯準會給予的利率入境
[01:00] 是否能夠讓流動性更為寬裕一些
[01:03] 道瓊指數在昨天也是創下歷史性高了
[01:06] 盤中基本上創下史高的態勢
[01:08] 仍然無法阻擋
[01:10] 我們從加股股價來看
[01:11] 現在的股價跟關稅佔的低點
[01:14] 其實差不多
[01:14] 可是如果細看
[01:16] 當前的IGV
[01:18] 也就是軟鐵股ETF和比特幣
[01:20] 等所有風險資產
[01:22] 目前都在一個阻底的過程
[01:23] 加上在今天
[01:25] 阿發貝
[01:26] Google的部分啟動了新一輪的全球債券發行計劃
[01:30] 市場的認購需求是爆棚
[01:32] 大概是150億美元的發債規模
[01:35] 已經超過1000億美元的訂單
[01:37] 這也屬於目前在這幾年企業債當中
[01:41] 最為熱烈的認購之一
[01:42] 那到底是市場針對Google一家公司
[01:45] 非常看好它成為接下來的AI領頭羊
[01:48] 還是現在是因為整個AI的需求炒
[01:51] 還是比想象中來得多
[01:53] 那這一次的募資
[01:54] 也被視為去支應
[01:56] 創紀錄資本支出計劃的重要資金來源
[02:00] 重點用於資料中心
[02:01] 和AI基礎建設的投資
[02:03] 當然如果回到這樣的一個時間點
[02:06] 科技股是不是已經正式進入到
[02:08] 高度分歧的時代
[02:10] 一方面各大科技巨頭
[02:12] 你看微軟股價從高點跌下來
[02:14] 已經跌了三成
[02:15] Google股價還在高位持續震盪
[02:17] 奇蹟頭是否已經在分化
[02:19] 同時間硬體股的廢辦
[02:21] 跟軟雞股相關納指
[02:23] 以及中小型股的軟雞股
[02:25] 是否也在成為分化當中
[02:27] 今天就來跟投資朋友做一些觀察
[02:29] 首先我們看的是高盛這一次給予的看法
[02:32] 指數現在看起來其實還在高位震盪
[02:35] 不過呢
[02:35] 費城半導體指數
[02:36] 其實還在一個標準的上行通道
[02:39] 指數其實沒有太大的波動情況底下
[02:41] 內部早就已經打得翻天覆地
[02:44] 過去一週那種盤中像崩盤
[02:47] 收盤又沒事的行情
[02:48] 其實它反映的
[02:50] 並不是單純基本面的突然崩壞
[02:52] 而是資金正在重新的分配風險
[02:54] 避開最容易被AI顛覆的應用軟體
[02:57] 重新挑選出AI的基礎建設
[03:00] 和半導體當中能見度最高的名字
[03:03] 那結果就是科技股走勢的高度兩極化
[03:06] 一邊是記憶體裝置部分硬體股還在大漲
[03:10] 另外一邊是SaaS網路股的大跌
[03:13] 納斯達克指數現在還在橫盤
[03:15] 成分股其實已經進行內部的大洗牌
[03:19] 在這樣效果底下
[03:20] 市場的幾個關鍵訊號
[03:22] 第一是對中基金其實已經連續數週
[03:25] 近賣出美股了
[03:26] 尤其是科技股的軟體股當中
[03:28] 是主要的調節物件
[03:30] 第二是估值現在是有降溫
[03:32] 可是NDX
[03:33] 納斯達克指數遠期的本益比
[03:35] 從先前的偏高區間
[03:37] 現在回落到正常區間
[03:39] 短線上如果它還是多頭
[03:41] 那就有助於止血了
[03:43] 因為等同於乖地回撥了
[03:44] 但不代表接下來的行情會一路的順暢
[03:47] 第三呢
[03:48] 是市場的最大張力
[03:50] 來自於兩條互相打架的敘事
[03:52] 一方面大型雲端公司資本支出
[03:55] 還在持續加速
[03:56] 另外一方面
[03:57] AI代理工具的應用層的破壞式威脅
[04:00] 正在被重新定價
[04:01] 所以軟體股呢
[04:02] 好像它也頂多就是反彈
[04:04] 距離創歷史新高之路
[04:06] 還有一長段距離
[04:07] 在種種效果底下
[04:09] 第一個觀察重點就是
[04:10] 那如果呢
[04:12] 從本益比左側投資來看
[04:14] 而硬體股
[04:15] 或者我們看到大型汽具頭
[04:16] 大部分回撥幅度不大
[04:18] 那如果是回撥幅度大的軟體股
[04:20] 它是否估值真的消耗非常多呢
[04:22] 如果我們細看
[04:23] 美國軟體股在過去一週
[04:26] 市值蒸發了接近有兩兆美元
[04:28] 單週的跌幅是創下四年來的最差
[04:31] 歐洲的軟體股也同步沉壓
[04:33] 雖然多數指標現在是技術性的超賣區
[04:36] 但目前還是沒有看到
[04:37] 很明確的承接買盤訊號
[04:39] 估值面看似明顯下修
[04:41] 美國遠期的軟體本益比
[04:43] 大概是從35倍
[04:45] 哇一個月就到20倍了
[04:47] 歐洲的部分從25倍下滑到17倍
[04:50] 但是在利潤率層面
[04:52] 還是處於有點高檔的情況底下
[04:55] 這一波美股盈餘
[04:56] 可能還是會有適度的鬆動和下修
[04:58] 所以也許本盈比後來又會稍微有點反彈
