[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 已經想上去了
[00:31] 祝你馬上有錢
[00:32] 馬上幸福
[00:33] 馬尼多多
[00:34] 新的一年
[00:36] 也祝大家一帆風順
[00:39] 二龍騰飛
[00:40] 三陽開泰
[00:41] 四慶平安
[00:41] 五福臨門六六大順
[00:43] 七星高照
[00:44] 八方雲集
[00:44] 九九平安
[00:45] 十全十美
[00:46] 百事可樂
[00:47] 千事吉祥
[00:48] 萬事如意
[00:49] 祝福太多
[00:50] 足帆不及備載
[00:52] 太激動了
[00:53] 小時候搶紅包都是這樣的
[00:55] 雖然深系義大利
[00:57] 可是心在臺灣
[00:58] 好 義大利文是
[00:59] Fonciana Chano
[01:02] 是這樣念嗎
[01:03] 我也不確定
[01:03] 好 義大利文我也是略懂了
[01:05] 平時也看很多義大利電影
[01:08] 俄國特工裡面的
[01:10] Antonio Magalhaide
[01:12] Tomo Nico Di Coco
[01:15] 沒事
[01:15] 總而言之
[01:17] 今天是我們
[01:18] 風關月最後
[01:19] 年前最後一次直播
[01:20] 那也跟投資朋友做一些分享
[01:22] 我們回顧在
[01:23] 今年以來的走勢
[01:25] 或者從整個25年到26年
[01:28] 我們看到的風風月雨
[01:29] 如何奠定著2026年的開年
[01:32] 而當前的資產價格
[01:33] 是否已經到達AI敘事的頂峰呢
[01:36] 好像在吹
[01:37] 已經吹不上去了
[01:39] 本夢比要如何持續性擴增呢
[01:42] 事實上美歐股市在昨天週二指數震盪偏弱
[01:45] 但道瓊指數已經連續三個交易日
[01:48] 還在創下歷史新高
[01:49] 這說明著AI似乎長不太動
[01:52] 可是在零售銷售意外疲憊的情況底下
[01:56] 還能夠讓傳財股有持續輪動的空間
[01:59] 道瓊現在是坐穩了5萬點之上
[02:02] 那外資的積極回步
[02:03] 也導致在昨天
[02:05] 臺股迎來史上外資的第七大買超
[02:08] 激勵臺股在昨天大漲668點
[02:11] 收在當日最高33072點
[02:14] 昨天台股再創歷史新高了
[02:16] 全方臺積電的營收
[02:18] 股價也改寫新新增1880塊
[02:21] 市值衝高到48.75兆
[02:23] 佔大盤的比重已經來到45.3%
[02:27] 上市市值108.12兆
[02:29] 那臺積電在昨天鉅額交易
[02:32] 甚至直接逼近到2000塊
[02:34] 再加上ADR的走揚
[02:36] 今天搞不好再創歷史性高
[02:38] 最後一盤昨天是拉高421億
[02:41] 把大盤上漲668點
[02:43] 那在這樣的一個情況底下
[02:45] 如果我們細看
[02:45] 因為臺股在今年以來
[02:47] 陸續先衝過29000
[02:49] 然後30000
[02:50] 310000
[02:51] 320000
[02:52] 33000
[02:53] 五道關卡
[02:54] 如果我們細看
[02:55] 其實外資的回補力度
[02:56] 一直到過去
[02:58] 元月份的末半端
[03:02] 1月23號以後
[03:03] 才慢慢開始回補
[03:04] 甚至如果我們從
[03:06] 投信的買賣超來看
[03:07] 投信其實從今年1月份
[03:09] 一直到1月29號
[03:10] 幾乎沒買過
[03:11] 2月份才開始買股票
[03:13] 這件事情也就說明了
[03:14] 其實我們撇開
[03:16] 外資和投信不看
[03:17] 其實內資是相當活躍的
[03:19] 尤其是購買各國的投資人
[03:21] 投信買賣超
[03:22] 可以大致理解成ETF買盤了
[03:24] 那一直到年前
[03:25] 可能大家擔心過年時間買不到
[03:28] 開始做一些回補
[03:29] 那這一段時間
[03:30] ETF買盤沒有特別踴躍
[03:32] 外資也興趣缺缺
[03:34] 但在前一天
[03:35] 大家都開始進行了買超
[03:37] 也就代表著買一些股票
[03:39] 也許年後還可以再包一捆紅包
[03:41] 在這樣效果底下
[03:43] 如果我們從年賣超來做觀察
[03:45] 會發現當前今年為止
[03:47] 外資仍然賣超臺股有193億
[03:50] 那也不意外了
[03:51] 外資20年賣超
[03:53] 21年賣超
[03:54] 22年賣超
[03:55] 24 25年都賣超
[03:56] 過去7年有6年都賣超
[03:59] 投信比較意外
[04:00] 因為投信已經從20年
[04:02] 買到2025年
[04:04] 已經連續買6年了
[04:05] 可是今年居然賣超幅度
[04:07] 比外資還要稍微多一些
[04:10] 來到816億
[04:11] 足以彰顯著
[04:13] 現在ETF存股卒
[04:15] 真的是興趣缺缺
[04:16] 股價漲高就沒我們的事情
[04:18] 股價跌了才有介入空間
[04:20] 但問題是股價幾乎沒跌過
[04:22] 所以如果是以近十年的風關日
[04:25] 多半是收紅來看的話
[04:27] 從報股過年的邏輯來看
[04:29] 似乎本來就應該報股
[04:31] 不過從中長期投資而言
[04:33] 根本就沒有這項問題
[04:34] 為什麼呢
[04:35] 因為才一週的時間
[04:37] 我們過去跟投資朋友提過
[04:39] 臺股風關到底要不要報股過年
[04:42] 如果你的策略本身就是週期投資
[04:44] 長期投資
[04:46] 那答案就很簡單
[04:47] 那一定是抱著
[04:48] 真正影響報酬的是產業趨勢
[04:50] 企業獲利和資金迴圈
[04:53] 不會差這幾天交易日
[04:54] 就大幅度的改變方向
[04:56] 在這樣效果底下
[04:57] 你為了短短一週才封一週
[05:00] 你就要反覆的進出
[05:02] 反而容易被情緒和波動給洗掉
[05:04] 那重點應該講
[05:05] 一週再加上兩個交易日
[05:07] 剛剛好是七個交易日
[05:09] 重點是你手上的核心資產
[05:11] 和指數型的部位
[05:13] 例如大型全職或者大盤ETF
[05:15] 你本來就應該用跨季度
[05:17] 跨年度的視角來看待
[05:19] 就算真的發生了突發事件
[05:22] 你不是開了海外券商
[05:23] 就是做這個彈性調整
[05:25] 每股賬戶還是開著
[05:26] 部位要加減要對沖
[05:29] 都有工具能夠動
[05:30] 沒有必要為了一個風光
[05:31] 打亂整個長線配置
[05:33] 所以爆股過年這件事情
[05:35] 如果你本身就是長線投資的話
[05:37] 你賺的就是趨勢的錢
[05:39] 不是節日波動的錢
[05:41] 為了躲一週的不確定性
[05:42] 去隨意減碼
[05:44] 很多時候反而會把整個長期配置給打亂
[05:47] 我們常講的
[05:48] 這叫上面有想法
[05:49] 下面沒辦法
[05:51] 如果你上面沒部位
[05:52] 過完年之後
[05:53] 如果還繼續上漲
[05:54] 你下面也走不動
[05:55] 對於多數有本業收入的投資人來說
[05:58] 現金流一定會一直進來的
[06:01] 你有心思
[06:02] 時間是站在你這邊
[06:03] 那市場長期趨勢又向上
[06:05] 真正該抓的是多年成長
[06:07] 不是短期的節氣
[06:08] 再加上年度漲幅
[06:10] 有時候往往就集中在少數幾個
[06:12] 關鍵的交易日
[06:13] 巴菲特說的
[06:14] 閃電打下來的那一刻
[06:16] 你一定要在場
[06:17] 一旦你剛好空手
[06:18] 也許就真的上面有想法
[06:20] 下面也沒部位
[06:21] 看得到行情卻吃不到報酬了
[06:23] 好所以宏觀來看
[06:25] 那如果是以總體績效呢
[06:27] 報股過年沒有什麼太大的問題
[06:29] 重點在於今年以來
[06:31] 各大資產績效表現為何
[06:33] 如果我們細看
[06:34] 今年表現最為亮麗的仍然是黃金
[06:37] 已經連續兩年都是
[06:38] 漲幅最為亮麗的資產了
[06:40] 漲幅有14.9%
[06:42] 美股中型股8.6%
[06:44] 小型股7.7%
[06:46] 你看得很清楚
[06:47] 中型股小型股今年開始跑贏大盤了
[06:50] 大宗資產的部分漲幅有7.4%
[06:53] 全球發達全球股市有漲6.9%
[06:56] 美國價值股6.8%
[06:59] 新銀市場股市6.5%
[07:00] 科轉債5.4%
[07:02] REITs 4.2%
[07:03] 特別股2.2%
[07:04] 大型股1.3%
[07:05] 新銀市場債券0.9%
[07:07] 其他我們看到長天期高收益投資等級債
[07:10] 短期國庫券TIPS
[07:12] 整體漲幅大概是借債1%上下
[07:15] QQQ今年還收跌
[07:16] IWF成長股跌3.5%
[07:19] 那最慘的當然是比特幣
[07:20] 今年跌幅是19.4%
[07:23] 不過從去年高點算下來
[07:25] 早就已經腰斬了
[07:26] 所以我們一一來看
[07:27] 今年漲幅最亮麗的仍然是黃金
[07:30] 黃金資產為什麼有那麼顯著的資產價格的拉高
[07:33] 一方面是今年本來就有大宗資產的價格輪動味道
[07:37] 我們看除了黃金以外
[07:39] 今年漲幅最多的兩項資產
[07:41] 一個是西德州原油
[07:42] 漲幅有13%
[07:43] 布蘭特漲了13.4%
[07:46] 木材漲了11%
[07:47] 鋁價漲了8.8%
[07:49] 銅有5.2%
[07:50] 畜生有4.9%
[07:51] 小麥有4.2%
[07:53] 活牛有4.14%
[07:54] 酒精漲了3.4%
[07:56] 其他像是鑫啊
[07:57] 鑷啊鉛啊勉強漲幅1-2%收疊幅度比較大的都是軟性商品像唐價這樣跌了6%柳橙汁跌了14%天然氣跌了14%
[08:08] 咖啡跌了15%
[08:09] 可可跌了37%
[08:10] 所以呢對於通膨影響比較大的
[08:13] 其實都在漲
[08:13] 對於通膨軟性商品沒那麼大的下跌
[08:17] 對於CPI的重銷
