[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 在過去一週美國股市雖然波動沒有特別大
[00:32] 但是發生了非常多的重要關鍵事件
[00:35] 不管是總體經濟資料的公佈
[00:37] 還是接下來在關稅戰宣告違憲以後
[00:40] 各國跟川普政府的持續談判
[00:43] 都值得我們做進一步的留意
[00:45] 當然美國最高法院這次的殘地無效以後
[00:48] 美國股市的反應表現還算是不錯
[00:50] 一方面當然是某種程度去剋制了
[00:53] 在2026年可能出現進一步的不確定性
[00:56] 不過另外一方面
[00:57] 川普也立即進行兩輪的關稅調升
[01:00] 一開始先借由122條款
[01:02] 向全球來課徵10%的暫時性關稅
[01:06] 後續又調漲到15%
[01:08] 那臺灣在過去十個月
[01:09] 算是跟美國的談判有所收穫
[01:12] 在各項取得已經顯著的優惠待遇以後
[01:15] 未來是否會產生進一步的談判條件
[01:18] 我們後續要觀察
[01:19] 歐盟在最近也做了一些表態
[01:21] 但不管怎麼說
[01:22] 在過去一週道瓊指數上漲0.25%
[01:25] 納斯達克指數多漲幅有1.51%
[01:28] 標普白指數多漲幅有1.08%
[01:31] 整體而言對臺股仍然是利多
[01:33] 回過頭看
[01:34] 美股市標普白指數
[01:36] 的確雖然是上漲
[01:38] 可是在高位盤整也有一段時間了
[01:40] 現在標普白指數
[01:42] 在日線和成交量的分佈圖當中
[01:44] 可以看得出來
[01:45] 其實已經到了一個糾結區
[01:47] 左側的量能分佈圖看得出來
[01:50] 大量的歷史成交量
[01:52] 目前套牢和壞人手
[01:54] 其實都相對於集中
[01:55] 但是在小型股的部分
[01:57] 反而最近就比較活潑一點
[01:59] 小型股的羅素2000
[02:00] 在日線和成交量的分佈當中
[02:02] 可以看得出來
[02:03] 目前至少距離回撤還有一段時間
[02:07] 就代表著目前小型股
[02:09] 有收到進一波的資金融入
[02:11] 事實上如果從新市場來看的話
[02:13] 又相對於整個美國股市又亮了一點
[02:16] 新興市場的ETF EEM
[02:18] 從月線的對數圖來看
[02:20] 可以看到價格已經盤了18年
[02:23] 那這一次好不容易進行突破以後
[02:25] 我們就看今年如果關稅戰
[02:28] 基本上看起來會告一段落
[02:30] 是否意涵著匯率戰的上演
[02:32] 更有進一步有利於美元的貶值
[02:35] 更進一步來拉動新興市場貨幣的上揚
[02:39] 那這些資料都有利於在今年
[02:41] 股市最終可能是正報酬
[02:44] 債券市場也有可能是正報酬
[02:46] 大家比的是最後到底誰的報酬比較亮麗
[02:49] 當然現在大家更為關注的
[02:51] 是川普把關稅上升到15%以後
[02:54] 在最高法院的否決後進行全面加碼
[02:57] 未來還有什麼樣的一個條件
[02:58] 它會不會也是一種不確定性
[03:00] 而這種不確定性
[03:01] 市場是否已經足夠的反應
[03:03] 我們細看
[03:04] 最高法院在本週末以6比3裁定
[03:08] 川普濫用國際經濟經濟權利法
[03:10] IEPA加增關稅
[03:11] 超越總統許可權後
[03:13] 川普就迅速的採取了備案
[03:15] 先是引用1974年貿易法的第122條
[03:19] 來宣佈針對全球商品關稅課徵10%
[03:22] 後續又上調到15%
[03:24] 那基本上很明顯
[03:25] 他就是要讓現在已經主要談成的國家
[03:29] 有一個最惠國待遇
[03:30] 畢竟日本韓國臺灣都是15%
[03:32] 那如果現在只課徵10%
[03:35] 那不是其他還沒有簽約的國家
[03:37] 比臺灣韓國日本關稅還要來得低嗎
[03:39] 他也強調未來幾個月內
[03:42] 政府會重新制定合法
[03:44] 而且經得起檢驗的新關稅架構
[03:46] 同時間白宮也正在加速推動其他工具
[03:50] 包括301條款的不公平貿易行為
[03:53] 以及1962年的232條款
[03:54] 來針對國安產業來進行加稅
[03:56] 那當然1420億美元的關稅收入
[04:00] 現在就陷入不確定性
[04:01] 美國企業已經開始陸續要求退還稅款
[04:04] 不過白宮的態度很強硬
[04:06] 錢肯定是不會給的
[04:08] 畢竟這次最高法院只有說明它違憲
[04:10] 沒有說明接下來的錢要不要退回去
[04:13] 或者什麼時候退回去
[04:14] 怎麼退回去
[04:15] 但差別在於
[04:17] 其他的工具程式的確是更加繁瑣
[04:20] 限制也更多
[04:21] 也很難像過去那樣
[04:22] 遇到地緣政治摩擦
[04:24] 或者看誰不順眼
[04:25] 馬上就加稅
[04:26] 這會使得他跟企業的CEO
[04:28] 盟友領袖
[04:30] 甚至是接下來跟習近平
[04:31] 要進行四月份談判時
[04:33] 都會變得更進一步受到鉗制
[04:36] 尤其川普這幾周
[04:38] 馬上就要進行戒品了
[04:39] 市場會在乎
[04:41] 接下來他到底是要把關稅
[04:42] 變成制度化的長期工具
[04:44] 還是要繼續靠臨時喊價來製造壓力
[04:47] 因為這個時候
[04:48] 如果川普隨時在出搜尋上
[04:51] 又發了一條貼文說
[04:52] 針對誰誰誰客徵關稅
[04:54] 那你要知道
[04:55] 他援引IEPA的這個法源依據
[04:57] 已經失效了嘛
[04:58] 那你說我要針對232條款
[05:00] 301條款
[05:01] 罵還是罵
[05:02] 但是那個強度就稍微弱了一些
[05:04] 那對於企業來說
[05:06] 最痛的其實也不止在於
[05:08] 有沒有關稅
[05:09] 而是那是不是又每天變來變去了
[05:11] 所以這個轉折
[05:12] 我在想也不全然是壞事
[05:14] 那也算是給川普一個政治下臺階
[05:17] 關稅的確推高了部分的生活成本
[05:19] 那其中選舉又在眼前
[05:21] 川普最近也把很多的關稅進行微調
[05:24] 像是擴大豁免
[05:26] 降低民生品的衝擊
[05:28] 甚至連共和黨內部現在都有人
[05:30] 比如說像眾議院之前就有投票
[05:32] 來終止針對加拿大的關稅
[05:34] 那每天變來變去
[05:35] 投資跟招人
[05:37] 現在很多企業都不敢下重注
[05:39] 反而很多的企業團體
[05:41] 在關稅可控的情況底下
[05:43] 反而市場上有進一步的合理預期
[05:46] 所以最希望的也並不是川普完全沒有獲得關稅
[05:50] 而是說那要不就先這樣子
[05:52] 你先把其中先舉先給熬過去
[05:54] 那你用122條先撐150天
[05:57] 我們也不要求退回了
[05:58] 當然這只是部分大型企業的看法
[06:01] 大多數企業仍然還是向川普
[06:03] 尤其白宮來申請相關的稅率的退還
[06:07] 那張震的麻煩其實就是這個金額
[06:10] 到底川普是否會有所退還
[06:12] 另外一個就是
[06:13] 這社會會動搖目前已經既有的貿易協議
[06:16] 多數的國際分析都認為
[06:18] 過去一年所簽下的對等關稅協議
[06:20] 短期內也不太可能因此而瓦解
[06:23] 畢竟這場法律風暴
[06:25] 確實為部分談判國創造了操作空間
[06:27] 像印度這一類
