[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 不過呢雖然股市是有點賣壓
[00:32] 但其實更多反映的還是在軟體股
[00:35] 軟體股仍然是當前的領跌方向
[00:37] 我們像昨天workday跌幅有接近6%
[00:40] 其他像是IBN跌幅更是高達接近有13%
[00:44] 那整體市場的賣壓
[00:46] 它會如何影響到
[00:47] 在今年美國股市的輪廓
[00:49] 這種軟體股跟科技巨頭的脫節
[00:52] 是否會持續呈現呢
[00:54] 像昨天甲骨文跌幅又大概有接近4%
[00:57] 放下2000年以來
[00:59] 我們看到軟體股最為差勁的一年
[01:02] 那後續私募的資本巨頭
[01:04] 也開始被捲入到麥芽
[01:06] 像是阿瑞斯或者像阿波羅
[01:09] 黑石KKR
[01:10] 整體跌幅啊大概是接近5-9%
[01:13] 藍貓資本
[01:14] 好這一次我們看到
[01:15] 私募資本的主要貢獻者
[01:17] 尤其在AI領域當中
[01:19] 這一次在昨天股下又跌了3%
[01:21] 年初以來
[01:22] 總體跌幅已經高達接近30%
[01:25] 那市場也擔憂這種AI的波動
[01:28] 它是否會持續拖慢接下來的募資和資產處分
[01:31] 那也是否意味著
[01:33] 接下來就不只是軟鐵股被 AI 取代的問題
[01:36] 缺錢的問題也可能會在未來幾周逐步的發酵
[01:40] 那臺北股市在昨天
[01:42] 本來一度漲點高達接近600點
[01:44] 但是最後只有收漲167點
[01:47] 事實上內資的買盤一開始看起來蠻給力的
[01:50] 可是在昨天內資仍然處於賣超
[01:53] 投信還是賣了一些
[01:55] 總體而言
[01:56] 整體大盤在創高以後
[01:58] 彷彿收斂到167點
[01:59] 成交量反而蠻大的
[02:01] 9020億元是今年以來的第三高
[02:04] 那因為開紅盤嘛不意外哦
[02:06] 所以後續要觀察的幾大效果
[02:08] 也包含著
[02:09] 不管是0050
[02:10] 定期定額衝破了80億的大關
[02:12] 人均扣款的持續過高
[02:14] 他能不能撐住
[02:16] 臺北股市本輪跟美股的脫鉤
[02:18] 也就是美股現在賣壓是蠻沉重的
[02:20] 但臺股啊
[02:21] 今年由於在硬體股的年終
[02:24] 陸續入賬以後
[02:25] 是否能夠成為內資買盤的重要支撐
[02:28] 今天就來跟投資朋友做一些觀察
[02:30] 那我們當然先從在昨天
[02:32] IBN的重挫來聊起
[02:34] 這一次IBN的重挫
[02:35] 讓大家已經把軟體股ETF的擴張幅度
[02:39] 開始向外往一些巨頭來做延伸
[02:41] 軟體型ETF昨天我們看到
[02:44] 整體平均跌幅是接近5%
[02:46] IBN跌幅有13%
[02:48] 這是2000年10月份以來最差的
[02:51] 單日表現
[02:52] 主要是Antropic表示說Cloud Code
[02:54] 可能會協助現代化語言
[02:56] 而我們看到COPOL
[02:58] 常年執行於IBM的大型主機身上
[03:01] 市場上也擔憂
[03:02] 這樣的護城河有可能會因此而被削弱
[03:04] 比特幣在昨天也跌破了6.5萬美元
[03:07] 不過大家已經不是很擔心了
[03:09] 因為現在跌1000塊2000塊
[03:11] 甚至連跌個5000塊
[03:13] 市場上
[03:14] 針對當前比特幣資產的波動度
[03:16] 已經習以為常
[03:17] 反而是黃金價格
[03:19] 飆破了5200美元
[03:21] 美國公債10年期之利率
[03:23] 這次回落到4.03%左右
[03:26] 而整體而言
[03:27] 交易員開始拋售任何可能被視為
[03:30] AI被取代的公司
[03:32] 即便這一輪其實大型科技股的財報
[03:35] 表現也不是特別差
[03:36] 但市場還是非常質疑
[03:38] 龐大的AI資本支出能否快速的變現
[03:41] 那對等關稅的傾老
[03:43] 這一次也使得市場上有進一步的賣壓
[03:45] 那我們大概從幾個角度來做思考
[03:48] 第一個角度是科技巨頭
[03:50] 到底現在還有沒有穩盤的作用
[03:52] 因為美股七熊週一的確是跌多漲少
[03:55] 微軟大概崩了3.21%
[03:57] 縮在384塊
[03:59] 特斯拉跌了2.9%
[04:01] 縮在399塊
[04:02] Meta跌了2.8%
[04:04] 縮在637塊
[04:05] 亞馬遜收跌2.3%
[04:07] 縮在205塊
[04:09] 阿發貝下跌1.02%
[04:11] 縮在311塊
[04:13] 現在從七熊的走勢來看
[04:15] 開始陸續失手了
[04:16] 尤其微軟
[04:17] 微軟這個頭部
