[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 帶動已經跌升的輪替股開始回升呢
[00:32] 今天來跟投資朋友做一些觀察
[00:35] 尤其臺股從二月份以來就一路噴到讓人懷疑人生
[00:39] 單日漲點接近千點
[00:41] 外資又連續買超
[00:43] 臺積電的市值突破了兩兆美元
[00:46] 夜盤也來到了35236點
[00:48] 市場已經氣氛熱到這邊
[00:51] 反觀美股
[00:52] 昨天雖然在川普國新諮文前出現了明顯反彈
[00:56] AND跟Meta擴大合作飆漲了8%
[00:59] 納指稅辦也回彈了超過1%
[01:02] 但整體的討論熱度感覺像是兩個世界
[01:05] 臺股都在講說還來得及買股票嗎
[01:08] 美股在講軟鐵股到底什麼時候才能夠反彈
[01:11] 問題就很現實
[01:13] 這一波美國股市的AI恐慌後的反彈
[01:16] 它到底是一個跌身的回補
[01:18] 還是美國股市準備要重新加速往上了呢
[01:22] 追趕複製臺股在今年已經高達18%的漲幅
[01:26] 何況過去一週臺股還沒開盤呢
[01:29] 接下來就可以把兩邊的驅動因子開始拆開
[01:33] 到底誰是由資本面資金面來做驅動
[01:36] 誰是由基本面來做重估
[01:38] 以及美國政策以及關稅的變數
[01:40] 是否能夠讓美國股市追趕臺股的最大的前進動力
[01:45] 那我們先回過頭看
[01:46] 的確這一陣子AI恐慌後的科技股反彈
[01:50] 有點類似空單回補的味道
[01:52] 但是由於昨天AMD也傳出
[01:55] 跟Meta的投資合作計劃
[01:57] 數十億美元的採購裝置大漲
[01:59] 當然最後還是臺積電的訂單
[02:01] 可是這一波反彈的核心
[02:03] 反而是市場開始去重新思考
[02:06] AI所帶來的影響
[02:08] 我們知道
[02:08] Enthropy之前所推出的工具
[02:10] 直接引發了
[02:12] AI可能淘汰整個產業的普遍恐慌
[02:15] 但近期越來越多公司強調
[02:17] AI是整合現有系統
[02:19] 而並不是全面的取代
[02:21] 也緩和了投資人的市場情緒
[02:23] 那當然
[02:24] AMD這種名人的壓住效應
[02:26] 也要清楚知道
[02:27] 很多程度可能來自於
[02:29] 極其低的股票
[02:30] 現在相對而言
[02:32] 有進一步的想象空間
[02:33] 尤其是那些硬體股
[02:35] 那至於極其高又是軟體股的
[02:37] 那當然是主要的受出物件
[02:39] 這一次AMD和Meta
[02:41] 所簽下的大型AI晶片合作案
[02:43] 它也不是單純的供貨協議
[02:45] 有一種示範壓住的策略
[02:48] 就是由名人帶貨
[02:49] 能夠吸引跟風消費者
[02:51] AMD希望Meta和OpenAI
[02:53] 這些大型客戶
[02:54] 先採用它的晶片
[02:56] 其他雲端巨頭也許也能夠因此而跟進
[02:59] 讓大家的想象空間越來越高
[03:01] 所以硬體股SOX是否代表著費辦
[03:04] 有進一步的支撐值得留意
[03:06] 那第二大方向是
[03:08] 美國股市這一陣子雖然軟體股賣壓是很沉重
[03:11] 可是對於實業股而言
[03:13] 其實還是有一定程度的資金流入的
[03:15] 我們舉例來說
[03:16] 投資人在最近雖然把科技股進行市入售出
[03:20] 可是大量實體資產的公司像能源股
