[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 會計年度第一季營收會高達780億美元
[00:33] 大幅高於市場預期的728億美元
[00:36] 是否也代表著雲端服務商和大型科技巨頭
[00:40] 現在AI算力的擴張還在持續
[00:43] 這也說明著
[00:44] 雖然到底有沒有挖到金礦是不知道
[00:46] 不過賣產值的看起來
[00:49] 生意完全沒有倒下來的跡象
[00:51] 那這些資料中心就像AI工廠
[00:53] 工業革命的生產工廠
[00:55] 將會在未來多年持續推動產業發展
[00:58] 那這一份樂觀的預測
[01:00] 基本上也暫時平息了市場對於AI資本支出
[01:04] 可能過熱的疑慮
[01:05] 也證明AI投資現在其實完全沒有任何降溫的跡象
[01:09] 財報現在上漲4%
[01:11] 我們就看能否持續傳導到明天美股的開盤
[01:15] 不過呢
[01:16] 如果我們細節從實物的財報資料來看
[01:19] 回憶達上一個季度的營收年增幅是73%
[01:22] 680億美元
[01:24] 美股盈餘大概在1.62塊左右
[01:27] 其實都比市場預期還要來得好
[01:29] 尤其是調整之後的毛利率是75.2%
[01:33] 這也顯示即便現在成本壓力還是很大
[01:36] 但是輝達還是能夠維持極高的獲利能力
[01:39] 其中資料中心的業務營收高達了623億美元
[01:43] 是AI需求爆發的直觀體現
[01:45] 但是其他部門看起來就比較平淡了
[01:48] 比如說遊戲業務營收37億
[01:51] 比市場預期還要來得低
[01:53] 車用晶片收入基本上也是稍微落後
[01:56] 市場同時也在關注
[01:58] 記憶體供給緊張
[02:00] 遲早輝達要漲價
[02:02] 如果輝達不漲
[02:03] 那就是它的毛利率要下滑了
[02:04] AI伺服器高度依賴HBM和D-RAN等
[02:09] 記憶體元件
[02:09] 基本上已經明顯代表著
[02:11] 輝達已經要提前鎖定庫存和產能
[02:14] 那我們就看未來幾個季度
[02:16] 到底對於實質毛利率的影響會有多大
[02:20] 另外一個不確定性的因素
[02:22] 來自於中國市場
[02:23] 因為輝達現在還是受到
[02:24] 美國出口管制的限制
[02:26] 不管是高階AI晶片還是難以消亡中國
[02:30] 就算開放了
[02:31] 中國似乎採購意願也沒有想象中來得高
[02:34] 受到國有部門的監管所導致的
[02:37] 所以本次的裁測
