[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 兩週的漲幅給吞掉
[00:31] 你就知道這兩週
[00:32] 到底漲幅有多少了
[00:33] 也引起股票市場的適度沉壓
[00:35] 不過跌幅沒有想象中來得大
[00:37] 反而是過去漲幅比較高的費辦
[00:40] 崩跌了3.8%
[00:41] 標普僅下跌0.4%
[00:43] 納斯達克指數下跌1%
[00:45] 看起來更像是
[00:47] 全球系統單城市單的收縮
[00:49] 所造成股價漲高的
[00:51] 獲利了結賣壓
[00:52] 那這個時候我們就要回過頭來看
[00:53] 因為元月份來看
[00:55] 美國股市四大指數
[00:56] 還是收紅做收
[00:58] 標普和道瓊當月份
[00:59] 上漲了1.4%和1.7%
[01:02] 納斯達克指數漲幅也有1%
[01:04] 羅素2000
[01:05] 松小型股就更亮麗了
[01:07] 單月漲幅還是有5%
[01:09] 所以從長尺度來看
[01:10] 其實整個元月份
[01:11] 不要講說股票市場了
[01:13] 貴金屬資產到現在元月份都還是正報酬呢
[01:16] 那要回過頭來看
[01:17] 這一次金銀價格的擊殺
[01:19] 一次把兩個禮拜的漲幅給吃掉之後
[01:22] 多頭行情是否已經出現了急轉彎
[01:25] 它背後的原因
[01:26] 是否又完全可以來自於
[01:28] 聯準會主席的人選確定呢
[01:30] 來跟投資朋友做一些觀察
[01:31] 我們看上週五金價銀價創高之後急轉直下
[01:36] 像貴金屬資產
[01:37] 其實所有貴金屬資產都出現了罕見重挫
[01:40] 我們講的殺金斷銀
[01:42] 金價前一天才逼近每盎司5600美元
[01:45] 隔天一度暴跌11%來到4800美元附近
[01:49] 黃金一天蒸發了接近有2.5兆美元市值
[01:52] 那漲幅更猛的白銀
[01:54] 單日狂瀉26%
[01:55] 創下歷史上最大跌幅
[01:57] 白金也下跌有18%
[01:59] 那當然一開始的解讀
[02:01] 跟川普這一次提名握許
[02:03] 出任下一任聯總會主席有關
[02:05] 這個過往他相對有鷹派的言論
[02:08] 對於美元提振的效果
[02:10] 只不過呢
[02:11] 現在他是不是還這麼鷹
[02:13] 這就很難說了
[02:14] 重點在於
[02:15] 美債殖利率並沒有呈現極大波動
[02:17] 就代表著大家沒有因為他
[02:19] 擔任聯總會主席而對賭
[02:21] 會進入到相對緊縮格局
[02:23] 但是卻找到了一個經營下車的藉口
[02:26] 所以其實我們回過頭來看
[02:28] 這一波價格的回擋
[02:30] 我們看銀價從120一路回撥到90
[02:33] 那現在銀價開盤之後又開始有些反彈
[02:36] 黃金價格從本來5600回撥到4900左右
[02:40] 其實距離元月份1月1號當時的位置
[02:44] 還有很長一段距離
[02:46] 所以真的其實這一波元月份漲幅是相對比較誇張
[02:49] 獲利了結的多頭踩踏也比較嚴重
[02:52] 不過也還好
[02:53] 這一波很明顯就是過去兩個月
[02:55] 一月中旬才進場的投資者
[02:57] 你連一月一號買
[02:58] 現在都不一定虧
[02:59] 這就是波動
[03:00] 但是很多人會看對趨勢
[03:03] 實在波動
[03:03] 因為你槓桿方太大
[03:05] 一下子的波動
[03:06] 就把你給掃出場了
[03:08] 所以最後你可能最後趨勢還是看對了
[03:11] 長期資產配置哪有什麼問題
[03:13] 但實在波動了
[03:14] 那現在回過頭來看
[03:16] 市場上核心訊號
[03:17] 其實並不是價格跌多產的問題
[03:19] 而在於大家觀察的擁擠交易
[03:22] 一旦轉向市場內
[03:23] 會不會股票市場也出現那種
[03:25] 一天之內的集體失速
[03:27] 一夕之間金從銀從通通死光光
[03:31] 現在市場上原本高度一致的部位
[03:33] 比如說現在的市場主流的敘事是
[03:36] 做多黃金放空美元
[03:38] 看好非美市場
[03:39] 那基本上就是壓住整個美元貶值
[03:42] 所造成的貴金屬資產的繁榮
[03:44] 和新興市場繁榮
[03:45] 再壓上一個AI的成長敘事
[03:47] 在一週內突然產生晃動以後
[03:50] 大家擔心的好像就不是AI的未來
[03:53] 大家擔心的是
[03:54] 我現在買的這個指數是不是短期內漲很多
[03:57] 像納指就過去一個季度都沒漲
[03:59] 是不是比較安全
[04:00] 那非半漲那麼多
[04:01] 我是不是要來得更為小心
[04:03] 尤其這一次沃許所釋出的市場不確定性
[04:07] 到底五月份以後
[04:08] 第一聯準會主席會不會交接
[04:10] 第二沃許到底內部是不是跟過去十幾年的言論一樣
[04:15] 處於高度陰派
[04:16] 還是在近期由於他已經偏向降息派
[04:19] 有稍微轉變呢
[04:20] 當交易從觀點變常識以後
[04:23] 市場對風險的耐受程度就開始急速下滑
[04:26] 其實如果我們細看
[04:27] 黃金本來漲幅就已經有點誇張了
[04:30] 黃金一度高出長期趨勢線有高達44%
[04:33] 創下1980年以來的罕見水準
[04:36] 白銀情緒則是衝到98年以來的最高
[04:39] 美元則是寫下8年來的最差的新年開局
[04:42] 那這些都意味著
[04:43] 哪怕只是沒有更好的訊息
[04:46] 都可能變成被賣出的理由
[04:48] 所以被賣出真的有很嚴重嗎
