[00:00] 投資變換收聽早晨財經速解讀
[00:03] 現在是臺北時間2026年2月3號禮拜二早上8點31分
[00:07] 大家早上好我是林浩
[00:08] 每一早開半天半小時
[00:09] 我們在這邊陪伴著各位一起解讀國際財經新聞時事變化
[00:12] 公元才睡一天
[00:14] 馬上又要回萬豪睡覺了
[00:16] 這一次我們看到道瓊大漲了510點
[00:19] 臺積電ADR在周天也大漲了接近有3%
[00:22] 市場的情緒回撥
[00:24] 在短時間內情緒開始恢復
[00:26] 那其實比特幣到目前為止
[00:28] 價格賣壓還是很沉重
[00:30] 大概在7.8萬美元上下
[00:32] 那過去作為市場的領頭羊指標
[00:35] 基本上已經陸續跟我們看到的AI風險資產
[00:38] 甚至已經跟黃金出現了替代效果的落差
[00:42] 開始陸續脫鉤
[00:43] 那這些訊息也都意味著市場進入到一個新的階段
[00:47] 過去高估值的股票都在陸續迴歸
[00:50] 等待著本益比陸續的回撥
[00:52] EPS後續的跟上
[00:54] 那另外一方面市場的報價行情開始轉往下一個焦點
[00:58] 這個焦點到底是轉往目前財報季
[01:01] 陸續公佈之後的表現迴歸於平靜
[01:03] 還是說市場上正在醞釀下一個缺貨潮呢
[01:07] 畢竟所有缺貨潮的這些漲價潮
[01:10] 股票在過去一段時間都做了各自的均值回撥
[01:14] 那回撥以後
[01:15] 下一輪的上攻會有什麼樣的一個引爆點來爆發
[01:18] 值得留意
[01:19] 但至少川普這一次下調了針對印度的關稅
[01:23] 從國際貿易面層面
[01:24] 美國和印度達成關稅就意味著
[01:27] 基本上過去那種
[01:29] 我們看到市場上的緊張局勢
[01:31] 不確定性下滑
[01:33] 對於全球風險情緒的提振
[01:35] 這次印度輸入美國的商品關稅稅率
[01:37] 從25%下滑到18%
[01:40] 那美國呢
[01:41] 也取消因為印度採購俄羅斯原油
[01:44] 額外徵收的25%關稅
[01:46] 那黃金的跌勢
[01:47] 目前也在收斂當中
[01:48] 白銀的部分也稍微趨緩
[01:51] 不過呢反彈幅度就不像股票市場這麼大了
[01:53] 金價這一次
[01:55] 你可以觀察到
[01:56] 在回跌之後買盤其實還很強勁
[01:58] 即便跌這麼重了
[02:00] 市場上尤其是亞洲市場的逢低成績量
[02:03] 非常非常高
[02:04] 新加坡是唯一對散戶
[02:06] 販售直接實體黃金的銀行債
[02:09] 應該這樣講
[02:10] 所以整個亞洲市場不止新加坡
[02:12] 臺灣銀行也是
[02:14] 不少退休族和鄰貴
[02:16] 應該過幾個禮拜資料就會出來了
[02:19] 在新加坡的部分是直接公開資料
[02:21] 昨天搶購金條和金飾的人數也非常多
[02:25] 那彭博社的報道也顯示
[02:26] 目前在整個東亞市場
[02:28] 人人都在盤對強購
[02:30] 其實賣黃金的反而不多
