[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 現在唯一能夠賺錢的
[00:31] 只有賣產值的企業
[00:32] 以及七巨頭呢
[00:34] 我們往下來去體觀察
[00:35] 其實在昨天早盤
[00:37] 道瓊指數一度創下歷史性高
[00:39] 不過呢
[00:40] 後續四大指數的賣壓開始湧現
[00:42] 納斯達克指數是中出了1.4%
[00:44] 費半跌幅又2%以上
[00:46] 那這次美國眾議院
[00:47] 雖然以217票相對於214票的
[00:51] 些微差距透過了法案
[00:52] 但是川普呢
[00:54] 後續在針對跟民主黨的談判
[00:57] 國土安全部的資金規劃
[00:58] 還在持續
[00:59] 所以雖然海外或者說這種外部的地緣政治不確定性
[01:04] 的確逐步在降溫
[01:05] 可是內生性這種AI的變革
[01:08] 以及創造性的破壞仍然持續當中
[01:10] 現在沒有股市
[01:12] 整體而言賣壓仍然相當沉重
[01:14] 反而是白銀黃金開始陸續進行反彈
[01:17] 這一波主要還是散戶的追加
[01:19] 實體市場其實在亞洲
[01:21] 在過去一週也陸續出現了一波新一輪的強貨潮
[01:25] 本週開始亞洲市場
[01:27] 不管是鑄幣機構還是金鍊廠
[01:29] 加班趕工
[01:30] 把珠寶寶餐具
[01:32] 甚至連舊的假牙都拿來回收龍鏈
[01:35] 真正瘋狂的其實是在金融商品端
[01:38] 熱門白銀ETF的交易量
[01:40] 現在還在走高
[01:41] 追蹤標普擺的最大ETF的水準
[01:44] 相對於兩倍槓桿白銀ETF
[01:46] 目前看起來流入量速度是差不多的
[01:50] 足以彰顯著
[01:51] 本週似乎散戶的交易重點
[01:53] 還是放在白銀市場或者黃金市場當中
[01:56] 那對於相對疲憊的股市
[01:58] 則是抱持的戒慎恐懼
[02:00] 或者開始尋找低基期的股票
[02:02] 看是否有持續輪動的空間
[02:05] 所以這一波市場
[02:06] 真正詭異的市場
[02:08] 詭異的地方也不是說沒有股市跌了怎麼樣
[02:10] 而是說AI已經把科技股硬生生的拆成兩條線
[02:14] 硬體它還在吃資本開支的紅利
[02:18] 其像晶片 記憶體 機房和電網
[02:21] 那軟鐵股的部分
[02:22] 已經開始面對被模型原廠下開始抽擁
[02:25] 甚至直接替代的重新估值定價
[02:28] 對於投資人來說
[02:29] 其實還是有吸引力
[02:31] 因為他們有流量
[02:31] 有云端資本
[02:33] 而且還有分發權
[02:34] 可能把AI變成新的稅收工具
[02:37] 可是對於個別公司來看
[02:38] 昨天壓力就真的很大了
[02:40] 軟體的續約和升級
[02:42] 可能會先被看
[02:43] 雲端合約可能被質疑
[02:45] 大家都在懷疑
[02:45] 以後還需要有APP的存在嗎
[02:48] 如果只有一個視窗
[02:49] 讓AI幫助我處理任何事情
[02:51] 我為什麼需要買一個APP的產品呢
[02:55] 所以在這樣效果底下
[02:56] 市場的估值開始做調整
[02:58] 那更關鍵的事情是
[02:59] 現在OpenAI和馬斯克帝國的變化
[03:02] 正在把AI競賽從模型能力推進到資金鍊
[03:05] 算力鏈
[03:06] 資料鏈的整並戰
[03:08] 那有人用鉅額的合一和資本市場
[03:11] 現在持續撐住高估值
[03:12] 有些人嘗試的用垂直應用
[03:14] 去打破傳統軟體的護城河
[03:17] 那現在AI的新創也不是單純工具
[03:19] 它要改變一個新的產業的定價
[03:22] 最後也別忘了
[03:23] AI的副作用也開始湧現
[03:24] 今天我們就從這樣的邏輯來敘述
[03:27] 到底現在資產的大洗牌
[03:29] 它背後是隱含什麼樣的事情
[03:31] 我們先從德銀的報告來講起
[03:33] 今年元月份應該可以說是高震盪
[03:37] 但是還是偏多的少進月份
[03:39] 因為地緣政治年初當時集體爆發
[03:42] 有委內瑞拉的問題
[03:43] 有伊朗的問題
[03:45] 有格林蘭的問題
[03:46] 還有聯準會獨立性的問題
[03:48] 但多數主要資產
[03:50] 如果我們以美元來做計價
[03:52] 還是繳出了正報酬
[03:53] 股票市場表現
[03:55] 不要說現在即便賣壓沉重
[03:56] 今年還是真報酬
[03:58] 新興市場更是創下兩年多以來
[04:00] 最佳的單月表現
[04:02] 經濟資料偏強是一個重要的支撐
[04:04] 比如說現在服務業指標
[04:06] 失業率的回落
[04:07] 以及PNI資料還在50以上
[04:09] 這些資料都讓大多數的風險資產
[04:12] 有回撥
[04:13] 但回撥並不多
[04:14] 表現最強的還是集中在硬資產
[04:16] 貴金屬仍然是最大贏家
[04:18] 黃金到目前為止
[04:20] 單月還是漲了一成
[04:21] 創下20多年來最佳的月度表現
[04:23] 白銀更是連續多月的走深
[04:25] 所以它只是把兩週漲幅給吃掉
[04:28] 並不是把整個月的漲幅都給吃掉
[04:30] 能源同樣受到地緣政治的聯動
[04:33] 布蘭特原油在1月份
[04:34] 也創下4年來的最大單月漲幅
[04:37] 其他股票
[04:38] 美股 歐股 日股和新興市場股市
[04:40] 仍然全數收紅
[04:42] 所以現在大家擔心的是
[04:44] 資金怎麼輪動
[04:45] 而並不是全面離開市場的問題
[04:47] 現在最明顯的就是軟體股先倒
[04:49] 波動率抬頭
[04:50] 標普還在沉
[04:51] 可是資金已經開始先有點流出了
[04:54] 我們以IGV
[04:56] 也就是美股的軟體ETF來看
[04:58] 目前已經出現了多年來最嚴重的超賣狀態
[05:01] 動能指標跌到極端區間
[05:04] 同時間私募信貸市場也開始出現壓力
[05:06] 當然不是說單一板塊下跌的問題
[05:09] 它是整個領漲的主降開始轉落
[05:12] 七巨頭不漲了
[05:13] 大盤是否還能夠維持在歷史高位
[05:16] 從市場指數來看
[05:17] 一個是SPX標普白指數
[05:19] 然後IGV軟體ETF
[05:21] 那個走勢已經很明顯
[05:23] 有一點脫節了
[05:25] 而且脫節時間也不是一兩週了
[05:27] 已經快要脫節
[05:28] 有一個季度左右的時間
[05:30] 那其他像是雲端
[05:31] 和高估值的成長股代表
[05:33] OWL白色線
[05:34] 它更是直接破底
[05:36] 直接跌破了去年四月份的低點
[05:38] 這件事情也就意味著
[05:40] 很多軟體股目前的輪動
[05:42] 正在快速發酵
[05:43] 反而硬體股
[05:44] 現在財報公佈出來
[05:45] 勉強都還有支撐
[05:47] 像Pantheon最近公佈財報
[05:48] AI和國防需求帶動強勁的成長
[05:52] 這一次不管是企業和美國政府
[05:54] 加速採購AI資料分析系統
[05:57] 其實它也算是軟體股
[05:58] 硬要這樣講
[05:59] 但是至少有做硬體的
[06:01] 現在價格都稍微有點支撐
[06:03] 盤後股價大漲5%
[06:05] 全年營收合計有44.8億
[06:08] 整體而言
[06:09] EPS相對於原本市場預估的0.23塊
[06:12] 這一次已經上升到0.25塊
[06:14] 基本上營收EPS利潤全部超乎市場預期
[06:19] 在這樣效果底下
[06:20] 其實帶動的是全球的硬體供應鏈
[06:22] 我們看在最近
[06:23] 全球股市表現最亮麗的仍然是韓國股市
[06:26] 三星和SK海力士在昨天市值正式超越阿里和騰訊
[06:31] 合計市值兩家加起來現在有1.14兆
[06:34] 那你要知道
[06:36] 這個里程碑其實也反映著AI的資本開支
[06:39] 正在往明顯的算力和記憶體傾斜
[06:42] 居然兩家賣鏟子的企業
[06:44] 比中國兩家軟體股龍頭
[06:47] 一個做電商的
[06:48] 一個做我們講說影視媒體的
[06:52] 居然還要來得高
[06:53] 這件事情也就意味著
[06:54] 其實韓國三星股市
[06:56] 海力士股票真的漲很多
[06:58] 大漲已經有40%了
[07:00] 主張當然是因為
[07:02] 高頻寬記憶體的缺貨所導致的
[07:04] 所以很多人認為
[07:04] 這是一個短期現象
[07:06] 怎麼可能
[07:06] 那一個重要的終端客戶
[07:08] 長期被這些硬體傷給超越呢
[07:10] 不過臺積電也穩坐市值前10名的企業
[07:14] 很長一段時間了
[07:15] 所以中國現在更偏向打造
[07:17] 從晶片到模型再應用的
[07:19] 整體自主模式
[07:21] 南韓的策略很明顯要先卡關
[07:23] 全球的AI供應鏈和領主鍵
[07:25] 另外一方面我們看到MSCI指數
[07:27] 新興市場的權重進行大規模調整
[07:30] 臺灣在20多年來
[07:32] 首次超越中國
[07:34] 成為全球MSCI指數最大的指數
[07:37] 最大的成分國
[07:38] 最新比重大概是21%左右
[07:41] 這個應該是07年以來首次看到臺灣領先
[07:45] 權重變化很明顯
[07:47] 主要就是臺積電的市值快速膨脹
[07:49] 事實上本來就是如此
[07:50] 從MCI裡頭的股票權重來看
[07:53] 最大就是臺積電
[07:54] 佔比有11%第二名才是騰訊然後是三星而且倍數都是三到四倍的領先左右所以在上一次統計的過程當中臺灣也不過20.6中國市場是27.6
[08:06] 那這一次臺灣來到21
[08:08] 中國市場佔比下滑
[08:09] 臺灣已經正式超過中國
[08:11] 成為全球新興市場指數當中
[08:14] 權重最大的一個市場
[08:17] 這件事情也就意味著
[08:18] 臺灣是不是要先擠進發達市場了呢
[08:20] 好像放在新興市場也不適宜
[08:22] 但這件事情也都意味著
[08:24] 硬鐵股的強硬
[08:26] 的確已經形成一定程度的趨勢
[08:28] 那我還是認為
[08:29] 從左側交易邏輯來看的話
[08:30] 那硬鐵股就不是很吸引人了
[08:32] 太強了
[08:33] 你應該回過頭來看
[08:34] 並不是每家軟鐵股
[08:36] 後續都會直接反彈
[08:37] 但是七巨頭
[08:38] 這樣的一個疲憊
[08:39] 它的本益比的調整
[08:40] 仍然會持續浮現
[08:41] 近期美國股市軟鐵股的跌勢加劇
[08:44] 它也不是說
[08:45] 單日我們看到這種系統性的破壞
[08:48] 它就是沒有人要買
[08:49] 他也沒有傳出那種史詩及財報的下修
[08:52] 他就是因為硬體股的錢
[08:55] 都把他給吸走了
[08:56] 有這樣的一個感覺
[08:57] 其實很多做純軟體商的服務
[09:00] 現在使用者很多在AI的幫助下
[09:02] 自己都已經先開發了
[09:04] 所以你如果不懂得
[09:05] 如何發揮AI價值的軟體公司
[09:08] 也許接下來都會遇到很大的挑戰
[09:10] 那我們就從七句頭往下聊
[09:12] 來看一下軟體股所面臨的挑戰為何
[09:14] 首先看的是OpenAI
[09:16] 這次大家一直在關注
[09:17] OpenAI和輝達的關係身邊
[09:19] 對於輝達股價所形成的賣壓
[09:21] 甲骨文3000億美元的合約
[09:23] 也受到顯著的考驗
[09:25] 原因很簡單
[09:26] 因為我們過去提過
[09:28] OpenAI能不能履行
[09:30] 和甲骨文所簽下
[09:31] 為期五年
[09:32] 總額高達3000億美元的
[09:35] 雲端合力
[09:36] 雲端的合約
[09:37] 原因在於
[09:38] 現在OpenAI和輝達之間的
[09:40] 上千億規模的投資戰
[09:41] 他都已經降溫了
[09:43] 那甲骨文呢
[09:44] 甲骨文當時是RPO
[09:46] 是直接的勝於履約義務
[09:48] 那去年底甲骨文申報的RPU是5230億
[09:52] 的確是過去四季營收的接近九倍
[09:54] 而且70%都是來自於OpenAI
[09:58] 有3000億美元的訂單都是OpenAI所貢獻的
[10:00] 所以當時財報公佈之後國價才大漲
[10:03] 那現在問題來了
[10:04] 那輝達原本要大額投資OpenAI的
[10:06] OpenAI又會用部分的資金來回頭購買
[10:09] 輝達晶片和甲骨文算力
[10:11] 那現在輝達沒有要投這麼多錢了
[10:13] 或者投的年數可能拉長
[10:14] 所以每年拿到的錢不夠多
[10:16] 那甲骨文就哪裡來的收入呢
[10:19] 我們看甲骨文最近股價仍然在持續破底
[10:22] 雖然最近已經宣佈發行200億美元的新股
[10:25] 而且其實看起來訂單湧入量還蠻多的
[10:28] 也就代表著還是很多人對它有所支援
[10:31] 不過CDS價格的崇高也意味著
[10:34] AI投資雖然給予你一定的評價
[10:37] 可是我也知道你有可能不成功
[10:39] 加上OpenAI到底能不能成為接下來AI的領頭羊
[10:43] 仍然持續充滿挑戰
[10:44] 最後市場上在它的股價和CDS價格
[10:48] 仍然呈現出來市場的總體評價
[10:50] 只不過該季的錢還是有借到
[10:52] 那OpenAI現在的算力大單卡關以後
[10:55] 明星級的AI合作暫時踩剎車
[10:58] 就代表著AI湧動機暫時稍微落幕
[11:01] 加上在最近OpenAI把更多資源
[11:04] 集中在ChadGBT當中背後的大元模型升級
[11:07] 而並不是長期或者偏基礎研究導向的專案
[11:11] 已經導致最近我們看到OpenAI內部
[11:14] 有多名研究資深人員開始出走
[11:16] 多位現任和離職員工都透露
[11:19] 公司這幾個月明顯把算力
[11:21] 預算和能力
[11:22] 往聊天型機器人專案來做集中
[11:24] 其他什麼影像生成團隊
[11:27] 都感受到資源被壓榨了
[11:28] 所以開始陸續的離開
[11:30] 那部分內部人士也形容
[11:31] 現在呢
[11:32] 若不是核心語言模型的團隊
[11:34] 要申請算力或者技術變得更困難
[11:37] 研究排序可能也更偏向於
[11:39] 直接讓大家使用JetGPT
[11:41] 有更進一步的回饋感
[11:43] 當然公司高層是反對這樣的說法
[11:45] 他們說我們所有領域都在做
[11:46] 我們接下來會成為AI的霸主
[11:48] 而並不是單純聊天型機器人
[11:50] 那的確
[11:50] OpenAI在這一段時間的努力
[11:52] 在當時受到Gemini Street
[11:55] 所形成的衝擊以後
[11:56] 目前的使用量和下載量
[11:58] 已經開始陸續回升
[12:00] 那這個回升
[12:01] 會不會由於現在放寒假
[12:03] 再度的往下探
[12:04] 值得我們觀察
[12:05] 但至少在去年年底
[12:07] 已經看到底部了
[12:08] 反而是Gemini Street
[12:09] 當時使用量攀高以後
[12:10] 其實也在緩步的下滑當中
[12:12] 所以現在OpenAI的四面楚歌
[12:14] 一方面就是它跟輝達關係的生變
[12:18] 黃倫軍已經親口講了
[12:20] OpenAI的確花錢有點過於激進
[12:23] 而且缺乏財務紀律
[12:24] 1000億美元的投資計劃
[12:26] 只是說我會投
[12:27] 那也沒說什麼時候投
[12:28] 以及投的年份為何
[12:30] 在技術層面上
[12:32] 備受期待的GBT-5和GBT-5.2
[12:35] 它的版本
[12:35] 大家也知道
[12:36] 也沒有迎來預期的效能飛躍
[12:38] 內部開發更面臨這種高量資料枯竭
[12:42] 以及人才出走的問題
[12:43] 財務方面就更不用講了
[12:45] OpenAI一年大概賺多少
[12:47] 200億美元左右
[12:48] 每年燒多少
[12:49] 170億
[12:50] 未來投資承諾是多少
[12:52] 1.4兆在8年內
[12:54] 所以這種
[12:55] 我給你這麼高的估值
[12:57] 我要投這麼多的錢
[12:58] 然後利潤率極低的情況底下
[13:00] 甚至是虧損的
[13:01] 最後就形成市場上
[13:03] 跟OpenAI有關的算力商
[13:05] 都有點擔心
[13:06] 會不會到時候
[13:07] 你的客戶付不出錢來給你
[13:08] 所以面對Google Anthropic
[13:10] 和XAI的多方夾擊
[13:12] OpenAI現在可能憑藉著現有聲望和投資人的戰略
[13:16] 完成新一輪的融資是最簡單的方法
[13:18] 反正回答會不會給我錢不一定
[13:21] 趕快IPO
[13:23] 今年是IPO熱潮
[13:24] SPEX都有IPO之類的
[13:26] 或者說XAI跟SPEX合併以後
[13:29] 接下來有更進一步的融資計劃
[13:30] 我應該趁這段時間能借錢趕快借
[13:33] 儘快啟動首次公開募股
