[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 似乎已經開始產生了資金輪動
[00:32] 那到底本波是現實大特價
[00:35] 跳樓大拍賣
[00:37] 還是接大刀呢
[00:38] 總而言之
[00:39] 可能又要回去捏壽司了
[00:42] 照顧好自己的本業收入是很重要的
[00:44] 源源不絕的本業收入進來
[00:46] 你才有彎腰撿鑽石的空間嘛
[00:49] 早上財經速解讀
[00:50] 晚上
[00:51] 一樣嘛
[00:53] 日子總要過的
[00:54] 我們今天就來觀察
[00:55] 到底當前的資金輪動在美國股市
[00:58] 是否會傳進臺股
[01:00] 因為臺股過去是異常的強勁
[01:02] 沒有股市
[01:02] 不管圈子股怎麼跌
[01:04] 反正臺股股市就是跌不動
[01:05] 那麼與此同時
[01:07] 是否外資的系統單
[01:08] 即將開始呈現在臺股市場呢
[01:10] 來跟大家做一些觀察
[01:12] 我們事實上在過去
[01:13] 總會把資金視為那種
[01:15] 緊急不確定時避風港的科技股
[01:17] 現在已經轉向受惠於
[01:20] 經濟回溫題材
[01:21] 更廣泛型的產業族群
[01:23] 過去科技股一直是市場穩盤的角色
[01:26] 那麼現在軟體股在這一次
[01:28] Entropy推出新軟體以後
[01:30] 造成了顯著的估值回撥
[01:31] 市場上開始針對軟硬體股進行全新定價
[01:35] 只不過呢
[01:36] 由於納斯達克指數啊
[01:37] 其實已經在高位盤旋很長一段時間
[01:40] 去年十月份高點看到以後
[01:42] 就永動機那一波的高點
[01:44] 它基本上就是一路的盤整
[01:46] 但好歹呢也算是底底高
[01:48] 也就是每一次的回撥啊
[01:50] 它不破前低
[01:51] 那這一次壓力就來了
[01:52] 如果破前低
[01:53] 那頭部就正式形成
[01:55] 就代表著
[01:56] 本季度的財報季
[01:57] 很抱歉
[01:58] 仍然是本一筆回撥的過程
[02:00] 那反而從中長期而言
[02:02] 如果AI還是能夠成真
[02:04] 那就代表著
[02:05] 它的本一筆的修正
[02:07] 開始為本輪的多頭
[02:09] 或者製造業上旬迴圈的空間
[02:12] 開始產生了新一輪的
[02:14] 中期回撥的部件點
[02:15] 我們事實上如果仔細觀察
[02:17] 軟鐵股的拋售
[02:18] 一開始的確是比較強烈一點
[02:20] 那現在就要看廢辦的回撥
[02:21] 它是更類似於
[02:23] 漲高之後的價格獲利了結
[02:25] 還是他也要追上軟鐵股的跌幅
[02:27] 我們如果細看
[02:28] 現在如果單純從AI贏家
[02:31] 不管是從贏家還是受害者
[02:33] 用二分法的角度
[02:34] 直接來重顧公司的話
[02:36] 會發現現在軟鐵股相關ETF的跌幅
[02:39] 非常沉重
[02:40] 從26年年初以來
[02:42] 平均跌幅已經來到17%了
[02:44] 這就代表野獸公司
[02:46] 可能跌幅已經跌到兩層三層
[02:48] 已經完全進入熊市了
[02:50] 那納斯達克指數到目前為止
[02:52] 已經迴歸到零報酬了
[02:54] 也就是說現在是整個大盤重新歸零
[02:57] 但是軟鐵股已經完全先崩下去了
[03:00] 那是銀要衝書要說跟他拼了嗎
[03:02] 我們來細看財報的實質變化
[03:04] 這一次Google作為第三還是第四支
[03:08] 科技巨頭財報的公佈
[03:11] 大家最為關注的一樣
[03:12] 還是資本支出
[03:13] 那其實資本支出
[03:14] 這一波Google非常非常明顯的超乎市場預期
[03:18] 不過盤後股價還是遭受到沉壓
[03:20] 今年資本支出
[03:21] 可能高達1751到1851美元
[03:25] 這很明顯比市場原本預估的
[03:28] 1195億還要來得高非常多
[03:30] 如果我們細看一下
[03:32] 在過去幾年它的資本支出變化
[03:34] 16年到23年
[03:36] 大概每年最多就300億出頭
[03:38] 但真正的協議
[03:40] 你看24年
[03:41] 它先從300億直接跳升到600億
[03:43] 到25年從600億直接跳升到800億
[03:46] 到26年直接跳升到1850億到1750億
[03:53] 這種倍數級的跳增
[03:54] 2026年看起來年增幅完全沒有停止的跡象
[03:57] 以數字來看
[03:59] 第四季如果扣除分論之後的營收是972億
[04:02] 也遠遠高於市場的952億
[04:04] 基本上算達標了
[04:05] 它不是那種為了資本支出
[04:07] 營收增長幅度不夠快
[04:09] 還願意投這麼多
[04:10] 它已經營收EPS
[04:12] 包括雲端營收177億
[04:14] 全部超乎預期的情況底下
[04:16] 資本指數再調高
[04:18] 股價一樣遭受到顯著賣壓
[04:20] 就代表著
[04:21] 現在其實更類似於
[04:22] 全球系統性的獲利了結賣壓
[04:24] 而並不是針對單點公司的顯著賣壓
[04:27] 阿巴貝目前的核心策略很清楚
[04:29] 那就是用重金
[04:31] 把AI能力全面遷入到既有的產品線
[04:35] 同時來鞏固基礎設施供應者的位置
[04:37] 市場上有一股認知
[04:39] 股價跌不跌
[04:40] 這些企業也不是很緊張
[04:42] 那股價已經經歷過漲漲跌跌起起伏伏
[04:45] 那本來每一次的中期回撥
[04:47] 庫存回撥
[04:48] 甚至是系統性風險
[04:49] 這些公司都有能力承受
[04:51] 重點在於
[04:52] 如果AI競賽結束了
[04:54] 有一天AI開始算力過剩了
