[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过美国政府的确
[00:31] 这一波针对伊朗战事所释出的讯息
[00:35] 前后是相对矛盾的
[00:36] 让能源市场连续两天都出现了剧烈波动
[00:40] 这一次能源部长莱特一度在初搜索上发文宣称说
[00:44] 美国海军护送邮轮通过荷姆治海峡
[00:47] 不过不久之后他又删除了贴文
[00:50] 白宫随后也说明
[00:51] 目前虽然有这样的一个选项
[00:54] 但还没有采取这样的行动
[00:55] 白宫也表示说
[00:57] 目前正在准备其他的方案
[00:59] 以因应伊朗可能限制荷姆兹海峡航道
[01:02] 那消息反复之下
[01:04] 油价最终还是跌回来了
[01:05] 大概从上面跌回来跌了有接近快要三成
[01:08] 之后呢又随着更多的资讯开始回稳
[01:12] 那川普本人也持续的发文
[01:14] 一方面宣称说
[01:15] 目前美军并没有发现伊朗真实有射水雷的报告
[01:19] 另外一方面又要求
[01:21] 伊朗呢必须要清除可能已经布下的爆炸物
[01:25] 这也表示
[01:26] 美军已经开始使用打击毒品走私船的技术和飞弹能力
[01:30] 锁定了伊朗的布雷船
[01:32] 几分钟之后他又宣布
[01:34] 美军已经摧毁了10艘未启用的布雷船
[01:37] 所以现在看起来
[01:39] 荷姆治海峡在种种讯息底下
[01:41] 还是属于实质关闭的局面
[01:43] 沙布地阿拉伯、伊拉克、阿联和科威特都消减了产量
[01:47] 另外一方面
[01:48] 美国和以色列所采取的军事行动还在升级
[01:52] 五角大厦表示
[01:53] 两国对伊朗发动了目前为止最猛烈的一天攻击
[01:56] 昨天攻击仍然在持续当中
[01:59] 那目前按照官方统计
[02:01] 伊朗的统计是有1300伊朗人死亡
[02:04] 美军是7名士兵阵亡
[02:06] 150人受伤
[02:07] 后续要观察的几大效果
[02:09] 那就是伊朗也有采取一定程度的施策谈话
[02:12] 比如说在昨天就开出条件
[02:14] 伊朗革命卫队指出
[02:16] 如果有国家选择和美国和以色列断交外交关系
[02:21] 那么船只就可以在荷姆治海峡
[02:24] 享有完全的自由通行权
[02:26] 这很明显是跟台湾来说喊话
[02:29] 但这项表态
[02:30] 也被伊朗视为对于全球航运和能源贸易
[02:34] 所发出的政治讯号
[02:35] 基本上等同于陷入到实质停摆
[02:38] 那油价的飙升
[02:39] 就开始逐步的产生压力
[02:41] 我们从当时60到70
[02:44] 80 90
[02:44] 一路到100以上
[02:45] 现在重新回跌到80
[02:47] 布兰特原油在昨天总体跌幅
[02:49] 还是有11%
[02:51] 每桶大概说在87.8块
[02:53] 希特勒油下跌11.9%
[02:56] 每桶大概在83块左右
[02:58] 这个油价其实属于正常波动油价
[03:01] 从美国历史周期来看
[03:02] 但是从机器角度而言
[03:04] 它会形成今年能源价格的通膨效果
[03:08] 进而引发今年整体降息预期的减少
[03:12] 事实上我们从FedWatch来看
[03:14] 现在本来去年年底的时候
[03:16] 降息幅度还大概有接近两码左右
[03:20] 到现在只剩下9月份降息一码的空间了
[03:23] 所以油价如果再往上涨到90又回到100的话
[03:26] 那搞不好就变成我最喜欢的五码了
[03:29] 就是零码了
[03:30] 就不再进行进一步的降息空间了
[03:33] 这个时候压力就会大
[03:35] 因为市场针对年底的货币宽松环境
[03:38] 它就要开始重新定价
[03:40] 年底没有这么多钱
[03:41] 流动性没有这么好
[03:42] 年底你要借钱的成本还是很高的
[03:45] 所以这场混乱的确也让交易的风险持续放大
[03:49] 你如果报价错误
[03:51] 可能只损失1万元
[03:52] 可是在这种剧烈波动底下
[03:54] 因为一天挣付可以20% 30%
[03:56] 搞不好一个错误
[03:57] 就可以造成200万美元的损失
[04:00] 所以当油价飙升的时候
[04:01] 现在买方急着要锁定未来的供应
[04:04] 但是愿意接单的卖方却大幅减少
[04:07] 所以现在原油市场
[04:08] 一度出现流动性崩溃的迹象
[04:10] 但随后投机的资金又快速的平仓
[04:13] 使得价格再度急跌
[04:15] 所以现在金融投机资金
[04:18] 反而在游士当中扮演了重要角色
[04:21] 因为你可以创造流动性
[04:22] 市场现在也不知道对手是谁
[04:24] 也不知道对方是否掌握了更多的资讯
[04:26] 行情波动的确还在加剧
[04:28] 稍微压力大的就是
[04:30] 已经陆续的在本周
[04:32] 传进到美国汽油价格了
[04:34] 过去两周
[04:36] 美国汽油价格上涨幅度大概是19%
[04:39] 美加仑已经冲高到3.5美元了
[04:42] 在二月底的时候
[04:43] 我看才2.7 2.8美元
[04:45] 现在美加仑已经3.5了
[04:47] 柴油涨幅更大是28%
[04:49] 4.86美元
[04:51] 美国能源资讯署预估
[04:53] 汽油价格在2027年以前
[04:55] 应该是回不到2.8到2.9
[04:57] 那就代表着
[04:58] 汽油价格正式进入到中长期的转为年增
[05:02] 在这样的一个效果底下
[05:03] 柴油价格的上涨
[05:05] 对于卡车运输
[05:06] 农业和物流产业的冲击就特别明显
[05:09] 卡车产业是表示
[05:10] 大多数的企业只能透过燃料附加费
[05:14] 把成本给转嫁给客户
[05:15] 农民则是在播种玉米和黄豆前夕
[05:18] 会面临燃料和肥料价格的双重波动
[05:22] 航空业压力也很沉重
[05:23] 以前通常燃料只占运营成本的四分之一
[05:28] 那航空公司现在就暗示
[05:30] 很快的可能接下来的机票价格就要被迫上调
[05:33] 所以有这个节钱规划的
[05:36] 大家趁早不管是清明端午
[05:39] 提前先锁定一下价格
[05:41] 也不太可能变多便宜
[05:42] 不如趁现在先锁定一下机票价格
[05:45] 为今年的旅行先奠定好自己的成本
[05:48] 当然在种种消息底下
[05:50] 油价对于市场的冲击就没这么大
[05:52] 它对于整体通膨的影响
[05:54] 的确在缓步的展现当中
[05:56] 但是市场很明显
[05:58] 因为大家都经历过1950年
[06:00] 地缘政治风险的冲击
[06:02] 我们可以从VIC指数
[06:03] 我们可以从地缘政治紧张指数
[06:06] 来做一个宏观的测量
[06:08] 这一次就是
[06:08] 大家知道可能会对于通膨有影响
[06:11] 可是也不见得会像前几次来得这么严重
[06:14] 我们从宏观角度来看
[06:15] 高盛的经验法则是
[06:17] 如果油价每上涨10美元
[06:20] 大约会让美国的GDP下降0.1个百分点
[06:23] 同时让核心通膨增加不到0.05个百分点
[06:26] 所以其实也没有到通膨失控的地步
[06:29] 就是通膨下不去
[06:30] 那对于企业的获利而言
[06:32] 它就取决于你所在的产业受到油价的影响大不大
[06:36] 那标普500指数
[06:37] 整体的获利变动率
[06:39] 大概也不会影响到一个percent以上
[06:41] 也就代表着
[06:42] 我们其实想的都是外溢效果
[06:44] 但战争本身这件事情而言
[06:47] 并没有针对美国经济形成剧烈打击
[06:49] 所以对于资本市场的影响
[06:50] 看起来只要油价不创高
[06:53] 股票市场它就有阻底的机会
[06:55] 事实上恐慌情绪很明显
[06:57] 大家也感受到
[06:58] 就是不如之前
[06:59] 这是市场公式
[07:01] 也许时间久了就淡化了
[07:03] 我是觉得川普每一个事件的冲击
[07:05] 从最早的关税战
[07:07] 联邦政府的受审
[07:09] 到明尼亚波利斯的移民执法
[07:12] 到委内瑞拉
[07:12] 马杜洛被捕
[07:13] 反毒战争
[07:15] 美中的贸易战
[07:16] 美加冲突
[07:18] 格林兰争议
[07:19] 到伊朗空袭
[07:20] 这些事件看起来分散于不同领域
[07:22] 但是共同特征是
[07:24] 那节奏密集很高
[07:26] 冲突性也很高
[07:27] 那每一次市场开始消化
[07:30] 上一个冲击的时候
[07:31] 新的政治或者低温政治风险就出现了
[07:33] 而且都是由川普决定
[07:35] 要让哪一个事件发酵
[07:36] 所以投资人的情绪
[07:38] 他就一直被不确定性给压制
[07:40] 那时间久了
[07:41] 金融市场的叙事
[07:42] 他就长期被华府牵着走
[07:45] 资产价格
[07:46] 他的政策消息和地缘政治之间
[07:48] 也快速的动荡
[07:49] 这个反应
[07:50] 还没反应完
[07:51] 就要先反映下一件事情
[07:52] 投资人就被动的去追逐讯息的市场环境
[07:56] 时间久了
[07:56] 大家发现
[07:57] 这就不是第一次了
[07:58] 那就不害怕了
[07:59] 一夜缠绵之后
[08:01] 男生就怯生生的问女孩子
[08:04] 我是不是你第一个
[08:06] 女孩子回答
[08:07] 亲爱的
[08:08] 你当然是啊
[08:10] 为什么你们男生都喜欢这么问
[08:12] 时间久了大家觉得不是第一次就不害怕了川普自己也不怕这个议题看起来无法拉明掉了那就继续搞事下一个议题
[08:23] 只要新欢足够好
[08:25] 哪有旧爱忘不了
[08:27] 好马不吃回头草
[08:28] 这个没了继续找
[08:30] 你把川普我们昨天提到
[08:32] 要把他当成有美国总统权力的商人
[08:35] 你不要把他只想象成像商人的美国总统
[08:38] 陈浩南他说什么
[08:40] 够狠义气
[08:42] 兄弟多
[08:43] 但是蒋天仰说什么
[08:45] 第一钱
[08:46] 第二钱
[08:47] 第三还是钱
[08:49] 所以这一波的中东战火
[08:51] 表面上当然是地缘政治冲突
[08:53] 但真实影响的是
[08:55] 全球能源的供应和金融市场
[08:57] 但是由于过去曾经发生过
[08:59] 太多不同的事件
[09:01] 但是同一种
[09:02] 由川普所引领的地缘政治冲突
[09:04] 从头到尾
[09:06] 大部分的事件的冲突
[09:08] 都是由川普所引起的
[09:09] 那他也可以结束
[09:11] 他甚至不用结束
[09:12] 他只要开启下一个事件
[09:13] 市场的心理情绪
[09:15] 金融的反应
[09:16] 就往下一个事件来做传导了
[09:18] 所以今天我们直播
[09:19] 主要从五个主要的经济体来看待
[09:22] 这场能源冲击的不同应对方式
[09:24] 毕竟实体经济的影响还是存在
[09:26] 那各国要如何因应这种不确定性呢
[09:29] 不管是台湾高度依赖能源进口
[09:32] 日本90%以上的石油来自于中东
[09:34] 南韩紧急向阿联来采购原油
[09:37] 同时也加强国内的油价炒作
[09:40] 那美国的能源出口
[09:42] 是不是时间久了
[09:44] 还是会受到内部影响
[09:45] 中国的部分
[09:46] 它有庞大的发电和能源基础设施
[09:48] 可是这几年做的全球能源转型
[09:50] 难道就摆脱了对于中东的依赖吗
[09:53] 来跟投资朋友做一些思考
[09:54] 首先我们看的是台湾
[09:56] 台湾的部分
[09:57] 我们主要是观察
[09:58] 在这一次因为不只是台湾
[10:00] 南韩 立川等石化厂
[10:02] 因为在这个礼拜就陆续宣布
[10:05] 不可抗力因素减产之后
[10:06] 这一次台塑化和台塑都陆续发布不可抗力通知
[10:11] 也宣布从4月起暂停接受现货订单
[10:15] 那主要原因就是因为航道受限
[10:17] 大概有100万吨原本要出口到欧洲的中东残油
[10:21] 现在被卡在波斯湾导致欧洲库存下滑
[10:24] 全球柴油供需紧张持续加剧
[10:26] 那最终台塑化董事长朝明表示
[10:29] 公司目前的库存大概是撑一个月左右
[10:32] 中东暂时爆发以后
[10:33] 台塑已经尽可能的去寻找其他的原料来源
[10:37] 但是运输还需要时间
[10:38] 所以这段时间原物料价格必定会上涨
[10:41] 所以呢
[10:42] 目前麦疗二号和三号的裂解炉啊
[10:45] 大概维持七成左右的产能运作
[10:47] 如果石脑油原料无法到货的话
[10:50] 不排除可能必须要关闭一座裂解厂
[10:53] 以调节产能
[10:54] 就代表着台湾的塑化产业
[10:56] 开始受到冲击了
[10:57] 那没有货卖
[10:59] 有价无市嘛
[11:01] 台塑化最近股价也是一天涨停
[11:03] 一天跌停
[11:04] 这个市场上最大的两个赌场
[11:07] 人生最大两种赌博
[11:08] 一个就买台塑化
[11:10] 另外一个是烫头发
