[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼甚至在今年首次跌破了4.7万点的关卡
[00:34] 虽然从回调幅度来看
[00:36] 相对于去年关税战
[00:38] 还有一长段距离
[00:39] 包括本次的跌幅也是如此
[00:41] 可是市场上毕竟
[00:43] 已经从去年的AI涌动机发布以后
[00:46] 斤斤涨到现在
[00:48] 回调以后
[00:49] 公元来来去去
[00:51] 一天波动
[00:52] 看起来还是相当大的
[00:54] 不如先降低预期
[00:56] 先做好长期税公元的计划
[00:58] 道琼指数下跌739点
[01:00] 说来46677点
[01:02] 标普下跌超过1.5%
[01:04] 纳斯达克指数下跌超过1.7%
[01:07] 市场压力当然短期内还是来自于油价提升
[01:10] 不过中长期还是来自于
[01:12] AI并没有为本轮的财报季带来更多的预期挑生
[01:16] 事实上从能源价格来看
[01:18] 在昨天又飙涨了接近9%
[01:19] 虽然距离那一根壁垒针
[01:22] 整体涨幅有一段距离
[01:24] 可是基本上就在壁垒针以下
[01:27] 尝试要进行主底了
[01:28] 我们看这一次布兰特原油上涨9.2%
[01:31] 每桶报在100.4块
[01:33] 西德州原油的部分一样上涨9.7%
[01:37] 每桶大概收在95块左右
[01:39] 两大基准油价都创下了
[01:41] 22年8月份以来的最高的收盘水准
[01:44] 之前是盘中创高
[01:46] 现在是又重新回到收盘新高水准
[01:49] 那汽油价格也开始陆续进行传导
[01:52] 从美国AAA汽油价格来看
[01:55] 已经创下21个月以来的新高
[01:57] 这对于大量依赖开车工作的
[01:59] 零工劳工造成直接影响
[02:02] 比如说很多Uber司机
[02:04] 从来没有看过油价在短期内的暴增
[02:06] 无法临时做好反应
[02:08] 油价在短期内的这种上涨
[02:10] 传进去汽油价格以后
[02:12] 它的僵固性就会逐步的涌现
[02:14] 美国现在普通无牵汽油
[02:17] 过去一个月已经上涨超过22%
[02:20] 平均价格每家轮来到3.59美元
[02:23] 当然它跟期货价格涨了一整倍比较起来
[02:26] 但整体涨幅只占五分之一
[02:27] 可是还是创下了两年来的新高
[02:30] 甚至我们看到很多人开始必须要了解
[02:34] 原油价格是否开始会影响到外送员
[02:36] 或者共乘司机每一笔的订单的成本和收益
[02:40] 油价传导速度太快也是一个压力
[02:43] 尤其在加州部分
[02:44] 现在有的已经冲高到接近四美元每家轮了
[02:47] 油价的冲击也导致通膨预期的剧烈转变
[02:51] 如果细看
[02:52] 从之前的FedWatch
[02:54] 市场上已经开始重新评估
[02:56] 今年美国货币政策的路径
[02:59] 最新利率政策来看
[03:00] 交易员甚至现在预期
[03:02] 联准会今年可能只会降息24个基点
[03:05] 什么意思
[03:06] 去年我们讲说是预估降两码
[03:09] 这是保底
[03:10] 后来变降一码
[03:12] 现在是24个基点
[03:14] 等于是一码是0.25%
[03:16] 24个基点是0.24%
[03:18] 这代表着可能连一码降级空间都不到
[03:21] 这种预期的转变底下
[03:23] 也造成美国公债的卖压开始涌现
[03:26] 短天期的利率开始上升
[03:28] 其中对于政策最为敏感的
[03:30] 两年期公债殖利率一度飙到3.71%
[03:33] 创下8月份以来的新高
[03:35] 投资人开始要求更高的收益率
[03:37] 来补足油价上涨可能带来的通膨风险
[03:40] 与此同时
[03:41] 现在美国企业刚好在本周进行大规模的公司债的发行
[03:46] 加上财政部现在要拍卖长天级国债了
[03:49] 所以让债券市场承受额外的压力
[03:51] 变成股债同步进行卖压
[03:54] 那当然黄金价格这一波的价格上涨
[03:56] 也没有受到非常显著的吹捧
[03:58] 价格是没跌多少了
[04:00] 可是呢
[04:00] 避险买盘也是非常有限
[04:02] 这说明过去的动能交易
[04:04] 已经把避险和风险资产
[04:06] 难免有一点混为一谈了
[04:08] 有的买金有的买银
[04:09] 那混在一起以后
[04:11] 市场上筹码相对混乱
[04:13] 在种种消息底下
[04:15] 现在好处是
[04:16] VIX指数其实并没有随着油价的重返高点而跟着走高
[04:20] VIX大概就是在24 25左右持续盘整震荡
[04:24] 情绪是恐慌
[04:25] 但是也没有到恐慌到过去乌尔战事的那种地步
[04:30] 市场上就是觉得气氛感觉不太对
[04:32] 尤其荷姆森海峡
[04:34] 最近油轮成为了战火当中的火把
[04:37] 波斯湾内部有大量的油轮正在进入进退两难的局面
[04:41] 我们看在近期伊朗在伊拉克外海攻击了两艘油轮
[04:45] 并且引起了大火
[04:46] 而且造成船员的死伤
[04:48] 自战争爆发以来
[04:49] 大概有18艘的商船遭受到攻击
[04:52] 目前还有110艘停留在波斯湾
[04:55] 那航运业者形容说
[04:56] 这些船只就像坐在海上的把子
[04:59] 这迟早要过去的嘛
[05:00] 可是问题在于
[05:01] 现在市场上对于当前
[05:04] 不管是邮轮履约的保证
[05:06] 还是美军的护航
[05:07] 都还没有确切的行动
[05:09] 虽然目前美国能源部长
[05:11] 有承诺说会派遣海军来护航邮轮
[05:14] 但是还没有具体一艘正式有办行
[05:17] 官员也表示说
[05:18] 最快的行动大概要到月底才能够到位
[05:21] 代表的是
[05:21] 看起来美方还是要有一定的时间来进行准备
[05:24] 可能要先把主要的军事目标
[05:27] 做更进一步的清理以后
[05:29] 海军才会放心的跟着你一起护航
[05:31] 那当然伊朗这个时候
[05:33] 也释出了一些核弹条件
[05:35] 但是相当严苛
[05:36] 伊朗原本对于停火态度是非常强硬的
[05:39] 那目前伊朗向欧洲和中东的周全国家表示
[05:42] 如果要达成停火
[05:44] 必须要有几个条件
[05:45] 首先是美国必须保证
[05:49] 跟以色列未来不会再对伊朗发动军事攻击
[05:53] 那再来应该讲说
[05:54] 第一个是承认伊朗和合法的权利
[05:57] 刚才是一个前提
[05:58] 三个条件是承认伊法的合法权利
[06:01] 第二个是支付战争赔偿
[06:03] 第三是提供未来防止侵略的国际安全保证
[06:08] 那么伊朗领导人把这些立场
[06:10] 告知了俄罗斯和巴基斯坦的领导人
[06:13] 到底伊朗是战胜国还是战败国
[06:15] 这个条件感觉像是美国提出的
[06:18] 好
[06:18] 但不管怎么说
[06:19] 伊朗目前给了你停火的条件
[06:21] 这停火的条件
[06:22] 承认我的权利
[06:25] 支付给我的战争赔偿
[06:27] 还有提供未来不会再侵略我的保证
[06:30] 在这样的一个效果底下
[06:31] 那我们就很清楚
[06:32] 不可能降温
[06:33] 伊朗现在就有一点
[06:34] 虽然你是真的伤到我了
[06:37] 但是烂命一条
[06:38] 半死不活
[06:40] 我也要紧咬着你不放
[06:41] 根据美联社的说法
[06:44] 目前穆吉塔巴
[06:46] 从就任以来发表的首份声明
[06:48] 在昨天正式公布了
[06:50] 很明显不会放弃复仇
[06:52] 关闭荷姆兹的手段将会持续使用
[06:54] 邻居很紧张
[06:56] 邻居你要复仇
[06:57] 你就专打美国就好了
[06:59] 你打我的邮轮是什么意思
[07:01] 最经典的故事
[07:02] 医院进了一个受伤的将军
[07:04] 医生要准备替他动手术的时候
[07:06] 护士就拿了手术刀
[07:08] 插医生的肚子
[07:09] 护士说对不起
[07:10] 我是间谍
[07:11] 我不能让你救活这个人
[07:13] 不能让战争继续下去
[07:14] 那医生就很痛苦
[07:16] 那你捅我干嘛
[07:18] 你捅他
[07:19] 你复仇你去打美国
[07:21] 你打我干什么呢
[07:22] 当然我们都很清楚知道
[07:24] 因为美军拘地在整个波斯湾
[07:26] 跟盟友们都已经陆续建立好的关系
[07:29] 那么伊朗接下来的报复手段
[07:31] 一定会更加节制
[07:32] 但是并不代表着
[07:34] 接下来针对荷姆治海峡的松绑
[07:36] 会在短期内出现
[07:37] 川普在昨天也闹狠话了
[07:39] 川普在昨天在出社交上发文说
[07:43] 欢迎伊朗国家足球队参加世界杯
[07:47] FIFA很快就要举办在美国
[07:49] 但为了他们自己的生命和安全
