[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过原油价格是市场上十分关注的
[00:32] 因为在上礼拜五
[00:34] 希特勒这原油价格当日又上涨了3.1%
[00:37] 每桶大概占在98块左右
[00:39] 布兰特原油每桶现在占到103块了
[00:43] 这也是2022年8月份以来
[00:45] 首次收在100美元以上
[00:47] 之前都是盘中的创高
[00:49] 这一次收盘的创高就要来观察
[00:51] 原油价格现在跟股票市场的主体是呈现高度联动
[00:55] 川普的战争这一次终局难测
[00:58] 也会使得市场上有新一波的避险情绪恐慌
[01:01] 持续发酵
[01:02] 那我们就要仔细观察
[01:03] 随着情绪指标开始陆续的进行回跌
[01:06] 或者说情绪指标陆续上扬
[01:09] 所造成价格回跌以后
[01:10] 资产价格会如何重新定价
[01:13] 这个冲突的长期化
[01:15] 所给予的评价
[01:16] 事实上我们看到
[01:18] 随着美国和以色列对伊朗的战争
[01:20] 现在进入到第三周了
[01:21] 外界压力逐渐集中到一个人身上
[01:24] 那就是川普
[01:25] 问题在于他对于这场战争的说法
[01:28] 我们知道其实最终目的还没办法确认
[01:30] 盟友和对手也很难判定
[01:33] 到底战争何时算结束
[01:34] 川普一方面是表示冲突很快会结束
[01:37] 可是另外一方面呢
[01:38] 又要求欧洲和中东的盟友
[01:40] 这一次一起来加入行动
[01:42] 但多数国家看起来态度比较保留
[01:44] 据了解呢
[01:45] 在G7领袖的通话当中
[01:47] 欧洲领导人多次询问这一次战争的最后目标
[01:50] 那川普呢
[01:51] 仅表明自己有很多目标
[01:53] 但也希望战事能够尽快结束
[01:55] 所以过去48个小时
[01:57] 各国政府还是感到困惑
[01:59] 我们要看一下
[02:00] 本周是否会采取新一轮的动作
[02:02] 毕竟当原油价格占上每桶100美元以后
[02:06] 对于川普的中期选举
[02:08] 执政压力就会开始涌现
[02:10] 那伊朗的反击
[02:11] 也让整个波斯湾持续受到市场侵扰
[02:14] 我们看在整个周末的伊朗反击
[02:17] 在整个大中东地区
[02:18] 虽然不如前两周
[02:20] 可是仍然尝试的试图干扰石油和天然气市场
[02:23] 我们根据冲突资料库的数据
[02:25] 从228战争爆发以来
[02:29] 伊朗已经发动了823次的空袭
[02:31] 其中有483次被拦截
[02:33] 同一时间
[02:34] 美国对伊朗的攻击是1879次
[02:37] 已经造成数千人死亡
[02:39] 那如果是从这样的一个数据来看
[02:41] 等同于从单一国家扩散到整个波斯湾
[02:44] 现在伊朗攻击的目标
[02:46] 第一名当然还是以色列居多
[02:48] 再来我们看到科威特
[02:50] 卡达
[02:51] 阿联
[02:51] 沙烏地阿拉伯
[02:52] 伊拉克
[02:53] 约旦
[02:53] 阿曼
[02:54] 巴林
[02:55] 甚至到塞浦勒斯以及亚塞拜兰都有受到飞弹的空袭
[02:59] 那当然从时间列序来看
[03:01] 这一次的基础建设的打击是中东国家最为紧张的
[03:05] 也就是说如果你针对美国军事基地进行报复可以理解
[03:09] 但怕就是你飞不准啊
[03:10] 你攻击到了一些炼油厂
[03:12] 你攻击到了一些当地的饭店
[03:14] 所造成中东局势恐慌
[03:17] 那中东这几年所经营的这种金融上的成果
[03:20] 观光上的成果
[03:22] 被你两座的战士完全给拖累
[03:24] 现在四月份看起来已经没有人想要去杜拜
[03:27] 连转机的人都在快速的变少
[03:29] 当然川普似乎在礼拜六的发文
[03:32] 并没有急着想要把战事结束的意愿
[03:34] 反而认为现在可以一己捐灭
