[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那STARK指数上涨1.2%
[00:32] 所以22374点
[00:34] 标普上涨1%
[00:36] 所以6699点
[00:37] 那小型股更强
[00:38] 昨天罗素2000上涨了1.5%
[00:41] 那当然我们看得很清楚
[00:42] 短期内股价的变动完全取决于油价是否持续创高
[00:47] 只要有回落的空间
[00:48] 对于股票市场
[00:49] 它就是通膨降温的讯号
[00:51] 事实上现在距离三月底
[00:53] 大概还有两周左右
[00:54] 川普还有两周的时间来控制三月份的CPI
[00:58] 你只要油价回跌
[00:59] 通膨就传播出去
[01:01] 这个时候
[01:02] 三月份数据在四月份开出来
[01:04] 就不会大幅影响到
[01:06] 到时候
[01:06] 或许担任联总会主席
[01:09] 对于通膨的大吉意愿
[01:10] 事实上
[01:11] 我们看到当前的市场
[01:13] 蛮有意思的
[01:14] 一边是中东战火
[01:15] 还没有真正的结束
[01:16] 但是油价现在好像摔了一跤
[01:18] 没有股市就有顺势反共的机会
[01:21] 但是另外一边
[01:22] 现在黄仁勋在GTC大会上
[01:25] 把AI的饼化得越来越大
[01:27] 连兆元商机都喊出来了
[01:29] 可是挥打股价却没有想象中这么亢奋
[01:32] 这代表市场的情绪似乎正在转变
[01:35] 已经不是你讲的多乐学
[01:37] 资金就会无条件的买单
[01:39] 大家看到是整个经济是否平稳
[01:41] 那我们今天直播就从三条主线来聊
[01:43] 第一是荷姆斯海峡的风险降温以后
[01:46] 游士现在为什么松了一口气
[01:48] 第二条是GTC之后
[01:50] 科技股为什么开始出现
[01:52] 故事很大
[01:53] 股价却越来越冷的微妙落差
[01:55] 第三是更为关键的
[01:57] 当黄金也没有涨
[01:58] 债券也没有明显的避险
[02:01] 那是不是说明市场上是有担心
[02:03] 但担心的并不是战争本身
[02:05] 而是战争背后的通膨流动性
[02:07] 以及私募信贷
[02:09] 最近蠢蠢欲动
[02:10] 这种金融风险的产生
[02:12] 让大家更为拘谨
[02:14] 今天来跟投资朋友做一些细节思考
[02:16] 先看一下油价的部分
[02:17] 油价这一次回跌幅度
[02:19] 布兰特原油在昨天是下跌了
[02:21] 接近有3%
[02:22] 希德州原油下跌有接近5%
[02:24] 整体而言陆续来到100美元的大关
[02:28] 那你像布兰特原油
[02:29] 应该讲希特勒这种原油一度跌破了
[02:31] 其实还是要观察
[02:32] 因为现在还算是在高位震荡
[02:35] 基本上还是要回到80到90
[02:37] 对于通膨的影响才会减弱
[02:39] 事实上就算原油价格回到80到90美元
[02:42] CPI一样会受到原油价格的正向带动
[02:46] 所以不管怎么说
[02:47] 通膨肯定是会开始加温
[02:49] 只是有没有到失控的地步
[02:51] 那荷姆治海峡
[02:52] 现在已经慢慢进入到选择性封锁
[02:54] 我们知道从周末开始
[02:56] 美国就一直在积极推动
[02:58] 多国海军的护航联盟
[03:00] 不过呢
[03:01] 看起来大家兴趣缺缺
[03:02] 那目前外交和军事压力的同步升高
[03:05] 川普希望七个国家参与护航的过程当中
[03:08] 伊朗似乎也释出了一些态度
[03:11] 我们举例来说
[03:11] 像在昨天
[03:12] 印度和伊朗的谈判
[03:14] 已经正式凑效
[03:15] 荷姆斯海峡航运出现松动
[03:17] 印度政府表示
[03:18] 跟伊朗直接谈判
[03:20] 是目前恢复荷姆斯海峡航运最有效的方法
[03:23] 所以呢
[03:24] 这一次他跟德黑兰的谈判
[03:26] 已经带来了初步成果
[03:27] 成功让两艘印度级的天然气运输船
[03:31] 通过了海峡
[03:32] 在昨天没有受到伊朗的任何干扰
[03:34] 所以在这样的效果底下
[03:35] 因为印度也是一个能源需求大国
[03:38] 这个部分新兴市场国家
[03:41] 绕过美国来跟伊朗谈判
[03:43] 会不会是未来缓解局势的一种方式呢
[03:46] 这值得思考
[03:47] 因为美国其实他也不一定和谈
[03:49] 因为波斯湾出去运的油
[03:51] 基本上也不是运到美国
[03:53] 大部分都是亚洲市场新兴经济体
[03:55] 所以美国就继续打
[03:57] 新兴市场开始跟伊朗逐步谈条件
[04:00] 也许也是一种方式缓解市场局势
[04:03] 毕竟我们在乎的是能源供给
