[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼上涨46点
[00:31] 那唯一比较难过的是
[00:33] 从整个标普来看
[00:34] 它仍然有一点逼近到去年10月11月
[00:38] 当时AI永动机的回档的低位了
[00:42] 这代表着其实不管是标普那只
[00:44] 其实都已经陆续进入到长期的盘整区
[00:47] 或者有点盘头的味道了
[00:49] 加上整个量价图
[00:51] 看起来上方的卖压还是相对沉重
[00:54] 那只能看这一波
[00:55] 能不能尝试的打一波长期的大底
[00:58] 借由利空的顿化来逐步形成
[01:00] 可是另外一方面
[01:02] 我们也观察到
[01:03] 市场上虽然没跌
[01:04] 是不是代表投资人真的不害怕了
[01:06] 是不害怕通膨问题了
[01:08] 还是不害怕这次的供给链风险呢
[01:11] 表面上美股市当然很稳
[01:13] 离历史高位
[01:14] 硬要讲也没有说多远
[01:16] 但水面下
[01:17] 其实我们也知道
[01:18] 心理情绪有大幅的改变
[01:19] 包括这一次的中东战事
[01:21] 油价飙升
[01:23] 利率的波动
[01:24] 或者信用市场的紧张
[01:25] 这些风险
[01:26] 早在中东战事爆发之前
[01:28] 就已经开始升温
[01:30] 只是很多的大型资金
[01:32] 不是直接看股票
[01:33] 就是改用指数期货
[01:35] 或者用ETF来放空
[01:36] 所以你看VIC指数
[01:37] 你也看不出市场上有多紧张
[01:39] 市场上很明显就没有要崩的那种心态
[01:43] 但是很明显也有一些人
[01:45] 已经先躲起来的
[01:46] 有的从信贷市场
[01:48] 私人信贷先撤资
[01:49] 有的采取其他的避减部位来保护自己
[01:52] 那更微妙的是
[01:53] 现在市场就卡在一种
[01:55] 很别扭的状态
[01:57] 坏消息其实蛮多的
[01:58] 但又没有一个坏消息
[02:00] 可以立刻引爆全面崩跌
[02:02] 结果就是
[02:03] 先前买了大量避险的人
[02:05] 反而被时间给消耗了
[02:07] 避险部位只好慢慢的回补
[02:09] 意外的撑住股市
[02:10] 空头回补
[02:12] 反而变成了股票市场的短期支撑
[02:14] 可是又并不是嘎空行情
[02:15] 所以真正决定下一步的
[02:17] 当然短期内是和睦之海峡
[02:19] 何时能够恢复正常
[02:21] 那另外一方面
[02:22] 各大央行接下来
[02:23] 本周是全球央行周
[02:25] 接下来的表态
[02:27] 对于通膨的态度
[02:28] 就会改变年底的
[02:30] 终端的估值的预期
[02:31] 毕竟辉达这次GDC大会上映以后
[02:34] 市场的反应
[02:35] 还是看起来相对平淡
[02:37] 昨天谈到AI资料中心网络
[02:40] 还推出他的机器人
[02:41] 走来走去
[02:42] 这个辉达股价
[02:43] 昨天还小跌0.7%
[02:44] 所以没有股市来收涨
[02:46] 年初至今的股价表现
[02:48] 还是稍微迅一点
