[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不管是避险资产还是风险资产
[00:32] 统一受到比较显著的卖压
[00:34] 道琼收叠的接近有770点
[00:36] 这个压力有点大
[00:38] 因为它创下今年新低
[00:39] 也摔破了200日移动平均线
[00:42] 等同某种程度而言
[00:43] 年线开始形成反压了
[00:45] 标普白指数同步也下跌1.36%
[00:48] 那斯塔克指数下滑1.46%
[00:51] 没有股市其实已经盘整一段时间了
[00:53] 但是不管是利多利空
[00:55] 持续的刺激
[00:57] 似乎就交结在这一块
[00:59] 那交结的越久
[01:00] 就会让大家更为相信
[01:02] 本轮似乎中东局势
[01:05] 再加上AI估值回调的过程当中
[01:07] 大家已经对于市场有一个更为理性
[01:10] 或者相对更为保守的定价
[01:12] 尤其在昨天
[01:14] 伊朗和以色列开始攻击彼此的能源基础设施
[01:17] 战事又重新升温
[01:19] 伊朗非但重创了卡达拉斯的拉凡工业城
[01:23] 这个是全球最大的液化天然气的出口基地之一
[01:26] 与此同时
[01:27] 以色列也打击伊朗的南部油田
[01:30] 说这个是支撑伊朗电力
[01:32] 和工业运作核心的能源来源
[01:34] 一旦攻击以后
[01:35] 就可以造成南部地区
[01:38] 受到非常严峻的工业重创
[01:40] 那战争已经有接近三周左右了
[01:43] 油价在昨天不油又接近110美元每桶
[01:46] 涨幅还是有超过接近40%
[01:48] 那虽然美国尝试的进行战略原油储备的释放
[01:52] 来放宽运输限制来压低价格
[01:55] 但效果看起来还是很有限的
[01:56] 和姆治海峡目前仍然接近瘫痪
[01:59] 那好处是一些新兴市场大国的天然气船
[02:03] 已经可以陆续经过
[02:04] 像印度的像中国的
[02:06] 可是欧美方面的船只
[02:08] 还有亚洲新兴市场经济体
[02:10] 比如台日韩压力仍然相对来的大
[02:12] 那就在这样的一个背景底下
[02:14] 联准会这一次的FOMC利率决策会议召开了
[02:17] 利率符合市场预期
[02:20] 3.5到3.75%的区间没有改变
[02:23] 那这已经是连续两次不动利率了
[02:26] 这次联邦公开市场委员会
[02:28] 是11票赞成
[02:29] 1票反对通过决议
[02:31] 那想也知道
[02:32] 唯一的反对者肯定是米兰
[02:34] 那就是川普派进去的联准会理事
[02:36] 他主张要降息一码
[02:38] 从这个结果来看
[02:40] 联准会内部的主流态度就很明确了
