[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[01:00] 最近学测放榜之后
[01:02] 刚刚开始大学个人申请入学
[01:04] 那很多年轻人在想说
[01:07] 这条路未来该怎么走下去
[01:09] 我才想到
[01:10] 你看我们后面都是金庸的书
[01:11] 我上高三那一年
[01:13] 就特别去迷武侠小说
[01:15] 上课看下课也看
[01:18] 然后有一天被抓到了
[01:19] 有一天我们班导就没收了我的书
[01:22] 一边跟我讲一句
[01:24] 他说你现在不好好的参加学测
[01:28] 不好好的考试
[01:29] 你一生其实也会往前走
[01:31] 但是有时候会走得比较慢
[01:33] 那如果你稍微呢
[01:35] 加把劲
[01:36] 你开始迎向大学
[01:37] 做好一些规划
[01:38] 那你也许会坐上火车
[01:41] 也有可能你骑自行车也OK
[01:43] 你自己选吧
[01:44] 那其实你没有发现
[01:46] 从疫情以后
[01:47] 这一代人的很多选择的场景
[01:49] 都是这样子
[01:50] 更明显了
[01:51] 这过去五年
[01:52] 你选对了就飞奔
[01:53] 你选错了
[01:55] 你也不会怎么样
[01:56] 就慢慢走
[01:57] 人生的成败往往跟努力
[01:59] 没有这么剧烈的相关
[02:00] 它是在于关键时刻的
[02:03] 关键选择能力
[02:04] 所以很多朋友在问
[02:06] 说参加浩哥的听友会
[02:08] 或者来做更进一步的解读
[02:10] 有没有对自己有进一步的帮助
[02:12] 我觉得不一定要参加
[02:13] 但大家一定要寻找到
[02:15] 属于自己在后疫情时代
[02:17] 自己的火车
[02:18] 选对自己的伴侣
[02:20] 握紧自己的排挡杆
[02:22] 和你看到的趋势机会
[02:25] 站在一起
[02:25] 这是很重要的
[02:26] 所以给大家做一些借镜
[02:28] 这五年的变化实在太大了
[02:30] 我们一直要找寻一些规律
[02:31] 来看待这一轮的AI生产力的暴增
[02:34] 到底真实表现为何
[02:36] 那回过头来看
[02:36] 可是中东战火
[02:38] 是不是把AI行情给压下去了呢
[02:41] 怎么所有资产都在跌
[02:43] 没有股市在周四是全面收低
[02:45] 当然了
[02:46] 随着油价在午后从高档回落
[02:49] 跌幅开始收敛了
[02:50] 不过仍然是收跌
[02:51] 道琼昨天跌了203点
[02:54] 标普跌了0.27%
[02:56] 纳斯达克指数跌了0.28%
[02:58] 这种缓解也蛮恐怖的
[03:00] 一天几跌完那就算了
[03:01] 每天给你跌一点跌一点
[03:03] 黄金价格甚至连六跌了
[03:05] 能源冲击的全面低价
[03:07] 股债的齐杀
[03:09] 是否代表着市场正在压住停滞性通膨呢
[03:12] 正常来讲
[03:13] 股债具有一定程度的替代效果
[03:16] 如果股市遭受沉压
[03:17] 债券的避险买盘应该会上升
[03:19] 如果债券的避险买盘没有跟着上升
[03:21] 就代表着市场上不只担心风险资产的下杀
[03:25] 还担心会引起进一步的通膨
[03:27] 所以我不能够买这么多的债券
[03:29] 因为十年期公债殖利率还在往上跳
[03:32] 我们举例来说
[03:33] 像两年期的国债殖利率在昨天已经冲高到3.84%
[03:38] 那等同于市场在昨天FOMC利率决策会议之后
[03:41] 对于降息的期待
[03:43] 基本上几乎已经确认
[03:45] 现在几率不到20%了
[03:48] 那欧洲受到的冲击也特别明显
[03:50] 天然气价格在昨天一度暴涨了35%
[03:53] 布兰特原油冲上119块
[03:55] 让市场上的确担忧
[03:57] 即便风险资产进行下杀以后
[03:59] 避险资产好像也不必要持有了
[04:01] 毕竟现在还是现金为王吧
[04:03] 谁知道未来的利率政策
[04:05] 有没有可能改写
[04:06] 主要还是来自于
[04:08] 一开始在早上的时候
[04:09] 卡达的天然气基地遭受到飞弹攻击
[04:12] 直接引爆市场
[04:13] 最不愿意面对的极端情境
[04:15] 这是卡达最大的LNG设施
[04:18] 平时大概供应
[04:19] 五分之一的液化天然气
[04:21] 现在部分的产能受损
[04:23] 卡达官方表示修复时间可能长达三到五年
[04:27] 这是不是说的严重了
[04:28] 居然要三到五年才能够完全修复
[04:30] 等于短期内全球能源供给的永久性的缩水
[04:34] 原本以为就是供给链断掉
[04:36] 现在真的要大减产了
[04:38] 因为设施已经坏掉了
[04:40] 那接下来的冲击就结构性的
[04:41] 因为欧洲的确乌俄战士已经非常非常依赖LNG
[04:46] 那当时进行了结构性调整以后
[04:48] 基本上有很多的天然气改由中东来做运输
[04:51] 那亚洲一直以来都很靠中东和澳洲
[04:54] 现在这样的一个效果底下
[04:56] 只能看美方能不能进行更进一步的供货
[04:59] 亚洲部分地区已经开始出现限电和工业减产了
[05:03] 泰国特别明显
[05:04] 甚至开始回头使用蓝煤发电
[05:06] 所以很有趣
[05:08] 这段时间我们看到
[05:10] 虽然很多国家的政策在火力发电层面
[05:13] 占比并没有太大改变
[05:15] 像日本和台湾
[05:16] 没办法
[05:17] 核能的因子还是笼罩在心头
[05:19] 韩国只是因为地震比较少
[05:21] 对于核能接受度比较高
[05:23] 像日本和台湾
[05:24] 蓝气蓝煤发电仍然是市场主流
[05:27] 那很抱歉
[05:28] 即便过去为了空气品质
[05:30] 大家尽量减少蓝煤
[05:31] 很抱歉
[05:32] 用了蓝气一样会有地缘政治的风险
[05:34] 那在这样的一个效果底下
[05:36] 原本一路领先的铜价
[05:38] 最近甚至也开始掉头向下
[05:40] 那就是好事了
[05:41] 我们看到的这一波的市场传导
[05:44] 因为风险资产在下杀
[05:46] 避险资产在下杀
[05:47] 那就连贵金所资产也在下杀
[05:50] 那看起来原油价格就没有外溢出去
[05:52] 它就始终集中在能源价格的上涨
[05:54] 甚至我们看铜价最近的下滑幅度
[05:57] 跌幅甚至比全球股市更明显
[05:59] 这代表叙事也在转变
[06:01] 过去一年铜价的上涨
[06:03] 主要反映的是AI的基建
[06:04] 电网的升级
[06:05] 当然还有一些贵金属的炒作因子
[06:08] 不过现在的回落
[06:10] 反而更像是在反映短期经济压力
[06:13] 和流动性的紧缩
[06:14] 特别是油价上涨
[06:15] 通膨在起
[06:16] 降息预期被延后的情况底下
[06:18] 资金就开始转回现实压力了
[06:20] 那从更长远的逻辑来看
[06:22] 黄金价格在昨天
[06:23] 黄金价格昨天跌很重
[06:25] 黄金价格在昨天已经回到
[06:27] 接近有4600块的关卡了
[06:29] 等同于重跌了
[06:31] 接近有4.3%
[06:32] 那黄金照来讲
[06:34] 你说债券不避险就算了
[06:36] 因为有通膨因子
[06:37] 连黄金都回跌
[06:38] 那就是什么都在跌
[06:40] 这样的一个效果
[06:41] 其实某种程度也就意味着
[06:42] 市场上针对当前的局势
[06:45] 股市跌得不够重
[06:46] 可是所有资产都在跌
[06:47] 开始相对于于谨慎
[06:49] 愿意现金为王
[06:51] 什么都不买
[06:52] 以防发生风险资产
[06:54] 避险资产全面重出的情况
[06:56] 现在避险资产变得不避险了
[06:57] 风险资产变得更风险了
[06:59] 好处就是
[07:00] 那至少就外溢不出去
[07:01] 进一步的大宗资产价格上涨
[07:03] 现在原油价格
[07:06] 蓝油价格
[07:07] 基本上还是主导大宗资产上涨的原因
[07:09] 可是其他大宗资产
[07:11] 涨幅似乎都在收敛
[07:13] 我们举例来说
[07:14] 像黄豆
[07:15] 橡胶
[07:16] 或者寿猪
[07:17] 黄金本来涨幅有接近两成
[07:19] 现在涨幅只剩下7%了
[07:21] 玉米价格
[07:22] 棉花糖类
[07:23] 软性商品也在跌
[07:25] 有些跌幅更重的
[07:26] 可可今年又跌了44%
[07:28] 柳橙汁跌了17%
[07:30] 那把金跌了13%
[07:32] 咖啡跌了12%
[07:33] 基本上你还是可以非常的明显感受到
[07:36] 整体通膨的外溢效果并没有全面放大
[07:40] 可是呢
[07:41] 某些避险资产看起来不避险了
[07:43] 再进的不避险
[07:44] 反映联准会的升降期动作
[07:47] 黄金的不避险
[07:49] 某种程度也意味着
[07:50] 联准会和其他央行的降息可能性下降
[07:54] 让高利率时代的预期
[07:56] 黄金慢慢慢慢的开始回到正常估值
[07:59] 所以市场的观点开始改变
[08:01] 有很多投资人认为
[08:02] 黄金好像也不是单纯的避险资产
[08:05] 它有一点类似投机工具
[08:06] 是反映市场去美元化
[08:08] 和防御性资产的一种轮替
[08:10] 可是如果是市场真的不好了
[08:13] 它只是具有防御性特质
[08:15] 但它不具有标准的避险特质了
[08:17] 这是一部分人的看法
[08:18] 但不管怎么说
[08:19] 至少往好处想
[08:21] 就是通膨并没有全面的外溢
[08:24] 往坏处想
[08:24] 那现在什么都在叠
[08:25] 那样持有什么都在叠
[08:26] 叠多叠少的问题
[08:27] 当然了
[08:28] 如果回过头来看中东局势
[08:30] 在伊朗封锁荷姆斯海峡之后
[08:32] 沙烏地阿拉伯也迅速启动备案
[08:34] 透过1200公里的输油管线
[08:37] 尝试的把原油改从红海的盐布港来输出
[08:41] 出口量已经恢复到战前的一半那这是好事近期盐布每天出货量大概是419万桶那当敢相对于战争之前140万桶已经翻了三倍
[08:53] 不过还是无法完全填补在波斯湾的出口
[08:56] 因为现在落道方案还是有瓶颈
[08:58] 一方面港口外有32艘超级游轮排队等待装载
[09:03] 那说明运量和装卸能力已经出现拥塞
[09:07] 另外一方面
[09:07] 全球五分之一的石油本来在荷姆斯海峡通行
[09:10] 那整体的供应
[09:11] 你不可能靠一条路上的管线
[09:14] 就完全的填补
[09:16] 所以在这样的一个情况底下
[09:17] 它能够缓解压力
[09:18] 但是主要是缓解本国压力
[09:20] 整个波斯湾的压力
[09:21] 似乎没办法解放
[09:22] 我们要知道这一波
[09:23] 不管是对沙乌地阿拉伯
[09:25] 还是对于阿联压力都很大
[09:27] 沙乌地阿拉伯的王储
[09:28] 萨勒曼曾经在年初
[09:30] 准备要跟伊朗和解
[09:32] 尝试的透过降温冲突
[09:33] 来取得区域的稳定
[09:35] 我们也知道
[09:35] 中东这几年是非常努力的发展
[09:37] 经济还有AI基础建设
[09:40] 以支持他的经济转型
[09:41] 但是呢
[09:42] 由于美国和以色列
[09:43] 采取了动武之后
[09:45] 现在伊朗不只反击
[09:46] 更直接打击
[09:47] 沙乌地阿拉伯和波斯湾的
[09:49] 几乎所有的美军基地
[09:51] 让整个区域
[09:51] 嵌入到高风险状态
[09:53] 那战争拖越久
[09:54] 对于沙乌地阿拉伯
[09:55] 和阿联的冲击就越深
[09:57] 因为为什么
[09:57] 那飞弹不一定飞得到以色列
[10:00] 还没飞到以色列
[10:01] 很多被拦下来了
[10:01] 可是有很多
[10:02] 真的就飞进科威特
[10:04] 飞进阿联
[10:05] 飞进沙尔地阿拉伯了
[10:06] 因为距离很近
[10:07] 那中东各国现在就面临两难
[10:10] 一方面希望战争赶快结束
[10:13] 可是另外一方面
[10:14] 那如果美国半途收手
[10:16] 会不会留下更激进
[10:18] 报复性更强的伊朗呢
[10:20] 所以整个中东的战火
[10:21] 它就变成一个没有好的选项
[10:23] 我们要知道
[10:24] 沙尔地阿拉伯之前有一个
[10:25] 2030愿景的大型投资建设计划
[10:28] 现在被迫延后了
[10:29] 缺工缺料
[10:30] 空运中转站的位置
[10:32] 遭受到质疑
[10:33] 金融地位的中心也受损
[10:35] 主权AI建设
[10:37] 很抱歉已经停摆了
[10:38] 所以在这样的一个效果底下
[10:40] 各国都开始为自己的利益
[10:41] 那当然对于整个中东局势而言
[10:44] 中东各国当然是本次受伤最多的
[10:46] 我们看这一次全球石油运输也被迫改道
[10:49] 中国的招商轮
[10:51] 旗下的超级邮轮凯景号
[10:53] 昨天是第一艘成功从红海
[10:56] 曼德海峡通过的邮轮
[10:58] 装载了220万桶原油
[10:59] 预计在4月初会抵达福建
[11:02] 这也是美国以色列和伊朗爆发战事以来
[11:04] 第一艘把中东原油运回中芝的超大型邮轮
[11:08] 以前都是那个印度的小的天然气
[11:11] 或者中国小的天然气船
[11:13] 从波斯湾运回去
[11:15] 那现在呢是第一波最大邮轮
[11:17] 开始从中东往回运
[11:19] 那整体局势还是不是特别乐观
[11:21] 各国只是在为自己的战略来做进一步思考而已
[11:25] 毕竟我们要知道
[11:26] 中国其实也很依赖中东的经济
[11:29] 双方是高度锚定的
[11:30] 我们从沙乌地阿拉伯到阿联到伊拉克到伊朗
[11:33] 加上这几年基础建设金额数百亿美元
[11:37] 总规模大概是3000亿
[11:38] 那大多数呢
[11:40] 其实都集中在能源基础建设港口啊
[11:42] 那很多资金是13年
[11:44] 当时中东就成为一带一路向西延伸的关键节点
[11:48] 比如说阿联的哈里发港
[11:50] 阿曼的杜库姆港
[11:52] 沙乌地阿拉伯的红海新城
[11:54] 还有石化园区
[11:55] 那背后都有中国资金和工程公司的参与
[11:58] 同时像电力基础建设
[12:00] 5G通讯
[12:00] 建筑工程总报
[12:02] 其实中国在中东也是建设非常非常多的
[12:05] 伊朗也是如此
[12:06] 在这样效果底下
[12:07] 那中国又是能源进口大国
[12:09] 当然他搞不好比美国还希望中东能源局势可以稳定
[12:12] 所以大家只好使出一切方式
[12:14] 确保油能够运的回来
[12:16] 那在这样的一个效果底下
[12:18] 好处是虽然原油价格的冲高
[12:20] 的确让市场上惊吓了一下
[12:23] 但是呢
[12:23] 第一价格股市并没有跌那么重
[12:25] 第二呢
[12:26] 以色列在昨天攻击伊朗的气田
[12:29] 引发连锁报复之后
[12:31] 纳达亚胡在昨天坦言
[12:33] 先前的行动是单方面的决策
[12:35] 跟川普无关
[12:36] 川普也直接施压了
[12:38] 要求停止针对油气来攻击
[12:40] 你就先把他军事设施给打掉
[12:42] 你不要再打油气设施了
[12:44] 因为我们现在中期选举快到了
[12:46] 所以这次的明显战略分歧
[12:48] 这个转变
[12:49] 由于纳达亚胡释出了这种
[12:51] 决定不再锁定能源基础设施攻击的讯号
[12:54] 让油价和天然气价格
[12:56] 昨天创高以后
[12:57] 稍微适度的压回
[12:59] 不过整体来看
[12:59] 市场还是一个很微妙的阶段
[13:01] 就是虽然现在不能打能源设施
[13:04] 降低了最坏的情境
[13:06] 但只要荷姆治海峡
[13:07] 还没有恢复通行
[13:08] 区域的冲突持续扩大
[13:09] 油价也很难真正
[13:11] 完全百分之百的回落了
[13:12] 就变成823炮战
[13:14] 打到后来变单打双不打一样
[13:16] 其实还在打
[13:17] 双方还在对峙
[13:18] 但是就是稍微节省一点弹药
[13:21] 那欧洲的集体转向
[13:22] 也是川普产生的适度压力
[13:24] 目前欧洲各国
[13:26] 针对川普所发动的伊朗战事
[13:28] 开始有明显转强的态度
[13:30] 不仅是公开批评
[13:31] 还直接表态
[13:32] 不会配合美国的军事行动
[13:34] 在布鲁塞尔
[13:35] 昨天所举行的欧盟峰会上
[13:37] 很多国家的领袖
[13:38] 直言这场战争没有意义
[13:40] 甚至有人认为
[13:41] 已经违反国际法
[13:42] 破坏全球秩序
[13:43] 那当然战争的外溢经济
[13:45] 已经冲击到欧洲
[13:46] 天然气价格单日暴涨30%
[13:48] 但并没有广泛性的
[13:49] 形成全球价格上涨
[13:51] 主要是供欧气的部分
[13:53] 在这样的效果底下
[13:54] 等同于现在呢
[13:56] 赫姆兹海峡
[13:56] 名义上是开着
[13:58] 但实际上还是半瘫痪
[13:59] 从船舶的流量来看
[14:01] 不管是进入到波斯湾
[14:03] 还是离开波斯湾
[14:04] 二月份以后
[14:05] 基本都出现了断崖式的下滑
[14:08] 原本每天有接近百艘的规模
[14:10] 现在是零了
[14:11] 一堆船挤在里头出不来
[14:14] 一堆船在外面空船也进不去
[14:16] 压力越来越大
[14:17] 那回过头来说
[14:19] 到底最后市场上
[14:20] 要如何去了解
[14:22] 当前的这种停滞性通膨的担忧呢
[14:25] 我个人的看法仍然是属于
[14:27] 原油价格低
[14:28] 它并没有外溢到其他大众资产
[14:30] 第二
[14:31] 1970年代的停滞性通膨
[14:33] 鲍尔这次也提到
[14:34] 那个是一个专有名词
[14:35] 停滞性通膨
[14:36] 几乎是完全在讲1970年代
[14:38] 而并不是现在
[14:39] 这种情境不必然会重演
[14:41] 当年的核心问题
[14:42] 就是石油供应
[14:44] 被大规模的锻炼
[14:45] 很多能源价格全面失控
[14:47] 进一步传导到整个经济体系
[14:49] 这一次原油价格上涨
[14:51] 但供给并没有完全中断
[14:52] 市场只是调节空间
[14:53] 有点压力
[14:54] 第二是经济结构改变了
[14:56] 石油的结构依赖程度
[14:57] 很明显下滑了
[14:58] 服务业占比的提高
[15:00] 能源效率的提升
[15:01] 再加上替代能源的逐步补位
[15:03] 很多油价的冲高
[15:04] 不再像过去那样
[15:06] 具有全面的毁灭性质
[15:07] 所以历史上的停止性通膨
[15:09] 它其实是多重条件的叠加的结果
[15:12] 比如说政策失误
[15:13] 劳动市场的僵果
[15:15] 通膨预期失控
[15:16] 联总会政策的判断错误等等
[15:18] 它并不是单一油价就能够复制的
[15:20] 重点是只要川普还活着
[15:23] 你知道他对于资本市场的接入性
[15:25] 也依旧存在吗
[15:26] 所以我个人认为
[15:27] 大部分不管是各国的成功
[15:29] 还是政策的背景
[15:30] 失败等等
[15:31] 都是在特定时空
[15:33] 特定环境
[15:34] 特定背景底下所形成的
[15:36] 那之前最有名的例子
[15:37] 有一年是巴西奥运
