[00:00] 投资朋友欢迎收听早晨财经速解读
[00:02] 现在是台北时间2026年3月23号礼拜一早上8点31分
[00:06] 大家好大家好我是Judy
[00:07] 每一早开播前半小时
[00:09] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:12] 那一早来跟投资朋友宣传
[00:14] 本周六3月28号晚上8点钟
[00:17] 就是我们的财经号叫第二季听友会
[00:19] 每个季度我们都会针对当前行情来做一些推演
[00:22] 也会针对过去一个季度的资产操作和行情判断来做检讨
[00:26] 事实上我们直播主要是分享市场动态
[00:29] 但个人的实际观点
[00:30] 都会在我们的会员系统当中来做分享
[00:33] 那在听友会当中
[00:34] 也会去寻找这样的规律来逐纪做追踪
[00:37] 如果大家常听我们直播
[00:38] 对我们内容有兴趣的话
[00:40] 欢迎也可以来到我们的网站来下取订单
[00:42] 或者有更多兴趣
[00:44] 也可以加入我们的订阅系统
[00:45] 里头除了有一整年的听友会的收听权
[00:48] 也会有个人资产周志
[00:50] 以及一些专题影片空关专业报告
[00:52] 我们讲说投资自己
[00:54] 其实就是投资未来
[00:55] 制定一个朝着自己目标的学习方案
[00:58] 有效的去实施
[00:59] 那我们自己的价值
[01:00] 就能够不断的提升
[01:02] 事实上当前的行情
[01:04] 回过头来看
[01:05] 是否已经引发了
[01:07] 新一波的转折点
[01:08] 没有股市从去年4月份以后
[01:10] 其实已经晶晶涨了
[01:11] 很长一段时间
[01:12] 几乎都是要回调不回调
[01:14] 已经很久没有看到
[01:16] 一个像样的中期回调
[01:18] 那随着美国股市
[01:19] 现在在高位
[01:20] 逐步盘旋以后
[01:21] 开始有破底情况
[01:23] 道琼指数上礼拜五
[01:26] 下跌400点
[01:27] 标普下跌1.5%
[01:29] 纳斯达哥指数下跌2%
[01:31] 其实看纳指还好
[01:32] 可是你看道琼和看标普
[01:34] 基本已经陆续跌破了去年
[01:36] 当时AI永动机的低点
[01:38] 换句话说
[01:39] 有一点破体的味道
[01:41] 所以这个时机点
[01:41] 就欢迎大家
[01:43] 我们在听语会当中
[01:44] 会仔细探讨这样的一个问题
[01:45] 是不是终极回调已经正式来临
[01:48] 还是说
[01:48] 现在来自于外部性因素的变化
[01:51] 是属于外部性冲突
[01:52] 就好像去年的关税战呢
[01:54] 今天来跟投资朋友做一些观察
[01:56] 那当然了
[01:57] 现在三大指数已经陆续进入到破底结构
[02:00] 随着跌破前波的整理区间
[02:03] 确认上升趋势的结束以后
[02:04] 接下来就看一下首度的位阶
[02:07] 我们过去提过
[02:08] 投资人最害怕的其实就是缓跌
[02:10] 这样子每天跌每天跌
[02:13] 跌不快一直跌的情况
[02:14] 是最折磨投资人的趋势性的下行
[02:17] 过去提过
[02:18] 因为投资人大多数其实
[02:20] 还是比较害怕缓跌
[02:22] 反而急跌或者亚美跌都不是特别害怕
[02:25] 因为临时感是对于市场冲击最大的
[02:27] 可是对于长线投资人而言
[02:29] 这种缓跌最好是一波一波的把筹码给洗出去
[02:33] 台纸企业盘也跌了822点
[02:37] 外资整个三月份也卖了不少
[02:39] 卖了4500亿
[02:40] 但是台股其实还是在33000 34000上下持续的震荡
[02:44] 所以今天开盘以后就要看一下
[02:46] 这个内资的买盘能不能跟上
[02:47] 可是从整个纳指的结构
[02:49] 的确长期头部已经成立
[02:52] 虽然下跌幅度也不是特别大
[02:54] 可是呢
[02:54] 从200日移动平均线来看
[02:56] 它是一个重要的分水岭
[02:58] 即便想要一次性的突破
[03:00] 看起来难度都有点高
[03:02] 更重要的观察重点在于
[03:04] 市场上总有一股人会相信
[03:06] 那即便未来碰到年线有所反弹
[03:09] 我也等到第二只脚再进去
[03:11] 那的确了
[03:13] 到底跌下来
[03:14] 不管是急跌之后
[03:15] 还是缓跌
[03:16] 总会有空单回补的时机
[03:18] 好像第二只脚一定会出现
[03:20] 可是按照过往经验
[03:21] 没有股市
[03:22] 如果从前一波
[03:24] 当时在二月份的回调
[03:25] 它其实已经出现第二只脚了
[03:27] 那有些男生说自己有第三只脚
[03:30] 还是你有第四只脚
[03:31] 第五只脚
[03:31] 随便你说
[03:32] 从技术角度而言
[03:34] 它本身就是很明显
[03:36] 上方的量价图
[03:37] 成交量能已经放大
[03:39] 所以的确掌握压力的可能性
[03:40] 比较高一点
[03:41] 当然现在最大的问题在于
[03:43] 因为已经是分水岭了
[03:45] 为什么这样说呢
[03:46] 因为从德意志银行的报告来看
[03:48] 按照过去历史
[03:49] 三十多次的冲突经验
[03:51] 美国股市的事件通常会在第15个交易日左右
[03:55] 见到短期低点
[03:56] 也就是说如果这是事件性冲突
[03:58] 它不是一个很久性的影响
[04:00] 现在就right now
[04:02] 本周应该就要见到绝对低点了
[04:04] 按照过往经验平均来看
[04:06] 标普白指数从高点这样跌下来
[04:08] 大概也跌个5%到7%左右
[04:11] 大概也是贴近历史平均值的当下跌幅
[04:15] 这边要注意一个细节
[04:16] 历史上真正的跌幅
[04:19] 如果是外部性冲突
[04:20] 通常比现在更大了
[04:21] 所以现在只能说
[04:22] 时间差不多
[04:23] 两周到三周要反应完
[04:25] 外部性冲突
[04:26] 可是跌幅其实并没有反应完
[04:28] 通常历史的跌幅
[04:30] 有的时候一个关税占什么的
[04:32] 跌幅就直接给你拖到
[04:33] 8到10%以上
