[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 但大多数的实质观点
[00:31] 以及个人操作
[00:32] 会在我们的订阅系统当中分享
[00:34] 短期播种都是这样子变来变去
[00:36] 长期它会依循着某些规律
[00:38] 我们在听友会当中
[00:39] 去这样子寻找
[00:40] 同样的规律是否重新出现
[00:42] 如果大家对于我们的直播内容
[00:44] 有更多兴趣的话
[00:45] 欢迎可以来到我们的网站
[00:46] 来下取订单
[00:47] 或者对于我们的看法
[00:50] 有更进一步的理解
[00:51] 也可以订阅我们的会员系统
[00:52] 里头除了有一整年的
[00:54] 听友会的收听权
[00:55] 也会有个人资产部位周知的变化
[00:57] 一些专题影片
[00:58] 其实关于学习或者说读书
[01:01] 很多人在这个年代
[01:03] 资讯流太多
[01:04] 都觉得好像应该要读经典
[01:06] 要读原著
[01:07] 要逐字阅读
[01:08] 要精读
[01:09] 要做笔记
[01:10] 我还听到有投资朋友
[01:12] 把我们的直播拿来做笔记
[01:14] 其实听听就好了
[01:16] 因为主要是分享市场动态
[01:17] 但是有时候我们把看书或者学习
[01:20] 当成了一个高耸入云的山
[01:23] 就把读书学习这件事情
[01:25] 看成步步登高的朝圣
[01:28] 但其实读书这个世界
[01:30] 它也不像是一座山
[01:31] 它更像是一张网
[01:32] 山你叫很费力的爬
[01:35] 但是如果是一张网
[01:36] 我们可以愉快的从一个节点
[01:39] 跳到另外一个节点
[01:41] 山有低到高的次序
[01:43] 那一张网处处相通
[01:45] 就没有前后高低之分
[01:47] 你随便挑一天直播拿来听
[01:49] 大概也听得懂
[01:50] 所以只要你愿意
[01:51] 任何一条路都可以抵达终点
[01:54] 山只是一个顶点
[01:55] 网它是每一个节点
[01:57] 都有可能变成枢纽的可能性
[01:59] 有些人从这个节目
[02:01] 获得解决失眠的困扰
[02:03] 有些人从这个节目当中
[02:05] 获得进一步的财经思维
[02:07] 那当然有些人从这个节目当中
[02:09] 获得了进一步的幽默感
[02:10] 但是没关系
[02:11] 大家汲取所惜
[02:12] 所以呢
[02:13] 礼拜六如果大家有兴趣的话
[02:14] 欢迎可以来参加
[02:15] 当然了我们要回过头看
[02:17] 美国股市在当前周三
[02:20] 肺瘢的几涨
[02:21] 但是三大指数仍然相对走弱
[02:24] 这件事情是否意味着
[02:26] 市场上仍然持续充满着不确定性
[02:28] 没有股市本轮的回调幅度也不算小
[02:31] 但是也远远没有到达股灾
[02:33] 或者类似去年4月份关税占多的水准
[02:36] 如果我们只从当前总跌幅所造成的资产价格损失
[02:41] 的确可能跟25年4月份差不多
[02:44] 可是那是以总体体量的资金流
[02:47] 如果从总跌幅来看远远不及
[02:50] 第二件事情现在位阶更高
[02:52] 所以台股如果当日波动在1000点以内
[02:55] 就算跌个900点
[02:57] 涨个900点
[02:58] 其实都算是正常波动
[03:00] 在这样效果底下
[03:01] 市场上其实就会更进一步去聚焦
[03:03] 当前荷姆兹海峡
[03:05] 是否有更进一步的实质利多讯号出现
[03:08] 毕竟当前的谈判似乎有一点突破
[03:11] 那不管怎么说
[03:13] 我们从去年4月份一路到现在
[03:16] 你可以了解为什么
[03:17] 现在市场上每一次逢低的买盘
[03:19] 还是来得这么强劲
[03:21] 因为大家想想看
[03:22] 从疫情以来
[03:23] 从大家说睡公园
[03:26] 从七年公园
[03:28] 一路睡到228公园
[03:29] 又睡到大安森林公园
[03:31] 睡到大酒保公园
[03:33] 一次睡的比一次好
[03:34] 每一次回调
[03:35] 好像也没有完全破前低
[03:37] 所以每隔几个月就是要睡
[03:39] 可是一次比一次睡的更好
[03:41] 每几个月难免就要住套房
[03:44] 可能一开始是住小套房
[03:46] 然后就是高级套房
[03:48] 接下来就是商务套房
[03:50] 最后就是总统套房
[03:52] 所以从这样的一个角度来做观察
[03:55] 就会发现市场的惯性
[03:57] 在这几年也出现了剧烈改变
[03:59] 这就是形成股价现在僵持的主因
[04:02] 好那现在回过头来看
[04:03] 荷姆兹海峡变成选择性的通行
[04:06] 伊朗政府官方已经正式表态
[04:08] 允许非敌对船只通行
[04:10] 那我们就要看了
[04:11] 接下来我们就看
[04:12] 亚洲市场的经济体
[04:14] 是否会在未来一周内
[04:16] 就陆续通过荷姆兹海峡了
[04:18] 这个等同于伊朗
[04:19] 你只要不是挂美国级邮轮的话
[04:21] 那基本上大多数国家可能挂的是马绍尔群岛或者开曼
[04:26] 用这样的一个角度来做观察
[04:28] 那其实等同于伊朗问题在五天内
[04:32] 瞬间已经对波斯湾的压力开始有显著减轻
[04:35] 那当然了即便战争结束
[04:37] 他也不会完全回到过去的开放模式
[04:40] 可是至少川普的喊话突破
[04:42] 加上伊朗政府目前所释出的氛围
[04:45] 的确导致了云油价格的显著下跌
[04:47] 川普这一次喊话做突破
[04:49] 已经释出只要伊朗同意
[04:52] 永远不持有核武
[04:53] 那市场角度来看
[04:55] 基本上就有进一步和谈的条件
[04:57] 它是一个根本的原则性
[04:59] 那当然这是川普所释出的讯息
[05:02] 好像为停火来做铺路
[05:04] 这还是一个单方面的说法
[05:06] 伊朗官方只说
[05:07] 现在非美国籍的邮轮可以陆续通过
[05:09] 但是伊朗官方并没有确认
[05:11] 他跟川普已经有
[05:13] 接近谈判协议的敲定权
[05:15] 那换句话说
