[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 也说明了市场有一股共识
[00:32] 即便双方的交火
[00:33] 看起来也不太可能在一两个月内
[00:36] 全面结束
[00:37] 但是呢对于荷姆兹海峡的
[00:39] 复航开始有了进一步的共识
[00:42] 道琼指数昨天收涨超过
[00:44] 300点纳斯达克指数上涨
[00:45] 0.7%三大指数是
[00:47] 同步反弹那美国已经透过
[00:49] 中间管道向伊朗提出
[00:51] 15点的和平方案
[00:53] 那更重要的事情是这一次川习会
[00:56] 虽然延后登场不过呢
[00:58] 川普也释放了谈话
[00:59] 预估在5月14号到5月15号来访问中国
[01:03] 那是不是说明着5月中旬以前伊朗战事会来到尾声呢
[01:08] 这次预计跟习近平在北京会面
[01:11] 时间比原本预估的计划大概晚了有六周左右
[01:15] 那延后的关键原因也很简单
[01:18] 那就中东战事的升温
[01:19] 美方必须要花更多的精力优先处理伊朗局势
[01:23] 那白宫也释出了同步的讯号
[01:25] 习近平呢会在今年稍晚也回访华府
[01:28] 形成一种对等外交的安排
[01:30] 显示双方仍然维持战略沟通的管道
[01:33] 那川普本人也认为
[01:35] 这一次会面算是历史性的访问
[01:37] 对于全球双边关系
[01:38] 还有针对美中贸易的进一步谈判
[01:41] 都会有进一步的推动
[01:43] 当然这也意味着
[01:44] 未来几个月
[01:45] 从政策到油价到资本流动
[01:48] 都会高度绑定这一段时间走
[01:50] 当然如果呢
[01:51] 这件事情处理得好
[01:53] 伊朗战事
[01:53] 现在还有两到三天嘛
[01:56] 两到三天的油价跌得回来
[01:58] 那三月CPI也跌得回来
[02:00] 就看一下川普的能力了
[02:01] 那加上四月五月川普所取得的成果
[02:04] 很明显是为中期选举来备战
[02:07] 不过呢从市场心理情绪来看
[02:09] 股市短期内的确受到适度的买盘来做支撑
[02:13] 来预估荷姆斯海峡复航的可能性
[02:16] 不过呢从市场上的战争预期时间线来看
[02:19] 基本上还是大概要拖到五月
[02:22] 整体几率才超过五成认为会结束
[02:25] 事实上白宫这次释出比较明确的讯号
[02:28] 美国军事行动仍然维持四到六周的时间表
[02:32] 这件事情是提振当前情绪的主要原因
[02:35] 那就是川普似乎暗示了
[02:37] 不管这件事情怎么走
[02:38] 我们差不多就打一个月到一个月半
[02:41] 也差不多要结束这场战事了
[02:43] 那川普甚至强调目前进度是超前的
[02:46] 我们已经大幅削弱了伊朗的军事能力
[02:48] 所以当我决定不打等同于战争结束
[02:51] 他看法有点是这样子
[02:52] 从美方说法来看
[02:55] 战争已经进入到军事压制
[02:57] 还有外交收尾的阶段
[02:59] 也就是说现在川普
[03:01] 似乎并没有要采取
[03:02] 更进一步军事动作的可能性
[03:04] 而是要准备进行收尾了
[03:06] 当然他也有可能只是bluffing
[03:08] 我们从当前polymarket市场的
[03:10] 美国和伊朗的停火时间线
[03:13] 整体预期大概一直到5月31号
[03:15] 才超过50%
[03:17] 6月已经来到66%
[03:19] 如果是年底
[03:20] 虽然也不高了77%
[03:22] 但是这也说明了
[03:23] 差不多5月到6月
[03:25] 是大家认为中战的时间线
[03:27] 当然你说有没有可能这段时间
[03:29] 只是一种战略上的一个压缩
[03:32] 但是战术上仍然有可能调整
[03:34] 随时打是为了谈
[03:35] 谈是为了打
[03:36] 如果谈不好那就打更多
[03:38] 来逼迫对方和谈
[03:40] 也是有可能
[03:41] 美国如果真的针对伊朗的哈格岛
[03:43] 发动攻击
[03:44] 战术上当然会采取快速突击的模式
