[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 的个人操作和实际观点
[00:31] 都会在我们的听友会
[00:32] 和会员系统当中来做分享
[00:34] 我们看到美国股市
[00:35] 当前的市场波动
[00:37] 感觉好像一天多一天空
[00:39] 但是是否还是依循着
[00:41] 我们看到的AI基本面循环呢
[00:44] 我们稍晚再来跟投资朋友
[00:45] 做一些追踪
[00:46] 如果大家有兴趣的话
[00:47] 欢迎可以来到我们的网站
[00:48] 来下取订单
[00:49] 那在礼拜六就可以直接
[00:51] 网络上收听直播
[00:53] 那当然我们也会保留七天
[00:54] 让大家持续的复习
[00:56] 来观察本季度的行情变迁
[00:58] 会如何影响到
[00:59] 二季度的市场变化
[01:01] 其实在投资领域当中
[01:03] 有时候成功往往是很多条件
[01:05] 背棋的结果
[01:06] 那失败常常是一个环节
[01:08] 出错就足以致命
[01:09] 这一波其实总体跌幅也不大
[01:11] 那感觉好像蛮多人被洗出场了
[01:14] 压力颇大
[01:15] 我们常听到有人说
[01:16] 长期投资的赢家
[01:18] 好像原则都很相似
[01:19] 很相似
[01:20] 你比如说长期投资
[01:22] 你要长期持有
[01:23] 你要保持耐心
[01:24] 你要分散风险
[01:25] 那亏损者呢
[01:26] 感觉各有各的教训
[01:28] 一笔投资的失败
[01:29] 可以因为是买在高点
[01:31] 可以因为是错估基本面
[01:32] 资金管理的松散
[01:34] 情绪交易失控
[01:36] 风险管控失效
[01:38] 任何一项都有可能导致资产的减损
[01:40] 但是一笔成功的投资
[01:42] 往往是在策略
[01:43] 在风控
[01:43] 在估值
[01:44] 在纪律上都兼备之下才能够实现
[01:47] 所以有时候我们也常听到说
[01:49] 幸福的家庭都是相似的
[01:51] 但是不幸的家庭却各有各的不幸
[01:53] 你想想看一个家庭陷入不幸
[01:56] 他只要在破产出轨
[01:59] 三观不合
[02:00] 孩子不孝
[02:01] 观念冲突
[02:02] 随便找一个就可以家庭不幸了
[02:04] 但是你要家庭幸福
[02:06] 诸多因素缺一不可
[02:08] 所以不幸的家庭各不相同
[02:10] 就好像医院里面的病号情况各不一样
[02:13] 那幸福的家庭往往情况类似
[02:15] 就好比人的健康身体指标
[02:18] 都是同一个范围内
[02:19] 发现没有这样子算下来
[02:21] 与其我们去忽略的总结幸福秘诀
[02:26] 倒不如从不信者当中去吸取一些教训
[02:29] 哪些错误在当前的行情是不能够犯的
[02:33] 我们要讲活着就是胜利
[02:35] 有时候不必追求极高的报酬
[02:38] 但是先求活下来
[02:39] 再慢慢的追上大盘
[02:41] 进一步超越大盘
[02:42] 而并不是无条件的扩大自己绩效
[02:45] 那回过头来说
[02:46] 没有股市
[02:46] 台积电ADR在昨天是重出了接近有6%
[02:49] BIG指数上升到27
[02:51] 油价再度走高
[02:52] 道琼指数下跌469点
[02:55] SYS15960点
[02:56] 标普下跌1.74%
[02:58] 纳指就跌得重了
[02:59] 有2.38%
[03:00] 第二度突破年限了
[03:03] 那就要看一下
[03:03] 到底是持续的彻底
[03:05] 还是整个头部已经逐步形成
[03:07] 那当然了
[03:08] 总体跌幅还是没有到关税占这么重
[03:11] 可是呢
[03:11] 毕竟盘整期间
[03:13] 已经高达两个季度左右
[03:15] 就代表着
[03:15] 长期的头部啊
[03:17] 势必会使得接下来的打底时间线
[03:19] 拉得更长
[03:20] 那好处是EPS还在往上走
[03:22] 所以它是一个本益比的大幅回调
[03:24] 那这一波下跌也很单纯预期的破裂
[03:27] 原本市场压的是停火
[03:29] 压的是油价的回落
[03:30] 通膨压力的缓解
[03:31] 但现在停火谈判卡住了
[03:34] 油价重新站上每桶108块
[03:36] 把整个逻辑给反过来
[03:38] 这个标普白指数已经创下
[03:40] 去年10月份以来的新低
[03:42] 不过呢
[03:43] 总体跌幅还控制在7到8%左右
[03:45] 市场也开始重新递价
[03:47] 高油价加上高利率更久的组合
[03:50] 所以昨天是很标准的股债双杀
[03:53] 这场战争已经从消费面
[03:55] 或者说消息面的市场波动
[03:57] 开始转往这种供给型的破坏
[04:00] 大家开始意识到
[04:01] 好像他真的有一阵子
[04:03] 供给出口都出不来
[04:04] 全球数百万桶的供应被卡住
[04:06] 在这样的一个情况底下
[04:08] 口头安抚第一次有用
[04:09] 第二次也有用
[04:11] 到第三次第四次
[04:13] 市场的压力看起来就越来越大了
[04:15] 我们看ETF市场的流动性
[04:17] 也在慢慢的消失
[04:18] 过去很长一段时间
[04:19] 由于散户力量的投入
[04:21] ETF的交易占比
[04:22] 过去是非常显著攀升的
[04:24] 一度上升到40%以上
[04:26] 那代表其实在全球资本市场当中
[04:29] 已经有很大笔的资金
[04:31] 它不再是透过个股来操作
[04:32] 它是用ETF来做整体风险的调整
[04:35] 你像QQQ或者SPY
[04:37] 这类工具就成为主流
[04:38] 但问题是很多散户都挤到了ETF当中
[04:41] 市场的结构反而就变得更加脆弱
[04:43] 一旦ETF本身波动加剧
[04:46] 盘中的振幅明显放大
[04:48] 那另外一方面的个股流动性消失
[04:51] 反而让价格更容易放大扭曲
[04:53] 我们看资金现在在不同的主题当中
[04:55] 快速的轮动
[04:56] 比如说能源美元或者等权重ETF
[04:59] 就是把每只股票都设定为五百分之一
[05:03] 好这些指数出现了非常明显的资金流入
[05:05] 而新兴市场则是受到资金的流出
[05:08] 那现在市场就进入一种用ETF交易
[05:11] 但是反而市场波动持续加大的一个状态
[05:14] 以前是把个股风险给平分掉
[05:16] 现在是整个板块的大挪移
[05:18] 我们从RSP也就是等权重的标普白指数
[05:22] 过去12个月的资金流动
[05:23] 速度其实蛮快的
[05:25] 资金流入量也不少
[05:26] 这其实也说明着
[05:27] 市场上从原本的科技期剧头
[05:30] 外移到其他个股当中
[05:32] 尤其是具有防御性的能源板块
[05:34] 我们具体观察
[05:35] 现在能源股的ETF
[05:37] 那流入量过去两周是非常非常显著的
[05:40] 像是XLE或者USO
[05:42] USO是最终原油ETF
[05:44] XLE是最终能源股的ETF
[05:47] 那整体而言市场很明显在压住油价和能源供应风险
[05:50] 那美元指数的ETF UUP也是稳步的增加
[05:54] 那黄金ETF GLD这一次却出现了去杠杆状态
[05:58] 出现了连续一整个月度的资金流出
[06:02] 所以市场上开始更进一步关注
[06:04] 这种状态底下过去的避险资产是否已经有过度杠杆的疑虑
[06:09] 导致市场更偏好直接购买能源股原油或者直接持有美元
[06:14] 那川普当然在种种情况底下
[06:16] 三个小时之前发文了
[06:18] 这一次他发文表示
[06:19] 由于和伊朗的谈判仍然在持续
[06:22] 所以我决定
[06:22] 把攻击伊朗能源和发电设施的时间线
[06:25] 延后十天
[06:27] 本来是延后五天
[06:28] 现在延后十天
[06:29] 来到美东时间的4月6号晚间
[06:31] 也就是台湾时间的4月7号
[06:33] 那川普原本设定的期限
[06:35] 就是本周五就要到了
[06:37] 因为到了
[06:38] 那到了就再延后
[06:39] 所以川普在出售上
[06:41] 就直接这样子表明
[06:42] 决定再往后延后一周
[06:44] 听过放羊的孩子吗
[06:47] 我数到三
[06:48] 一二三
[06:50] 不理我
[06:50] 那我就再数一次
[06:51] 或者我数到
[06:52] 我改数到十
[06:53] 所以川普这一次
[06:54] 当然一方面
