[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 其实本来早盘还有尝试的V转拉动
[00:33] 不过盘中恐慌指数突破30以后
[00:36] 市场的市场卖压再度的涌现
[00:39] 那么当然要进一步观察
[00:40] 这一波的杀盘
[00:41] 是否会从原本的中东战局的通膨预期面
[00:45] 开始影响到失职的AI面松动
[00:47] 记忆体报价现在看起来有点松动
[00:50] 但更重要的
[00:51] 我们看的其实是AI的资本支出
[00:53] 是否也会跟着松动
[00:55] 那也代表着
[00:56] 从技术角度而言
[00:57] 这种城市单的市场卖压
[00:59] 会持续涌现
[01:00] 毕竟标普派指数过去长时间
[01:03] 一直围绕着200日的移动平均线
[01:06] 我们可以把它先当做年线
[01:08] 那稳定着年线持续上行
[01:11] 进入高档震荡之后
[01:13] 这一次五天内就回档幅度超过4%
[01:16] 你要知道上一次四月份关税战
[01:19] 也是五天内跌了大概5%左右
[01:21] 所以一周内的跌幅
[01:23] 在指数可以来到4%到5%
[01:25] 也算重
[01:26] 虽然从高点这样跌下来
[01:28] 飘普派指数总体跌幅
[01:30] 也没有到达10%以上
[01:31] 可是市场上的整体短期回涨幅度
[01:34] 还是相对大
[01:35] 卖压动能已经造成乖离指标
[01:38] 严重偏离
[01:39] 但与此同时
[01:40] 由于又碰到这种年限的市场反压性卖压
[01:44] 城市单的获利了结
[01:45] 因为过去毕竟这一整段
[01:47] 还算是一个蛮大的涨幅报酬
[01:49] 或者被迫停损
[01:51] 都有可能形成进一步的动能市场卖压
[01:54] 当然更进一步观察的几大效果
[01:57] 是市场是否有推动原油价格
[02:00] 现在持续破高的主因
[02:01] 在昨天一艘泰国货船
[02:03] 又在荷姆斯海峡遭到伊朗攻击
[02:06] 现在有三名船员下落不明
[02:08] 该船呢
[02:09] 在3月11号的时候
[02:11] 当时就已经受到市场上的飞弹冲击
[02:14] 结果呢
[02:15] 在本周又有不少船只陆续受到影响
[02:18] 这也就说明了
[02:19] 实质上荷姆斯海峡还是属于高度瘫痪的
[02:23] 只有受到伊朗特别允许的船只
[02:26] 比如说部分的泰国船只
[02:27] 部分的印度船只
[02:29] 巴基斯坦船只
[02:30] 或者中国船只
[02:31] 而且即便你是这些国家的船只
[02:33] 都必须要进行优先报备
[02:35] 才不会受到伊朗无人机
[02:38] 或者小型飞弹的攻击
[02:40] 那川普政府目前所释出的谈话
[02:42] 的确从战争讯号来看
[02:45] 还是相对混乱
[02:46] 川普在昨天表示
[02:47] 伊朗已经在停火谈判当中进行让步了
[02:50] 也接受了美方提出的15项条件中的大部分
[02:53] 但是实质上
[02:54] 按照伊朗目前给予的态度
[02:56] 双方是否真的在谈判都不确定
[02:58] 不要想说有没有接受这15点
[03:00] 或者接受这15点当中的几点
[03:03] 这些事情都无法确认
[03:05] 有没有谈都无法确认
[03:06] 伊朗公开否认了这些条件
[03:08] 而且也反提自己的要求
[03:10] 包括维持对赫姆斯海峡的主权
[03:12] 整体局势就处于一个相当矛盾的状态
[03:16] 一边说谈判很顺利
[03:17] 另外一边大家都在提高军事行动
[03:20] 美军也同步加码在中东的部署兵力
[03:23] 让市场很难判断
[03:25] 接下来到底是降温还是升级
[03:27] 我们过去讲过
[03:29] 即便现在第82空降时
[03:31] 还有海军陆战队陆续到位了
[03:33] 你也不确定他到底要不要打
