[00:00] 從這邊歡迎收聽早晨財經速解讀
[00:03] 現在是臺北時間2026年3月3號禮拜二
[00:06] 早上8點31分
[00:07] 大家好我是挺好
[00:08] 每天早上開盤前半小時
[00:10] 我們在這邊陪伴著各位一起解讀國際財經新聞時事變化
[00:13] 沒有股市週一收盤是接近平盤
[00:16] 前一天台股也從原本跌點800多點一路往上拉
[00:20] 這件事情也就說明著市場上的股市動能
[00:23] 至少從買盤來看相對於地緣政治的緊張
[00:27] 遠遠不如來自於AI估值的修正
[00:30] 換句話說
[00:31] 市場上影響更多的
[00:33] 還是來自於基本面
[00:34] 而並不是地緣政治的緊張
[00:36] 昨天一早
[00:37] 公司廁所都是人
[00:38] 你太晚去蹲廁所
[00:40] 你就撿不到股票了
[00:42] 美伊衝突的升起
[00:44] 其實更多影響的是油價的飆升
[00:46] 以及貴金屬資產的衝高
[00:48] 但對於股市而言
[00:49] 我們反而要從AI的角度
[00:51] 持續來觀看
[00:53] 財報季的尾聲已經來到了
[00:54] 可是呢
[00:55] 我們後續要如何去
[00:56] 讓他有更進一步的想象空間
[00:58] 還是說其實一季度二季度
[01:00] 就是這些科技巨頭的本意比的回撥期呢
[01:04] 還是他是泡沫破滅的開始
[01:06] 來跟投資朋友做一些觀察
[01:07] 那這一次美國和以色列
[01:10] 針對伊朗展開新一輪的軍事行動之後
[01:13] 趨勢也迅速擴大
[01:14] 雖然沒有影響到股市
[01:16] 可是川普依然表示
[01:17] 美方將不惜一切代價
[01:19] 完成在伊朗的行動
[01:21] 即便時間拉長也在所不惜
[01:23] 並且強調要摧毀伊朗的飛彈能力
[01:26] 和核發展是目前的首要目標
[01:28] 美軍在48個小時內
[01:30] 目前已經打擊了1250個目標
[01:32] 包括飛彈基地
[01:33] 海軍艦艇和指揮中心
[01:35] 那伊朗則是持續以無人機和飛彈來做回擊
[01:39] 波斯灣多個國家也遭受波及
[01:41] 金融市場也是比較分化
[01:43] 歐洲股市是稍微賣壓比較沉重
[01:45] 不過美元因為避險而走強
[01:47] 美國公債我們最近提過了
[01:49] 反而因為通膨預期升溫而下跌
[01:52] 更多其實在避險資產的買盤
[01:55] 主要集中在黃金
[01:56] 黃金在昨天已經站上接近有
[01:59] 5300一路挑戰到5400
[02:01] 你這樣子一看
[02:02] 我們過去講說
[02:04] 感覺又要準備挑戰新高了
[02:07] 願做一身小金蟲
[02:08] 雖然比小銀蟲難聽一點
[02:10] 可是從現在走勢來看
[02:13] 這一種金屬價格的多頭和牛市
[02:15] 是否能夠持續
[02:16] 是我們待會會持續觀察的重點
[02:19] 那我們待會就從三條主線
[02:21] 來把美國股市的狀態講清楚
[02:23] 第一個是中東戰士的升級
[02:26] 市場看起來不是很害怕這條新聞
[02:28] 而是油價推升通膨之後
[02:30] 把聯組會的降息路徑開始往後推了
[02:33] 這個是長期的擔憂
[02:34] 第二條才是AI主線
[02:36] 資金一邊逢低來回補輝達
[02:39] 微軟這些現金流
[02:40] 比較硬的龍頭
[02:42] 把它當成避風港
[02:43] 可是另外一邊
[02:44] 又擔心AI把軟體金融商業模式
[02:47] 直接給先做
[02:48] 到底要買哪一支
[02:49] 變成硬體強
[02:50] 但是軟體弱的撕裂
[02:52] 第三條是底層風險
[02:54] 指數現在看起來很穩了
[02:55] 其實
[02:56] 可是呢
[02:57] 從信用力差
[02:58] 從槓桿
[02:59] 從擁擠的交易來看
