[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 我们过去提过
[00:31] 由于当前现在在荷姆斯海峡
[00:33] 最大问题在于没有保险商愿意进行承保
[00:37] 所以呢
[00:37] 你基本上要走也可以啊
[00:39] 但没有承保的情况底下
[00:41] 就让金融体系的自我封锁
[00:44] 已经提前在敢不敢自己开船过去的问题
[00:47] 所以啊
[00:48] 如果川普进行能源航运保障讯息以后
[00:52] 加上美国海军也即将进行护航
[00:55] 那是否有机会稳住当前的油价呢
[00:58] 道琼指数最终只有下跌400点
[01:00] 标普摆跌幅0.94%
[01:02] 纳指下滑超过1%
[01:04] 反而是过去基期涨比较高的费半
[01:07] 下跌有4.5%
[01:08] 所以一开始是压股跌
[01:10] 然后接着美股跌
[01:11] 美股跌完压股跌
[01:13] 压股跌完美股跌
[01:14] 天天都在压美跌
[01:16] 但是美国股市
[01:17] 现在比较值得观察的重点在于
[01:19] 这样子缓跌也不太有利
[01:21] 因为已经快要跌破原本的整理区间
[01:24] 短线上走势是转弱
[01:26] 市场的逢低买盘是很强
[01:28] 没错啦
[01:29] 台股美股韩股都是如此
[01:31] 可是啊
[01:31] 投资人的信念看起来还不太够力
[01:34] 原油大涨4.7%
[01:36] 登上一年多的新高以后
[01:38] 接下来就要观察
[01:39] 那是否原油价格能够见顶
[01:42] 而确保股票市场在短期内
[01:44] 至少从指数层面有机会见底
[01:47] 那当然也有可能股票市场
[01:49] 现在更类似于AI去估值的效果
[01:52] 和中东问题同时交错
[01:55] 也不一定全面反映中东问题
[01:58] 如果油价已经回来了
[02:00] 那股市还在跌
[02:01] 那就不能够怪给中东问题了
[02:02] 很明显是AI当前基本面财报的变化
[02:06] 那第三点
[02:06] 是不是要丢掉过去旧的避险剧本了
[02:10] 这一次在高通膨汗资金流向改变的背景下
[02:13] 传统的风险区别模式慢慢失灵
[02:17] 买美债好像没什么太大避险作用
[02:20] 买大宗商品
[02:22] 好像也并不是所有大宗商品都会涨
[02:25] 那另外一方面
[02:26] 买黄金呢
[02:27] 就连黄金在昨天都持续跳水
[02:29] 那是否意味着
[02:31] 当前大家卖黄金去补保证金了
[02:34] 股市跌很重
[02:35] 比特币跌很重
[02:36] 那是不是有流动性风险的味道开始出现
[02:39] 所以我们今天
[02:40] 主要来跟投资朋友做盘面上的定谋
[02:43] 战争当然是导火线
[02:45] 但真正决定股价金价和油价的
[02:48] 是利率美元和流动性
[02:50] 昨天盘中道琼叠
[02:52] 一度来到1200点
[02:54] 最终只跌400点
[02:55] 重点它就不会是市场不怕飞弹了
[02:59] 市场不怕中东问题恶化了
[03:01] 而是那暂时会拖多久呢
[03:03] 只要暂时能够缩短到川普所说的四周以内
[03:07] 那油价就不会去真实改变通膨结构
[03:11] 那油价上来市场的第一反应
[03:13] 看起来也不单是去买黄金
[03:15] 先现金为王
[03:17] 美元和殖利率先拉上去
[03:19] 一方面先对赌通膨可能就有复燃
[03:22] 另外一方面先现金为王
[03:24] 来等这件事情过去以后
[03:26] 寻找新的投资部件点
[03:27] 那最终在这样的一个环境当中
[03:30] 黄金价格
[03:31] 它当然每一次的战争会有一波的拉高
[03:34] 可是随后我们要更进一步观察
[03:36] 如果通膨持续来袭
[03:38] 或者不确定性持续发酵
[03:40] 那到底谁是避险资产
[03:41] 谁是风险资产
[03:43] 今天来跟投资朋友做一些观察
[03:45] 那我们先回过头来追踪一下中东市场的概况
[03:47] 这一次美伊的冲突扩大以后
[03:49] 美国国务院在昨天正式宣布
[03:52] 中东14个国家的美国公民立即离境
[03:55] 而且建议用可用的商业航班进行撤离
[03:59] 然而现实是现在巴林
[04:01] 科威特
[04:01] 卡达
[04:02] 伊拉克
[04:02] 伊朗
[04:03] 叙利亚和以色列
[04:04] 很多国家已经关闭空域了
[04:06] 航班也大规模取消
[04:08] 所以商业运输选项其实非常有限
[04:11] 那伊朗在昨天也正式启动
[04:14] 阿米尼一测
[04:15] 他的一测是什么呢
[04:17] 就是如果呢
[04:18] 他在空袭当中身亡以后
[04:20] 伊朗就会依照事先拟定的计划
[04:24] 将冲突全面的外扩
[04:25] 根据内部人士的透露
[04:27] 金融时报报道
[04:28] 这套方案在去年
[04:30] 跟以色列爆发12天战争之后
[04:32] 它就已经规划完成
[04:33] 如果我死了
[04:34] 你们就到处攻击
[04:36] 乱攻击别人的能源设施
[04:38] 干扰区域航班
[04:39] 还有关键基础建设
[04:40] 最终目的是要逼迫美国和以色列收手
[04:44] 而且是由中东各国来说服
[04:47] 美国和以色列收手
[04:48] 因为我们跟他谈已经没有太大作用了
[04:51] 如果他采取攻击的话
[04:52] 实际上这样的一个效果
[04:53] 也说明着伊朗的策略明显转向
[04:56] 过去冲突大部分都是控制在境外的代理人
[05:00] 和有限报复
[05:01] 这一次的确直接冲击到海湾能源和金融枢纽
[05:04] 当然造成的死伤人数跟伊朗国内差别当然很多
[05:09] 可是这种不确定性
[05:10] 因为你不确定会射到哪里去
[05:12] 你也不确定是不是只会射到基地
[05:14] 还是民用房屋饭店都有可能被击中
[05:17] 所以稍早我们看到
[05:19] 美国针对以色列空袭情况的总体会诊
[05:22] 也透露在昨天已经证实
[05:25] 用于诱农说的纳坦兹的核子研究所
[05:29] 再度遭受到美国大规模的穿地弹的空袭
[05:33] 伊朗位于伊斯法罕的军用光学公寓园区
[05:37] 也全面被炸毁
