[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼涨238点
[00:32] 其实重点观察的是
[00:33] Rantico的IGV
[00:35] 稍微止跌反弹了
[00:37] 而且比特币的部分
[00:38] 在昨天也升破了73000美元
[00:41] 这是过去一个月以来的最高水准
[00:43] 过去它具有一点领跌效果
[00:46] 那是否现在能够暗示着
[00:48] 大盘即将回升
[00:49] 主要有几个角度来做切入
[00:52] 一方面是伊朗这一次
[00:54] 推出领导人以后
[00:55] 是否开始有了谈判对象
[00:57] 之前炸光了
[00:58] 那有新一轮的谈判可能性
[01:00] 市场的预期就开始有乐观的升温
[01:03] 另外一方面原油价格
[01:05] 我们昨天有跟投资朋友提到
[01:06] 原油价格的上涨是停滞性通膨
[01:09] 是否会引发的主要担忧
[01:11] 也就代表着原油价格的停止上涨
[01:14] 就代表着市场上针对通膨的担忧
[01:17] 肯定会受到抑制
[01:19] 这也导致股票市场
[01:20] 可能会随着原油价格的见顶
[01:23] 而跟着见底
[01:24] 我们从布兰特原油和西德州原油价格来看
[01:27] 其实整体盘中波幅还是很大
[01:30] 可是布兰特原油最终还是收在81.4美元每桶
[01:34] 西德州原油收在74.6美元每桶
[01:37] 大概都是收平盘
[01:38] 也就代表着原油价格已经连续三天
[01:42] 没有持续创高
[01:44] 那标普白指数呢
[01:46] 虽然卖压是很沉重啦
[01:47] 可是也一路就保持在这样的一个平台区间
[01:50] 它也没有跌破去年AI永动机拉回之后的低点
[01:54] 就代表着股票市场的主底正在产生
[01:58] 而原油价格要看一下
[01:59] 短期内的高点是否会因此而看到
[02:02] 所以虽然说是税公元
[02:04] 但有没有发现
[02:05] 这每一次税的公元是越税越高级
[02:09] 五年前8000点的公元我们也税过了
[02:12] 12000点的公元我们也税过了
[02:15] 税到18000
[02:15] 现在3万点税一下
[02:17] 装备都升级了
[02:19] 纸箱都换成迪卡侬
[02:21] 现在都十足鸟了
[02:22] 我们从青年公园
[02:24] 这五年来一路睡到228
[02:26] 再从228公园
[02:27] 一路睡到大安森林公园
[02:29] 现在都已经到大酒保公园了
[02:32] 没钱都可以泱泱眼
[02:33] 所以即便情绪当然会有波动
[02:36] 可是你一样睡的公园
[02:38] 会越睡越高级
[02:39] 点位越来越高
[02:41] 所以大家知道
[02:42] 持有一定程度的部位
[02:43] 为什么来说这么重要
[02:45] 这就是一个主要原因
[02:46] 比特币昨天提到
[02:48] 我们看这一波的主体情况
[02:50] 其实比特币已经有点跌不太动了
[02:52] 可能是因为已经跌很惨了
[02:53] 所以市场上去估值去的差不多
[02:56] 比特币这一次率先大涨
[02:58] 回到七万三千点左右
[03:00] 就要来看
[03:00] 因为它四条均线的卖压
[03:02] 还是相当沉重
[03:03] 那是否能够让市场上的风险情绪
