[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 开始收涨了0.6%
[00:31] 这已经是连续第七个交易日收红了
[00:35] 也创下去年10月份以来的最长连长记录
[00:38] 当然主要涨幅集中在尾盘
[00:40] 这一次由纳塔亚胡宣布跟尼巴嫩谈判之后
[00:44] 所造成市场上进一步的信心提振
[00:46] 可惜有趣的事情是
[00:48] 昨天原油价格其实也并没有因此持续走跌
[00:51] 希德州原油价格每桶还报在99块
[00:54] 布兰特原油还上涨了2%
[00:57] 每桶报在97块
[00:58] 所以今天我们就从三层角度来做思考
[01:01] 一层是当前的水准
[01:03] 美国股市废办昨天又创新高了
[01:05] 可是AI基建的一路向上冲
[01:08] 另外一边的软体股却持续的被下杀
[01:11] 现在SaaS几乎全数被重新定价
[01:14] 市场是不是从过去软硬一起涨
[01:17] 变成了资本开始选变战
[01:19] AI从工具变成生产力
[01:21] 直接就压缩了软体股的空间
[01:23] 另一方面
[01:23] 中东战火虽然有停火的讯号
[01:26] 可是能源价格已经外溢出去了
[01:28] 现在都已经4月10号了
[01:30] 从油价到运输成本到美国通膨
[01:32] 3月份通膨看起来是一定会起来
[01:35] 4月份如果再压不住
[01:36] 一个季度
[01:37] 几乎所有中端产品都会被迫传导
[01:40] 最后再回过头来看台湾
[01:42] 台湾的经济数据上很强
[01:44] 而且通膨基本上很大幅度都被政府给吸收了
[01:48] 是否会引领着台湾经济迎来一波
[01:51] 在极低通膨底下
[01:53] 但是极高的经济成长率呢
[01:55] 今天来跟投资朋友做一些观察
[01:57] 首先我们看的是股票市场概况
[01:59] 这一波市场已经走了一个标准的
[02:02] 崩跌之后的反弹格局
[02:04] 虽然跌幅也不大
[02:05] 整个标普大概跌10%
[02:07] 相对于去年4月份跌幅19%小得多
[02:11] 不过从整体本益比跌幅来看
[02:14] 跌幅跟去年关税战一样
[02:15] 说明现在的EPS上行幅度特别快
[02:18] 可是指数回到区间的中间位置
[02:21] 技术面的优势就几乎被吃抹干净
[02:24] 我们看标普白指数
[02:25] 最近重新站上了200日移动平均线
[02:28] 我们可以把它简单理解成年限
[02:30] RSI也从极度的超卖
[02:33] 现在已经接近到超买了
[02:35] 才几天的时间
[02:36] 这说明着
[02:37] 乖离指标全数都在上弯
[02:39] 情绪指标也在全数归来
[02:41] 但是还没有到极端
[02:42] 这代表着
[02:43] 现在肯定不便宜了
[02:44] 但是也不到特别昂贵
[02:46] 操作空间
[02:47] 突然之间就变得很有限了
[02:49] 你就知道为什么我们左侧交易
[02:50] 特别喜欢接刀子
[02:51] 接着接着
[02:52] 一瞬间就没有刀子可以接了
[02:54] 反弹速度极快
[02:56] 尤其在川普任期行情
[02:57] 之前用短天期选择权
[03:00] 来压空行情
[03:03] 或者说对于市场上
[03:04] 有对赌极大波动的这些投资人
[03:06] 在短期内的确赚到了极大报酬
[03:08] 但是这种波动率越快
[03:11] 这也使得操作难度
[03:12] 对于部分投资人来说还是极大的
[03:15] 毕竟一不小心就会被洗出肠
[03:17] 我们SPY670块的扣来看
