[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 还是没有能够达成协议
[00:31] 让原本脆弱的停火协议
[00:33] 陷入不确定性
[00:34] 这一次JD Vance
[00:35] 领军的美方代表
[00:36] 他们表示
[00:37] 伊朗拒绝承诺放弃核武
[00:39] 无法接受美方所提出的条件
[00:42] 那伊朗则是反指
[00:43] 美国的要求实在太高了
[00:45] 强调分歧
[00:46] 不可能在一次谈判当中解决
[00:48] 那么双方各自离开
[00:50] 核心争议
[00:51] 还是其中在核计划的部分
[00:53] 以及荷姆斯海峡的控制权
[00:54] 毕竟这条航道
[00:56] 还是控制了全球五分之一的
[00:58] 石油和天然气的运输
[00:59] 即便沙巴地阿拉伯
[01:01] 已经尽可能地
[01:02] 把东岸的石油
[01:03] 往西线来做运送
[01:04] 那么谈判破灭
[01:06] 也意味着
[01:06] 虽然两周时间还没有到
[01:08] 可是战争是有随时可能
[01:10] 重启的可能性
[01:11] 油价和美元的同步走强
[01:13] 已经反映这件事情
[01:14] 停火期间的乐观情绪
[01:16] 也正在迅速回音回温
[01:18] 甚至我们看到
[01:19] 当时有游轮
[01:20] 本来在赫姆兹海峡
[01:22] 准备要通过了
[01:23] 就等谈判协议谈成
[01:24] 结果瞬间掉头
[01:26] 这就代表着
[01:27] 双方虽然因为两周时间还没到
[01:30] 看起来是还有继续谈判的空间
[01:32] 可是在立场强硬
[01:33] 互不让步的情况底下
[01:35] 短期内的确达成协议的几率
[01:37] 看起来就变不高了
[01:38] 对于美国而言
[01:39] 需要一个很体面的退场条件
[01:42] 对于伊朗而言
[01:43] 那么只要核武器不退让
[01:46] 那在这样的情况底下
[01:48] 局势就可能维持在一个
[01:50] 相对不确定性的状态
[01:51] 当然在这一次谈判破灭之后
[01:54] 川普也拿出他的UNO的反转卡
[01:57] 宣布美军正式封锁了赫姆兹海峡
[02:00] 之前伊朗不是封锁了赫姆兹海峡吗
[02:03] 现在美国封锁伊朗封锁的海峡
[02:06] 等于是在赫姆兹海峡
[02:08] 已经有两个国家互相封锁
[02:10] 不让一只舱银给掏出来
[02:11] 那美方的理由很直接
[02:13] 伊朗没有履行开放航道的承诺
[02:16] 甚至可能布雷来尝试收取通行费
[02:19] 因此美军拦截所有进出的船只
[02:21] 并且清除水雷
[02:23] 那这也不单单是军事行动
[02:24] 是针对全球能源动脉的直接控制
[02:27] 结果也立即反映在市场当中
[02:30] 代表的
[02:30] 当然了
[02:31] 是不是代表的
[02:32] 就有点像那个
[02:34] 脚踏车你已经扣上10个锁了
[02:37] 你再多扣11个锁
[02:38] 好像问题也没有变得多严重
[02:40] 毕竟都是封锁
[02:41] 可是在这样的市场情况底下
[02:44] 等同于双方的封锁会导致
[02:47] 整体不确定性立即升高
[02:50] 也就代表着
[02:51] 那种对于收取适度的过路费
[02:54] 或者双方有共识的谈判期间
[02:57] 有人可以自由通过这样的一个旗舰
[03:00] 或者双方的共识
[03:01] 可能会明显脱节
[03:02] 你封锁你的海峡
[03:04] 那我就封锁你封锁的海峡
[03:06] 这叫一个海峡各自封锁
[03:10] 俗称九二
[03:11] 不是海峡各表
[03:12] 所以在这样的效果底下
[03:14] 等于川普现在的态度是
[03:16] 老美的舰队
[03:17] 正式封锁荷姆斯海峡
[03:19] 那你只要过路费给伊朗
[03:21] 看起来也没有用
[03:22] 也过不去
[03:22] 那看谁把钱交给伊朗
[03:24] 反正你最后也出不去
[03:26] 那伊朗要卖给中国的石油
[03:28] 那川普的要求底下
[03:30] 看起来也运不出去了
[03:32] 当然了
[03:32] 小孩子绝交也没有这么快
[03:34] 重点在于
[03:35] 后续的补充措施为何
[03:37] 毕竟川普的贴文
[03:39] 往往是一种宣誓性的意味
[03:41] 我们必须由美军
[03:42] 后续的确认来做观察
[03:44] 到底是封锁一切
[03:45] 不管是军事
[03:46] 还是我们看到伊朗单纯邮轮
[03:48] 还是所有国家的邮轮
[03:50] 那么目前来看
[03:51] 那美军以及伊朗是否有继续收取过路费的打算
[03:55] 我们从Polimarki目前赌盘来看
[03:57] 市场上本来对于市场停火的意愿
[04:00] 其实也没有很高
[04:01] 大概在24%左右
[04:03] 结果这一次谈判破灭之后
[04:05] 直接回到了11%
[04:07] 那即便我们把时间拖到4月底
[04:09] 也就是超过两周的时间线
[04:11] 整体几率还是只有14%左右
[04:14] 那当然在这样的情况底下
[04:16] 美国中央司令部在刚刚正式宣布
[04:18] 依据总统所发布的命令
[04:20] 从今天早上10点开始
[04:22] 针对伊朗港口的海上交通进行封锁
[04:26] 但是这次封锁
[04:27] 基本上并不像是我们过去所恐慌的
[04:30] 不分国籍的全面封锁
[04:32] 它是适用于所有进出伊朗港口和沿海地区的船只
[04:36] 什么意思
[04:37] 看起来是针对伊朗船只封锁
[04:39] 而并不是把台湾的
[04:41] 把中国的
[04:42] 把印度的巴基斯坦的全部封锁
[04:44] 所以在这样的一个效果底下
[04:46] 不会干预船只经由荷姆治海峡
[04:48] 往返非伊朗港口的航行自由
[04:51] 某种程度而言
[04:52] 算是淡化了局势
[04:54] 不过原油价格的反应
[04:56] 还是非常明显的
[04:57] 这一次西德州原油价格
[04:58] 又重新占上100美元每桶了
[05:01] 在昨天
[05:02] 布兰特原油和西德州原油
[05:04] 双双大涨了接近8%
[05:05] 市场又开始重新定价
[05:07] 长期战争
[05:08] 那么所有军线都在上弯
[05:10] 时间拖得越久
[05:11] 我们知道
[05:12] 在2月1月份的时候
[05:14] 整体西德州原油价格
