[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 母子海峡封锁行动的船只
[00:32] 但是也释出一定程度的谈判讯号
[00:34] 市场上看起来还是以正面看待
[00:37] 标普牌指数昨天还上涨了1%
[00:39] 收复伊朗战争以来的所有师徒了
[00:42] 与此同时道琼指数大涨300点
[00:44] 纳斯达哥指数上涨1.2%
[00:46] 甚至在昨天费城半导体指数
[00:49] 创下历史新高了
[00:50] 所以这一次我们看
[00:52] 整体而言利空似乎有顿化的条件存在
[00:55] 川普虽然持续释出谈话
[00:58] 即将要切断伊朗的石油出口
[01:00] 加大施压
[01:01] 但是又一直释出和谈的讯号
[01:03] 延长停火等等
[01:04] 而且根据川普的说法
[01:06] 目前伊朗方面是致电给美国
[01:10] 希望非常能够达成协议
[01:12] 那当然市场到底买不买账
[01:14] 到底是不是由于川普的言论不重要
[01:16] 至少从资本市场来看
[01:18] 很明显大家正在反映战后格局了
[01:21] 油价因为供应链的风险上升而走高
[01:23] 但是涨势又因为谈判的可能性而受到压制
[01:26] 显示投资人还是在压住
[01:29] 事情是有点严重
[01:30] 但是最坏的情况不会发生
[01:32] 本质上这还是一场时间压力极高的博弈
[01:35] 因为两周的停火即将要到齐了
[01:37] 如果谈判没有任何的进展
[01:39] 或者至少谈判要有一个结果
[01:41] 就是会进行下一次谈判
[01:43] 那封锁行动很有可能就会摧毁停火基础
[01:46] 让冲突再度升级
[01:48] 当然另外一方面
[01:49] 市场上针对财报季的公布
[01:52] 高盛率先公布
[01:53] 由于预期的获利之后
[01:55] 大概一季度财报
[01:56] 各大产业表现都非常不错
[01:58] 这个时候就要聚焦回来看
[02:00] 到底美国股市
[02:01] 当前的市场氛围
[02:03] 是已经反应下一步了吗
[02:04] 还是整个中东战局的预期
[02:07] 至少跟期货和现货价格的比较
[02:10] 已经看得出来
[02:11] 市场反而从期货端
[02:12] 不像现货端这么恐慌
[02:14] 美国股市在昨天的投票
[02:16] 似乎已经暗示出了方向
[02:18] 相信我穿不愁吃穿
[02:21] 同志们收拾行李
[02:23] 可以把纸箱给丢了
[02:24] 按照费办昨天那种创高的长法
[02:27] 搞不好今天台股要准备创下历史新高了
[02:30] 所以很有意思的事情就是
[02:32] 这一波的谈判破灭
[02:34] 并没有引发全面性的恐慌
[02:36] 股市的跌幅相对有限
[02:38] 那投资人甚至把这次的封锁
[02:40] 视为谈判筹码
[02:41] 就是我封锁你是为了下一次的谈判
[02:44] 有更进一步的推升条件
[02:46] 也可以让我不必要登陆哈格岛
[02:48] 就能够掌握伊朗的经济动脉
[02:50] 藉由这样的一个方式
[02:52] 来获取下一轮的谈判
[02:53] 打是为了谈
[02:55] 谈是为了下一次的打起
[02:57] 那市场预估一季度的盈余年增幅
[02:59] 大概12%
[03:00] 已经成为了股票市场买盘的保底
[03:03] 另外一方面
[03:04] 资金也在进一步观望
[03:06] 如果冲突没有进一步的升起
[03:08] 反而有可能会有进一步
[03:09] 逢低布局的机会
[03:11] 那当然表面上现在看起来
[03:13] 股票市场就在高位持续震荡
[03:15] 其实只是波动率先降下来
[03:17] 风险也没有说完全消失
[03:19] 但油价还是维持在95到110美元左右
[03:22] 持续对于利率形成压力
[03:24] 而十年期的公债值利率
[03:26] 目前也在关键水位
[03:27] 如果一旦突破
[03:28] 代表的是利率预期
[03:29] 还是有可能会进一步的改变
[03:31] 更值得注意的是错位
[03:33] 就一边我们看到市场的通膨预期
[03:35] 比如说盈亏的平衡通膨
[03:38] 现在算压抑
[03:39] 代表投资人并没有完全反映
[03:41] 那种停滞性通膨的风险
[03:43] 但是另外一方面
[03:44] 实体通膨数据
[03:45] 我们昨天提到了
[03:46] 三月份的CPI
[03:48] 还有三月份的商品价格
[03:50] 已经开始回升
[03:51] 那这种落差
[03:51] 修正值或者说剪刀叉越拉越大
[03:55] 那迟早那个利率市场要反应
[03:57] 现在就怎么样
[03:57] 就算物价已经开始有点松动
[04:00] 油价都已经开始上涨了
[04:02] 市场还是预估公债殖利率不会完全喷出
[04:05] 连总会不会进入到暴利升息
[04:07] 这是一种大的预估
[04:08] 就比如说现在现货价格
[04:10] 非洲原油或者中东原油
[04:13] 已经飙到120 130了
[04:15] 期货价格在95到98
[04:17] 说明什么
[04:18] 说明从投资人角度来讲
[04:20] 他还预估未来几个季度以后
[04:22] 油价会回跌呢
[04:23] 所以在这样的一个效果底下
