[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 也没有传说中的第三支脚
[00:32] 费办的部分
[00:33] 则是持续创下历史新高
[00:35] 台股在昨天
[00:36] 也是创下历史新高了
[00:38] 道琼指数上涨317点
[00:40] 标普走深1.2%
[00:42] 现在如果只看标普的绝对点位
[00:45] 距离历史新高只剩下12点
[00:47] 单日波动很容易就创高了
[00:49] 纳斯达克指数上扬2%
[00:52] 而且已经连续第10个交易日收红了
[00:55] 这是2021年以来最长的连长记录
[00:58] 也写下2022年以来最强的十日涨幅
[01:01] 当然在这样的一个表现底下
[01:04] 似乎说明着即便大家都知道
[01:06] 美伊之间的谈判
[01:08] 很难在第二次或者第三次马上有结果
[01:11] 可是呢市场似乎已经完全反映了战后格局
[01:14] 或者说随着本季度财报开出来之后
[01:17] 那就代表着EPS被迫再度上调
[01:20] 那就等同于估值被迫持续下球
[01:23] 所以到底现在是追高买盘还是逢低买盘呢
[01:27] 你说股价涨那么高了
[01:29] 怎么会是逢低买盘
[01:29] 从机器角度而言
[01:31] 有一些股票还在往下滑
[01:34] 这一次连微软都硬了
[01:36] 所以这个是我们就要仔细观察一下
[01:38] 到底市场的买盘动能来自于哪里
[01:40] 刚才提到
[01:41] 台股在昨天也创下了六个纪录
[01:44] 第一个是加权指数创下历史新高
[01:46] 收在32,296点
[01:49] 第二是贵买指数收盘356点
[01:52] 历史新高
[01:53] 上市市值118兆历史新高
[01:56] 上柜市值9.6兆历史新高
[01:59] 上市怪合计128兆历史新高
[02:02] 台积电股价2055元历史新高
[02:05] 整体电子类股指数收盘2289点历史新高
[02:10] 台子期盘中来到36430点历史新高
[02:14] 全部都在创下历史新纪录
[02:16] 这说明内部的油资还是非常充沛的
[02:20] 现在按照价格推算
[02:22] 假设接下来就只剩下台积电在涨
[02:25] 其他都不涨
[02:26] 台积电只要达到它的代号目标价2330
[02:30] 台股就4万了
[02:32] 那看起来没有很困难
[02:33] 所以我们讲说
[02:34] 3月份这种外部性冲击
[02:36] 它是难得一见的
[02:38] 我们过往看到那种
[02:39] 一到两个季度的回调
[02:41] 通常都是基本面的松动
[02:43] 所造成的库存周期变化
[02:44] 但外部性冲击
[02:45] 像2020年新冠疫情
[02:47] 或者过去的日元套利平仓股灾
[02:50] 或者像是关税战
[02:52] 这种外部性冲击
[02:53] 通常时间线会稍微短一点
[02:55] 不过还是有一点太短了
[02:56] 过去来看也都是一到两个月
[02:58] 这一次时间线也不是拉得很长
[03:00] 那重点是台股这一波
[03:02] 并不是单纯的ETF散户在乐
[03:05] 而是全面的升温
[03:06] 甚至我们看到
[03:07] 在整个三月份的大户回流资金
[03:10] 就来得更为明显了
[03:11] 整个二六年一季度
[03:13] 五亿元以上的大户人数
[03:15] 年增幅超过33%
[03:17] 中石户更夸张的接近40%
[03:20] 散户反而还好
[03:21] 散户能进场都已经先进场了
[03:24] 成长幅度只有18%
[03:25] 代表市场资金的结构
[03:27] 正在大量的往中大型资金来做倾斜
[03:30] 就代表着大股票或者高价股
[03:33] 受到非常显著的资金带动
[03:35] 整个一季度是内资多点开花
[03:38] 所有人都进来了
[03:40] 大户也进来了
[03:41] 中时户也进来了
[03:42] 我看现在唯一没进来的
[03:44] 应该只剩下外资
[03:45] 外资还在想
[03:46] 我还没发力
[03:47] 所以现在是
[03:49] 不管之前税工员的散户
[03:51] 中时户还是大户
[03:53] 目前已经陆续收拾行囊
[03:55] 一早起来怎么公园没有人了
[03:57] 大家都回饭店睡觉了
[03:59] 当然与此同时
[04:00] 整个亚洲股市
[04:01] 是领先于这次美国股市优先创高的
[04:04] 亚洲市场是比较早就明显回补
[04:06] 伊朗战事所带来的跌幅
[04:08] 那投资人的情绪的确
[04:10] 在内资这种半导体行情的带动底下
[04:13] 的确它至少是实实在在的获利
[04:15] AI能不能赚钱不知道
[04:17] 但是AI现在的基建
[04:18] 搞得我们肯定性优先赚到钱
[04:20] 从结构上来看
[04:22] AI需求还是最大的主线
[04:24] 像三星这一次财报显示
[04:26] 获利暴增
[04:27] 基本上翻了一整倍
[04:29] 强化市场对半导体景气的信心
