[00:00] 投资片欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年4月17号礼拜五
[00:06] 早上8点31分
[00:08] 大家早上好我是雪婷浩
[00:09] 每天早上开会前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 虽然在昨天台积电法说公布之后
[00:16] 市场上似乎有一点利多尽出的味道
[00:19] 不过呢就美国股市本身而言
[00:22] 昨天还在创高
[00:24] 两大指数昨天都陆续创下利率新高
[00:27] 标普白指数涨了0.2%
[00:29] 纳斯达克指数涨了0.4%
[00:31] 所以在美国股市的带动底下
[00:34] 是否意味着外资仍然有回补台股的机会呢
[00:37] 毕竟内资都已经上车了
[00:39] 不管从散户中实户还是大户
[00:42] 本身不管是增加成交金额还是人数都在大幅上升
[00:46] 那外资的回补到现在为止
[00:48] 整体卖超还是有接近5000多亿
[00:50] 所以今年只要适度回补当时在年初的卖超
[00:54] 似乎就对于台股有显著的拉抬作用了
[00:57] 那今天我们回过头看
[00:59] 在昨天明明2026年第一季台积电缴出极为亮丽的成绩单
[01:04] 单季营收一兆1134亿
[01:07] 年增幅35%
[01:09] 但台积电AD却下挫了接近有3%
[01:12] 那要怎么解释呢
[01:13] 第一个很好理解
[01:14] 那因为台积电乖离拉的高嘛
[01:16] 当然会有这种利多市场卖压的讯号
[01:19] 与此同时
[01:20] 股价乖离拉的这么高
[01:22] 原本就会被视为当前华尔街
[01:25] 或者对于价值投资人一种调节的讯号
[01:28] 毕竟呢
[01:29] 现在其实还是有很多股票
[01:31] 今年以来是属于负报酬的
[01:32] 我们举例来说
[01:34] 从今年以来
[01:35] 台积电整体涨幅是高达13%
[01:37] Amazon涨幅10%
[01:39] Google
[01:39] 辉达
[01:40] Meta
[01:40] 涨幅大概4-5%
[01:42] 可是
[01:42] 苹果今年还跌2.8%
[01:45] 微软到现在为止还跌了11%
[01:47] 它都已经涨这么多了
[01:48] 特斯拉到今年为止也跌了11%
[01:51] 甚至我们把周期稍微拉长
[01:53] 从25年到现在为止
[01:55] 台积电涨幅是80%
[01:57] 是七巨头当中最高的
[01:59] 它甚至都不算七巨头
[02:01] 你把它加进去
[02:02] 顶多算美股超级吧
[02:03] 那它是领头羊嘛
[02:05] 所以啊
[02:05] 乖梨拉得越高
[02:06] 估值拉得越高
[02:07] 本来啊
[02:08] 在高位的震荡幅度就稍微大一点
[02:11] 那第二名Google涨幅有74%
[02:13] 辉达涨幅就少了一点
[02:15] 43%
[02:16] Amazon也不过涨13%
[02:18] Meta涨12%
[02:19] 苹果涨8%
[02:20] 特斯拉涨2%
[02:21] 微软
[02:22] 过去一整年报酬是0啊
[02:24] 所以我们才会跟投资朋友分享
[02:26] 其实现在七巨头当中
[02:28] 有很多钻石股可以减便宜
[02:31] 为什么
[02:31] 这一些七巨头
[02:33] 全部都是台积电的客户
[02:35] 对于这样的一个行情来做推升
[02:37] 基本上就意味着
[02:38] 市场上似乎有一点
[02:40] 寻找轮动补涨本益比偏低的讯号
[02:43] 对于台积电而言
[02:45] 当然可能会在高位有适度卖压
[02:47] 不过如果是从本益比EPS来看
[02:50] 似乎长期入境
[02:51] 大家就很明显了
[02:52] 这一次法收之后
[02:53] 各大投行陆续调高台积电的目标价
[02:56] 调高的原因是什么
[02:58] 是来自于本益比的预期提升
[03:00] 还是来自于今年被迫EPS又要调高了
[03:03] 所以导致基本面的拉抬底下
[03:05] 就算给你一个中性偏低的本益比
[03:08] 你的股价被迫也得往上涨
[03:10] 我们先回过头看
[03:11] 这一次台积电的显著拉动
[03:14] 是在财报之前做股价拉升
[03:16] 是带动新兴市场的连续三天上涨
[03:19] 所以今年台北股市仍然是全球相对亮丽的股市
[03:22] 在这样的一个效果底下
[03:24] 第一个值得观察的重点讯号
[03:26] 就是MFCI科技指数今年涨幅已经40%
[03:31] 台积电也不过涨幅13%
[03:32] 但是新兴市场今年在台股的带动
[03:35] 在韩国股市的带动底下
[03:36] 台北股市在昨天的股市市值甚至已经超过了英国
[03:41] 成为全球第七大市场
