[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这就代表着费半也连续第九个交易日创下历史新高了
[00:34] 而且已经连涨14天
[00:36] 这也是2014年以来的最长记录
[00:38] 换句话说
[00:39] 我们看到整个纳斯达克指数周线角度而言
[00:43] 本身这种高乖离
[00:44] 你看连续三周的高强度上涨
[00:47] 把过去接近六个月的跌幅全部给收敛
[00:51] 在这样效果底下
[00:52] 后续我们要观察的效果是本轮的乖离回调
[00:56] 毕竟现在高乖离
[00:57] 适度要稍微休息一下
[00:59] 后续会有什么样的新闻和讯息
[01:01] 再度的向上攻
[01:02] 毕竟中东战火的利空冲击
[01:05] 似乎越来越顿化了
[01:07] 我们知道就目前为止
[01:08] 美国持续封锁荷姆兹海峡
[01:11] 伊朗也选择封锁荷姆兹海峡
[01:13] 美国甚至扣留了伊朗的船只
[01:15] 那双方对于到底是否开始谈判
[01:18] 有明显的犹豫
[01:19] 因为到目前为止
[01:20] 泛斯甚至都还没有离开美国
[01:22] 那官方表示
[01:23] 本周当然是要进行第二轮会谈
[01:25] 还没有关门
[01:26] 但是似乎伊斯兰革命卫队的态度
[01:29] 跟伊朗政府的态度
[01:30] 看起来是不一致的
[01:32] 另外一方面
[01:33] 川普一方面说会派特使去谈
[01:35] 但同时又放话
[01:36] 如果谈不成
[01:37] 这一次就要全面打击伊朗的发电厂
[01:40] 看桥梁
[01:41] 态度是非常的强硬
[01:42] 和前几天说他要达成协议的说法
[01:45] 形成了强烈的反差
[01:47] 那伊朗呢也否认
[01:48] 同意要放弃核计划
[01:50] 或者交出农所有
[01:52] 战场也同步升级
[01:53] 现在呢原油价格再度回到
[01:55] 88到90美筒左右
[01:58] 随后呢
[01:59] 有引起进一波的恐慌情绪
[02:01] 不过V指数啊
[02:02] 它也不过是在长期低位之后啊
[02:06] 稍微跳高一下
[02:07] 到底停火破裂的风险
[02:09] 是不是特别高呢
[02:10] 我们过去提过
[02:11] 这种状态啊
[02:13] 当然是我们标准的
[02:15] 薛定格的荷姆兹海峡
[02:16] 就是到底现在市场有没有要谈啊
[02:19] 介于想谈和不想谈之间的
[02:21] 量子叠加状态了
[02:23] 取决于你的观察嘛
[02:24] 在我们观测之前
[02:26] 它同时处于开放和封锁的量子叠加态
[02:29] 那不幸的事情是
[02:31] 每一双方各自拥有一套不同的测量仪器
[02:35] 所以全世界现在变成了量子纠缠
[02:37] 到底开放没有
[02:38] 到底和谈没有
[02:39] 一方的开放瞬间决定了另外一方的封锁
[02:43] 所以物理学家会这样讲
[02:45] 你只要把整个海峡放到一个巨大的量子盒子当中
[02:48] 永远不要打开它就好了
[02:50] 所以其实根本原因就是
[02:52] 谈判的跟风海侠的不同人
[02:55] 对于美方而言
[02:56] 当然是要谈的
[02:57] 而对于伊朗而言
[02:59] 对于内阁来说
[03:00] 很明显是要谈的
[03:01] 可是对于革命卫队
[03:03] 到底是否同意
[03:04] 而革命卫队也拥有实权
[03:06] 这就形成了
[03:07] 双方谈判当中的冲突
[03:09] 有点类似政协会
[03:11] 我们知道你谈的
[03:12] 跟台湾政府是否会执行
[03:14] 不同人
[03:15] 所以这叫做
[03:16] 海森堡不确定性原理
[03:18] 在围观的量子世界当中
[03:20] 观察行为本身会直接干预
[03:23] 而且改变被观察系统的状态
[03:26] 导致你观测到的
[03:27] 并非原始的状态
[03:29] 所以我们说物理学很重要
[03:31] 要不然一般人
[03:31] 根本无法理解现在的实况
[03:33] 好险我没有读过物理
[03:34] 好不管怎么说
[03:35] 如果我们细看
[03:37] 根据Polymarket赌盘
[03:38] 当前市场认为
[03:40] 在4月底之前
[03:41] 达成永久和平协议的几率
[03:43] 仍然不高
[03:44] 大概仅仅只有24%
[03:46] 那如此悲观的讯息当中
[03:48] 美国股市还可以让废办持续创高
[03:50] 足以彰显着
[03:51] 那是否代表着
[03:52] 如果中东战士终有一天即将落幕
[03:55] 对于股市是否是更一个显著的提振效果呢
[03:59] 还是说大家会认为
[04:00] 那会不会利多尽出
[04:01] 至少从亚洲市场的反弹来看
[04:04] 正常来讲
[04:05] 其实美国股市
[04:06] 我们当然知道有通膨的压力冲击
[04:08] 可是全球在如今影响最大的
[04:10] 其实都是亚洲经济体
[04:12] 因为亚洲的能源有大幅的依赖
[04:14] 中东美国澳洲欧洲等天然气原油
[04:18] 那欧洲至少还有自己的北海原油
[04:21] 那我们看到东南亚部分国家
[04:23] 甚至还有产地的橡胶原物料
[04:25] 但是你看台日韩三国
[04:27] 基本很大程度取决于
[04:29] 全球的能源供给状况
[04:31] 那亚洲股市现在还在往上走
[04:33] 投资人现在从中东战事的短期波动
[04:36] 当中抽身之后
[04:37] 基本面和谈判前景
[04:39] 大幅度的进行亚洲市场系统蛋的回补
[04:42] 我们看这一次MSCI
[04:44] 亚太指数的上涨
[04:45] 新兴市场也已经跟美国股市一样
[04:48] 收复了伊朗战争以来的所有跌幅
[04:51] 那油价虽然还在高位
[04:53] 可是你看得出来
[04:54] 亚洲市场的回补效果特别显著
[04:56] 半导体族群带动了日本股市
[04:58] 台湾股市创下历史新高
[05:00] 南韩市场也在晶片股的带动底下
[05:03] 收复了跌幅
[05:04] 比如说台积电上调营收展望
[05:06] 三星这一季度的获利也大幅成长
[05:09] 都强化了AI的需求基本面
[05:11] 也就是在亚洲这些新兴市场经济当中
[05:15] 或者我们看到亚洲的半导体市场
[05:17] 本身而言
[05:18] 基本上它所产生的利多
[05:20] 已经冲消掉中东战火
[05:22] 可能带来的能源冲击
[05:24] 甚至台股在昨天
[05:26] ETF规模已经正式突破5兆台币
[05:29] 重点不是创新高
[05:31] 重点是成长速度又失控了
[05:34] 不到4月份居然增加了1.17兆
[05:37] 已经超越去年全年
[05:39] 现在才三个多月到4月
[05:42] 结果现在资金流到ETF的速度
[05:46] 已经超过了去年一整年
[05:47] 去年那个关税战
