[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 最长的连长记录
[00:31] 非半昨天涨幅也不小
[00:33] 有2.7%
[00:34] 而且连续10天创下历史新高
[00:37] 4月可以创下2000年来
[00:39] 最大的单月涨幅
[00:41] 假设接下来没有回跌的话
[00:42] 道成功与指数
[00:43] 在昨天也勉强上涨了340点
[00:46] 大家都在创高的与此同时
[00:48] 股价对于油价的反应
[00:51] 似乎还是有点脱钩
[00:52] 毕竟地缘政治
[00:53] 仍然在持续紧张当中
[00:55] 一直到目前为止
[00:56] 都已经礼拜四了
[00:58] 第二轮谈判迟迟没有上演
[01:00] 在川普延长美伊停火之后
[01:03] 和姆兹海峡没有重开
[01:04] 油价又重新站上了100美元
[01:06] 但是美国股市最近却因为财报的强劲
[01:09] 开始持续向上攻
[01:11] 好像中东战事已经完全消失一样
[01:13] 那在背后当然是一个比较不稳定的平衡
[01:17] 一边是能源市场在反映真实的风险
[01:19] 油价就是没回跌
[01:20] 供应受阻通膨压力的升温
[01:23] 另外一方面
[01:24] 股票市场是在交易未来
[01:25] 压AI压住企业的获利
[01:28] 压住冲突不会失控
[01:29] 一边紧一边松的状态
[01:31] 本质就是市场开始进入
[01:34] 反映未来的乐观景象
[01:36] 相信中东战事不会进一步的扩散
[01:39] 台股市场也是如此
[01:40] 台股似乎也得了不会跌的病
[01:43] 近期台股的涨幅跟费办有的一比
[01:47] 指数一度冲破到38000点
[01:50] 昨天说在37878点
[01:53] 4月份台股已经涨了6155点
[01:57] 每个月这样涨
[01:58] 年底就10万了
[01:59] 不只是超越去年全年涨幅
[02:02] 甚至直逼史上最强单月记录
[02:04] 我们以加权指数来看
[02:06] 已经连续多日盘中创下历史新高
[02:08] 关键推力来自于台积电领军
[02:11] 那现在权值股相互点火
[02:12] 联发科这段时间
[02:14] 不管是高价股千斤股
[02:16] 接近50档
[02:17] 市场的风险偏好
[02:19] 快速的涌入
[02:20] 其实我们很清楚知道
[02:21] 按照这种态势
[02:23] 那台股同板股越来越少了
[02:26] 大家都在往千金股来拉台
[02:28] 千金股有好处
[02:28] 就一般散户比较难直接进行参与
[02:31] 所以要拉就专门拉
[02:33] 快要进入到千金的
[02:34] 有这样的一个感觉
[02:35] 不过至少我们还是看得清楚
[02:37] 这一波对于台股的三大助力
[02:40] 第一个是基本面爆发
[02:41] 我们看到不管是三月份外销订单
[02:44] 还是三月份出口
[02:45] 全部创下历史新高
[02:46] 资金全面的涌入
[02:48] 以及地缘政治短暂的降温
[02:50] 让市场上有进一步的想象空间
[02:53] 当然短期内的节奏
[02:55] 有一种半规律化
[02:57] 就是好像大家已经摸透了
[02:59] 首先就是每一谈判传出破灭
[03:01] 破灭以后进去转空
[03:03] 又空
[03:04] 然后风向一转
[03:05] 又释出和谈讯号
[03:07] 空头回补
[03:08] 指数快速拉升
[03:09] 行情又跟上去
[03:10] 这套节奏就很标准的
[03:13] 风险事件负责制造下跌预期
[03:15] 现在下跌预期越来越短了
[03:17] 大家越来越想说
[03:19] 我是从小下大的
[03:21] 你已经下不倒我了
[03:22] 这种状态就变成跌幅有限
[03:24] 上涨无限的嘎公行情
[03:27] 我们过去讲到
[03:28] 现在插鞋筒赚得比所有人都多
[03:31] 他就从一万两千点
[03:32] 一路插到三万八千点
[03:34] 好那回过头来看
[03:35] 荷姆斯海峡
[03:36] 你说情势真的有淡化吗
[03:38] 其实并没有
[03:39] 目前中东局势又开始紧张了起来
