[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 台股是否能够追上废办的后路
[00:32] 持续挑战四万点大关呢
[00:35] 即便我们看到
[00:36] 现在美伊谈判已经陷入僵局
[00:38] 而且川普也下令
[00:39] 美军对于所有赫姆兹海峡
[00:41] 释放水雷的伊朗船只
[00:43] 进行直接性的致命打击
[00:45] 不过呢
[00:46] 市场几乎也并没有反映
[00:48] 太多的利空层面
[00:49] 毕竟从当前水准来看
[00:51] 更多人反映的是
[00:53] 当前的AI财报纪
[00:54] 中东战士恐怕僵持下去
[00:57] 大家也不会多在意
[00:58] 比如说我们以昨天美国军方在印度洋所登上一艘
[01:02] 载有伊朗石油超大邮轮
[01:04] 这一艘邮轮目前以正常邮轮航行名义来做运送
[01:10] 大概有220万桶的原油
[01:13] 结果发现它是用甲醛漆来掩护身份
[01:18] 这就使得美国直接进行登陆
[01:20] 然后把这场邮轮直接给扣留
[01:24] 所以这场封锁战的核心
[01:25] 我们要观察
[01:26] 美方不断地进行扩大施压
[01:29] 伊朗的反制也在持续当中
[01:31] 可是市场上却好像忽略了
[01:33] 中东战事说可能引发的通膨问题
[01:36] 所以最后还是要取决于油价
[01:38] 油价现在又重新站上
[01:40] 每桶100美元的关卡
[01:41] 如果持续往上拉升
[01:43] 市场的公债殖利率迟早要反应
[01:45] 但如果就维持在这个价位
[01:47] 看起来好像市场已经习以为常
[01:49] 相信原油价格会维持在这样的一个区间
[01:52] 事实上根据昨天
[01:54] 外媒的消息人士报道
[01:55] 伊朗国会议长卡利巴夫
[01:57] 这一次在革命卫队之间的高层揭露底下
[02:02] 双方的冲突开始加剧
[02:03] 在刚刚已经选择退出了代表团
[02:06] 这就意味着
[02:07] 就算美国不想打
[02:09] 伊朗现在也不给台阶下
[02:11] 准确来讲是革命卫队不想谈
[02:13] 现在连谈判代表都消失了
[02:16] 找不到人
[02:17] 所以在这样的一个效果底下
[02:19] 我们就要从两层角度
[02:20] 一个是油价不创高
[02:22] 它是奠定整个市场中东局势
[02:25] 和缓的一个重要观察指标
[02:26] 另外一大方面
[02:27] 那就看本轮的财报级表现为何了
[02:30] 道琼指数昨天是小跌179点
[02:32] 0.36%
[02:34] 所以49310点
[02:35] 标普下跌29点
[02:37] 0.41%
[02:39] 所以7108点
[02:40] 纳萨克指数下跌219点
[02:42] 0.89%
[02:44] 所以24438点
[02:46] 费办真的是非常惊人
[02:49] 上涨169点
[02:50] 1.71%
[02:52] 说在10,078点
[02:54] 费半居然已经连时起红了
[02:56] 这种高强度的上涨
[02:58] 之前一个季度几乎也没什么在动
[03:01] 突然之间就上万点了
[03:03] 费半1万
[03:04] 台股4万
[03:05] 我们看一下接下来台股的带动行情
[03:08] 不过呢
[03:09] 昨天软铁股的下杀是非常严重的
[03:11] 说明美国股市内部资金
[03:13] 正在经历大量的流窜或者说换手
[03:16] 台股在昨天也多杀多
[03:18] 看起来不像是换手
[03:20] 比较像是换股
[03:21] 那美股台股是否有这样的一个迹象
[03:23] 我们举例来说
[03:24] 在最近费办资金的流入量
[03:27] 相对于软体股资金的流入量
[03:29] 它还是处于一个极端现象
[03:31] 那背后逻辑很一致
[03:33] AI基础建设
[03:34] 目前的需求还是非常强劲
[03:36] 不管是资料中心
[03:37] 记忆体还是设备端
[03:39] 你像是订单和营收
[03:40] 看起来大部分预估
[03:42] 本次财报机公布以后都会增速
[03:44] 所以市场上开始相信
[03:46] 这也不是这一两年的带动
[03:48] 而是以一个长达4年到5年以上的结构性超级循环
[03:52] 相对之下
[03:53] 软体股所受到的承压就很大了
[03:55] 昨天又来一根大长黑
[03:57] 那原因也不是说产业很差
[03:59] 是说AI的商业模式的确正在调整起
[04:02] 到底AI会不会对于大多数软体业形成重大破坏
[04:06] 还是不确定性的
[04:07] 当然这种分化也透露着一些讯号
[04:10] 一方面半导体的长势
[04:12] 这阵子是真的有点集中了
[04:13] 技术指标已经来到历史少见的高档
[04:16] 那也很正常
[04:17] 连续17天
[04:19] 一个指数没有任何的下跌
[04:21] 短线筹码肯定是有点拥挤的
[04:23] 另外一方面
[04:25] 市场也开始出现
[04:26] 只看AI
[04:27] 尤其是只看硬体
[04:28] 不看其他的单一叙事
[04:30] 现在连消费
[04:31] 刚才讲到的软体
[04:33] 或者公用事业板块
[04:35] 能源板块
[04:36] 都被资金抽离
[04:37] 再加上中东地缘政治
[04:39] 利率和油价的牵挠
[04:41] 跨资产之间
[04:42] 已经出现了比较明显的背离
[04:44] 所以市场上
[04:45] 是否还能够坚持当前单边持续上攻
[04:49] 我们至少可以看得出来
[04:50] 大家的共识是有点脱节的
[04:52] 我们举例来说
[04:53] 现在从软体股的挤压行情来看
[04:56] 还在一个尝试的主体阶段
[04:58] 昨天又大跌了接近有3%
[05:00] 在IGV软体股板块层面
[05:03] 这种标准的挤压
[05:04] 就是它是由部位的错配
[05:06] 和资金追逐所造成的上涨
[05:08] 它基本上跟基本面
[05:09] 也没有太大的一个相关
[05:10] 主要就是因为位阶实在太低了
[05:13] 加上从2月3月
[05:14] 有没有观察到
[05:15] 本波的买盘量就在持续推升
[05:18] 所以是因为抄底的人太多了
[05:21] 所以暂时跌不下去
[05:22] 可是这跟基本面
[05:23] 有没有巨大的相关呢
[05:25] 这就不一定
[05:25] 但是至少我们的操作逻辑
[05:27] 大家也知道我们买ETF
[05:29] 我都买大型股巨多
[05:30] 我们算是钢中带楼
[05:33] 软硬通吃
[05:34] 有些人是以硬体为主
[05:36] 有些人软体为主
[05:37] 可是不管你是SOXX
[05:39] 还是QQ
[05:40] 不管是费办还是纳指
[05:41] 基本上只要大股票
[05:43] 绩效就是多和少的问题
[05:45] 但真正的重点在于
[05:46] 到底AI所带来的软体定价
[05:49] 是否会重新产生
[05:51] 这个就拭目以待
[05:52] 毕竟不是所有人都持有大股票
[05:55] 中小型股票
[05:56] 一样会有大量的资金参与行情
[05:58] 如果最后只是大股票的胜利
[06:00] 大股票跟中股票小股票的持续脱节
[06:04] 它肯定会影响到实体经济的概况
[06:07] 毕竟大多数的就业
[06:08] 仍然是由小型公司来做提供
[06:11] 我们举例来说
[06:11] 你把NDX
[06:12] 纳斯达克指数
[06:13] 因为在一个创高的过程
[06:15] 拿来跟IGV
[06:16] 软体型ETF
[06:18] 过去五年
[06:19] 基本都是高度联动的
[06:20] 结果在整个2025年下半年
[06:22] 就开始出现全面性的脱钩
[06:24] 那市场的核心
[06:26] 当然只剩下一件事
[06:27] 就是只有AI
[06:28] 只是AI会导致什么股票上涨
[06:30] 开始呈现脱节
[06:31] 市场呢
[06:32] 把AI定义成一个超级级别的
[06:34] 长期循环推动
[06:36] AI资料中心持续的领先
[06:38] 现在由于EPS陆续开出来之后
[06:40] 基期指标仍然在下滑
[06:42] 除了软体型ETF
[06:44] 的确前景预期EPS可能会产生衰退
[06:47] 但是其他目前都在持续上行当中
[06:50] 我们以特斯拉来举例
[06:51] 特斯拉在七巨头当中
[06:53] 股价表现过去两年也算是差劲的那种
[06:56] 昨天公布完财报
[06:57] 自由现金流回到正值
[06:59] 而且26年资本支出比原先预估多了50亿
[07:03] 来到250亿
[07:04] 还是重挫
[07:05] 跌了3.56%
[07:06] 这也说明着市场上
[07:08] 针对品牌端
[07:10] 还真的不一定有信心
[07:11] 但是针对硬体端
[07:13] 管你最后掏金槽
