[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是创下了历史性高价
[00:31] 从上礼拜涨幅来看
[00:33] 主要是大型科技巨头的回归
[00:35] 标普拜周涨幅
[00:37] 整体而言
[00:38] 大概也有0.6%
[00:40] 纳斯达克周涨幅有1.5%
[00:42] 费办
[00:43] 费办一个礼拜又涨了10%
[00:46] 所以如果以费办连续上涨记录来看
[00:49] 已经连续18天
[00:51] 等于三周以上的交易日
[00:53] 全面收红
[00:54] 这么高的强涨记录
[00:56] 到底它是意味着
[00:57] 高乖离必定要稍微休息修正
[01:00] 事实上连Michael Berry都选择针对费办开始做空
[01:04] 那到底是赌他有一个均值回调的空间
[01:07] 还是说现在的泡沫反而集中到了硬体股呢
[01:11] 今天来跟投资朋友做一些观察
[01:13] 事实上我们可以看得出来
[01:14] 在过去一段时间
[01:16] 整体美元指数又在缓步的走升
[01:18] 代表的是市场的避险情绪
[01:21] 其实开始有小幅回归
[01:22] 原因在于布兰特别优价格
[01:24] 又重新站上了107美元每桶
[01:27] 也就是地缘政治在没有完全消除的情况底下
[01:30] 大家对于全球利率仍然维持高档
[01:33] 仍然有预期
[01:34] 但是它并没有形成股票市场的下跌
[01:36] 反而造成AI的做多科技心理情绪持续发酵
[01:40] 我们以七巨头
[01:42] 占整个标普白指数的权重
[01:43] 会看得出来
[01:44] 三月份以来的涨幅
[01:46] 基本就是由科技全职股来做推动
[01:48] 像阿发贝
[01:49] Microsoft
[01:50] Amazon
[01:50] Meta
[01:51] 苹果
[01:51] 股价都在高强度的推升
[01:54] 但是呢
[01:54] 我们也要回过头说
[01:55] 标普白指数从3月份以来
[01:57] 上涨幅度已经来到10%
[02:00] 乖离又处于高位
[02:01] 与此同时
[02:02] 现在又是财报季
[02:04] 本周科技股正式开跑了
[02:06] 那是否意味着
[02:07] 有稍微利多进出的空间呢
[02:09] 不管怎么说
[02:10] 短线上看起来是真的很疯狂啦
[02:12] 你看台股的部分
[02:14] 台股在周四周五
[02:16] 一路的价格拉抬底下
[02:18] 夜盘礼拜五已经大涨544点
[02:21] 来到39766点了
[02:23] 4万大关在即啊
[02:25] 按照礼拜五那种废办的长法
[02:27] 礼拜五知道台积电ADR上涨多少吗
[02:30] 5.18%
[02:31] 如果是换算价格
[02:34] 直接以美元兑换的话
[02:35] 虽然这个ADR盘的溢价幅度就比较高了
[02:38] 那如果换算台币等于是2500了
[02:41] 那再加上我们也知道
[02:43] 上礼拜金管会无预警的放宽
[02:45] 国内股票型基金和主动型ETF的投资限制以后
[02:49] 基本上把整体基金净资产的10%
[02:52] 提升到25%
[02:53] 基本唯一百分之百受惠的就是台积电了
[02:56] 这种台积电条款
[02:58] 第一针对全球系统单的回补
[03:01] 现在全球新兴市场指数最大的成本股
[03:04] 已经是台积电了
[03:05] 而且台湾市场排行第一
[03:07] 代表的国际股市的回补
[03:08] 是观察的第一项指标
[03:10] 第二个就是台股的第四大法轮
[03:12] 散户目前完全没有要下车的迹象
[03:15] 大家开始逢高扣款了
[03:17] 第三件事情就是这一次的台积电条款
[03:20] 到底会引发多少投信的回补潮
[03:22] 会回补多久呢
[03:24] 值得大家多做一些留意
[03:25] 但毕竟这种涨法
[03:27] 废办连续18天都是红K
[03:30] 我连寿司店的工作都要辞掉了
[03:33] 连公元纸箱都可以直接丢掉了
[03:36] 下次直接买就好了
[03:37] 所以在这样的一个效果底下
[03:39] 我们要第一个观察的方向是
[03:40] 高盛最近所指出的叙事
[03:44] 其实蛮符合逻辑的
[03:45] 就是股市和现实的脱钩
[03:47] 因为伊朗谈判消息
[03:48] 现在还在持续的反复冲销
[03:51] 可是呢
[03:52] 半导体指数却是一路的上涨
[03:53] 这就说明着
[03:54] 能源现在还是很紧张
[03:56] 油价还在高档
[03:57] 利率还在高档
[03:59] 可是对于投资人来说
[04:00] 反正我的股票已经跑赢油价了
[04:03] 油价在涨有什么关系
[04:04] 反正我股市涨更多啊
[04:06] 这叫购买力尚未被侵蚀啊
[04:08] 但对于民间而言
[04:09] 体感压力就很大了
[04:10] 所以另外一方面
[04:11] 那股市可以被撑住啊
[04:13] 一方面当然是AI需求的持续强劲
[04:15] 企业财报现在表现亮丽
[04:17] 从晶片到记忆体
[04:19] 电力散热等基础设施
[04:21] 现在全面爆发
[04:22] GPU缺货这个可以理解
[04:24] 现在连CPU都开始缺货了
[04:26] 这种结构性的高乖离
[04:28] 顶多大家都认为
[04:29] 那就是逢高乖离的适度修正
[04:32] 但是不会影响到长期的多头结构
[04:34] 那的确我们回过头来说
[04:36] 这一次华福的晚宴枪击事件
[04:39] 也并没有影响到太多的市场情绪变化
[04:42] 嫌犯现在已经被拘留
[04:44] 而且送医评估
[04:45] 那川普看起来也非常健康
[04:47] 健谈的直接召开了记者会
[04:49] 而且进一步强调
[04:50] 我们必须马上新建白宫大型宴会厅的必要性
[04:54] 因为有场地的安全不足才会让风险发生
[04:57] 所以他建议让白宫能够加快速度
[05:01] 把他的大型宴会厅给盖好
[05:03] 这次是在西尔顿
[05:04] 好夹在这一次嫌犯不是伊朗人
[05:07] 但是至少市场的不确定性并没有因此淡化
[05:11] 但股市而言
[05:13] 避险情绪仍然没有想象中还来的高
[05:15] 从多头总统的角度来看的话
[05:18] 现在川普看起来
[05:20] 做满这四年不会有太大问题
[05:21] 身家压好压满
[05:23] 我们前阵子才观察到
[05:25] 川普即便已经要80岁了
[05:27] 可是整体身体状况
[05:29] 比大多数台湾的工程师还要好
[05:31] 从基本数据来看
[05:33] 血压12874
[05:34] 心跳每分钟62次
[05:36] 认知测验更是满分30分
[05:39] 说明他在记忆
[05:41] 他在专注
[05:41] 他在判断能力上
[05:42] 并没有明显的退化
[05:44] 连心脏和神经检查系统
[05:46] 也非常正常
[05:47] 进一步看他的代谢生活习惯
[05:49] 我们看他的坏胆固醇LDL偏低
[05:52] 好胆固醇HDL稍微偏高
[05:54] 但是呢
[05:54] 加上血糖和糖化血色素
[05:58] 控制良好的情况底下
[05:59] 其实他也没什么心血管的问题
[06:01] 即便他吃这么多麦当劳
[06:03] 但是我们要知道
[06:04] 川普长期实施一个原则
[06:07] 叫不抽烟不喝酒
[06:09] 他抽血加了
[06:10] 但他不抽烟
[06:11] 他基本也不喝酒
[06:13] 他宁愿喝可乐也不喝酒
[06:14] 搭配降胆固醇和预防性用药
[06:16] 这是从他哥哥的经验学来的
[06:18] 因为他哥哥酗酒
[06:19] 所以他一辈子都不碰酒
[06:20] 所以现在医师普遍认为
[06:23] 川普的神经和整体机能
[06:25] 因为优于大部分工程师
[06:28] 所以很有可能
[06:29] 这四年会很高强度的做完
