[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过肺瓣不强
[00:31] 标普白指数又创下历史新高了
[00:33] 纳斯达克指数也创下历史新高
[00:36] 事实上我们看到
[00:37] 随着行情持续的推演到现在
[00:39] 没有股市市场的资金涌入量
[00:42] 又开始进入到拥挤交易当中
[00:44] 我们看到大量成分股
[00:46] 目前采取适度的均值轮动
[00:49] 有比较高基期的硬体股
[00:51] 转往科技软体股
[00:52] 是不是在意味着
[00:54] 在本周的科技财报
[00:56] 似乎会释出好消息呢
[00:58] 如果我们现在回过头来看
[01:00] 标普白指数的整体回报
[01:02] 本来今年年初到三月中旬
[01:05] 最大跌幅是7.1%
[01:06] 主要是反映伊朗战事
[01:08] 那我们把它拿来跟2025年的关税战来进行交叠
[01:12] 其实整体跌幅相对于去年算很轻了
[01:15] 去年整体跌幅大概是15%
[01:18] 关税战的冲击
[01:19] 如果是从最高点
[01:20] 跌幅是快要接近两成
[01:21] 所以这一轮的跌幅其实相对来的轻
[01:23] 可是这一轮的本益比回调幅度
[01:26] 平均来看其实跟去年差不多
[01:28] 就代表着今年的基本面相对于2025年来得更为强劲
[01:33] 那现在整体标普派指数已经收涨到了5.1%
[01:37] 半导体目前是AI行情的核心标的
[01:40] 那这一波的上涨过去讲有点拥挤交易
[01:43] 有点从强势变成自我强化的过程
[01:46] 价格和市场预期的互相推升形成了抛物线行情
[01:50] 所以费半现在均值回亏
[01:52] 我们就看它到底是急跌回来
[01:54] 还是就在高位持续性的盘整
[01:57] 先把资金外溢到软体股身上
[01:59] 其实整体费办的估值不低
[02:01] 费办的估值现在是接近60倍的本益比
[02:04] 等同于市场正在压住
[02:06] 这些硬体股接下来有完美实现的机会
[02:09] 当然硬体股大家有信心
[02:11] 这可以理解
[02:11] 毕竟现在卖产值的的确正在大赚
[02:15] 而且预估到2028年之前
[02:16] 生意都不会变差
[02:18] 除非他的客户下修了资本支出
[02:21] 那更关键的是
[02:22] 这种上涨在过去一个月
[02:24] 它并不是慢慢走
[02:25] 它是越涨越快
[02:26] 所以技术指标本来就已经过热
[02:29] 那在这样的一个角度底下
[02:31] 最好的方式当然是直接反转
[02:33] 然后稍微尽力适度的回调
[02:35] 那投资人可能更希望的方式是
[02:38] 直接进入到盘整期间
[02:39] 这由软鸡股的带动来形成行情多头的延续
[02:43] 不过我们也必须承认
[02:45] 从SOX或者SOXX
[02:47] 最近的流入量实在是太大了
[02:50] 这种流入量这么大
[02:51] 可能光是减少个四分之一三分之一的流量
[02:54] 就足以让股价有适度的均值回归了
[02:57] 所以费办的部分
[02:58] 涨高了要开始进行修正
[03:00] 我们看一下本轮休息回调幅度会有多大
[03:03] 可是纳斯达克指数标普白指数的创高
[03:05] 就代表着资金仍然存在
[03:07] 只是大家开始寻找低基期标的了
[03:10] 其实从整个标普白指数当前的本益比
[03:13] 以及七巨头
[03:14] 剔除特斯拉之后的平均本益比
[03:17] 你不要看说四月份大家都在涨
[03:19] 其实弹幅即便这么快
[03:21] 目前的本益比
[03:22] 尤其7月头剔除比较高本益比的特斯拉以后
[03:25] 整体而言还是低于过去5年的平均值
[03:29] 包括Alphabet、微软、Amazon、Meta、苹果
[03:32] 现在陆续要公布业绩
[03:34] 然后它又是低本益比
[03:35] 那你说市场会不会有一点想象空间
[03:38] 从硬梯股的资金挪回来给这些客户呢
[03:41] 当然会有
[03:42] 所以如果我们细看
[03:43] 现在整体平均本益比大概在接近24倍左右
[03:46] 这个水位不能说比去年关税战还要来得低了
[03:50] 毕竟最近股价真的弹很多
[03:51] 可是差不多是去年3月份或者5月份的水准
[03:55] 远远低于去年10月份当时AI永动机的高点
[03:59] 你说就算去年AI永动机的高点
[04:02] 好像在历史均值也不是特别高
[04:04] 没错
[04:05] 所以我们才讲说
[04:06] 七巨头其实现在获利回流的速度是非常快的
[04:10] 那我们现在唯一要处理的问题是两项
[04:12] 一个是硬体股和软体股之间的资金轮动是否会发酵
[04:16] 另外一方面
[04:17] 下半年由于大家都在缺钱
[04:19] IPO
[04:20] 大家都快要忘了
[04:22] SpecX要IPO了
[04:23] 下半年Anthropic
[04:25] OpenAI都有可能持续推动
[04:27] 这就代表着
[04:28] 下半年大家都在抢钱
[04:30] 现在很明显
[04:31] 不只是台股油资多
[04:32] 美股大家都决定存来投资
[04:34] 美国的IPO金额
[04:36] 我们可以观察数据图表
[04:38] 2022年当时是因为高利率的原因
[04:41] 几乎崩盘
[04:42] 2025年稍微回温380亿
[04:45] 可是到2026年
[04:46] 你看金额有多少
[04:47] 1600亿
[04:49] 这个是历史新高
[04:51] 瞬间IPO市场全面回归
[04:53] 现在利率也没有多便宜
[04:55] 所以我们看的IPO市场
[04:57] 已经从过去的防御模式
[04:58] 转向成长叙事
[05:00] 现在的问题在于
[05:01] 今年到现在
[05:02] 也不过目了100
[05:04] 应该讲可能只有140亿到150亿左右
[05:07] 你后面的金额是1600亿
[05:10] 所以下半年是抢钱大作战
[05:13] 市场上能否有这么大的资金的未纳量
[05:17] 可以让资产价格在次级市场一边上涨
[05:20] 另外一方面
[05:21] 又能够让IPO市场有足够的资金的吸取量呢
[05:25] 这是大家观察的重点
[05:26] 所以我们回过头说
[05:27] 今天这两天台股其实也非常有意思
[05:30] 我们知道一边指数被台积电硬生生拉上了4万点
[05:34] 气势如虹
[05:35] 但是千档个股下跌
[05:37] 这说明的市场开始分歧
[05:38] 那代表的也不是那种传统的全面性多头
[05:42] 它是资金集中在少数AI全职股的一个人的武林
[05:46] 那资金接下去哪里呢
[05:47] 是散户吗
[05:48] 是外资吗
[05:49] 还是产品本身呢
[05:50] 我们知道主动型ETF
[05:52] 变成新的资金的收割机
[05:54] 把选股能力给商品化
[05:56] 吸走了市场资金
[05:57] 现在呢
[05:57] 反而反过来去决定
[05:59] 哪些股票会涨
[06:00] 台股的逻辑跟美股
[06:01] 是不是也是一样
[06:02] 开始有了一些
[06:03] 拥挤交易的现象呢
[06:06] 同时政策面也开始转向
[06:07] 我们知道金管会
[06:08] 最近五件联发
[06:09] 从松绑法规
[06:11] 到打造亚洲资产管理中心
[06:13] 把金融业变成单纯赚利差的工具
[06:16] 升级成国家产业引擎
[06:18] 这些数据会如何影响到
[06:20] 现在台股和美股的表现呢
[06:22] 今天来跟投资朋友多多一些观察
[06:24] 首先我们回过头看
[06:26] 昨天台股在台积电的带动底下
[06:29] 正式冲上了4万点
[06:30] 盘中冲高到40194点
[06:33] 创下历史新高
[06:34] 但结构没有说到特别健康
[06:37] 因为全市场有1300只股票下跌
[06:40] 这是标准一个人的武林
[06:41] 而且尾盘更出现了600亿元的卖压
[06:44] 指数被快速压回
[06:45] 所以最终是上涨684点
[06:48] 收在39616点
[06:50] 日K收黑
[06:50] 留下超过600点的缺口
[06:53] 那我们也知道
[06:54] 台股现在也不是慢慢涨
[06:56] 它其实过去一个月也算是加速段
[06:58] 从2月底当时突破前高35579点以后
[07:02] 4月中就开始连续10个交易日的创新高
[07:05] 从36000一路推波到40000点
[07:09] 等于短短两周
[07:10] 完成一段典型的资金拥挤行情
[07:13] 那今年已经第三十一次
[07:15] 台股创下历史新高
[07:16] 频率明显有点异常了
[07:18] 这通常也不是单纯
[07:19] 基本面的线性成长可以解释的
[07:21] 它是资金情绪
[07:23] 和情绪权值股的共振结果
[07:25] 那在盘面的结构
[07:27] 这种分类情况底下
[07:28] 市场上至少从
[07:30] 多数ETF参与者的角度而言
[07:32] 基本上也很难亏到钱
[07:34] 我们讲说台湾现在只剩下两种人
[07:35] 一种就是乡民
[07:38] 每天当然会抱怨说
[07:41] 这个极化的现象赚不到钱
[07:43] 水深火热的生活
[07:44] 另外一种是股民
[07:46] 每天想要股票不要卖
[07:48] 但是又担心赚太少
[07:51] 想说要不要卖呢
[07:52] 这也是水深火热
[07:53] 所以现在我们看
[07:54] 由于这种全持股的大涨
[07:56] 使得大多数的长期存股族ETF参与者
[07:59] 普遍是受惠的
[08:01] 当然最根本在短线的原因是
[08:03] 尽管会放宽单一持股上线之后台积电已经成为了全市场唯一的售货标的法轮目前预估的资金流入规模大概是1500亿到2000亿可是从上礼拜公布这项消息以后
[08:16] 你会发现大部队资金其实还没有真正进场
[08:19] 目前投信持股比例
[08:21] 已经先行拉高到历史新高3.11%
[08:24] 但是整体而言
[08:26] 其实流入量比例仍然并不高
[08:29] 这说明什么
[08:29] 市场是用预期在交易
[08:31] 就是现在在抢台积电的
[08:33] 看起来投信也没有买多少
[08:35] 是散户先抢了
[08:37] 我预判你的预判
[08:38] 我知道投信会抢
[08:40] 他应该会急着要买台积电
[08:41] 我先把台积电买起来
[08:43] 到时候抛给你投信
[08:44] 所以这笔钱
[08:45] 对投信来说
[08:46] 也不会一次进来
[08:47] 很多投信目前还卡在契约的修改
[08:50] 还有董事会的通过
[08:51] 还要报主管机关等流程
[08:53] 至少要一个月到三个月的时间
[08:56] 所以我们现在看到的
[08:57] 买台积电是谁
[08:58] 先投部队
[08:59] 散户
[09:00] 反正我知道你会接
[09:01] 你肯定也要买的
[09:03] 我先把所有单子买下来
[09:04] 跟前阵子的ETF之乱有点像
[09:07] 更重要的事情是
[09:08] 即便上线开到25%
[09:10] 也不代表所有基金都会直接买满
[09:12] 经理人还是要考虑
[09:13] 散户已经进场的成本和进场节奏
[09:16] 尤其台积电虽然交易量大
[09:18] 但如果一口气追价
[09:20] 反而可能把自己的绩效给压缩
[09:22] 所以这一波行情本质是正确打开了天花板
[09:25] 但真正的资金推升
[09:26] 恐怕是要慢慢推出来的
[09:28] 它不可能一天喷完
[09:30] 但是至少我们可以承认
[09:32] 这种散户的预期交易
[09:34] 几档行情
[09:34] 让本身台积电比重比较高的ETF
[09:37] 直接受惠
[09:38] 现在ETF全重最高的
[09:41] 在台积电里头
[09:41] 第一个就是0052
[09:43] 富邦科技
[09:44] 再来就是0060、8050
[09:45] 所以基本上我们知道
[09:47] 本身而言
[09:49] 既有这种各股单一持股上限的放松
[09:53] 它反而更有利于长期投资者
[09:55] 尤其是全职股
[09:56] 我们讲全职ETF
[09:58] 大盘ETF的投资者
[09:59] 好那回过头来看
[10:01] 所以这就解释了
[10:02] 为什么昨天外资卖超了500亿
[10:04] 但是台股却还是被台积电
[10:06] 一路拉上4万点
[10:07] 背后结构说明着
[10:09] 现在行情都还不能够
[10:11] 完全算是外资行情
[10:12] 而是内资主导
[10:13] 从数据来看
[10:14] 投信单日买超超过了百亿
[10:17] 加上部分自营商的避险操作
[10:19] 真正撑住排面的
[10:20] 基本就是本土资金在昨天
[10:22] 所以它算是一个
[10:24] 极度集中型的消息性的释放
[10:27] 那当然了
[10:27] 外资买买买买了
[10:29] 加减起来
[10:29] 卖了500亿
[10:30] 也比较特别多
[10:31] 可是这种行情
[10:32] 至少还是看得出来
[10:33] 那一只当前仍然是主导行情的角色
[10:36] 我们从20年到26年
[10:38] 除了2023年外资曾经买超以外
[10:41] 7年时间有6年都在卖超
[10:43] 但是台股却从8000点
[10:44] 一路涨到4万点
[10:46] 也不过7年的时间
[10:48] 台股翻了5倍
[10:49] 8000点到4万点
[10:51] 完全靠那一只堆积起来
[10:53] 这叫什么
[10:54] 扶鸡灭羊
[10:55] 扶住台积电
[10:57] 把羊人赶出去
[10:59] 你看这种土羊对肉的情形
[11:01] 其实已经维持好几年了
[11:02] 3月3万点
