[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 指数的规划遭受到重大影响
[00:31] 如果卖产值的这些客户们
[00:35] 或者说卖产值的这些企业
[00:37] 他们的客户们没有挖到金矿的话
[00:39] 那么对于产值而言
[00:41] 到底是否能够一路做下去生意呢
[00:43] 使得费办在高乖离区间终于开始回落
[00:46] 昨天费办跌幅蛮大的
[00:48] 整体平均跌幅有3.5%
[00:50] 标普500指数小幅回落0.5%
[00:53] 纳斯达克指数收黑0.9%
[00:55] 那这一次华尔街日报的报道
[00:57] 是描述OpenAI在IPO之前
[00:59] 部分营收和用户成长目标
[01:02] 并没有达成
[01:03] 也引发投资人
[01:04] 针对人工智能投资的热潮
[01:06] 是否有过度扩张的疑虑
[01:08] AI泡沫论现在又开始了
[01:10] 在这样的一个效果底下
[01:12] 会如何影响到
[01:13] 持续性的AI行情
[01:15] 还有本周即将开跑的
[01:17] 科技股财报周呢
[01:18] 今天来跟投资朋友
[01:20] 多做一些观察
[01:21] 对
[01:21] 才叠多少你就要睡公园
[01:24] 这种叠法
[01:25] 废办怪力拉得这么高
[01:27] 至少要叠到周末
[01:28] 我们才要回去
[01:29] 对
[01:30] 所以我先把那个
[01:31] 寿司店的离职单
[01:33] 先拿回来再说
[01:34] 现在先去敞刊就好
[01:36] 这两天会变天
[01:37] 所以要多带一点衣服
[01:38] 可是你要知道
[01:39] 本来费办的乖离
[01:41] 就拉得非常高
[01:42] 全球股市
[01:43] 现在就在历史高点附近震荡
[01:45] 所以很有可能
[01:47] 只是在科技巨头
[01:48] 财报公布之前
[01:49] 市场的转手
[01:51] 筹码意愿的转换
[01:52] 其实投资人
[01:53] 你仔细回过头思考
[01:55] 四月波这一波涨势
[01:56] 能不能每个月都这样上涨
[01:58] 又并没有什么AI重大的生产力突破
[02:01] 它更多的反应是
[02:02] 三月份的系统性冲击
[02:04] 空单的回补
[02:06] 嘎空的力道
[02:07] 最后导致的结果
[02:08] 可是另外一方面
[02:09] 伊朗战争现在结束了吗
[02:11] 荷姆兹海峡还是半封锁情况
[02:13] 原油价格还是偏高
[02:15] 通膨压力还是很大
[02:17] 所以只能说
[02:18] 短期内市场的资金流入速度过快
[02:20] 市场的吹捧意愿过强
[02:22] 整个四月份的股价拉抬水准
[02:24] 从单月份涨幅来看
