[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 上涨0.7%
[00:31] 纳指上涨1.2%
[00:33] 费办上涨2%
[00:34] 三大指数已经连续第二个交易日
[00:36] 强烈反弹
[00:37] 那当然川普这一次在周三发文宣称
[00:41] 伊朗的新总统请求停火
[00:43] 那接下来在台北时间半小时之后
[00:46] 早上9点钟
[00:47] 川普就要进行公开的谈话
[00:50] 那未来针对伊朗战事和美国后续的策略
[00:54] 我们半小时之后就知晓了
[00:56] 不过呢至少从资产价格的反应来看
[00:58] 第一波首先现在看起来更像是空头回补了
[01:02] 也不能说是情绪的全面回归
[01:04] 因为整体其实伊朗战事并没有释出一个非常明显和谈的讯号
[01:09] 只是由于川普单方面宣布美军可能在未来几周逐步撤仓
[01:15] 所以很大程度的上涨来自于原本过度悲观的部位开始进行回补
[01:19] 而并不是战争真的已经完全解决
[01:22] 那更关键的事情是即便停火了
[01:25] 能源供应的恢复它也要时间
[01:27] 我们过去说最担心的事情
[01:29] 其实已经发生了
[01:31] 那就是原油的运输问题
[01:33] 已经转成减产问题了
[01:35] 如果只是油运不出来
[01:36] 那有一天油一定运得出来
[01:38] 可是问题在于
[01:39] 由于关键基础
[01:41] 原物料设施被破坏了
[01:43] 卡达的天然气厂已经被破坏了
[01:45] 它可能就被迫要进行
[01:47] 两年到三年的减产
[01:48] 来进行修复
[01:49] 在这样的一个状态底下
[01:51] 油价仍然是全球惊奇观察的重点
[01:54] 那股价是弹了
[01:55] 可是油价你说真的有跌很重吗
[01:57] 目前大概还守在90到100美元每桶
[02:01] 这也就说明着
[02:02] 这一波市场上其实更为关注的是
[02:05] 市场针对大宗资产价格的通膨压力
[02:08] 是否能够在短时间内快速的解除
[02:11] 那川普已经明确表态了
[02:12] 两到三周内
[02:14] 目前是希望能够结束对于伊朗的军事行动
[02:17] 甚至他认为
[02:18] 那就算美伊之间没有协议
[02:21] 他也可能会考虑撤出
[02:22] 显示白宫对于这场战争的耐心正在快速下滑
[02:26] 那这场转变的背后啊
[02:28] 很明显就是布兰特原油的飙升
[02:30] 美国汽油价格现在已经重回到美加仑4美元
[02:33] 柴油价格是5.5美元
[02:35] 这直接冲击了美国的民生和企业成本
[02:38] 当然了这个政策讯号还是很混乱的
[02:41] 一方面虽然川普这样讲
[02:43] 可是到目前为止
[02:44] 美方针对中东的征兵仍然没有取消
[02:47] 而且还是不完全排除地面行动
[02:50] 那另外一方面
[02:51] 卢比欧释出的谈判可能性
[02:54] 那伊朗总统也表示愿意停战
[02:56] 可是按照伊朗革命卫队的说法
[02:58] 双方并没有做进一步的商议
[03:00] 这就说明着
[03:01] 真正有实权的革命卫队
[03:04] 似乎完全没有跟川普搭上线的感觉
[03:07] 这件事情也就意味着
[03:09] 双方仍然存在着相当大的歧见
[03:11] 刚才有网友留言
