[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 看起来脸书Meta财报并没有符市场预期的
[00:33] 在资本支出可控的情况底下
[00:35] 有进一步的拉升条件
[00:37] 不过多数企业来看
[00:39] 至少资本支出都在调升
[00:41] 这也就意味着对于费办
[00:43] 对于台股
[00:43] 对于这些硬体股而言
[00:45] 订单的加成
[00:46] 至少卖产值的企业
[00:48] 看起来今年是不愁没有生意了
[00:50] 与此同时
[00:51] 全球也正在进入到超级央行中
[00:54] 这一次继日本和加拿大央行
[00:56] 相继维持利率不变之后
[00:58] 联准会在周三
[01:00] 在联邦资金利率
[01:01] 维持3.5到3.75%
[01:04] 不变的情况底下
[01:05] 这一次大家更为关注的
[01:07] 是鲍尔终于卸任了
[01:09] 鲍尔交棒给沃许以后
[01:12] 到底联准会还能否
[01:13] 抑制住当前的通膨压力呢
[01:15] 毕竟美国参议院在昨天
[01:17] 也刚刚以13比11的表决
[01:19] 正式通过了沃许
[01:21] 出任联准会主席的提名
[01:23] 过程当中
[01:24] 党派的立场分歧很明显
[01:25] 而且联准会现在内部
[01:27] 针对点证图的投票预期
[01:29] 也形成极大的落差
[01:31] 那是否意味着
[01:32] 联总会即将分裂呢
[01:34] 鲍尔虽然卸任了主席
[01:35] 不过他已经明说了
[01:37] 他要继续担任理事
[01:38] 那就代表着
[01:39] 他可以开始针对利率政策
[01:41] 各种议题发表谈话
[01:43] 鲍尔会不会报复呢
[01:45] 昨天本来想说最后一次FOMC
[01:47] 利率决策会议
[01:48] 想说待会记者会
[01:50] 因为他每次开头
[01:51] 不是通常第一句是讲
[01:53] Good morning
[01:53] 应该讲Good afternoon
[01:55] 因为都下午了或晚上了
[01:57] 我在想说他会不会讲goodbye
[01:58] 结果他还是讲good afternoon
[02:00] 至少不是讲good luck
[02:02] 但是至少可以看到
[02:03] 全球在国际股市当中
[02:06] 唯二能够直接撼动市场的两个男人
[02:09] 一个就是现在当总统的
[02:11] 另外一个就是过去的联总会主席
[02:13] 好那这一次鲍威尔
[02:15] 基本上在卸任主席前
[02:16] 也丢出了算是震撼弹
[02:18] 按照过去惯例
[02:20] 通常联总会主席卸任以后
[02:22] 理事的职位自然而然就会跟着辞掉
[02:25] 但他并没有因此离开
[02:26] 他反而表明自己希望留在联准会
[02:29] 继续担任理事
[02:31] 也就是参与接下来的投票
[02:33] 等同于直接延长了川普政府的对抗战线
[02:36] 他还同时罕见的公开批评
[02:38] 白宫对央行发动了法律攻击战
[02:42] 现在因为要卸任了
[02:43] 跳楼大拍卖
[02:44] 直接硬刚了
[02:45] 甚至直言联准会的独立性目前处于风险之中
[02:49] 所以他有必要继续留下来
[02:51] 这是他为自己留下来的解释
[02:52] 更关键的事情是
[02:54] 他认为这场冲突已经开始影响到货币政策本身
[02:57] 联准会连续第三次维持利率不变
[03:00] 现在已经出现了四位官员的反对
[03:02] 就代表着川普派系和联准会内部的学术官员
[03:06] 甚至有过去民主党所提名的联准会理事
[03:10] 正在形成高度对立
[03:12] 那接下来或许接任主席以后
[03:14] 看起来政策方向还是充满着极高的不确定性
[03:18] 至少对于短期内快速降息的共识
[03:20] 大家都在瓦解当中
[03:22] 原因就来自于
[03:23] 目前通膨并没有持续性的下滑
[03:26] 油价又涨起来了
[03:27] 我们先看分歧的部分
[03:29] 这一次最值得特别留意的
[03:31] 就是内部的分歧
[03:32] 联邦公开市场委员会
[03:33] 有出现了四张的反对票
[03:35] 这是创下了1992年以来的最高记录
[03:39] 其中三位地区的联总会银行总裁
[03:42] 哈马克 卡什什里 还有罗根
[03:44] 其实也不反对维持当前利率
[03:47] 但他们反对那个声明的语气
[03:49] 他们认为声明当中提到
[03:51] 未来可能调整利率
[03:52] 这种说法实在是太偏向宽松了
[03:54] 可能会让市场误以为降息快来了
[03:57] 那唯一具体很反对
[03:59] 希望快速降息的
[04:01] 当然就是米兰嘛
[04:02] 就是川普之前派进去的那个理事
[04:04] 他主张我们应该要立即马上right now
[04:07] 现在赶快降息一码
[04:08] 这也代表着双方的共识
[04:10] 看起来是极度分歧的
[04:12] 当然根本压力是什么
[04:14] 我们当然可以了解联准会市场
[04:16] 现在给予的压力
[04:18] 就来自于布兰特油价格
[04:19] 昨天又攀升了6.08%
[04:22] 每桶从高到118了
[04:24] 过去的希望是不要突破例子新高
[04:27] 但这种急涨
[04:28] 看起来又有点通膨蠢蠢欲动
[04:31] 这是创下22年6月份以来的新高
[04:33] 这种高速价格的拉升
[04:35] 对于通膨的外溢效果
[04:36] 很快就会出去
[04:37] 3月份没有回来
[04:39] 现在都4月30号了
[04:41] 那不等同于连续两个月
[04:43] 原油价格都在高位
[04:45] 很难不对于农粮价格
[04:47] 或者其他产品形成外溢效果
[04:49] 其实在过去一个月当中
[04:51] 虽然原油价格涨幅已经不像三月份这么夸张了
[04:54] 可是总体而言
[04:55] 像西德州原油价格
[04:57] 从过去一个月涨幅来看还是高达5到6%
[05:00] 而且已经形成部分外溢效果
[05:02] 像现在涨最多的是棉花价格
[05:04] 在过去一个月涨幅有12.84%
[05:07] 这种棉花价格的上涨
[05:09] 迟早会影响到聚酯纤维
[05:10] 更不用讲聚酯纤维的上涨
[05:13] 现在也是由石油的石脑油缺乏带货
[05:16] 原材料等等冲击
[05:17] 所以导致服饰成本很有可能会因此
[05:21] 上升
[05:21] 那我们再看到铜价和镍价
[05:23] 整体上涨幅度有8%和11%
[05:26] 可可价格上涨了7.9%
[05:28] 汽油涨了7.5%
[05:30] 活牛涨了7.2%
[05:31] 其他像是橡胶小麦或者瘦猪
[05:34] 那肥猪呢
[05:35] 不重要
[05:36] 肥牛的部分也涨了3.1%
[05:39] 这些一系列的通膨外溢传导效果
[05:41] 都是联准会被迫要维持在当前
[05:43] 利率的根本原因
[05:44] 那你说为什么不快速降息呢
[05:47] 就业市场不是过去一直以来
[05:49] 看起来都在缓步的下滑吗
[05:51] 没错
[05:51] 就业市场表现并不好
[05:53] 但是呢
[05:54] 相对于目前通膨的紧急危机
[05:56] 连准会选择了适度的定调
[05:58] 我知道就业市场没有很好了
[06:00] 如果没有这次中东危机
[06:01] 我们过去提过
[06:02] 其实早该降息
[06:03] 而且应该缓降息
[06:05] 可是呢
[06:06] 现在由于通膨的高位
[06:07] 再加上就业市场的软化
[06:09] 相对比较起来看
[06:11] 就业市场的恶化
[06:13] 就不像是通膨来得这么严重
[06:14] 所以呢
[06:15] 经济虽然进入到测试期
[06:17] 就业市场正在转落
[06:18] 我们看过去一整年
[06:19] 美国就业市场
[06:20] 其实主要是靠医疗产业
[06:22] 撑住了当前的非农就业增长
[06:24] 可是呢
[06:26] 如果你把多数月份的医疗业给剔除掉
[06:29] 新增的就业其实很明显转弱
[06:31] 所以在这样效果底下
[06:33] 等同于现在联总会在卧许的接任底下
[06:37] 其实也形成极大压力
[06:39] 因为就业市场其实已经暗示你
[06:41] 至少要还降息了
[06:42] 那现在的高通膨又意味着你
[06:45] 不能有任何降息的空间
[06:46] 当然是不是可以完全
[06:48] 撇除掉过去的旧有思维
[06:50] 在就业和通膨当中取舍
[06:52] 我许之前提过
[06:53] 这种外部性的供给冲击
[06:55] 油价一次调整到位
[06:57] 以后我们就接受
[06:58] 油价就是100块
[06:59] 一次调整到位
[07:00] 那反映过去20年
[07:02] 没有涨到的油价
[07:03] 那是不是就解决这个问题了
[07:06] 继续降我的息
[07:07] 那油价我们只要保持在
[07:09] 110到120就好了
[07:10] 这是一种说法
[07:11] 可是它始终会形成
[07:13] 市场的持续性压力
[07:14] 我们看最新公布的密西根大学消费者信心指数破底了
[07:19] 这个底不只是破了2022年乌鲁战事的低点
[07:22] 2020年新冠疫情的低点
[07:26] 还有2011年欧债危机的低点
[07:28] 它甚至连2008年金融海啸的低点都已经跌破
[07:33] 这说明这种高利率对于购买力的侵蚀
[07:36] 它的冲击甚至比金融海啸还要来得更为严重
[07:39] 根本原因其实就来自于汽油价格很实质的反映在民间的消费身上
[07:44] 所以按照市场的定价来看
[07:46] 我们从FedWatch
[07:47] 可能一路到2027年
[07:49] 利率都会维持在高档一段时间
[07:52] 那当然没有中东问题
[07:54] 我觉得早就该降息了
[07:55] 可是这场中东问题
[07:57] 让通膨外溢出去以后
[07:59] 你说通膨油价三月上涨
[08:01] 四月回跌五月回跌
[08:02] 那后来回在七八十块
[08:04] 稍微高一点
[08:05] 这可以接受
[08:06] 可是油价它就连续两个月
[08:08] 都保持在一百多块
[08:10] 那通膨迟早外溢的
[08:11] 所以它一定会形成
[08:13] 势必有一些通膨降过去
[08:15] 它不见得像1970年1980年那么严重
[08:17] 可是它就卡在那边了
[08:19] 所以联准会就被迫要释放这样的一个论调
[08:22] 我们过去所提过
[08:23] 这个著名的财经作家惠伦他就提过
[08:26] 央行的决策就像是在开一台油门和刹车同时可能会有延迟发挥效果的汽车这汽车代表的是经济情况油门代表的是低利率的宽松那刹车代表是紧缩
[08:40] 那当你认为车速过快
[08:42] 你决定要踩下刹车的时候
[08:43] 有时候马上就能够发挥作用
[08:45] 但有时候你可能还要再开几公里
[08:47] 你才会发现怎么慢慢开始减速了
[08:49] 当你遇到上坡
[08:50] 你想要踩油门的时候
[08:51] 可能会发现十几分钟前踩的刹车
[08:54] 这个时候突然发生作用了
[08:55] 阻碍你前进的动力
[08:57] 所以我们才可以了解说
[08:58] 联总会很尴尬
[08:59] 那不如什么都不要动
[09:00] 不要释放偏向紧缩
[09:02] 或者偏向宽松的论调
[09:04] 偏紧缩就业市场已经很惨了
[09:06] 开始有部分的科技业才圆潮了
[09:08] 但是呢
[09:09] 你说要开始采取进一步的宽松
[09:11] 这种高通棚一不小心
[09:13] 可能就会2022年重演
[09:15] 而且呢
[09:16] 与此同时副驾驶座
[09:17] 也坐着一个川普
[09:18] 他也可以控制经济的油门和刹车
[09:20] 他可以负责财政政策的支出
[09:22] 他可以透过减税
[09:23] 或者增加公共建设来活络经济
[09:25] 那央行和财政官员之间
[09:28] 这个驾驶跟副驾
[09:30] 他们很有可能
[09:31] 有相互冲突的目标和任务
[09:33] 或者彼此对于景气
[09:35] 是否过热的看法不同
[09:36] 也有可能央行刚想要提升利率
[09:38] 才下刹车来停止经济过热
[09:40] 那政府突然就减税了
[09:42] 促进经济成长
[09:42] 是在这样的一个效果底下
[09:44] 最后联总会给予的看法是
[09:46] 按兵不动
[09:47] 虽然这个按兵不动
[09:48] 看起来好像是合理的
[09:49] 但其实内部也是相当分歧的
[09:52] 我们回过头说
[09:53] 鲍尔这次很明显表达
[09:55] 不想要成为影响政策的影子主席
[09:57] 他会回归到理事的角色
[09:59] 保持低调
[10:00] 他会把权力给交接出去
[10:02] 其实我们从当前民调来看
[10:04] 鲍尔的民调并没有想象中来得这么差
[10:06] 我们知道他在2022年被维仁诟病
[10:09] 这么晚才升席
[10:10] 搞得全球高通膨
[10:12] 这几年鲍尔要负很大的责任
[10:14] 可是鲍尔到目前为止
[10:16] 相对于川普
[10:17] 他的支持率是高达44%
[10:19] 他也做了好几年
[10:20] 比川普的36%还来得高
[10:23] 甚至比目前的美国副总统来得高
[10:25] 比美国的财政部长贝森特来得高
[10:27] 甚至连最高法院的首席大法官
[10:30] 都比他还要来得低
[10:31] 这就说明了
[10:32] 在一个高度政治分裂的环境里头
[10:34] 联总会主席反而成为了一个跨阵营
[10:38] 而且还能够被接受的角色
[10:40] 过去有很多共和党的参议员
[10:42] 反而是支持鲍尔的
[10:43] 要求川普撤销
[10:45] 针对现在联总会整修案的指控
[10:48] 后来司法部是真的取消了
[10:50] 那么共和党议员才愿意
[10:52] 让握许的提名正式通过
[10:54] 所以从这样的一个角度来看
[10:56] 前阵子我们是表态支持
[10:58] 彭靖荣主委
[10:59] 这一次我也要表态
[11:00] 我们支持
[11:02] 接下来2028总统大选
[11:05] 鲍尔可以代表
[11:06] 鲍尔有共和党籍
[11:08] 鲍尔代表共和党籍
[11:09] 参选总统候选人
[11:11] 我们回过头说
[11:12] 鲍尔在任期内的资产绩效亮不亮丽
[11:14] 下个月
[11:16] 明天他就要卸任
[11:17] 在任内期间
[11:18] 标普白指数
[11:19] 他的累积报酬
[11:20] 大概是152%
[11:21] 放在历任的联总会主席当中
[11:24] 已经算是中上水准了
[11:25] 明显优于博南克和耶伦
[11:27] 所以博南克和耶伦
[11:29] 虽然是海量货币宽松的受惠者
[11:32] 可是整体涨幅
[11:34] 不如鲍尔撒的钱多
[11:36] 鲍尔也是海量货币宽松
[11:37] 他在2020年撒钱
[11:38] 当然他不如格林斯潘
[11:41] 或者乌尔克时期
[11:42] 可是美国股市在这段时间
[11:44] 其实很有趣
[11:45] 你会发现这八年来
[11:46] 他也不是一帆风顺
[11:48] 这八年来的行情
[11:50] 是极端波动推出来的报酬
[11:52] 前半段主要是靠货币宽松
[11:54] 还有科技股的狂飙
[11:56] 后半段我们面临通膨失控
[11:59] 史上最快升息
[12:00] 和最大的海量货币宽松
[12:02] 都在鲍尔时期
[12:03] 所以市场是大幅的修正在创高
[12:06] 这反而对于价值投资者
[12:07] 更有信心
[12:08] 为什么
[12:08] 因为你帮我创造低点
[12:10] 如果你永远都是平稳的牛市
[12:12] 我还买不到什么便宜的价位
[12:13] 鲍尔创造了更多波动
[12:15] 这样讲川普好像也是如此
[12:17] 可是回过头来说
[12:18] 截至目前为止
[12:20] 理事会的成员名单
[12:21] 当前七位理事
[12:22] 从鲍尔到杰弗逊
[12:24] 到监管副主席巴尔
[12:27] 到鲍曼到库克到华勒
[12:29] 那至少我看得出来
[12:31] 库克和鲍尔看一下以后
[12:33] 就是专门去定川普的
[12:35] 所以理事的任期长达14年
[12:37] 这代表着按照目前
[12:39] 鲍尔的任期
[12:40] 他真的跟川普一样
[12:42] 做到2028年
[12:43] 所以市场还有得看
[12:45] 我们就看一下
[12:46] Kevin Walsh的挑战
[12:47] 能否顺应本场趋势
[12:49] 其实我们从市场的最直觉反应
[12:52] 都会觉得Kevin Walsh
[12:53] 他是一个川普的人马
[12:55] 或者可能大幅降级的人
[12:57] 可是如果你把他的背景
[12:59] 历史立场
[12:59] 还有制度观点来做整合
[13:01] 你还是会发现
[13:02] 市场上对他
[13:03] 还是有一定的中立性的看法
[13:05] 这条路径
[13:06] 让他在2008年
[13:08] 因为当时金融危机的时候
[13:09] 他当时是伯南克时期
[13:12] 底下理事的沟通员
[13:13] 他主要是担任联总会内部当中
[13:16] 拿来跟政策和华尔街沟通的渠道
[13:18] 因为当时要借由大量的海量货币宽松
[13:21] 和财政的直接补贴
[13:22] 那这种经验是深刻的改变
[13:25] 他当时对于央行的工具看法
[13:27] 所以有很长一段时间
[13:28] 他是不屑华尔街的
[13:30] 他是对于资产负债表极度阴派
[13:33] 生意嘛降益嘛
[13:34] 这都可以在货币宽松政策做理解
[13:36] 可是他非常反对
[13:38] 随意的进行资产负债表的扩表
[13:41] 他认为联准会在过去08年以来
[13:43] 必须对全球的通膨负担极大责任
[13:46] 所以对于缩表态势
[13:48] 或者对于资产负债表
[13:49] 看起来他的立场
[13:50] 没有太大改变
[13:51] 主要是在升息端
[13:53] 和降息端的部分
[13:54] 过去他的论调
[13:55] 一直都认为
[13:56] AI可以带动市场的通收效应
[13:59] 那现在问题来了
[14:00] AI所带动的市场通收效应
[14:02] 有点类似之前的杰温斯悖论
[14:04] 就是你要让AI
[14:06] 让科技产品叠价
[14:07] 因为AI可以帮助我们降成本
[14:09] 所以我们可以合理的预估
[14:10] AI发展越多
[14:11] 我们的生产东西的成本
[14:13] 就越便宜
[14:14] 比如说我一天
[14:15] 用AI的帮助
[14:16] 我可以录三支四支影片
[14:17] 那我是不是等于产出提高
[14:19] 产出提高等同于成本下滑吗
[14:21] 因为我不用花那么多的精力
[14:22] 也可以制作这么多的一个影片
[14:25] 好那回过头来说
[14:27] 但是在AI造成通缩之前
[14:30] 必须要先大量的新建AI资料中心
[14:32] 必须要新建大量的算力
[14:34] 所以反而在短期内助长了通膨
[14:36] 那这个问题
[14:37] 他未来要如何处理
[14:38] 他真的会由于这个原因
[14:40] 持续的采取降息之路吗
[14:42] 第二件事情
[14:43] 所以或许过去已经提过了
[14:45] 他不希望市场过度太多的去聚焦
[14:48] 联总会的点证利率意愿
[14:50] 为什么
[14:50] 因为主席
[14:52] 第一个不是一个人就能够决定利率
[14:54] 利率是投票委员会的意志
[14:57] 而过往的经验已经显示
[14:58] 联总会自己每次投票投出来的路径
[15:01] 都跟辞职走出来的路径大相径庭
[15:04] 联总会自己都不知道
[15:05] 到底现在的经济氛围怎么样
[15:07] 所以你不要让市场有过度的想象空间
[15:10] 因为市场会把你的一些为
[15:12] 你可能生一马
[15:13] 他就认为你要生三马四马
[15:15] 然后就不断的资产价格的累堆上去
[15:17] 你认为你只是要稍微降息
[15:19] 市场有时候过度解读
[15:20] 解读成海量货币宽松
