[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 已经在反映全球的地缘政治冲突
[00:32] 已经逐步来到尾声
[00:34] 美国股市这一次周一走高
[00:36] 投资人当然一方面去期待
[00:38] 美国和伊朗之间的停火谈判
[00:40] 是否出现进展
[00:41] 还是会无限延后呢
[00:43] 另外一方面也在评估
[00:45] 川普不断升高的强硬警告
[00:47] 但是呢似乎并没有反映在资产价格
[00:50] 那是否有开始利空足底的迹象
[00:52] 今天来跟投资朋友做一些观察
[00:54] 其实我们看这一次
[00:55] 川普对伊朗的最后通牒再度延长
[00:58] 把荷姆茨海峡开放的时间线
[01:01] 已经推移到了
[01:03] 接近4月7号
[01:04] 也就是今天晚间
[01:05] 那这个已经是
[01:07] 我们看到3月下旬以来的
[01:09] 第三次延后
[01:10] 那也说明谈判还在进行
[01:11] 那压力也持续升高
[01:13] 川普一方面对外强调
[01:15] 谈判的进展是不错的
[01:16] 甚至称伊朗在核问题上
[01:19] 已经让步
[01:19] 但是另外一方面
[01:20] 也同步的加码威胁
[01:22] 明确表示如果不配合
[01:23] 就会摧毁伊朗的电厂
[01:25] 桥梁 游井等关键设施
[01:28] 不过这样的一个强硬表态也引发了巨大争议
[01:31] 因为毕竟是攻击民用设施
[01:33] 也许会违反国际法
[01:35] 不过即便违反战争罪
[01:38] 川普也不是很在乎
[01:39] 这种公开的表态
[01:40] 某种程度是在改变目前战争的规则和边界
[01:44] 对于全球产生外溢效果
[01:46] 但是市场却从另外一个消息当中获得安慰
[01:49] 报道指出美国伊朗以及区域各国
[01:53] 已经针对潜在顶火条件进行讨论
[01:55] 而且在本周末
[01:57] 我们看到整体运量的确开始提高了
[02:00] 在这样效果底下
[02:01] 是否即便美伊之间最后没有一个停火协议
[02:04] 我们也可以借由折中方式来取得
[02:07] 荷姆兹海峡的重新开放
[02:09] 让伊朗取得适度的过路费等等
[02:11] 待会我们会有细节报告来做一些追踪
[02:14] 不过至少从整个一季度来看
[02:16] 转头空了
[02:18] 一月大涨
[02:19] 二月回调
[02:20] 三月重挫
[02:21] 整个一季度其实回调幅度也没有想象中来得大
[02:24] 一季度整体跌幅大概是4.6%
[02:27] 这是标普白指数从22年以来
[02:29] 最差的首季表现
[02:31] 不过相对于去年的4月份关税战
[02:34] 比较起来其实并没有特别的严重
[02:36] 其实从过去一周来看
[02:38] 反而产生了比较显著的资产轮动
[02:41] 原本整个3月份都是能源股在涨
[02:43] 但是风险资产的科技股不断的被下杀
[02:46] 结果在过去一周
[02:48] QQ涨幅有接近4%
[02:50] SPY涨幅有3.5%
[02:53] 罗素2000涨幅又有3.4%
[02:56] 比特币也涨了1.3%
[02:57] 反而是能源股的XLE大跌了5.3%
[03:01] 代表的是市场上针对能源的紧张局势
