[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 台湾时间的早上9点钟
[00:31] 结果呢在两个小时之前
[00:34] 川普突然改变了态度
[00:35] 同意暂缓对伊朗基础设施的攻击
[00:39] 那这一次呢
[00:40] 也接受由巴基斯坦斡旋的两周停火方案
[00:43] 条件呢是伊朗必须要立即全面的
[00:46] 安全的开放荷姆斯海峡
[00:48] 而伊朗也方面
[00:50] 这方面其实也算是表态接受了
[00:52] 由外交部来进行发表谈话
[00:54] 所以啊这一次算是
[00:56] 不管是美国、以色列、伊朗
[00:59] 三方的同意停火
[01:01] 在这段谈判期间停止轰炸
[01:03] 虽然两周以后还是充满着奇大变数
[01:06] 但至少代表着
[01:07] 战局在目前最为紧绷的时刻
[01:10] 出现了起承弯
[01:11] 这个决定也被伊朗官方形容为美方的退让
[01:15] 双方都试图为这一次的停火
[01:17] 包装成自身的战略胜利
[01:19] 等了一个大晚上
[01:20] 结果没有看到大场面
[01:22] 我们看一下原文
[01:23] 根据川普在一个小时之前所发的贴文
[01:27] 这次他跟巴基斯坦总理会面之后
[01:30] 他们请求我暂缓今晚
[01:32] 原本对于伊朗发动的毁灭性军事行动
[01:35] 同时伊朗的部分也表达了
[01:39] 全面立即安全开放
[01:40] 和摩斯海峡的前提底下
[01:42] 我决定要暂缓我对于伊朗的轰炸
[01:44] 也就代表着对于川普来说
[01:46] 昨晚本来要发动
[01:48] 对于伊朗毁灭性的军事行动
[01:50] 但这次在巴基斯坦的调停底下
[01:52] 暂时延后两周
[01:54] 那川普也解释原因
[01:56] 之所以这样做
[01:57] 是因为我们已经达成并且超越了所有的军事目标
[02:00] 而且跟伊朗已经达成了和平
[02:03] 以及中东地区的最终协议
[02:04] 我们已经取得重大进展
[02:06] 我们现在收到了伊朗提出的十点方案
[02:09] 并且认为这是一个可行的谈判基础
[02:12] 过去争议当中的多数重点
[02:14] 目前看起来双方已经达成了共识
[02:16] 我们相信两周的时间是有助于协议
[02:20] 并且最终完成正式落实的
[02:22] 也就是说川普即便是停战两周
[02:24] 可是这两周这段时间
[02:26] 他仍然抱持的相当正面态度
[02:29] 不是两周开始谈
[02:30] 而是我们现在已经谈妥了
[02:31] 所以两周的时间把它给收尾
[02:33] 似乎暗示着美以战事已经来到相对尾声
[02:38] 当然了
[02:38] 那美国可以承诺不打
[02:40] 以色列可不可以管得了呢
[02:42] 至少以色列这一次也发表了谈话
[02:44] 不会再当比特权
[02:45] 会符合美方的战略意志
[02:48] 来帮助双方进行和谈
[02:50] 那市场的反应也相当直接
[02:52] 我们看到云油价格瞬间重挫
[02:54] 西德州云油价格是大跌了17%
[02:57] 反映目前供应链瓶颈的快速下滑
[03:00] 资金也立刻从避险资产来撤出
[03:03] 这一波应该算是第一次跌破到月线
[03:06] 不过也不过从当时的116块
[03:09] 回跌到现在90几块而已
[03:11] 也就是说要回到战前6、70的水准
[03:15] 看起来还有一段时间
[03:16] 但重点在于这两周的战事停火
[03:19] 它也并不是结构性的解决
[03:21] 我们还是要看是否航道会陆续公开
[03:24] 市场算是松了一口气
[03:26] 因为两边看得出来都不是很想打
[03:29] 但嘴巴不能输
[03:30] 所以就要看一下
[03:31] 接下来谈判期间为何
[03:33] 我们刚才看到
[03:34] 不管是SPY还是QQ IWM
[03:37] 美国电子盘的部分
[03:39] 全数都在疯狂上涨当中
[03:41] 地缘政治的紧张当然是有限的
[03:44] 我们过去一个月当中
[03:46] 其实也提过了
[03:47] 在左侧我们不会过度的悲观
[03:50] 在右侧也不会过度的乐观
[03:52] 整个部件点
[03:53] 在外部性定元冲突底下
[03:55] 本来就是一个好买点
[03:57] 现在的问题就在于
[03:58] 长期投资角度而言
