[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 5704点连续两个交易日的显著走深
[00:33] 在这样效果底下
[00:34] 川习会的时间线已经敲定
[00:36] 是否能为美国至少在部分
[00:39] 传产订单层面
[00:41] 有获得进一步的扩增
[00:42] 让落后的道琼后来追上呢
[00:45] 值得大家来多做一些留意
[00:46] 川普预估在5月13号到5月15号
[00:49] 前往中国进行国事访问
[00:51] 这是他2017年之后再一次的访中
[00:54] 那川普也透露
[00:55] 他会和习近平来谈论
[00:57] 对台军售等台湾议题
[00:59] 预估会有16名的科技金融CEO
[01:02] 陪同前往
[01:03] 包括之前的Tim Cook
[01:05] 那当然了
[01:06] 从辉达股价来看
[01:07] 因为520是辉达的财报公布日
[01:10] 那刚好也是
[01:11] 我们看到市场上
[01:13] 进一步在短期内
[01:14] 有做梦做帐行情的空间存在
[01:17] 毕竟在他公布完财报以后
[01:19] 整个美国股市的财报季
[01:20] 就真的告一段落了
[01:22] 那辉达这段时间
[01:23] 股价的一个创高
[01:24] 似乎也意味着
[01:25] 大家对于费班
[01:27] 对于硬体股的行情
[01:28] 仍然有十足的看法
[01:29] 就连在川习会即将登场之际
[01:32] 我们看到在最近
[01:33] 本来一直被市场
[01:35] 几乎算是半放弃的中国科技股
[01:37] 最近也开始转强了
[01:39] 中国高波动科技指数
[01:40] 现在陆续突破了重要的压力区间
[01:43] 像创业板或者一些科技指数
[01:46] 正在全面上攻
[01:47] 过去被视为中国版辉达的韩武技
[01:50] 最近股价也开始大涨了
[01:52] 市场似乎开始重新的压住中国AI
[01:55] 其中一个最大的诱因
[01:56] 就是它机器很低
[01:57] 现在在亚洲市场
[01:59] 基期比韩国股市低的也没有几个了
[02:02] 那中国的AI股就是其中之一
[02:04] 当然了
[02:05] 到底美国股是因为科技股
[02:07] 已经在美国市场处于极端拥挤的位置
[02:10] 所以造成中国科技股和美国之间的估值落差
[02:14] 所以导致回补
[02:15] 还是单纯的看好中国AI股
[02:18] 就有比较大的区别
[02:19] 一种是落后补涨
[02:20] 另外一种就是看好中国在AI市场当中
[02:24] 也有部分领域获得领先
[02:26] 这也是为什么市场上开始重新关注腾讯和阿里巴巴财报
[02:29] 川普和习近平即将举行的会面
[02:32] 因为如果接下来中国云端
[02:34] AI的资本支出和平台经济的获利
