[00:00] 投资变化
[00:30] 相当大的初步成果
[00:32] 基本上造成了
[00:33] 昨天美国股市显著的乐观情绪
[00:36] 挥达市值已经突破5.7兆了
[00:38] 那就要看一下
[00:39] 本月份有没有机会突破6兆美元
[00:41] 美国股市在道琼部分
[00:43] 昨天是重返了
[00:44] 5万点的整数关卡
[00:46] 标普派指数
[00:47] 纳斯达克指数
[00:48] 都同步改写了历史性高
[00:50] 那回过头看
[00:51] 这一次在北京举行会谈以后
[00:54] 几个小时之后
[00:55] 川普就要离开了
[00:56] 双方虽然还没有发布
[00:58] 正式的联合声明
[00:59] 不过市场已经看到了几个重要方向
[01:01] 包括中国可能扩大采购对于美国商品
[01:05] 美方对于中国AI晶片的限制有机会松绑
[01:08] 双方开始研拟有关系的贸易机制
[01:11] 如果细节来看
[01:12] 主要分为几项
[01:13] 一个是关税
[01:14] 针对300亿美元价值的商品
[01:16] 降低部分关税并且相互销售
[01:19] 再来在晶片的部分
[01:20] 美国商务部会特别批准约10家的入企
[01:23] 来采购辉达的H200晶片
[01:25] 金融的部分
[01:26] 花旗会取得外商的独支券商牌照
[01:30] 采购的部分
[01:31] 中国海关一度显示会续签400多家的美国牛肉厂
[01:35] 不过昨天我们提过了
[01:36] 这美国现在根本没牛肉
[01:37] 美国大缺牛啊
[01:39] 那至于其他像能源采购
[01:41] 大豆采购
[01:42] 以及波音飞机订单
[01:43] 应该都会陆续发酵
[01:45] 最后就是投资
[01:46] 白宫官员也指出
[01:47] 双方正在讨论扩大美国企业
[01:50] 进入中国市场的准路
[01:51] 来增加对华投资
[01:53] 所以在种种效果底下
[01:55] 白宫啊
[01:55] 整体而言在经济成果上
[01:57] 算是有十足的进展
[01:58] 虽然在台湾议题上
[02:00] 白宫并没有特别的提及
[02:02] 中方倒是提及蛮多次的
[02:04] 双方这一次也算是互有成果
[02:06] 川普也用飞机订单
[02:08] 当成重要的外交战机
[02:10] 因为川普直接表示
[02:11] 中方已经同意采购200架的波音飞机
[02:15] 这一次算是比较标准
[02:17] 由川普口中提前先释出的商业成果之一
[02:20] 我们知道波音在过去几十年
[02:22] 基本上很难拿到中国的大型官方订单
[02:25] 那市场这一次本来就很期待
[02:27] 川普能不能替波音完全打开缺口
[02:30] 现在一次订200台
[02:32] 看起来是全面打开了
[02:34] 我们知道过去几年
[02:35] 中国航空公司
[02:36] 比较转向的是向空巴来下订
[02:38] 所以让波音在全球的
[02:40] 最大航空成长市场
[02:41] 地位大幅下滑
[02:42] 那我们当然知道
[02:43] 有那个空难的问题
[02:44] 如今现在订单真的落地以后
[02:47] 也就代表着
[02:48] 川普的确正在创造订单
[02:50] 带回美国的政治成绩
[02:51] 当然了
[02:52] 到底最后具体的机型
[02:55] 交付的时间和正式合约
[02:57] 都还没有准确的预估
[02:58] 加上波音现在本来就面临
[03:00] 生产安全供应链的问题
[03:02] 就算下了这么多订单
[03:04] 都不一定出得了货
[03:05] 所以后续还是要继续观察
[03:07] 可是至少大家可以看得出来
[03:09] 本次美中会谈
[03:10] 相对于上一次
[03:12] 相对而言
[03:13] 好像稍微有一点成果
[03:15] 我们举例来说
[03:16] 中美这一次
[03:17] 不管是中国官方媒体
[03:18] 还是美国媒体
[03:19] 陆续都传出
[03:21] 300亿美元关税的互减计划
[03:23] 这代表着在经历了这么多年的科技战
[03:26] 供应链和高关税对抗之后
[03:28] 已经进入到有限度的降温
[03:31] 有一种默契
[03:32] 你先保证我到中期选举之前没有问题
[03:35] 那我们就明年再来做更进一步的商谈
[03:38] 现在先延期
[03:39] 这次当然并不是把关税全面取消
[03:42] 但是刻意把敏感科技
[03:44] AI晶片和国安领域排除在外
[03:46] 只先针对一般消费品或者农产品
[03:49] 和部分非战略的商品来恢复流通
[03:51] 我们数据显示
[03:53] 整个25年美国到中国的进口
[03:55] 大概年减30%
[03:57] 笔电产品大量的转往越南
[03:59] 那现在呢
[04:00] 整体而言
[04:01] 如果今年我们看到
[04:03] 有300亿美元左右的
[04:05] 非敏感商品关税进行撤销
[04:07] 那压力在哪里
[04:08] 压力就变台湾就变东南亚了
[04:10] 因为中国关税
[04:12] 似乎又降下来一些了
[04:13] 之前是已经把芬太尼关税
[04:16] 给取消了
[04:16] 那现在进一步的释放讯息力多
[04:19] 那是否有利于中国科技股
[04:22] 或者中国股市的外资流入呢
[04:25] 或者对于平均关税而言
[04:27] 是不是东南亚市场遭受的压力就来得更大了
[04:30] 那当然了
[04:31] 随着川习会来到尾声
[04:33] Polymarket目前的赌盘
[04:35] 去压住两人亲吻的几率
[04:37] 看起来是越来越低了
[04:38] 这个平台真的是什么都能够赌啊
[04:40] 一天以前啊
[04:41] 还有4%的几率啊
[04:43] 就100个人
[04:44] 有4个人还对赌
[04:45] 两个人真的会在本次的峰会能够热吻
[04:49] 结果现在只剩下1%了
[04:50] 大降75%
[04:52] 不过呢
[04:53] 这个川习会还没有结束
[04:55] 还有几个小时
[04:56] 还是有机会的
[04:57] 但是呢
[04:58] 双方的动作跟亲吻也差不多了
[05:00] 的确释出了相对多的好消息
[05:03] 当然我们会过头说
[05:04] 最大的问题来自于伊朗问题
[05:07] 这一次并没有做非常深入
[05:09] 能够足以改变中东现状的态势
[05:11] 目前沙乌地阿拉伯
[05:13] 甚至在跟盟友讨论
[05:14] 是否要开始推动一份
[05:16] 中东版的互不侵犯协议
[05:18] 希望美国和以色列
[05:20] 在伊朗战争来到尾声以后
[05:22] 重新建立区域的安全架构
[05:24] 要不然
[05:24] 现在中东真的是本轮受伤最重的
[05:27] 不只是没有油可以卖出去了
[05:29] 现在进行大规模的产能搜索
[05:32] 你要知道
[05:33] 这个真正的问题
[05:36] 不是短期内没订单
[05:38] 没有人把它传开进来
[05:40] 真正的问题是
[05:41] 你时间拖到一个月
[05:42] 两个月以后
[05:43] 那我真的就要减产了
[05:44] 我一旦减产
[05:45] 那我接下来要复产
[05:47] 又要花很大的成本
[05:48] 那另外一方面
[05:49] 整个中东在全球金融地位的位置
[05:52] 在全球观光地位的位置
[05:54] 在全球我们讲说
[05:56] 航班贸易中转地位的位置
[05:58] 目前都高速的示威
[06:00] 但是现在看起来
[06:02] 美中会谈对于中东局势
[06:04] 想要压低通膨的压力
[06:06] 似乎也没有想象中
[06:08] 如预期般能够展现
[06:10] 所以当然
[06:11] 本来川普跟习近平
[06:12] 就很难达成那种史诗级的大交易
[06:14] 能够释出一些和缓讯号
[06:17] 对于股市已经是一个利多了
[06:19] 我们本来就不太幻想
[06:21] 会有一个世纪大和解
[06:23] 美中长期国防供应链
[06:25] 本来就在僵局当中
[06:26] 一些可能巨大的协议
[06:28] 很多人会想说
[06:29] 中国大规模开放市场
[06:31] 美国降低对于亚洲军事的施压
[06:33] 在现实当中其实已经不可能了
[06:35] 但是只要川普和习近平持续释放
[06:38] 两人并没有再次
[06:40] 引发全面冲突的意图以后
[06:42] 对于市场肯定是一种降温
[06:44] 对于通膨的压力
[06:46] 可能最后还是要回到中东问题
[06:47] 我们看一下四大指数表现
[06:49] 道琼上涨370点
[06:51] 0.75%
[06:52] 站回到5万点大关了
[06:54] 标普上涨56点
[06:55] 0.77%
[06:56] 收在7501点
[06:58] 创下历史性高价
[07:00] 纳兹也开始追了
[07:01] 上涨232点
[07:03] 0.88%
[07:04] 收在26635点
[07:06] 费办上涨55点
[07:09] 0.46%
[07:10] 收在12073点
[07:12] 其实还看得出来
