[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 运价在食品和能源成本的同步上升底下
[00:33] AI的泡沫和股市从高点开始拉回
[00:36] 是否最后会引发股债双杀呢
[00:39] 今天来做第一层探讨
[00:40] 第二层是这一次的川习会看似盛大
[00:44] 不过实际上还是缺乏重大突破
[00:46] 并没有新的大协议
[00:48] 也没有真正解决伊朗问题
[00:50] 荷姆治海峡的供应链问题
[00:51] 反而让外界看到
[00:53] 中国似乎已经不再是过去被美国单方面施压
[00:57] 进行协议上签约的国家
[00:59] 那么开始跟美国有互相威慑的条件
[01:02] 第三层是美国全球战略压力的浮现
[01:05] 这一次北约已经正式在德国
[01:07] 在美军的撤离底下
[01:09] 已经撤了接近有4000人左右
[01:11] 那欧洲盟友的不安
[01:13] 到中东战事的消耗资源
[01:15] 美方对于这样的一个做法
[01:17] 同时间川普要照顾通膨问题
[01:20] 债务问题
[01:21] 地缘政治问题
[01:22] 那我们一般人也处在一个高物价
[01:24] 高波动和高不确定性的时代
[01:26] 那这个时候随着市场的修正
[01:28] 我们到底是否应该把本轮的修正视为一个重大买点呢
[01:33] 今天来跟投资朋友做一些观察
[01:34] 事实上我们看到在礼拜五三大指数是全面收黑
[01:38] 纳斯达克指数下滑1.54%
[01:40] 标普收黑1.24%
[01:43] 道琼甚至跌了接近有4%
[01:45] 当然了这股市涨多了
[01:47] 这种跌幅也不算多重
[01:48] 重点在于债市
[01:50] 这一次全球债券市场出现了一个很危机的讯号
[01:53] 不只是美债殖利率
[01:54] 包括欧债以及日债全部都在大涨
[01:58] 美国十年期公债值利率最近已经冲高到4.55%
[02:02] 创下一年来的新高
[02:03] 但这一波的上升
[02:05] 也不是单纯我们看到通膨的全面失控
[02:08] 毕竟油价还没有完全的暴冲失控上涨
[02:11] 而是实质利率正在快速的跌高
[02:13] 加上通膨因子的推波助澜
[02:16] 我们换句话说
[02:17] 市场上已经开始相信
[02:18] 联准会看起来在未来的利率可能会维持的更高更久
