[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 非常不错
[00:31] 难得放假
[00:32] 八点半还有人在线
[00:34] 真是不简单
[00:36] 这说明
[00:36] 其实收听我们节目的投资朋友
[00:38] 大部分都已经是精英了
[00:41] 那你们就是精英中的大精英
[00:44] 这不简单
[00:45] 那么早起
[00:46] 来看我们没有股市
[00:48] 在昨天晚上的创高记录
[00:50] 非常雀跃兴奋
[00:51] 谢谢碧莲
[00:53] 谢谢姐姐的火箭
[00:55] 你看跟我们平日直播不太一样
[00:57] 今天就轻松一点跟大家聊
[00:59] 反正线上人也不多
[01:00] 我们都算是在工作日早起的过程当中
[01:05] 一种仪式感
[01:06] 有时候习惯也改变不掉了
[01:08] 重点是很兴奋
[01:10] 美股市昨天又创下历史新高了
[01:12] 这一波由纳斯达克指数和标普白指数的静养
[01:16] 似乎暗示着油价关你涨到哪里去
[01:19] 美国股市就是会创高
[01:20] 标普白指数涨幅是高达1%
[01:23] 首度站上了7200点的大关
[01:25] 纳斯达克指数收涨0.09%
[01:28] 同样说在历史新高
[01:29] 因为现在是五月份了
[01:31] 我们看整个四月份
[01:33] 标普一个月居然单周大涨了10%
[01:36] 纳斯达克指数月涨幅15%
[01:39] 最狂的是费邦
[01:40] 费邦一个月涨了38%
[01:43] 这一个月他已经抵好几年的涨幅了
[01:46] 所以美股是在四月份的反弹
[01:48] 当然是因为三月份在中东冲突
[01:51] 引发的跌势修复
[01:52] 可是美股现在的状态也非常有趣
[01:54] 一边是风险在累积
[01:56] 一边是股价还在创高
[01:58] 标普白指数持续的创高
[02:00] 但后续反映的是
[02:02] 油价因为中东局势仍然保持在高档
[02:05] 昨天甚至一度创高到126块
[02:07] 后来开始回调
[02:08] 可是现在也大概在110块左右
[02:10] 同时间如果三月份的CPI
[02:13] 看起来是会上弯
[02:14] 四月更不用讲了
[02:16] 那五月六月七月
[02:17] 往下游端中端市场的传导压力就越来越大了
[02:21] 这段时间欧洲央行已经偏向升息
[02:24] 联准会内部加剧分剧
[02:26] 同时间货币政策环境
[02:28] 开始往紧缩方向来做挺进
[02:30] 更微妙的是
[02:31] 资产价格之间也出现了不太同步
[02:34] 外汇市场日元开始干预
[02:37] 债券市场利率和波动开始抬头了
[02:39] 现在是年期公债资利率正在往上冲
[02:42] 商品市场都在反映压力
[02:44] 但股市还在创高
[02:45] 那这一种跨资产的背离
[02:47] 通常也不太可能维持一辈子吧
[02:50] 油价500费半上5万
[02:53] 有可能吗
[02:54] 所以我们接下来就要观察的角度是
[02:56] 到底这股荣景还能够维持多久啊
[02:58] 如果股价要上涨
[03:00] 油价难道可以允许在这么高的位阶吗
[03:02] 我们从昨天的联准会
[03:04] 一路聊到今天的日本央行
[03:06] 还有台湾央行
[03:07] 其实如果我们细看
[03:08] 今年的确啦
[03:09] 我们把2026年YTD年初以来报仇啊
[03:12] 你就设飞镖随便投啊
[03:14] DBC大中资产平均涨幅33.9%
[03:18] 其他像是可转债涨幅13%
[03:21] 小型股中型股新兴市场涨幅9-10%
[03:25] 其他像是美国的REITs
[03:26] 价值股
[03:27] 纳斯达克100指数
[03:28] 大型股
[03:29] 特别股
[03:30] 或者短期国库券
[03:31] 本身而言
[03:32] 全部都是正报酬
[03:33] 今年真的
[03:34] 除非你设飞币
[03:35] 要不小心设到比特币
[03:36] 年初以来
[03:37] 没有一项资产价格是收跌的
[03:39] 所以这个时候就要回过头来看
[03:41] 可是问题在于
[03:42] 虽然几乎没有一项资产是收跌的
[03:45] 可是涨最多的是油
[03:46] 那该怎么处理呢
[03:48] 昨天布兰特原油
[03:49] 一度飙升到126美元每桶
[03:52] 创下本轮中东冲突以来的新高
[03:54] 这就有点紧张了
[03:55] 我们过去的判断是
[03:56] 它就维持在这个位阶好一阵子
[03:58] 可是现在又创高
[04:00] 跟股市一样
[04:01] 那市场当然会担心
[04:02] 会不会顺势的往上做突破
[04:04] 那当然后续是稍微拉回
[04:06] 可是在昨天
[04:07] 各国的公债殖利率
[04:09] 全部都在冲高
[04:10] 尤其德国和日本
[04:11] 十年期公债殖利率
[04:13] 已经创下了历史新高
[04:15] 这就代表着
[04:16] 这个通膨议题
[04:17] 不是大家不管
[04:18] 只是在美国资产
[04:19] 还没有完全的涌现
[04:20] 可是对于日本
[04:21] 对于德国国债而言
[04:23] 很明显
[04:24] 大家已经感受到了通膨压力
[04:25] 所以公债殖利率正在快速的飙升
[04:28] 那么目前阿米尼首度对外发声
[04:31] 表达伊朗不会放弃针对核技术和飞弹能力的投射
[04:35] 并强调会持续掌控荷姆斯海峡
[04:37] 美国中央司令部在昨天也暗示
[04:40] 正在评估把暗鹰高音速飞弹部署到中东
[04:44] 作为可能打击的伊朗选项之一
[04:46] 那这款武器射程超过1700英里
[04:49] 速度可以达到5倍音速之上
[04:51] 具备高度的机动能力
[04:53] 双方似乎都对于下一轮的谈判有意愿
[04:56] 可是在重要原则上
[04:58] 似乎无法取得共识
[05:00] 那就说明着云油价格无法立即回跌
[05:02] 那我们细看
[05:03] 美国最新的关键通膨指标
[05:05] 核心PCA在整个三月份年增幅
[05:08] 已经高达3.2%
[05:09] 这创下一年多以来的新高了
[05:11] 整体PCA更是高达3.5%
[05:14] 主要就是由能源价格所带动
[05:16] 那尤其我们看最新一期的PCA
[05:19] 我们假设把那个能源给拿掉
[05:20] 其实整体而言
[05:22] 美国的PC月增幅
[05:23] 它仍然保持在稳定的0.2%
[05:26] 可是就由于中东问题
[05:28] 直接跳升了一整倍
[05:30] 来到0.4%以上
[05:32] 甚至现在往0.5%来做迈进
[05:34] 这件事情就意味着
[05:36] 结构上服务通膨
[05:38] 已经属于具有僵固性
[05:40] 那这是好事
[05:40] 因为对于工资有一定的拉抬作用
[05:42] 可是现在从YOY层面
[05:45] 或者是从MOM月增幅层面
[05:47] 原油价格能源价格的债企
[05:49] 破坏了过去通膨原本的下行路径
[05:52] 所以我们才一直讲
[05:53] 只要没有中东问题
[05:55] 早就该降息了
[05:57] 为什么
[05:57] 因为通膨数据快要达标了
[06:00] 而且就业市场表现也不是特别好
[06:02] 所以如果我们细看
[06:03] 把能源价格拿来跟PCE的能源分享
[06:06] 当中的联动关系
[06:08] 会发现油价之前在25年
[06:10] 曾经出现过一波的下跌
[06:11] 对应的是PCE能源项目的同步走落
[06:15] 当时市场以为通膨会持续降温
[06:17] 但近期油价反弹幅度
[06:19] 非常快
[06:20] 这一定会导致PC被迫的往上拉
[06:22] 变成典型的二次通膨压力来源
[06:25] 更不用讲现在的农粮价格
[06:27] 有点蠢蠢欲动
[06:28] 小麦价格持续冲高
[06:30] 那这形成另外一套问题
[06:31] 就体感温度会快速恶化
[06:33] 因为过去是通膨在22年23年爆发
[06:37] 爆发完之后购买力侵蚀
[06:39] 结果在24年25年通膨环部下滑
[06:41] 终于新资追上来了
[06:43] 所以过去两年
[06:44] 其实美国实质新资是翻证的
[06:46] 可是现在通膨都突然爆发
[06:48] 如果我们细看
[06:49] 美国现在的PCE收入
[06:50] 美国的个人实质所得
[06:52] 大概成长大概0.6%左右
[06:54] 但支出是成长0.9%
[06:57] 这件事情就意味着
[06:58] 在美国现在已经很明确
[07:00] 之前是体感上
[07:01] 现在是数据上
[07:03] 花的钱比赚的钱还要来得多了
[07:06] 这说明着消费在硬撑
[07:08] 但收入已经跟不上
[07:09] 我们再细看
[07:10] 个人消费年增幅大概在5.6%
[07:13] 但个人收入已经下滑到3.7%
[07:16] 两者的剪刀差越来越大
[07:18] 感觉没有收敛的迹象
[07:20] 从今年年初以来就是如此
[07:22] 那最后是储蓄率掉到3.6%
[07:25] 这个是接近2022年的低档了
[07:28] 所以消费还能够撑住
[07:29] 只有几个原因
[07:30] 要么就吃老本
[07:32] 要么就花信用卡
[07:33] 要么就是信贷
[07:34] 那要么就是财富效应
[07:36] 把股票拿去做质押
[07:37] 来带出钱来
[07:38] 但是实质的个人收入
[07:40] 是在减少当中的
[07:41] 这时候压力就很大了
[07:43] 对于中期选举而言
[07:44] 也形成川普的另外一道压力
[07:46] 市场也开始怀疑
[07:48] 通膨到底是否有受控
[07:49] 我们从十年级的通膨预期
[07:51] 最近重返高点了
[07:53] 来到2.47%
[07:54] 这代表的未来十年平均通膨的预期
[07:57] 大家正在全面性的上修
[07:59] 相信这场通膨
[08:01] 可能比我们经历的时间
[08:03] 想象中还要长非常多
[08:05] 而且十年期供债殖率
[08:07] 这压力也很大
[08:08] 因为最近又重新攀升到4.3 4.4了
[08:10] 这个三角收链
[08:13] 一不小心突破上去
[08:14] 那会否引起新一波的债券市场的抛售
[08:17] 再用30年期国债殖利率来看
[08:20] 这个压力就更大了
[08:21] 10年期国债殖利率
[08:22] 至少我们知道
[08:23] 距离前高有一段距离
[08:25] 你要突破还要分几次
[08:27] 分波段
[08:28] 可是你看30年期公债殖利率
[08:30] 这个就是再往上跳一根
[08:32] 一天的大幅波动
[08:34] 大概就可以创下历史新高了
[08:36] 所以对于长天期国债而言
[08:38] 形成进一步的压力
[08:39] 就来自于原油价格的失控
[08:41] 从美国10年期公债殖利率
[08:43] 基本就跟油价高度联动
[08:45] 所以这是第一个观察重点
[08:46] 川普真的必须要在5月6月采取立即性的动作
[08:50] 确保市场的通膨意图消失
[08:53] 中东问题一定要达成某种程度的僵化
[08:56] 管你打不打仗
[08:58] 你打仗通膨降温也没什么问题
[09:00] 都可以
[09:00] 但重点是通膨预期必须要快速的回挡否则对于实质经济而言它是一个重大伤害而我们基本上可以判定如果油价一直往上涨股市是不太可能一直往上涨的即便股市资产涨幅超过了油价
[09:14] 但这种情况
[09:15] 非常不利于实体消费数据
