[00:00] 投资变换收听早晨财经速解读
[00:03] 现在是台北时间
[00:04] 2026年5月20号礼拜三
[00:06] 早上8点31分
[00:07] 大家早上好
[00:08] 我是林浩
[00:08] 每天早上开拍前半小时
[00:09] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 今天是520
[00:14] 股票是一时的
[00:16] 泰台是永远的
[00:17] 记得要送点礼物
[00:18] 美欧股市在昨天开始走皮
[00:20] 标普白指数收跌0.6%
[00:23] 已经连续第三个交易日收黑了
[00:25] 这一次主要还是来自于过去我们提到的
[00:28] 美债10年期公债殖利率
[00:29] 以及30年期国债殖利率的拉升
[00:32] 对于股市的估值卖压
[00:33] 这一次10年期公债殖利率
[00:35] 已经升破了4.6%
[00:37] 30年期公债殖利率
[00:39] 在盘中昨天一度碰到5.2%
[00:41] 好这都说明
[00:42] 虽然我们知道这个利空
[00:44] 已经存在已久
[00:45] 但它形成本轮美国股市回调的理由
[00:48] 好这一次我们知道
[00:50] 美国股市不管是受到川习会
[00:52] 没有释出更多利多的影响
[00:54] 中东战事没有得到进一步的结局
[00:57] 以及这次的通膨预期增温开始发酵
[01:00] 一个月以前这些利空也存在
[01:02] 但是并没有阻止当时的美股牛市
[01:05] 所以现在回过头来说
[01:07] 真的是由于这些原因
[01:09] 才导致没有股市本轮的下跌吗
[01:11] 也许是下跌之后
[01:12] 大家开始找理由
[01:13] 而形成估值原因卖压的思考
[01:17] 那当然过去几个月
[01:18] 本来废办就进入到一个疯狂的喷涨模式
[01:22] 那现在问题就来自于
[01:23] 尊废办局还是收涨的
[01:24] 到底本波会以盘代叠
[01:27] 也是盘一个季度
[01:28] 就跟去年10月份一次修正以后
[01:31] 等待着后续的EPS追上
[01:33] 本益比再度下滑
[01:34] 还是说呢
[01:35] 由于本轮的乖离拉得非常高
[01:37] 适度扩大叠幅
[01:39] 也是快速让本益比回调的方式
[01:41] 尤其这一次
[01:42] 费办所出现的史诗几掌幅
[01:44] 让市场上开始发现
[01:46] 这一波AI最核心的领掌族群
[01:48] 开始出现疲惫
[01:49] 那到底是产生资金轮动
[01:51] 还是接下来可能要作为领头羊
[01:54] 开始带动美欧股市进入到进一步的下修
[01:57] 其实回过头看
[01:59] 非半这一波的回调
[02:00] 的确跟十年期公债殖利率是呈现高度联动的
[02:03] 所以整个债券利率预期的慢压
[02:06] 基本上还是很有可能靠外部的动作来释怀
[02:10] 举例来说
[02:11] 中东战士如果传出好消息
[02:13] 或者在五月份
[02:15] 五月份可能来不及
[02:17] 因为只剩下十天了
[02:18] 如果六月份的CPI有开始回调
[02:21] 或者预期回调的空间
[02:22] 那基本上公债殖利率
[02:24] 就有可能开始回调
[02:26] 不过现在看起来
[02:27] 双方仍然在持续的反应
[02:30] 现在的通膨增温
[02:31] 那台股也是如此
[02:32] 加权指数在昨天下跌了716点
[02:35] 下跌1.75%
[02:37] 收在40175点
[02:39] 台股其实三天已经跌掉1500点了
[02:42] 成交量因为沙盘扩增到1.15兆
[02:45] 那值得留意的是
[02:46] 昨天电信三雄的股价
[02:48] 也都在创价新高
[02:50] 原因就是电信三雄
[02:51] 已经正式切入了CPU
[02:53] 光通讯概念股
[02:55] 当然不是
[02:55] 长期以来
[02:56] 本来电信三星
[02:57] 就是位阶比较低
[02:59] 具有护盘作用
[03:00] 跟金融股差不多
[03:01] 所以顺势让资金成为避风港
[03:03] 所以大家很清楚知道
[03:05] 520盘也不能太难看
[03:07] 这个官方的护盘是有其必要的
[03:10] 那当然外资进空单
[03:12] 昨天高达4.5万口
[03:14] 压低结算以后
[03:15] 在外资扩大现货卖压
[03:17] 也来到630亿左右的卖潮
[03:19] 其实你会发现
[03:20] 这一阵子外资
[03:21] 的确好像是越卖越凶
[03:23] 从5月中旬以来
[03:25] 这个台股也没有跌多少
[03:26] 但外资就是数百亿数百亿的
[03:29] 这样子卖下来
[03:30] 但在这样的效果底下
[03:31] 等同于那只也蛮强的
[03:34] 它已经卖这么多了
[03:35] 这个过去几周
[03:37] 不要讲几周
[03:38] 就过去几天
[03:39] 它卖超幅度也卖了两三千
[03:41] 快要两千亿了
[03:42] 结果外资到今年为止
[03:44] 整体单年度的卖超
[03:46] 已经高达六千亿了
[03:48] 真是不要脸
[03:49] 它已经赔了这么多年还不认输
[03:51] 外资其实从2020年以后
[03:53] 基本上针对加权指数
[03:55] 就是采取高强度卖超
[03:57] 20年大卖
[03:58] 21年大卖
[03:59] 22年是史诗级卖超
[04:01] 卖了1.2兆
[04:02] 24年大卖
[04:04] 25年大卖
[04:04] 到今年还在卖
[04:06] 这个再卖下去
[04:08] 那外资可能这辈子
[04:10] 永远都买不回价格了
[04:11] 每一次回调他也不上车
[04:13] 都是永远追高
[04:14] 追高所以一阵子又不愿意买
[04:16] 这个看起来就是
[04:17] 现在台股土羊对坐的情绪
[04:20] 当然你说
[04:20] 可是投信昨天买到才70亿
[04:22] 抵得过外资的600亿的卖超吗
[04:25] 你不要忘记
[04:26] 我们还有很多大户
[04:27] 还有散户在场
[04:28] 所以这个就是一个新的势头
[04:30] 一个台股的新龙井
[04:32] 但回过头来说
[04:33] 债市如果不好转
[04:34] 你也很难期待股票市场
[04:36] 在短期内要上攻
[04:37] 所以债券市场
[04:38] 如何瓦解当前所遇到的质疑
[04:41] 第一个就是我们刚聊到的通膨问题
[04:44] 我们知道这一波废办的涨幅
[04:46] 拿来跟标普
[04:47] 再拿来跟标普等权指数
[04:48] 再拿来跟债券资产比较起来
[04:51] 其实有蛮大的乖离拉高
[04:52] 所以这个时候就要回过头说
[04:54] 第一通膨问题
[04:56] 能不能靠外部的动作来解决
[04:58] 如果解决不了
[04:59] 那或许可能就被迫要采取一些动作了
[05:02] 可能是预防性谈话
[05:04] 或者暗示升息这种动作
[05:06] 第二种角度就是
[05:07] 全球的债务的发行量
[05:10] 如果远远大于原本的需求
[05:12] 那在目前公债殖利率
[05:14] 不乐观的情况底下
[05:15] 肯定会让债券价格的卖压持续
[05:17] 供给越多
[05:18] 卖压越重
[05:19] 房地产市场
[05:20] 债券市场
[05:20] 股市都是如此
[05:21] 好那现在科技巨头
[05:23] 由于正在疯狂的借债
[05:25] 导致今年的全球借债量
[05:27] 投资等级债的发行量
[05:29] 正在飙高
[05:30] 短短几个月以内
[05:31] 我们看到像是Google
[05:32] Alphabet
[05:33] 过去它几乎没有任何外币资产
[05:35] 结果到现在为止
[05:36] 它连日债都在发行
[05:38] 这个很多人开始学巴菲特
[05:40] 开始到日本发行大量债券
[05:43] 主要就是来自于
[05:44] 日本虽然现在在升息
[05:46] 可是它的利率水准
[05:47] 相对于发达市场还是偏低
[05:49] 阿巴比在日本发行了
[05:51] 5700多亿元的公司债
[05:53] 这个是外国企业史上
[05:55] 最大的日元发债记录
[05:57] 已经超过巴菲特了
[05:59] 那这代表着
[06:00] AI实在是太烧钱了
[06:01] 现在大型科技公司
[06:02] 为了要抢资料中心
[06:04] 伺服器和AI基础建设
[06:06] 已经进入到疯狂举债模式
[06:08] 你也不要讲说只有日元
[06:10] 今年我们看Google
[06:12] 已经透过美元
[06:13] 欧元
[06:14] 加币
[06:14] 英镑
[06:15] 瑞士法朗
[06:16] 全部都在发债
[06:17] 总体募资金额已经高达600亿美元
[06:20] 这也代表着现在AI的竞赛
[06:22] 正在引得全球的发债量正在疯狂拉升
[06:26] 今年我们资本支出就已经高达7800多亿美元了
[06:30] 这就代表着
[06:31] 你如果明年还要维持这种高强度的资本支出
[06:34] 那就要继续发债
[06:35] 因为短期内AI营收回收幅度没有这么快
[06:38] 当然这也就意味着市场上的信贷量
[06:41] 借贷量银行肯定会注意到一些风险
[06:44] 开始适度收缩
[06:45] 它就形成一种迹象
[06:47] 那就是投资等级债或者高评级债券
[06:50] 它还在吸钱
[06:51] 可是像是热色债的部分
[06:53] 已经开始亮红灯了
[06:54] 我们根据UBS的最新报告
[06:56] 美国高收益债
[06:57] 也就是热色债的违约回收率
[06:59] 已经从一年前的51%暴跌到35%
[07:03] 创下疫情以来的最低水准
[07:05] 简单来讲
[07:06] 回收率就是公司倒闭之后
[07:07] 债权人最后能够拿回多少现金
[07:10] 那现在回收率快速的恶化
[07:12] 就代表着以前借100出去
[07:15] 如果它倒闭了
[07:17] 我还可以拿50回来
[07:18] 现在我只能拿到35
[07:19] 就市场开始发现
[07:21] 很多企业账面上的资产
[07:24] 其实并没有想象中
[07:25] 还来的有钱
[07:26] 那这通常也是信用市场
[07:28] 开始进入到压力区的重要讯号
[07:30] 就美国的杠杆贷款市场的
[07:32] 困境比例
[07:34] 已经升到景气循环的高点
[07:36] 越来越多的中小型企业
[07:38] 或者垃圾债企业
[07:39] 现在看起来债务
[07:40] 已经出了一些问题
[07:41] 那银行就要变得更加谨慎
[07:43] 要把钱给挤出来
[07:44] 去借那些他认为
[07:46] 未来有钱钱的客户
[07:47] 那么乐色债的违约比例
[07:49] 看起来就会环步的增高
[07:50] 它没有到系统性风险的地步
[07:52] 可是呢
[07:53] 足以彰显的市场很缺钱所以现在可以观察的几大效果那就是整体动能交易在三个月内暴涨超过20%以后整个标普白纸说它会以什么样的方式来回撤
[08:06] 或者股票市场稍微回调
[08:09] 我们细看
[08:10] 这是高盛的统计
[08:11] 基本上标普白纸是
[08:13] 如果创下历史高点
[08:14] 而且在三个月内暴涨20%以后
[08:17] 后面的报酬率很正常的
[08:19] 往往会明显下滑
[08:20] 进入到高波动或者修正阶段
[08:23] 这代表市场资金已经过度放大
[08:25] 相反的
[08:26] 如果距离历史高点还有一段距离
[08:28] 即便动能交易涨了两成
[08:30] 它还是有机会能够破高
[08:31] 那现在问题在于
[08:32] 标普已经创高一段时间了
[08:34] 所以适度的让基本面回归
[08:36] 或者说基本面追上当前的股价
[08:39] 那就要有一点时间来以盘待叠
[08:41] 我认为这是最好的方式
[08:43] 所以AI狂潮现在涨最多的
[08:45] 其实也是获利最多的
[08:47] 如果我们看当前的AI市场
[08:49] 其实就开始有一点高位换手的味道
[08:52] 台股也是如此
[08:53] 那外资跟内资
[08:54] 很明显又在重新换什么
[08:55] 外资看起来短期内
[08:57] 兴趣又不是特别高了
[08:58] 那美股和台股市场内部
[09:00] 内资看起来也在换手
[09:02] 昨天千金股
[09:03] 整体换手量也非常明显
[09:04] 就说明着新一波的承接者
[09:07] 开始重新进场了
[09:08] 那我们就看一下
[09:09] 这一波承接者会有多勇敢
[09:11] 当然了
[09:12] 现在华尔街也开始偷偷的去买保险
[09:14] 现在大型资金
[09:16] 开始流行一种更为复杂的避险工具
[09:19] 名字叫做lockback put
[09:21] 选择权就是
[09:22] 这个工具特点就是
[09:23] 当市场上继续上涨的时候
[09:25] 履约价格也跟着往上挑升
[09:27] 等于是一边去享受AI行情
[09:29] 但是一边替未来的崩跌来买保险
[09:32] 有点过去我们提到的
[09:33] 深水炸弹投资法
[09:35] 因为市场的风险
[09:36] 现在不一定是估值失控
[09:38] 因为本益比没有到那么高
[09:40] 没有像2000年这么高的水准
[09:42] 但是结构是很脆弱的
[09:43] 我们知道现在资金就集中在大板块
[09:46] 然后又有大量的杠杆ETF
[09:48] 和量化策略
[09:49] 就变成辉达或者Google
[09:52] 微软
[09:53] 它本益比没有很夸张
[09:54] 可是它的股价推升幅度
[09:57] 这个月实在是有点快
[09:58] 原因就来自于
[09:59] 大量的杠杆ETF
[10:01] 大量的借贷量
[10:02] 大量的值借
[10:03] 大量的融资
[10:04] 去买那个大家认为
[10:05] 最有希望的公司
[10:06] 所以它即便本业
[10:08] 看起来没什么问题
[10:09] 但股价拉升幅度
[10:11] 还是稍微有一点快
[10:12] 所以接下来要解决的问题
[10:13] 就来自于
[10:14] 那么我们有两种角度
[10:16] 一个就是通膨问题
[10:17] 要靠川普和沃许的能力解决吗
[10:19] 另外一层是我们要探讨的
[10:21] 那就是那借债的问题要如何解决呢
[10:24] 如果你借了这么多的钱
[10:25] 你最后没有足够的AI营收回馈的话
[10:28] 那你每年都借7%钱
[10:29] 你明年边借一兆
[10:30] 后年边借两兆
[10:31] 市场哪有那么多钱可以借你啊
[10:33] 现在已经开始进行资金板块了
[10:35] 是我不借中小企业
[10:37] 我只借大企业
[10:38] 那借到一定程度以后
[10:39] 还是有压力的啊
[10:40] 两个角度
[10:41] 第一个角度是
[10:42] 这些大巨头啊
[10:43] 普遍还能撑
[10:44] 撑一阵子
[10:45] 预估可以撑到27年到28年
[10:48] 现金流才会完全用尽
[10:50] 现在是Meta的钱已经快用尽了
[10:52] 但是亚马逊维稳和Google还是有钱
[10:55] 如果我们细节观察
[10:56] 基本上这一季度的财报
[10:58] 你会发现需求是真的
[11:00] Google Cloud的营收暴增63
[11:01] AWS三年最快增速
[11:04] Azure维持40%的高成长
[11:06] 就这些业务不只是成长
[11:08] 而且利润率还在同步的走升
[11:10] 所以它的确相对于资本支出
[11:12] 好像赚的钱没这么多
[11:13] 可是AI有没有让这些企业
[11:15] 维持住它原本的护城河
[11:17] 答案是有的
[11:18] 所以这些企业
[11:19] 现金流看起来比2000年
[11:21] 还要来得更为健康
[11:22] 那第二件事情
[11:23] 是这些企业
[11:25] 之所以现在疯狂的发债抢钱
[11:26] 还有一个特殊目的
[11:28] 也许下半年
[11:29] 它就不会借那么多债了
[11:31] 根本原因来自于
[11:32] 因为它要提前在SPAC上市之前
[11:34] 把市场的油资尽可能的洗走
[11:37] 我们知道很快的
[11:38] 6月份SPAC就要上市了
[11:40] IPO
[11:41] 那市场预估
[11:42] 整体估值是1.75兆
[11:44] 1.75兆也不少
[11:45] 这是全球最受矚目的科技上市案之一
[11:48] 基本上它一进场以后
[11:50] 全球的ETF
[11:52] 包括台股的可能像757
[11:54] 一些追踪纳斯达克指数的ETF
[11:56] 全部都要进行成分股的更换
[11:58] 大量的去买进这家公司
[12:00] 那就代表着一定会排挤到
[12:02] 其他科技巨头的卖盘
[12:04] 所以先把你的钱给吸走
[12:06] 当然这件事情也就意味着
[12:08] 市场上在巨头内的纷争
[12:11] 以及资金板块的抢夺
[12:13] 将会成为接下来的重点
[12:15] 那当然我们刚才所提到的说
[12:17] 现在马斯克
[12:19] 我们昨天才看到
[12:20] 这一次跟OpenAI的上述案
[12:23] 正式败诉了
[12:24] 那当然理由也不是技术的对错
[12:26] 理由是因为超过追诉期了
[12:28] 陪审团最后只花了两个小时
[12:29] 就一致判定马斯克提告时间太晚了
[12:32] 所以不管最后你在道理上
[12:35] 有没有占上风
[12:36] 但是你太晚讲了
[12:37] 所以很抱歉
[12:38] OpenAI的上市障碍正式清除了
[12:41] 不过马斯克也达到他的目的
[12:43] 至少拖慢了一下OpenAI当前的进度
[12:45] 也让市场针对OpenAI有进一步的批判
[12:48] 不过我觉得这件事情最震撼的地方在于
[12:50] 它是整个系股文化的转变
[12:52] 因为这一次的法庭攻防战
[12:55] 把很多人的日记都丢出来了
[12:58] 包括过去我们看到
[13:00] OpenAI共同创办人的日记
[13:02] 当时都被法庭上陆续的释出
[13:05] 变成核心证据
[13:06] 里头就讲到那种人性冲突
[13:08] 整个系股文化
[13:09] 大家发现马斯克也不是什么好人
[13:11] 他也一度想要掌控OpenAI
