[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 谈判已经出现了曙光
[00:31] 回调在本轮的过程当中
[00:33] 已经结束了
[00:34] 至少从油价来看
[00:36] 希德州原油价格
[00:37] 开始进行收敛
[00:38] 回到接近季限左右
[00:40] 不过每桶大概还是维持在97块
[00:43] 这也说明着
[00:44] 现在没有股市的创高
[00:46] 跟中东问题
[00:48] 似乎关系也不是特别大
[00:49] 好像保持在这个价位一段时间
[00:51] 也不代表股票市场
[00:53] 一定会做多大程度的下修
[00:55] 即便通膨预期和利率预期
[00:57] 仍然持续展现
[00:58] 不过市场也出现
[00:59] 比较矛盾的情绪
[01:01] 一方面美国与伊朗
[01:03] 在巴基斯坦的斡旋底下
[01:05] 停火草案协议
[01:06] 目前传出新闻已经接近完成
[01:08] 包括全面停火
[01:09] 不再供给能源和交通设施
[01:11] 以及保障波斯湾和荷姆兹海峡的
[01:14] 航行自由
[01:15] 现在油价的回跌幅度
[01:17] 好像也没有想象中这么大
[01:19] 所以让市场上开始去担忧
[01:21] 这项消息到底是
[01:23] 新闻媒体自己揣测出来
[01:25] 还是双方的确已经接近到
[01:27] 全面停火
[01:28] 另外一方面
[01:29] 伊朗的浓缩诱问题
[01:31] 和母子海峡的控制权
[01:33] 以及伊朗或者说以色列
[01:35] 是否能够接受长期的停火
[01:37] 这些问题你要说
[01:38] 光是这一次谈判
[01:39] 就可以一劳永逸的完成
[01:41] 似乎也有一点难度
[01:42] 但不管怎么说
[01:43] 整体伊朗战争爆发之后
[01:45] 你会发现
[01:46] 其实整体石油出口商
[01:48] 不管是美国还是中东部分
[01:50] 部分国家都在高速的推高
[01:52] 尤其美国是增加最高的
[01:54] 那现在沙乌地阿拉伯
[01:55] 因为他还有西岸的盐布港
[01:57] 可以来做运送
[01:58] 从三月份以来
[02:00] 其实单月收入已经开始做显著跳升了
[02:03] 就代表着
[02:03] 其实真正受冲击的也不是所有中东国家
[02:07] 而是所在波斯湾的这些国家
[02:09] 现在沙烏地阿拉伯成功的用东西管线
[02:12] 把大量的原油改由红海西岸来进行出口
[02:16] 不仅降低了中段的冲击
[02:18] 反而在供给紧张和油价暴涨的情况底下
[02:21] 现在反而是大幅受益的
[02:23] 那你说如果这一波新闻是由伊朗方传出来的
[02:26] 是否比较可信呢
[02:28] 可是我们也知道
[02:28] 前两天我们看当时伊朗的国营电视台
[02:32] 还在教民众如何使用AK-47
[02:34] 连小孩都被拍到受到枪械的教育
[02:37] 所以很多伊朗民众也认为
[02:39] 或者说对于大部分投资人而言
[02:42] 也不太相信短期内就有大幅price in
[02:45] 股价反应战争结束的曙光
[02:47] 现在看起来没有股市投资人就是以盘待叠
[02:50] 创高我就追的小一点
[02:52] 逢低那我就进行买进
[02:55] 以盘待叠等到下一个季度本一笔就下滑了
[02:58] 有这样的一个感觉
[02:59] 事实上赫蒙兹海峡
[03:00] 这一次停摆已经超过到三个月了
[03:03] 真正开始出现问题的
[03:04] 现在是大量的商船本身
[03:06] 因为当时也不过是一百多艘货柜冲出来
[03:11] 其实现在还有接近八百艘的商船
[03:15] 大概两万名船员还卡在海湾内
[03:18] 也不是不能冲
[03:19] 冲一发也有机会
[03:20] 可是问题在于没有保险了
[03:23] 所以如果被击中
[03:24] 那保险商就不理赔
[03:25] 那现在有2万名船员还卡在海湾内
[03:28] 800艘的商船
[03:29] 由于高温的海水
[03:31] 潜滩以及长时间的禁止
[03:33] 现在船底下有大量的藤壶
[03:36] 水母或者藻类等生物
[03:38] 对于船只的伤害压力也很大
[03:40] 那人员和补给的压力也开始恶化
[03:43] 由于战争风险过高
[03:44] 很多维修零件无法送进海湾
[03:46] 部分的船只GPS故障之后
[03:48] 等了15天都拿不到替代设备
[03:50] 船员长期被困在船上
[03:52] 虽然食物看起来是没有太大问题
[03:55] 但已经70天都吃同样的东西
[03:57] 快受不了了
[03:59] 许多船员一天开始反映
[04:01] 类似海上监狱的压力反应
[04:03] 所以很多航运商被迫开始进行轮替
[04:07] 就陆路把新的船员给送进去
[04:09] 把旧的船员给拿出来来雇船
[04:11] 所以不管怎么说
[04:13] 现在真正原油价格的压力
[04:16] 其实并不完全来自于市场全面情绪的推高
[04:19] 因为期货价格就盘在这个位置
[04:21] 现在压力比较大的
[04:22] 是部分缺油国家
[04:24] 它的库存快要见底了
[04:25] 我们举几个例子来说
[04:27] 你像最不缺的应该就美国
[04:28] 因为它自己产油嘛
[04:29] 可是美国的原油库存
[04:31] 单周是大减的
[04:33] 接近有800万桶
[04:34] 那战略原油储备
[04:35] SPR创下历史上最大的释放速度
[04:38] 最近几周已经消耗超过10%的储备量
[04:41] 现在呢
[04:42] 包括商业库存和战略储存
[04:44] 全部加重以后
[04:45] 美国整体的原油库存
[04:47] 这个也降到
[04:48] 2025年中旬以来的最低水位了
[04:51] 所以我们知道短线上
[04:53] 大家都在赌中东会和平
[04:55] 油价一定迟早会回跌
[04:56] 所以长线的供给结构
